page	record	locus	field_ordinal	event_count	surface_sequence	atomic_literal_sequence_German	separate_fluent_creative_translation_German
f55v	1	f55v.5	2	3	daiin chedy talam	GANZKARTE-AIIN=MASS | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-ALA=UNBEKANNT + B3=SONDERABSCHLUSS	Ein vorgeschriebenes Maß; rühre, bis alles gleichmäßig vermischt ist; wasche die wunde Stelle einmal
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	HOST-YK=UNBEKANNT + RIGHT-AIIN=STANDARD | HOST-O=UNBEKANNT + RIGHT-AR=QUELLE | HOST-EKY=UNBEKANNT | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG + DY=SCHLUSS	für den zweiten Arzneigebrauch; gib Weißwein hinzu; solange es noch warm ist; koche sanft und beende diesen Arbeitsschritt
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	GANZKARTE-AIIN=MASS | HOST-OK=SETZEN + RIGHT-AL=ZIEL | HOST-OLTCHY=UNBEKANNT | HOST-OR=BEREIT | HOST-Y=UNBEKANNT | HOST-OR=BEREIT + RIGHT-AIN=EINHEIT	Ein vorgeschriebenes Maß; mische beide Anteile zusammen; bewahre es in einem bedeckten Gefäß; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; gebrauche die fertige Flüssigkeit frisch
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	HOST-CHOR=SAMMELN + FRAME-O=FORTSETZUNG | HOST-O=UNBEKANNT | HOST-ODALY=UNBEKANNT | GANZKARTE-AIIN=MASS	sammle die Pflanze im Frühjahr; nimm danach den folgenden Zusatz oder Pflanzenteil; die dünne untere Wurzel; Ein vorgeschriebenes Maß
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	HOST-O=UNBEKANNT | HOST-KCHOL=UNBEKANNT | HOST-CHOR=SAMMELN + FRAME-OT=GEGENBEZUG | GANZKARTE-OKY=VERWENDEN | HOST-AL=ZIEL	nimm danach den folgenden Zusatz oder Pflanzenteil; lasse es in Weißwein ziehen; vor der Blüte gesammelt; Die aktive Portion verwenden; An die bezeichnete Zielstelle führen
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	HOST-CHOL=UNBEKANNT | HOST-Y=UNBEKANNT + FRAME-O=FORTSETZUNG | GANZKARTE-OKY=VERWENDEN | HOST-ECKHO=UNBEKANNT + DY=SCHLUSS	von diesem abgebildeten Simplex; die auf feuchter schattiger Heide wächst; Die aktive Portion verwenden; lasse das Pflaster unbedeckt trocknen
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	HOST-H=UNBEKANNT | HOST-O=UNBEKANNT | HOST-KCHEY=UNBEKANNT | HOST-OKOKCHY=UNBEKANNT	ihren kleinen Samen- oder Knospenkopf; nimm danach den folgenden Zusatz oder Pflanzenteil; das getrocknete schmale Blatt; trockne es im Schatten
f56r	1	f56r.13	1	3	okchy chokcheo kchal	HOST-OKCHY=UNBEKANNT | HOST-OKCHEO=UNBEKANNT | HOST-KCH=UNBEKANNT + RIGHT-AL=ZIEL	gebrauche die frisch bereitete Arznei; trinke es bei Magenschmerz; bewahre den Rest trocken im Schatten
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	HOST-O=UNBEKANNT | HOST-OKCHY=UNBEKANNT | HOST-KCHO=UNBEKANNT + RIGHT-AR=QUELLE | HOST-OTODAN=UNBEKANNT	nimm danach den folgenden Zusatz oder Pflanzenteil; gebrauche die frisch bereitete Arznei; mische es mit Honig; gebrauche es frisch vermischt
f56r	1	f56r.19	1	3	otchey keol daiin	HOST-CHEY=NEHMEN + FRAME-OT=GEGENBEZUG | HOST-KEOL=UNBEKANNT | GANZKARTE-AIIN=MASS	Nimm den bezeichneten Anteil; die helle geöffnete Blüte; Ein vorgeschriebenes Maß
f81v	1	f81v.2	1	1	qokedy	GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-K=UNBEKANNT + RIGHT-AIR=LAUF | HOST-OK=SETZEN + RIGHT-AL=ZIEL | HOST-AR=UNBEKANNT | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-K=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-OLK=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-AL=ZIEL | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-ROL=UNBEKANNT | HOST-L=ANSCHLUSS	beginne den nächsten abgemessenen Posten; der zurücklaufende Strom; mische beide Anteile zusammen; Daraus, aus demselben Ansatz; Mit der vorigen Zubereitung weiter; ein abgemessener Anteil; das untere Becken; An die bezeichnete Zielstelle führen; Mit der vorigen Zubereitung weiter; bevor es abkühlt; das bereitete Öl
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	GANZKARTE-OLOR=VORANSATZ | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-ECKH=UNBEKANNT + RIGHT-AL=ZIEL | GANZKARTE-AIIN=MASS | HOST-OKEED=UNBEKANNT + RIGHT-AL=ZIEL | GANZKARTE-AIIN=MASS | GANZKARTE-CKHY=VERBUNDEN | HOST-CHE=UNBEKANNT + DY=SCHLUSS	Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; eine mäßige Menge; Ein vorgeschriebenes Maß; der eingetauchte Teil; Ein vorgeschriebenes Maß; durch die verbundenen Läufe; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f81v	1	f81v.7	2	1	qol	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG	Mit der vorigen Zubereitung weiter
f81v	1	f81v.17	1	1	sshkchdy	HOST-SHKCH=UNBEKANNT + DY=SCHLUSS	halte es warm und beende den Schritt
f81v	1	f81v.17	2	3	chedy ol shedy	HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-E=BIS + DY=SCHLUSS	rühre, bis alles gleichmäßig vermischt ist; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.17	3	1	qolchedy	HOST-OLCHE=UNBEKANNT + DY=SCHLUSS	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f81v	1	f81v.17	4	4	qokain shckhy dl ral	HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | GANZKARTE-CKHY=VERBUNDEN | HOST-L=ANSCHLUSS | HOST-R=UNBEKANNT + RIGHT-AL=ZIEL	gib einen abgemessenen Anteil in das Gefäß; durch die verbundenen Läufe; das bereitete Öl; und lasse es abkühlen
f81v	1	f81v.18	1	1	qokchdy	HOST-OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	HOST-Y=UNBEKANNT | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-KY=UNBEKANNT | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-E=BIS + DY=SCHLUSS	Diese aktive Portion; Mit der vorigen Zubereitung weiter; bei sanfter Wärme; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.18	3	1	qokedy	GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	4	1	qokedy	GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	5	2	chckhy qoky	GANZKARTE-CKHY=VERBUNDEN | GANZKARTE-OKY=VERWENDEN	durch die verbundenen Läufe; Die aktive Portion verwenden
f81v	1	f81v.21	1	3	lsho qokey lshedy	HOST-LSHO=UNBEKANNT | HOST-OKEY=UNBEKANNT | HOST-LSHE=UNBEKANNT + DY=SCHLUSS	beginne die Spülung; warmes Wasser; wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	2	1	lshedy	HOST-LSHE=UNBEKANNT + DY=SCHLUSS	wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-OLKY=UNBEKANNT | HOST-LCHED=UNBEKANNT + RIGHT-AL=ZIEL | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-OT=GEGENBEZUG + RIGHT-AR=QUELLE	rühre, bis alles gleichmäßig vermischt ist; die betroffene Stelle; das untere Becken; Mit der vorigen Zubereitung weiter; benutze danach den unteren Ablauf
f81v	1	f81v.24	1	2	ytey okchedy	HOST-YTEY=UNBEKANNT | HOST-OKCHE=UNBEKANNT + DY=SCHLUSS	fülle danach das Gefäß; lasse es abkühlen und beende den Schritt
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	HOST-OK=SETZEN + RIGHT-AL=ZIEL | GANZKARTE-OKEEY=LAUWARM | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-E=BIS + DY=SCHLUSS	mische beide Anteile zusammen; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.24	3	3	sal teol dchdy	HOST-AL=ZIEL | HOST-EOL=UNBEKANNT | HOST-CH=UNBEKANNT + DY=SCHLUSS	An die bezeichnete Zielstelle führen; die erste Öffnung; seihe es klar und beende den Schritt
f81v	1	f81v.24	4	1	ly	HOST-LY=UNBEKANNT	fülle danach das Gefäß
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	HOST-SHEOL=UNBEKANNT | HOST-OIIIN=UNBEKANNT | HOST-OLKEE=UNBEKANNT + DY=SCHLUSS	wende es an der markierten Stelle an; bis es klar ist; lasse die Flüssigkeit sich setzen und beende den Schritt
f81v	1	f81v.27	2	1	tedy	HOST-E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.27	3	2	cheky shckhedy	HOST-KY=UNBEKANNT | HOST-CKHE=UNBEKANNT + DY=SCHLUSS	bei sanfter Wärme; seihe es einmal durch ein Tuch und beende den Schritt
f81v	1	f81v.27	4	1	chal	HOST-AL=ZIEL	An die bezeichnete Zielstelle führen
f82r	1	f82r.2	1	1	dchedy	HOST-CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f82r	1	f82r.2	2	1	qolchedy	HOST-OLCHE=UNBEKANNT + DY=SCHLUSS	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f82r	1	f82r.2	3	3	qokain dy qokeedy	HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | HOST-Y=UNBEKANNT | HOST-OKEE=UNBEKANNT + DY=SCHLUSS	gib einen abgemessenen Anteil in das Gefäß; Diese aktive Portion; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.2	4	3	qokal lcheckhy lched	HOST-OK=SETZEN + RIGHT-AL=ZIEL | HOST-LCHECKHY=UNBEKANNT | HOST-LCHED=UNBEKANNT	mische beide Anteile zusammen; die zweite Öffnung; und gehe zum nächsten Becken weiter
f82r	1	f82r.3	1	2	qokeey lcheckhedy	GANZKARTE-OKEEY=LAUWARM | HOST-LCHECKHE=UNBEKANNT + DY=SCHLUSS	temperiere die Arbeitsflüssigkeit und halte sie lauwarm; seihe es klar und beende den Schritt
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	HOST-OKALY=UNBEKANNT | HOST-OLK=UNBEKANNT + RIGHT-AIIN=STANDARD | GANZKARTE-CKHY=VERBUNDEN | HOST-OK=SETZEN + RIGHT-AIIN=STANDARD	fahre am zweiten Lauf fort; durch ein Tuch; durch die verbundenen Läufe; beginne den nächsten abgemessenen Posten
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-OCTHEOL=UNBEKANNT | HOST-KEEY=UNBEKANNT | HOST-L=ANSCHLUSS + DY=SCHLUSS	beginne den nächsten abgemessenen Posten; unter derselben Einstellung; das breite Gefäß; ziehe es ab und beende den Schritt
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	HOST-EEY=UNBEKANNT + FRAME-OT=GEGENBEZUG | HOST-OK=SETZEN + RIGHT-AL=ZIEL | HOST-ECKHY=UNBEKANNT | GANZKARTE-OKY=VERWENDEN	das bereitete Öl; mische beide Anteile zusammen; über der örtlich bezeichneten Stelle; Die aktive Portion verwenden
f82r	1	f82r.7	1	1	dshedy	HOST-SHE=UNBEKANNT + DY=SCHLUSS	gib sauberes Wasser hinzu und beende den Schritt
f82r	1	f82r.7	2	3	sotaiin qokar shedy	HOST-OT=GEGENBEZUG + RIGHT-AIIN=STANDARD | HOST-OK=SETZEN + RIGHT-AR=QUELLE | HOST-E=BIS + DY=SCHLUSS	für dieselbe Dauer wie zuvor; über der örtlich bezeichneten Stelle; lasse es bis zur Bereitschaft stehen und beende den Schritt
f82r	1	f82r.7	3	1	solshedy	HOST-OLSHE=UNBEKANNT + DY=SCHLUSS	halte es warm und beende den Schritt
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	GANZKARTE-OKEEY=LAUWARM | GANZKARTE-OKY=VERWENDEN | HOST-LS=UNBEKANNT | GANZKARTE-EY=ENDZUSTAND	temperiere die Arbeitsflüssigkeit und halte sie lauwarm; Die aktive Portion verwenden; die erste Öffnung; Bis die Flüssigkeit klar abläuft
f82r	1	f82r.19	1	4	okain char okain qokeedy	HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | HOST-AR=UNBEKANNT | HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | HOST-OKEE=UNBEKANNT + DY=SCHLUSS	gib einen abgemessenen Anteil in das Gefäß; Daraus, aus demselben Ansatz; gib einen abgemessenen Anteil in das Gefäß; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.19	2	1	lchy	HOST-LCHY=UNBEKANNT	ziehe die klare Flüssigkeit ab
f82r	1	f82r.23	1	7	cheey qcthey qokeey lcheey daiin chey qokeeedy	GANZKARTE-EY=ENDZUSTAND | HOST-CTHEY=UNBEKANNT | GANZKARTE-OKEEY=LAUWARM | HOST-LCHEEY=UNBEKANNT | GANZKARTE-AIIN=MASS | HOST-Y=UNBEKANNT | HOST-OKEEE=UNBEKANNT + DY=SCHLUSS	Bis die Flüssigkeit klar abläuft; unter derselben Einstellung; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; der eingetauchte Teil; Ein vorgeschriebenes Maß; Diese aktive Portion; tauche vollständig ein und beende den Schritt
f82r	1	f82r.23	2	1	lchedy	GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f82r	1	f82r.23	3	1	lar	HOST-L=ANSCHLUSS + RIGHT-AR=QUELLE	schließe den unteren Ablauf
f82r	1	f82r.26	1	2	tshey qokeedy	HOST-SHEY=UNBEKANNT | HOST-OKEE=UNBEKANNT + DY=SCHLUSS	beginne die Spülung; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.26	2	7	cheal lchedar ches aiin oteey qokaiin okey	HOST-AL=ZIEL | HOST-LCHED=UNBEKANNT + RIGHT-AR=QUELLE | HOST-S=UNBEKANNT | GANZKARTE-AIIN=MASS | HOST-EEY=UNBEKANNT + FRAME-OT=GEGENBEZUG | HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-OKEY=UNBEKANNT	An die bezeichnete Zielstelle führen; kühles Wasser; zu gleichen Anteilen; Ein vorgeschriebenes Maß; das bereitete Öl; beginne den nächsten abgemessenen Posten; warmes Wasser
f82r	1	f82r.27	1	1	pchedy	HOST-PCHE=UNBEKANNT + DY=SCHLUSS	ziehe es ab und beende den Schritt
f82r	1	f82r.27	2	2	rsheal daldy	HOST-RSHE=UNBEKANNT + RIGHT-AL=ZIEL | HOST-AL=ZIEL + DY=SCHLUSS	gieße das erwärmte Wasser ein; wiederhole es an der zweiten Öffnung und beende den Schritt
f82r	1	f82r.27	3	1	qokeedy	HOST-OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	4	1	rshedy	HOST-RSHE=UNBEKANNT + DY=SCHLUSS	trinke den angegebenen Anteil und beende den Schritt
f82r	1	f82r.27	5	1	qoteedy	HOST-EE=UNBEKANNT + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f82r	1	f82r.27	6	1	qokeedy	HOST-OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	7	1	lochedy	HOST-LOCHE=UNBEKANNT + DY=SCHLUSS	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.3	1	1	olkeedy	HOST-OLKEE=UNBEKANNT + DY=SCHLUSS	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.3	2	2	qotal chkeedy	HOST-OT=GEGENBEZUG + RIGHT-AL=ZIEL | HOST-KEE=UNBEKANNT + DY=SCHLUSS	zum unteren Ablauf hin; tauche vollständig ein und beende den Schritt
f83r	1	f83r.3	3	4	chey daiin chey lchedy	HOST-Y=UNBEKANNT | GANZKARTE-AIIN=MASS | HOST-Y=UNBEKANNT | GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.3	4	3	qokaiin qotal dar	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-OT=GEGENBEZUG + RIGHT-AL=ZIEL | HOST-AR=UNBEKANNT	beginne den nächsten abgemessenen Posten; zum unteren Ablauf hin; Daraus, aus demselben Ansatz
f83r	1	f83r.6	1	1	schedy	HOST-CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.6	2	3	chedchy qokal olchedy	HOST-CHY=UNBEKANNT + INNER-D=VARIANTE | HOST-OK=SETZEN + RIGHT-AL=ZIEL | HOST-OLCHE=UNBEKANNT + DY=SCHLUSS	gieße das erwärmte Wasser ein; mische beide Anteile zusammen; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f83r	1	f83r.6	3	3	qokaiin chedy qokeedy	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-OKEE=UNBEKANNT + DY=SCHLUSS	beginne den nächsten abgemessenen Posten; rühre, bis alles gleichmäßig vermischt ist; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.6	4	1	lchedy	GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.6	5	1	qoky	GANZKARTE-OKY=VERWENDEN	Die aktive Portion verwenden
f83r	1	f83r.8	1	2	pchedal otedy	HOST-PCHED=UNBEKANNT + RIGHT-AL=ZIEL | HOST-E=BIS + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	fülle danach das Gefäß; lasse es bis zur Klarheit ziehen und beende den Schritt
f83r	1	f83r.8	2	4	shecthedchy qoky chedy chary	HOST-ECTHEDCHY=UNBEKANNT | GANZKARTE-OKY=VERWENDEN | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-ARY=UNBEKANNT	wende es an der markierten Stelle an; Die aktive Portion verwenden; rühre, bis alles gleichmäßig vermischt ist; und lasse es abkühlen
f83r	1	f83r.11	1	2	sor shedy	HOST-OR=BEREIT | HOST-E=BIS + DY=SCHLUSS	Die bereitete Arbeitsflüssigkeit; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	1	f83r.11	2	4	qokaiin chkain shcthey qokedy	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | HOST-K=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-CTHEY=UNBEKANNT | GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	beginne den nächsten abgemessenen Posten; ein abgemessener Anteil; unter derselben Einstellung; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.11	3	2	okair sheedy	HOST-OK=SETZEN + RIGHT-AIR=LAUF | HOST-EE=UNBEKANNT + DY=SCHLUSS	öffne danach den oberen Lauf; wasche einmal und beende den Schritt
f83r	1	f83r.11	4	1	lchedy	GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.11	5	1	lo	HOST-LO=UNBEKANNT	schließe den unteren Ablauf
f83r	1	f83r.14	1	1	qokchedy	HOST-OKCHE=UNBEKANNT + DY=SCHLUSS	lasse es abkühlen und beende den Schritt
f83r	1	f83r.14	2	1	qokeedy	HOST-OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.14	3	1	shedy	HOST-E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	1	f83r.14	4	1	qokshedy	HOST-OKSHE=UNBEKANNT + DY=SCHLUSS	koche sanft und beende diesen Arbeitsschritt
f83r	1	f83r.14	5	2	dal lchedy	HOST-AL=ZIEL | GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	An die bezeichnete Zielstelle führen; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.14	6	4	qokaiin shcthy dal sy	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | GANZKARTE-CTHY=BEREIT | HOST-AL=ZIEL | HOST-Y=UNBEKANNT	beginne den nächsten abgemessenen Posten; Sobald die Zubereitung gebrauchsfertig ist; An die bezeichnete Zielstelle führen; Diese aktive Portion
