page	record	locus	field_ordinal	event_count	surface_sequence	r2_atomic_literal_sequence_German	local_creative_translation_German
f55v	1	f55v.5	2	3	daiin chedy talam	KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST ALA=UNBEKANNT + B3=SONDERSCHLUSS	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	OPAQUE HOST YK=UNBEKANNT + RIGHT AIIN=R-AIIN | OPAQUE HOST O=UNBEKANNT + RIGHT AR=R-AR | OPAQUE HOST EKY=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O + DY=SCHLUSS	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	KANDIDAT GANZKARTE AIIN=MASS | KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | OPAQUE HOST OLTCHY=UNBEKANNT | KANDIDAT HOST OR=ANSATZ | OPAQUE HOST Y=UNBEKANNT | KANDIDAT HOST OR=ANSATZ + RIGHT AIN=R-AIN	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	OPAQUE HOST CHOR=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST O=UNBEKANNT | OPAQUE HOST ODALY=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	OPAQUE HOST O=UNBEKANNT | OPAQUE HOST KCHOL=UNBEKANNT | OPAQUE HOST CHOR=UNBEKANNT + FRAME OT=FORMAL-OT | KANDIDAT GANZKARTE OKY=NUTZE | KANDIDAT HOST AL=ZU	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	OPAQUE HOST CHOL=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT GANZKARTE OKY=NUTZE | OPAQUE HOST ECKHO=UNBEKANNT + DY=SCHLUSS	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	OPAQUE HOST H=UNBEKANNT | OPAQUE HOST O=UNBEKANNT | OPAQUE HOST KCHEY=UNBEKANNT | OPAQUE HOST OKOKCHY=UNBEKANNT	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten
f56r	1	f56r.13	1	3	okchy chokcheo kchal	OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST OKCHEO=UNBEKANNT | OPAQUE HOST KCH=UNBEKANNT + RIGHT AL=R-AL	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	OPAQUE HOST O=UNBEKANNT | OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST KCHO=UNBEKANNT + RIGHT AR=R-AR | OPAQUE HOST OTODAN=UNBEKANNT	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt
f56r	1	f56r.19	1	3	otchey keol daiin	KANDIDAT HOST CHEY=ANTEIL + FRAME OT=FORMAL-OT | OPAQUE HOST KEOL=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß
f81v	1	f81v.2	1	1	qokedy	KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST K=UNBEKANNT + RIGHT AIR=R-AIR | KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | OPAQUE HOST AR=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST K=UNBEKANNT + RIGHT AIN=R-AIN | OPAQUE HOST OLK=UNBEKANNT + RIGHT AIN=R-AIN | KANDIDAT HOST AL=ZU | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST ROL=UNBEKANNT | OPAQUE HOST L=UNBEKANNT	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	KANDIDAT GANZKARTE OLOR=REST | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST ECKH=UNBEKANNT + RIGHT AL=R-AL | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST OKEED=UNBEKANNT + RIGHT AL=R-AL | KANDIDAT GANZKARTE AIIN=MASS | KANDIDAT GANZKARTE CKHY=VERBINDUNG | OPAQUE HOST CHE=UNBEKANNT + DY=SCHLUSS	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f81v	1	f81v.7	2	1	qol	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O	Mit der vorigen Zubereitung weiter
f81v	1	f81v.17	1	1	sshkchdy	OPAQUE HOST SHKCH=UNBEKANNT + DY=SCHLUSS	halte es warm und beende den Schritt
f81v	1	f81v.17	2	3	chedy ol shedy	OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT HOST E=BIS + DY=SCHLUSS	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.17	3	1	qolchedy	OPAQUE HOST OLCHE=UNBEKANNT + DY=SCHLUSS	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f81v	1	f81v.17	4	4	qokain shckhy dl ral	KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | KANDIDAT GANZKARTE CKHY=VERBINDUNG | OPAQUE HOST L=UNBEKANNT | OPAQUE HOST R=UNBEKANNT + RIGHT AL=R-AL	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen
f81v	1	f81v.18	1	1	qokchdy	OPAQUE HOST OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST KY=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT HOST E=BIS + DY=SCHLUSS	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.18	3	1	qokedy	KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	4	1	qokedy	KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	5	2	chckhy qoky	KANDIDAT GANZKARTE CKHY=VERBINDUNG | KANDIDAT GANZKARTE OKY=NUTZE	durch die verbundenen Läufe ; Die aktive Portion verwenden
f81v	1	f81v.21	1	3	lsho qokey lshedy	OPAQUE HOST LSHO=UNBEKANNT | OPAQUE HOST OKEY=UNBEKANNT | OPAQUE HOST LSHE=UNBEKANNT + DY=SCHLUSS	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	2	1	lshedy	OPAQUE HOST LSHE=UNBEKANNT + DY=SCHLUSS	wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST OLKY=UNBEKANNT | OPAQUE HOST LCHED=UNBEKANNT + RIGHT AL=R-AL | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST OT=UNBEKANNT + RIGHT AR=R-AR	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf
f81v	1	f81v.24	1	2	ytey okchedy	OPAQUE HOST YTEY=UNBEKANNT | OPAQUE HOST OKCHE=UNBEKANNT + DY=SCHLUSS	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | KANDIDAT GANZKARTE OKEEY=LAUWARM | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT HOST E=BIS + DY=SCHLUSS	mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.24	3	3	sal teol dchdy	KANDIDAT HOST AL=ZU | OPAQUE HOST EOL=UNBEKANNT | OPAQUE HOST CH=UNBEKANNT + DY=SCHLUSS	An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt
f81v	1	f81v.24	4	1	ly	OPAQUE HOST LY=UNBEKANNT	fülle danach das Gefäß
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	OPAQUE HOST SHEOL=UNBEKANNT | OPAQUE HOST OIIIN=UNBEKANNT | OPAQUE HOST OLKEE=UNBEKANNT + DY=SCHLUSS	wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt
f81v	1	f81v.27	2	1	tedy	KANDIDAT HOST E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.27	3	2	cheky shckhedy	OPAQUE HOST KY=UNBEKANNT | OPAQUE HOST CKHE=UNBEKANNT + DY=SCHLUSS	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt
f81v	1	f81v.27	4	1	chal	KANDIDAT HOST AL=ZU	An die bezeichnete Zielstelle führen
f82r	1	f82r.2	1	1	dchedy	OPAQUE HOST CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f82r	1	f82r.2	2	1	qolchedy	OPAQUE HOST OLCHE=UNBEKANNT + DY=SCHLUSS	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f82r	1	f82r.2	3	3	qokain dy qokeedy	KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.2	4	3	qokal lcheckhy lched	KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | OPAQUE HOST LCHECKHY=UNBEKANNT | OPAQUE HOST LCHED=UNBEKANNT	mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter
f82r	1	f82r.3	1	2	qokeey lcheckhedy	KANDIDAT GANZKARTE OKEEY=LAUWARM | OPAQUE HOST LCHECKHE=UNBEKANNT + DY=SCHLUSS	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	OPAQUE HOST OKALY=UNBEKANNT | OPAQUE HOST OLK=UNBEKANNT + RIGHT AIIN=R-AIIN | KANDIDAT GANZKARTE CKHY=VERBINDUNG | KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST OCTHEOL=UNBEKANNT | OPAQUE HOST KEEY=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + DY=SCHLUSS	beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	OPAQUE HOST EEY=UNBEKANNT + FRAME OT=FORMAL-OT | KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | OPAQUE HOST ECKHY=UNBEKANNT | KANDIDAT GANZKARTE OKY=NUTZE	das bereitete Öl ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden
f82r	1	f82r.7	1	1	dshedy	OPAQUE HOST SHE=UNBEKANNT + DY=SCHLUSS	gib sauberes Wasser hinzu und beende den Schritt
f82r	1	f82r.7	2	3	sotaiin qokar shedy	OPAQUE HOST OT=UNBEKANNT + RIGHT AIIN=R-AIIN | KANDIDAT HOST OK=ITEM + RIGHT AR=R-AR | KANDIDAT HOST E=BIS + DY=SCHLUSS	für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f82r	1	f82r.7	3	1	solshedy	OPAQUE HOST OLSHE=UNBEKANNT + DY=SCHLUSS	halte es warm und beende den Schritt
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	KANDIDAT GANZKARTE OKEEY=LAUWARM | KANDIDAT GANZKARTE OKY=NUTZE | OPAQUE HOST LS=UNBEKANNT | KANDIDAT GANZKARTE EY=FERTIG	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; die erste Öffnung ; Bis die Flüssigkeit klar abläuft
f82r	1	f82r.19	1	4	okain char okain qokeedy	KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | OPAQUE HOST AR=UNBEKANNT | KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	gib einen abgemessenen Anteil in das Gefäß ; Daraus, aus demselben Ansatz ; gib einen abgemessenen Anteil in das Gefäß ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.19	2	1	lchy	OPAQUE HOST LCHY=UNBEKANNT	ziehe die klare Flüssigkeit ab
f82r	1	f82r.23	1	7	cheey qcthey qokeey lcheey daiin chey qokeeedy	KANDIDAT GANZKARTE EY=FERTIG | OPAQUE HOST CTHEY=UNBEKANNT | KANDIDAT GANZKARTE OKEEY=LAUWARM | OPAQUE HOST LCHEEY=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST OKEEE=UNBEKANNT + DY=SCHLUSS	Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt
f82r	1	f82r.23	2	1	lchedy	KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f82r	1	f82r.23	3	1	lar	OPAQUE HOST L=UNBEKANNT + RIGHT AR=R-AR	schließe den unteren Ablauf
f82r	1	f82r.26	1	2	tshey qokeedy	OPAQUE HOST SHEY=UNBEKANNT | OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	beginne die Spülung ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.26	2	7	cheal lchedar ches aiin oteey qokaiin okey	KANDIDAT HOST AL=ZU | OPAQUE HOST LCHED=UNBEKANNT + RIGHT AR=R-AR | OPAQUE HOST S=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST EEY=UNBEKANNT + FRAME OT=FORMAL-OT | KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST OKEY=UNBEKANNT	An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; das bereitete Öl ; beginne den nächsten abgemessenen Posten ; warmes Wasser
f82r	1	f82r.27	1	1	pchedy	OPAQUE HOST PCHE=UNBEKANNT + DY=SCHLUSS	ziehe es ab und beende den Schritt
f82r	1	f82r.27	2	2	rsheal daldy	OPAQUE HOST RSHE=UNBEKANNT + RIGHT AL=R-AL | KANDIDAT HOST AL=ZU + DY=SCHLUSS	gieße das erwärmte Wasser ein ; wiederhole es an der zweiten Öffnung und beende den Schritt
f82r	1	f82r.27	3	1	qokeedy	OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	4	1	rshedy	OPAQUE HOST RSHE=UNBEKANNT + DY=SCHLUSS	trinke den angegebenen Anteil und beende den Schritt
f82r	1	f82r.27	5	1	qoteedy	OPAQUE HOST EE=UNBEKANNT + FRAME OT=FORMAL-OT + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f82r	1	f82r.27	6	1	qokeedy	OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	7	1	lochedy	OPAQUE HOST LOCHE=UNBEKANNT + DY=SCHLUSS	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.3	1	1	olkeedy	OPAQUE HOST OLKEE=UNBEKANNT + DY=SCHLUSS	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.3	2	2	qotal chkeedy	OPAQUE HOST OT=UNBEKANNT + RIGHT AL=R-AL | OPAQUE HOST KEE=UNBEKANNT + DY=SCHLUSS	zum unteren Ablauf hin ; tauche vollständig ein und beende den Schritt
f83r	1	f83r.3	3	4	chey daiin chey lchedy	OPAQUE HOST Y=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST Y=UNBEKANNT | KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.3	4	3	qokaiin qotal dar	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST OT=UNBEKANNT + RIGHT AL=R-AL | OPAQUE HOST AR=UNBEKANNT	beginne den nächsten abgemessenen Posten ; zum unteren Ablauf hin ; Daraus, aus demselben Ansatz
f83r	1	f83r.6	1	1	schedy	OPAQUE HOST CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.6	2	3	chedchy qokal olchedy	OPAQUE HOST CHY=UNBEKANNT + INNER-D=FORMAL-D | KANDIDAT HOST OK=ITEM + RIGHT AL=R-AL | OPAQUE HOST OLCHE=UNBEKANNT + DY=SCHLUSS	gieße das erwärmte Wasser ein ; mische beide Anteile zusammen ; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f83r	1	f83r.6	3	3	qokaiin chedy qokeedy	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	beginne den nächsten abgemessenen Posten ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.6	4	1	lchedy	KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.6	5	1	qoky	KANDIDAT GANZKARTE OKY=NUTZE	Die aktive Portion verwenden
f83r	1	f83r.8	1	2	pchedal otedy	OPAQUE HOST PCHED=UNBEKANNT + RIGHT AL=R-AL | KANDIDAT HOST E=BIS + FRAME OT=FORMAL-OT + DY=SCHLUSS	fülle danach das Gefäß ; lasse es bis zur Klarheit ziehen und beende den Schritt
