page	record	locus	field_ordinal	event_count	surface_sequence	strict_literal_sequence_German	fluent_local_creative_translation_German
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN | OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST KCHO=UNBEKANNT + RIGHT AR=QUELLEN-/LOKALRELATION | OPAQUE HOST OTODAN=UNBEKANNT	nimm danach den folgenden Zusatz oder Pflanzenteil; gebrauche die frisch bereitete Arznei; mische es mit Honig; gebrauche es frisch vermischt
f56r	1	f56r.19	1	3	otchey keol daiin	OPAQUE HOST CHEY=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | OPAQUE HOST KEOL=UNBEKANNT | GANZKARTE AIIN=MASS-/STANDARDKARTE	Nimm den bezeichneten Anteil; die helle geöffnete Blüte; Ein vorgeschriebenes Maß
f81v	1	f81v.2	1	1	qokedy	GANZKARTE OKE=SPÜLKARTE + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | OPAQUE HOST K=UNBEKANNT + RIGHT AIR=FLUSS-/LAUFWEG | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AL=ZIEL-/PARALLELPLATZ | OPAQUE HOST AR=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | OPAQUE HOST K=UNBEKANNT + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | OPAQUE HOST OLK=UNBEKANNT + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | HOST AL=ZIEL- ODER PARALLELSTATION | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | OPAQUE HOST ROL=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG	beginne den nächsten abgemessenen Posten; der zurücklaufende Strom; mische beide Anteile zusammen; Daraus, aus demselben Ansatz; Mit der vorigen Zubereitung weiter; ein abgemessener Anteil; das untere Becken; An die bezeichnete Zielstelle führen; Mit der vorigen Zubereitung weiter; bevor es abkühlt; das bereitete Öl
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	GANZKARTE OLOR=VORANSATZ-PRODUKTKARTE | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | OPAQUE HOST ECKH=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST OKEED=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ | GANZKARTE AIIN=MASS-/STANDARDKARTE | GANZKARTE CKHY=VERBINDUNGSWEGKARTE | OPAQUE HOST CHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; eine mäßige Menge; Ein vorgeschriebenes Maß; der eingetauchte Teil; Ein vorgeschriebenes Maß; durch die verbundenen Läufe; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f81v	1	f81v.7	2	1	qol	HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN	Mit der vorigen Zubereitung weiter
f81v	1	f81v.17	1	1	sshkchdy	OPAQUE HOST SHKCH=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	halte es warm und beende den Schritt
f81v	1	f81v.17	2	3	chedy ol shedy	OPAQUE HOST Y=UNBEKANNT + INNER-D=GELERNTE OPERATIONS-/ZUSTANDSVARIANTE | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | HOST E=BIS ZUR ZUSTANDSGRENZE FÜHREN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	rühre, bis alles gleichmäßig vermischt ist; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.17	3	1	qolchedy	OPAQUE HOST OLCHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f81v	1	f81v.17	4	4	qokain shckhy dl ral	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | GANZKARTE CKHY=VERBINDUNGSWEGKARTE | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG | OPAQUE HOST R=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ	gib einen abgemessenen Anteil in das Gefäß; durch die verbundenen Läufe; das bereitete Öl; und lasse es abkühlen
f81v	1	f81v.18	1	1	qokchdy	OPAQUE HOST OKCH=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	erwärme es einmal und beende den Schritt
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	OPAQUE HOST Y=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | OPAQUE HOST KY=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | HOST E=BIS ZUR ZUSTANDSGRENZE FÜHREN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	Diese aktive Portion; Mit der vorigen Zubereitung weiter; bei sanfter Wärme; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.18	3	1	qokedy	GANZKARTE OKE=SPÜLKARTE + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	4	1	qokedy	GANZKARTE OKE=SPÜLKARTE + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	5	2	chckhy qoky	GANZKARTE CKHY=VERBINDUNGSWEGKARTE | GANZKARTE OKY=VERWENDUNGSKARTE	durch die verbundenen Läufe; Die aktive Portion verwenden
f81v	1	f81v.21	1	3	lsho qokey lshedy	OPAQUE HOST LSHO=UNBEKANNT | OPAQUE HOST OKEY=UNBEKANNT | OPAQUE HOST LSHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	beginne die Spülung; warmes Wasser; wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	2	1	lshedy	OPAQUE HOST LSHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	OPAQUE HOST Y=UNBEKANNT + INNER-D=GELERNTE OPERATIONS-/ZUSTANDSVARIANTE | OPAQUE HOST OLKY=UNBEKANNT | OPAQUE HOST LCHED=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | HOST OT=MARKIERTEN BEZUG ODER WEG WÄHLEN + RIGHT AR=QUELLEN-/LOKALRELATION	rühre, bis alles gleichmäßig vermischt ist; die betroffene Stelle; das untere Becken; Mit der vorigen Zubereitung weiter; benutze danach den unteren Ablauf
f81v	1	f81v.24	1	2	ytey okchedy	OPAQUE HOST YTEY=UNBEKANNT | OPAQUE HOST OKCHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	fülle danach das Gefäß; lasse es abkühlen und beende den Schritt
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AL=ZIEL-/PARALLELPLATZ | GANZKARTE OKEEY=TEMPERIERKARTE | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | HOST E=BIS ZUR ZUSTANDSGRENZE FÜHREN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	mische beide Anteile zusammen; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.24	3	3	sal teol dchdy	HOST AL=ZIEL- ODER PARALLELSTATION | OPAQUE HOST EOL=UNBEKANNT | OPAQUE HOST CH=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	An die bezeichnete Zielstelle führen; die erste Öffnung; seihe es klar und beende den Schritt
f81v	1	f81v.24	4	1	ly	OPAQUE HOST LY=UNBEKANNT	fülle danach das Gefäß
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	OPAQUE HOST SHEOL=UNBEKANNT | OPAQUE HOST OIIIN=UNBEKANNT | OPAQUE HOST OLKEE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	wende es an der markierten Stelle an; bis es klar ist; lasse die Flüssigkeit sich setzen und beende den Schritt
f81v	1	f81v.27	2	1	tedy	HOST E=BIS ZUR ZUSTANDSGRENZE FÜHREN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.27	3	2	cheky shckhedy	OPAQUE HOST KY=UNBEKANNT | OPAQUE HOST CKHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	bei sanfter Wärme; seihe es einmal durch ein Tuch und beende den Schritt
f81v	1	f81v.27	4	1	chal	HOST AL=ZIEL- ODER PARALLELSTATION	An die bezeichnete Zielstelle führen
f82r	1	f82r.2	1	1	dchedy	OPAQUE HOST CHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f82r	1	f82r.2	2	1	qolchedy	OPAQUE HOST OLCHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f82r	1	f82r.2	3	3	qokain dy qokeedy	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST OKEE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	gib einen abgemessenen Anteil in das Gefäß; Diese aktive Portion; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.2	4	3	qokal lcheckhy lched	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AL=ZIEL-/PARALLELPLATZ | OPAQUE HOST LCHECKHY=UNBEKANNT | OPAQUE HOST LCHED=UNBEKANNT	mische beide Anteile zusammen; die zweite Öffnung; und gehe zum nächsten Becken weiter
f82r	1	f82r.3	1	2	qokeey lcheckhedy	GANZKARTE OKEEY=TEMPERIERKARTE | OPAQUE HOST LCHECKHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	temperiere die Arbeitsflüssigkeit und halte sie lauwarm; seihe es klar und beende den Schritt
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	OPAQUE HOST OKALY=UNBEKANNT | OPAQUE HOST OLK=UNBEKANNT + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | GANZKARTE CKHY=VERBINDUNGSWEGKARTE | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ	fahre am zweiten Lauf fort; durch ein Tuch; durch die verbundenen Läufe; beginne den nächsten abgemessenen Posten
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | OPAQUE HOST OCTHEOL=UNBEKANNT | OPAQUE HOST KEEY=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	beginne den nächsten abgemessenen Posten; unter derselben Einstellung; das breite Gefäß; ziehe es ab und beende den Schritt
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	OPAQUE HOST EEY=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AL=ZIEL-/PARALLELPLATZ | OPAQUE HOST ECKHY=UNBEKANNT | GANZKARTE OKY=VERWENDUNGSKARTE	das bereitete Öl; mische beide Anteile zusammen; über der örtlich bezeichneten Stelle; Die aktive Portion verwenden
f82r	1	f82r.7	1	1	dshedy	OPAQUE HOST SHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	gib sauberes Wasser hinzu und beende den Schritt
f82r	1	f82r.7	2	3	sotaiin qokar shedy	HOST OT=MARKIERTEN BEZUG ODER WEG WÄHLEN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AR=QUELLEN-/LOKALRELATION | HOST E=BIS ZUR ZUSTANDSGRENZE FÜHREN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	für dieselbe Dauer wie zuvor; über der örtlich bezeichneten Stelle; lasse es bis zur Bereitschaft stehen und beende den Schritt
f82r	1	f82r.7	3	1	solshedy	OPAQUE HOST OLSHE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	halte es warm und beende den Schritt
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	GANZKARTE OKEEY=TEMPERIERKARTE | GANZKARTE OKY=VERWENDUNGSKARTE | OPAQUE HOST LS=UNBEKANNT | GANZKARTE EY=SOLLZUSTANDSKARTE	temperiere die Arbeitsflüssigkeit und halte sie lauwarm; Die aktive Portion verwenden; die erste Öffnung; Bis die Flüssigkeit klar abläuft
f82r	1	f82r.19	1	4	okain char okain qokeedy	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | OPAQUE HOST AR=UNBEKANNT | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | OPAQUE HOST OKEE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	gib einen abgemessenen Anteil in das Gefäß; Daraus, aus demselben Ansatz; gib einen abgemessenen Anteil in das Gefäß; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.19	2	1	lchy	OPAQUE HOST LCHY=UNBEKANNT	ziehe die klare Flüssigkeit ab
f82r	1	f82r.23	1	7	cheey qcthey qokeey lcheey daiin chey qokeeedy	GANZKARTE EY=SOLLZUSTANDSKARTE | OPAQUE HOST CTHEY=UNBEKANNT | GANZKARTE OKEEY=TEMPERIERKARTE | OPAQUE HOST LCHEEY=UNBEKANNT | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST OKEEE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	Bis die Flüssigkeit klar abläuft; unter derselben Einstellung; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; der eingetauchte Teil; Ein vorgeschriebenes Maß; Diese aktive Portion; tauche vollständig ein und beende den Schritt
f82r	1	f82r.23	2	1	lchedy	GANZKARTE LCHE=ABLAUFKARTE + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f82r	1	f82r.23	3	1	lar	HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + RIGHT AR=QUELLEN-/LOKALRELATION	schließe den unteren Ablauf
f82r	1	f82r.26	1	2	tshey qokeedy	OPAQUE HOST SHEY=UNBEKANNT | OPAQUE HOST OKEE=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	beginne die Spülung; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
