page_host	exact_card_count	event_count	support_loci	support_pages	coordinate_profiles	decision	invariant_minimal_value_German	audit_status	reason
che	2	6	6	f81v,f82r,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0 | F=OT/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	REDUNDANT_WITH_DY: both exact cards are already fully described as DY-closed operations
ched	1	1	1	f83r	F=NONE/D=0/R=air/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
chey	2	3	3	f10r,f56r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	the selection reading comes only from local creative expansions, not an independent formal contrast
cho	2	2	1	f11r	F=NONE/D=0/R=NONE/DY=1/B3=0 | F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT versus DY split gives no invariant host contribution
chol	2	3	3	f10r,f11r,f56r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	frame alternation is observable, but the two local meanings do not license a shared value
chor	2	3	3	f10r,f56r	F=O/D=0/R=NONE/DY=0/B3=0 | F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	collection/time similarity is domain-local semantic evidence and cannot define a formal axis here
chy	2	2	2	f11r,f83r	F=NONE/D=1/R=NONE/DY=0/B3=0 | F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	FRAME/INNER_D variation accounts for the formal contrast; warm-medium wording is only local expansion
ckh	1	1	1	f83r	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ckhe	1	3	2	f81v,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
cphy	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
cth	1	1	1	f10r	F=NONE/D=0/R=aiin/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
cthey	1	2	2	f82r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
cthoor	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
d	3	3	3	f10r,f83r	F=NONE/D=0/R=ain/DY=0/B3=0 | F=NONE/D=0/R=al/DY=0/B3=0 | F=O/D=0/R=aiin/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT-valent carrier only; all apparent content is supplied by RIGHT/frame or local expansion
eckh	1	1	1	f81v	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
eckho	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
eckhy	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ecthedchy	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ecthy	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ed	3	4	4	f83r	F=NONE/D=0/R=al/DY=0/B3=0 | F=NONE/D=0/R=ar/DY=0/B3=0 | F=OT/D=0/R=aiin/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT-valent carrier only; all apparent content is supplied by RIGHT/frame or local expansion
ee	2	3	3	f82r,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0 | F=OT/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	REDUNDANT_WITH_DY: both exact cards are already fully described as DY-closed operations
eety	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
eey	2	3	3	f82r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	frame alternation alone does not distinguish a host value
ekey	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
eky	1	2	2	f55v,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
eol	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
etyd	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
fyd	1	1	1	f11r	F=NONE/D=0/R=aiin/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
h	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
k	3	5	4	f81v,f83r	F=NONE/D=0/R=ain/DY=0/B3=0 | F=NONE/D=0/R=air/DY=0/B3=0 | F=NONE/D=0/R=ar/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT-valent carrier only; quantity and flow readings do not yield one invariant value
kaiiin	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kch	1	1	1	f56r	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kchey	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kcho	1	1	1	f56r	F=NONE/D=0/R=ar/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kchol	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kchy	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
kee	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
keey	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
keol	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ky	1	3	3	f81v,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lcheckhe	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lcheckhy	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lched	3	3	3	f81v,f82r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=NONE/D=0/R=al/DY=0/B3=0 | F=NONE/D=0/R=ar/DY=0/B3=0	ADMIT_PROVISIONAL_FORMAL_AXIS	NACHGEORDNETE STATION/WEITERFÜHRUNG	PROVISIONAL_TECHNICAL_STATION_AXIS	three exact cards span RIGHT=NONE/AL/AR while the host remains an unclosed, unwrapped station carrier; local readings are not used as the invariant value
lcheey	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lchy	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ld	1	1	1	f83r	F=NONE/D=0/R=aiin/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ldalor	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lke	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lo	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
loche	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lol	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ls	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lshe	1	2	1	f81v	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
lsho	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ly	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
o	3	6	6	f55v,f56r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=NONE/D=0/R=NONE/DY=1/B3=0 | F=NONE/D=0/R=ar/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	mixed bare/RIGHT/DY cards and incompatible local readings
ockhey	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
octheol	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
octholy	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
odaly	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
oiiin	1	2	2	f81v,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okaly	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okch	1	3	3	f81v,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okche	1	2	2	f81v,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okcheo	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okchol	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okchy	1	3	3	f10r,f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okee	1	10	9	f82r,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okeed	1	1	1	f81v	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okeee	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okeeol	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okey	1	2	2	f81v,f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okokchy	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okol	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okshe	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
okyld	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ol	1	1	1	f10r	F=OT/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olche	1	3	3	f81v,f82r,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olchey	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olk	2	3	3	f81v,f82r,f83r	F=NONE/D=0/R=aiin/DY=0/B3=0 | F=NONE/D=0/R=ain/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT=AIIN/AIN supplies the only observed contrast; cloth versus basin contradicts a stable object value
olkee	1	3	3	f81v,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olkeey	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olkey	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olky	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olsaly	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
olshe	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
oltchy	1	1	1	f55v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
os	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
otodan	1	1	1	f56r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
otytchol	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
oykchor	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
oyty	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
pche	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
pched	1	1	1	f83r	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
r	1	1	1	f81v	F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
raly	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
rol	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
rshe	2	2	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0 | F=NONE/D=0/R=al/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT versus DY split gives no invariant host contribution
s	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
she	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
sheol	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
shey	1	1	1	f82r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
shkch	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
shol	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ty	1	2	2	f10r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
y	3	30	25	f10r,f11r,f55v,f56r,f81v,f82r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0 | F=NONE/D=1/R=NONE/DY=0/B3=0 | F=O/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	three exact cards span INNER_D/O-frame states and incompatible local readings; no invariant technical value
ycheor	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
yk	2	2	2	f55v	F=NONE/D=0/R=aiin/DY=0/B3=0 | F=NONE/D=0/R=ain/DY=0/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	RIGHT=AIN/AIIN explains the formal alternation; only two sparse cards remain
ykan	1	1	1	f55v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ytey	1	1	1	f81v	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
