statement_order	statement_id	register	record_unit_id	page	event_count	owner_transition	unified_primitive_sequence	unified_primitive_count	visible_surface_sequence	complete_working_reading_de	apprentice_status
11	H4-S002	HERBAL	H4	f55v	3	SINGLE_FIELD_OWNER	PART_SELECT>TARGET>USE_APPLY>PASS_STRAIN>SET>MEASURE>USE_APPLY	7	daiin chedy talam	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
12	H4-S003	HERBAL	H4	f55v	4	SINGLE_FIELD_OWNER	PART_SELECT>TARGET>USE_APPLY>PART_SELECT>MATERIAL_ADD>CUT_CRUSH>TARGET>USE_APPLY	8	ykaiin cheoar cheeky oldy	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
13	H4-S004	HERBAL	H4	f55v	6	SINGLE_FIELD_OWNER	PART_SELECT>TARGET>USE_APPLY>MEASURE>TARGET>USE_APPLY>READY>CLOSE>TARGET>USE_APPLY>MEASURE>USE_APPLY>TARGET>USE_APPLY	14	aiin okal oltchy or y orain	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
14	H5-S001	HERBAL	H5	f56r	9	CROSS_FIELD_SAME_OWNER_CONTINUATION	OWNER_SELECT>PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>PART_SELECT>SET>MATERIAL_ADD>READY>CLOSE	11	chochor cho chodaly daiin sho kchol otchor choky dal	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
15	H5-S002	HERBAL	H5	f56r	4	SINGLE_FIELD_OWNER	PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>PART_SELECT>CONTINUE>MEASURE>USE_APPLY>TARGET>USE_APPLY	11	schol choy choky cheeckhody	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
16	H5-S003	HERBAL	H5	f56r	4	SINGLE_FIELD_OWNER	PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>CONTINUE>PART_SELECT>SETTLE>COLLECT_STORE>CLOSE>CONTINUE>SET>READY>CLOSE	14	sh cho kchey qokokchy	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
17	H5-S004	HERBAL	H5	f56r	3	SINGLE_FIELD_OWNER	PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>MATERIAL_ADD>SET>PASS_STRAIN	8	okchy chokcheo kchal	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
18	H5-S005	HERBAL	H5	f56r	4	SINGLE_FIELD_OWNER	PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>MATERIAL_ADD>PASS_STRAIN>PART_SELECT>TARGET>USE_APPLY>HEAT>GRADE>CONTINUE	13	sho chokchy kchoar sotodan	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
19	H5-S006	HERBAL	H5	f56r	3	SINGLE_FIELD_OWNER	PART_SELECT>PASS_STRAIN>SET>READY>CLOSE>MEASURE>CONTINUE>MEASURE>USE_APPLY	9	otchey keol daiin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
20	B1-S001	BIOLOGICAL	B1	f81v	1	RESET_RECORD -> SET_PAGE_OWNER[F021:PAGE_OWNER_ONLY:B1_SHARED_TWO_ROW_POOL]	OWNER_SELECT>SET>GRADE>CLOSE	4	qokedy	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
21	B1-S002	BIOLOGICAL	B1	f81v	19	INHERIT_OWNER[F022:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F023:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	MEASURE>SET>TARGET>MATERIAL_ADD>CONTINUE>SET>PASS_STRAIN>GRADE>TARGET>MEASURE>TARGET>GRADE>PASS_STRAIN>TRANSFER>CLOSE	15	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
22	B1-S003	BIOLOGICAL	B1	f81v	2	INHERIT_OWNER[F024:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F025:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	CONTINUE>CLOSE	2	qol sshkchdy	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
23	B1-S004	BIOLOGICAL	B1	f81v	3	INHERIT_OWNER[F026:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	TRANSFER>CONTINUE>SETTLE>CLOSE	4	chedy ol shedy	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
24	B1-S005	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F027:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	CONTINUE>CLOSE	2	qolchedy	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
25	B1-S006	BIOLOGICAL	B1	f81v	4	INHERIT_OWNER[F028:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	MATERIAL_ADD>PASS_STRAIN>TARGET>CONTINUE>TRANSFER	5	qokain shckhy dl ral	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
26	B1-S007	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F029:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	TRANSFER>HEAT>CLOSE	3	qokchdy	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
27	B1-S008	BIOLOGICAL	B1	f81v	5	INHERIT_OWNER[F030:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	CONTINUE>HEAT>GRADE>SETTLE>CLOSE	5	chey ol cheky ol shedy	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
28	B1-S009	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F031:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	SET>GRADE>CLOSE	3	qokedy	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
29	B1-S010	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F032:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	SET>GRADE>CLOSE	3	qokedy	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
30	B1-S011	BIOLOGICAL	B1	f81v	2	INHERIT_OWNER[F033:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PASS_STRAIN>SET	2	chckhy qoky	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
31	B1-S012	BIOLOGICAL	B1	f81v	3	INHERIT_OWNER[F034:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PASS_STRAIN>WASH>SET>GRADE>WASH>CLOSE	6	lsho qokey lshedy	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
32	B1-S013	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F035:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	WASH>CLOSE	2	lshedy	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
33	B1-S014	BIOLOGICAL	B1	f81v	5	INHERIT_OWNER[F036:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	TRANSFER>CONTINUE>DRAIN>CONTINUE>TARGET	5	chedy qolky lchedal qol otar	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
34	B1-S015	BIOLOGICAL	B1	f81v	2	INHERIT_OWNER[F037:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	MATERIAL_ADD>DRAIN>TRANSFER>CLOSE	4	ytey okchedy	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
35	B1-S016	BIOLOGICAL	B1	f81v	4	INHERIT_OWNER[F038:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	SET>TARGET>GRADE>CONTINUE>SETTLE>CLOSE	6	qokal okeey qol cheedy	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
36	B1-S017	BIOLOGICAL	B1	f81v	3	INHERIT_OWNER[F039:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	TRANSFER>TARGET>CONTINUE>GRADE>TRANSFER>CLOSE	6	sal teol dchdy	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
37	B1-S018	BIOLOGICAL	B1	f81v	4	INHERIT_OWNER[F040:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F041:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	READY>GRADE>SETTLE>MEASURE>GRADE>CLOSE	6	ly dsheol oiiin olkeedy	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
38	B1-S019	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F042:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	SETTLE>CLOSE	2	tedy	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
39	B1-S020	BIOLOGICAL	B1	f81v	2	INHERIT_OWNER[F043:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	HEAT>GRADE>PASS_STRAIN>CLOSE	4	cheky shckhedy	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
40	B1-S021	BIOLOGICAL	B1	f81v	1	INHERIT_OWNER[F044:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> RESET_AT_RECORD_END	TRANSFER>TARGET	2	chal	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
41	B2-S001	BIOLOGICAL	B2	f82r	1	RESET_RECORD -> SET_DIRECT_OWNER[F045:DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	OWNER_SELECT>TRANSFER>CLOSE	3	dchedy	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
42	B2-S002	BIOLOGICAL	B2	f82r	1	INHERIT_OWNER[F046:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	CONTINUE>CLOSE	2	qolchedy	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
43	B2-S003	BIOLOGICAL	B2	f82r	3	INHERIT_OWNER[F047:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	MATERIAL_ADD>SET>GRADE>CLOSE	4	qokain dy qokeedy	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
44	B2-S004	BIOLOGICAL	B2	f82r	5	INHERIT_OWNER[F048:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER] -> INHERIT_OWNER[F049:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	SET>TARGET>PASS_STRAIN>DRAIN>SET>GRADE>PASS_STRAIN>CLOSE	8	qokal lcheckhy lched qokeey lcheckhedy	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
45	B2-S005	BIOLOGICAL	B2	f82r	8	INHERIT_OWNER[F050:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER] -> INHERIT_OWNER[F051:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	SET>TARGET>MEASURE>PASS_STRAIN>MEASURE>CONTINUE>READY>HEAT>GRADE>DRAIN>CLOSE	11	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
46	B2-S006	BIOLOGICAL	B2	f82r	4	INHERIT_OWNER[F052:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	CONTINUE>SET>TARGET>PASS_STRAIN>GRADE>SET	6	oteey qokal sheckhy qoky	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
47	B2-S007	BIOLOGICAL	B2	f82r	1	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F053:DIRECT_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	OWNER_SELECT>MATERIAL_ADD>CLOSE	3	dshedy	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
48	B2-S008	BIOLOGICAL	B2	f82r	3	INHERIT_OWNER[F054:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	MEASURE>CONTINUE>SET>SETTLE>CLOSE	5	sotaiin qokar shedy	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
49	B2-S009	BIOLOGICAL	B2	f82r	1	INHERIT_OWNER[F055:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	SETTLE>CLOSE	2	solshedy	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
50	B2-S010	BIOLOGICAL	B2	f82r	4	INHERIT_OWNER[F056:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	SET>GRADE>DRAIN>PASS_STRAIN	4	qokeey qoky ls cheey	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
51	B2-S011	BIOLOGICAL	B2	f82r	4	BREAK_VISIBLE_GAP -> SET_UNRESOLVED_OWNER[F057:UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]	OWNER_SELECT>MATERIAL_ADD>SET>GRADE>CLOSE	5	okain char okain qokeedy	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
52	B2-S012	BIOLOGICAL	B2	f82r	8	KEEP_UNRESOLVED_OWNER[F058:UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] -> BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F059:DIRECT_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	OWNER_SELECT>DRAIN>PASS_STRAIN>GRADE>READY>SET>GRADE>DRAIN>PASS_STRAIN>MEASURE>GRADE>CLOSE	12	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
53	B2-S013	BIOLOGICAL	B2	f82r	1	INHERIT_OWNER[F060:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	DRAIN>CLOSE	2	lchedy	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
54	B2-S014	BIOLOGICAL	B2	f82r	1	INHERIT_OWNER[F061:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	DRAIN>TARGET	2	lar	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
55	B2-S015	BIOLOGICAL	B2	f82r	2	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F062:DIRECT_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	OWNER_SELECT>DRAIN>MATERIAL_ADD>PASS_STRAIN>SET>GRADE>CLOSE	7	tshey qokeedy	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
56	B2-S016	BIOLOGICAL	B2	f82r	8	INHERIT_OWNER[F063:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS] -> INHERIT_OWNER[F064:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	DRAIN>TRANSFER>TARGET>MEASURE>CONTINUE>SET>GRADE>CLOSE	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
57	B2-S017	BIOLOGICAL	B2	f82r	2	INHERIT_OWNER[F065:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	GRADE>TARGET>SETTLE>CLOSE	4	rsheal daldy	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
58	B2-S018	BIOLOGICAL	B2	f82r	1	INHERIT_OWNER[F066:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	SET>GRADE>CLOSE	3	qokeedy	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
