locus	namespace_id	visible_owner	group_count	surface_sequence	atom_sequence	spoken_instruction_de	selected_for_worked_job	worked_job_value_de
f68r1.11	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_03	1	okoaly	OK+AL+Y	Wähle diesen gezeichneten Sternplatz: dieses Ziel aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.12	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_04	1	chocfhy	HO	Wähle diesen gezeichneten Sternplatz: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.13	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_05	1	octhey	CTH	Wähle diesen gezeichneten Sternplatz: ausgewählte Grundbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.14	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_06	1	otshey	OT+CHEEY	Wähle diesen gezeichneten Sternplatz: nächster Ablesewert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	YES	nächsten sichtbaren Stationswert ablesen
f68r1.15	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_07	1	otydy	OT	Wähle diesen gezeichneten Sternplatz: Teilsektor oder Untereintrag. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.16	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_08	1	okear	OK+E+AR	Wähle diesen gezeichneten Sternplatz: Quelle kurz aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.17	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_09	1	cphocthy	CTH	Wähle diesen gezeichneten Sternplatz: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.18	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_10	1	ytchody	YT+HO	Wähle diesen gezeichneten Sternplatz: bezeichneter Platz oder Phase + HO. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.19	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_11	1	otys	OT	Wähle diesen gezeichneten Sternplatz: Teilsektor oder Untereintrag. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.20	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_12	1	olor	OL+OR	Wähle diesen gezeichneten Sternplatz: fortgesetzter Bedingungs- oder Tabellensatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.21	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_13	1	ockhy	CKH	Wähle diesen gezeichneten Sternplatz: durch Sektor, Ring oder Pruefweg fuehren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.22	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_14	1	ofcheor	CHEO	Wähle diesen gezeichneten Sternplatz: Bedingungs-, Tabellen- oder Wahlansatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.23	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_15	1	otchdy	OT+CHD	Wähle diesen gezeichneten Sternplatz: den folgenden Platz uebertragen und den Eintrag schliessen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.24	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_16	1	otykchs	OT+KCH	Wähle diesen gezeichneten Sternplatz: Folge + Bearbeiten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.25	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_17	1	otol	OT+OL	Wähle diesen gezeichneten Sternplatz: danach im selben Ring oder Band fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.26	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_18	1	otor	OT+OR	Wähle diesen gezeichneten Sternplatz: nächster Satz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.27	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_19	1	oiinar	IIN+AR	Wähle diesen gezeichneten Sternplatz: Stufe mit Quellenbezug. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.28	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_20	1	okoldy	OK+OL+DY_BOUND	Wähle diesen gezeichneten Sternplatz: Fortsetzung aktivieren und festhalten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.29	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_21	1	ykchdy	YK+KCH	Wähle diesen gezeichneten Sternplatz: bezeichnete Klasse oder Haus + KCH. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.30	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_22	1	oeeody	EE+OD+Y	Wähle diesen gezeichneten Sternplatz: diesen Posten in langer Stufe eintragen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.31	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_23	1	ocphy	O+CPH_ASTRO+Y	Wähle diesen gezeichneten Sternplatz: aktuelle Grundauswahl. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.32	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_24	1	okeeodal	OK+EE+OD+AL	Wähle diesen gezeichneten Sternplatz: markiertes Ziel länger aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.33	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_25	1	okshor	OK+HO	Wähle diesen gezeichneten Sternplatz: Aktivieren + Eingangsposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.34	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_26	1	osdaiin	OS+AIIN	Wähle diesen gezeichneten Sternplatz: Feld-Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.35	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_27	1	otochedy	OT+CHD	Wähle diesen gezeichneten Sternplatz: Folge + Umsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.36	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_28	1	dolchedy	OL+CHD	Wähle diesen gezeichneten Sternplatz: Fortsetzen + Umsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.37	F68_CENTRAL_LEGEND_QUARANTINE_NS	A2_CENTRAL_LEGEND_UNRESOLVED	5	oky okchdy okardy qear oygy	OK | KCH | OK+AR+DY_BOUND | AR | O+G+Y	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: diesen Diagrammposten setzen; Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; Quelle aktivieren und Auswahl festhalten; Ausgangssektor, Ursprung oder Bezugswert; aktueller Grundgrad. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
