job_step	phase	statement_id	page	image_owner	owner_reset	group_count	surface_sequence	literal_card_reading_de	master_dictation_de	apprentice_readback_de	scribe_profile	translation_layer
11	HOW	B2-S007	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	YES	1	dshedy	kurz absetzen; Schluss	Beginne am sichtbaren Mittelknoten eine neue örtliche Charge, lasse sie kurz absetzen und schließe.	Beginne am sichtbaren Mittelknoten eine neue örtliche Charge, lasse sie kurz absetzen und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
12	HOW	B2-S008	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	3	sotaiin qokar shedy	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	Nimm den folgenden Sollwert, setze von der bezeichneten Quelle an, lasse die Charge stehen und schließe.	Nimm den folgenden Sollwert, setze von der bezeichneten Quelle an, lasse die Charge stehen und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
13	HOW	B2-S009	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	1	solshedy	weiter absetzen; Schluss	Führe denselben Absetzgang weiter und schließe ihn.	Führe denselben Absetzgang weiter und schließe ihn.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
14	HOW	B2-S010	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	4	qokeey qoky ls cheey	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	Halte die Charge länger, setze denselben Posten weiter, öffne den örtlichen Ausgang und prüfe das sichtbare Ergebnis.	Halte die Charge länger, setze denselben Posten weiter, öffne den örtlichen Ausgang und prüfe das sichtbare Ergebnis.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
15	HOW	B2-S011	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	YES	4	okain char okain qokeedy	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	Gib an der mittleren rechten Station eine Portion aus derselben Quelle und danach eine zweite Portion ein; halte länger und schließe.	Gib an der mittleren rechten Station eine Portion aus derselben Quelle und danach eine zweite Portion ein; halte länger und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
16	HOW	B2-S012	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	YES	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	Ziehe an der mittleren Station den sichtbaren Anteil ab; beginne nach dem Bildwechsel im unteren Mehrfigurenfeld einen neuen Posten, halte ihn bereit, temperiere länger, leite ihn weiter, miss ihn und vollende den Gang.	Ziehe an der mittleren Station den sichtbaren Anteil ab; beginne nach dem Bildwechsel im unteren Mehrfigurenfeld einen neuen Posten, halte ihn bereit, temperiere länger, leite ihn weiter, miss ihn und vollende den Gang.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
17	HOW	B2-S013	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	YES	1	lchedy	abführen; Schluss	Führe im unteren Feld die verbrauchte Charge ab und schließe.	Führe im unteren Feld die verbrauchte Charge ab und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
18	HOW	B2-S014	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	1	lar	von dort abfuehren	Führe vom bezeichneten unteren Ausgang weiter; der Posten bleibt für den nächsten Schritt offen.	Führe vom bezeichneten unteren Ausgang weiter; der Posten bleibt für den nächsten Schritt offen.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
19	HOW	B2-S015	f82r	B2_LOWER_POOL_EDGE_STATIONS	YES	2	tshey qokeedy	Klarlauf zugeben; länger ansetzen; Schluss	Nimm an der Randstation den sichtbaren Ablauf als Eingang, halte den neuen Posten länger und schließe.	Nimm an der Randstation den sichtbaren Ablauf als Eingang, halte den neuen Posten länger und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
20	HOW	B2-S016	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	Führe zum Ziel und von der Quelle ab, teile den Posten, stelle ihn auf Sollmaß, nimm den längeren Folgeposten, setze ihn kurz ein und schließe.	Führe zum Ziel und von der Quelle ab, teile den Posten, stelle ihn auf Sollmaß, nimm den längeren Folgeposten, setze ihn kurz ein und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
21	HOW	B2-S017	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	2	rsheal daldy	kurz am Ziel ruhen; Nebenoeffnung; Schluss	Halte den Posten kurz am Ziel, führe ihn zur zweiten Zielöffnung und schließe.	Halte den Posten kurz am Ziel, führe ihn zur zweiten Zielöffnung und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
22	HOW	B2-S018	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qokeedy	länger ansetzen; Schluss	Lasse den örtlichen Einsatz länger wirken und schließe.	Lasse den örtlichen Einsatz länger wirken und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
23	HOW	B2-S019	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	rshedy	Waschgang abschließen	Wasche den örtlichen Posten und schließe.	Wasche den örtlichen Posten und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
24	HOW	B2-S020	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qoteedy	lange Folge; Schluss	Führe den nächsten längeren Einsatzgang aus und schließe.	Führe den nächsten längeren Einsatzgang aus und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
25	HOW	B2-S021	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qokeedy	länger ansetzen; Schluss	Halte den abschließenden Einsatz länger und schließe.	Halte den abschließenden Einsatz länger und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
26	HOW	B2-S022	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	lochedy	Rest abfuehren; Schluss	Führe den verbleibenden Rest in den Schlussgang und schließe.	Führe den verbleibenden Rest in den Schlussgang und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
