owner_id	physical_page	source_panels	visible_owner_or_namespace_de	owner_rule_de	loci	groups	running_groups	address_or_marker_groups
F76R_TEXT_SECTION_A0	f76r	f76r	unbebilderter Textabschnitt A0	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	3	37	37	0
F76R_TEXT_SECTION_A1	f76r	f76r	unbebilderter Textabschnitt A1	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	3	27	26	1
F76R_TEXT_SECTION_A2	f76r	f76r	unbebilderter Textabschnitt A2	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	3	29	28	1
F76R_TEXT_SECTION_A3	f76r	f76r	unbebilderter Textabschnitt A3	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	4	40	39	1
F76R_TEXT_SECTION_A4	f76r	f76r	unbebilderter Textabschnitt A4	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	4	37	36	1
F76R_TEXT_SECTION_A5	f76r	f76r	unbebilderter Textabschnitt A5	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	4	36	35	1
F76R_TEXT_SECTION_A6	f76r	f76r	unbebilderter Textabschnitt A6	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	5	54	53	1
F76R_TEXT_SECTION_A7	f76r	f76r	unbebilderter Textabschnitt A7	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	4	40	39	1
F76R_TEXT_SECTION_A8	f76r	f76r	unbebilderter Textabschnitt A8	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	6	70	69	1
F76R_TEXT_SECTION_A9	f76r	f76r	unbebilderter Textabschnitt A9	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	2	7	6	1
F76R_TEXT_SECTION_B	f76r	f76r	unbebilderter Textabschnitt B	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	5	58	58	0
F76R_TEXT_SECTION_C	f76r	f76r	unbebilderter Textabschnitt C	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	7	76	76	0
F76R_TEXT_SECTION_D	f76r	f76r	unbebilderter Textabschnitt D	Kein sichtbares Objekt ergänzt den Inhalt; der Abschnitt erbt nur den Seiten-/Rubrikkontext.	6	58	58	0
F89R_MATERIAL_BATCH_A	f89r	f89r1	Gefäß-/Pflanzenteilgruppe A	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	10	52	47	5
F89R_MATERIAL_BATCH_B	f89r	f89r1	Gefäß-/Pflanzenteilgruppe B	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	8	41	35	6
F89R_MATERIAL_BATCH_C	f89r	f89r1	Gefäß-/Pflanzenteilgruppe C	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	9	48	44	4
F89R_MATERIAL_BATCH_D	f89r	f89r2	Gefäß-/Pflanzenteilgruppe D	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	8	49	44	5
F89R_MATERIAL_BATCH_E	f89r	f89r2	Gefäß-/Pflanzenteilgruppe E	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	7	68	62	6
F89R_MATERIAL_BATCH_F	f89r	f89r2	Gefäß-/Pflanzenteilgruppe F	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	13	112	106	6
F89R_MATERIAL_BATCH_G	f89r	f89r2	Gefäß-/Pflanzenteilgruppe G	Nur die lokale Gruppe liefert Gefäß, Wurzel, Blatt oder Zutatenname; die Seite besitzt keinen einzigen Gesamtgegenstand.	6	6	0	6
