surface	events	running_events	pages	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	confidence
chcphdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chcphey	1	CH+CPH+E+Y	NEHMEN · UMLEITEN · KURZ · POSTEN	MEDIUM_HIGH
chcphedy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	lchcphedy	1	L+CH+CPH+E+DY	LEITEN · NEHMEN · UMLEITEN · KURZ · SCHLUSS	MEDIUM_HIGH
chcphy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chcphey	1	CH+CPH+E+Y	NEHMEN · UMLEITEN · KURZ · POSTEN	MEDIUM_HIGH
chcthal	1	1	f18r	TWO_EDIT_ROOTED_VARIANT	cthal	2	CTH+AL	BEREIT · ZIEL	WORKING
chcthy	3	3	f18r|f76r	EXACT_REGISTERED_SURFACE	chcthy	0	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	HIGH
chdaiirdainy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
chdam	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	cham	1	CH+AM_ADDR	NEHMEN · INNEN	MEDIUM_HIGH
chdol	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chedol	1	CHD+OL	UMSETZEN · FORTSETZEN	MEDIUM_HIGH
chdy	5	5	f76r	EXACT_REGISTERED_SURFACE	chdy	0	CHD+Y	UMSETZEN · POSTEN	HIGH
che	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chey	1	Y	POSTEN	MEDIUM_HIGH
chead	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chear	1	CH+E+AR	NEHMEN · KURZ · QUELLE	MEDIUM_HIGH
cheal	2	2	f89r	EXACT_REGISTERED_SURFACE	cheal	0	AL	ZIEL	HIGH
chealdy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chealy	1	AL+Y	ZIEL · POSTEN	MEDIUM_HIGH
cheamy	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	cham	2	CH+AM_ADDR	NEHMEN · INNEN	WORKING
chear	1	1	f76r	EXACT_REGISTERED_SURFACE	chear	0	CH+E+AR	NEHMEN · KURZ · QUELLE	HIGH
checkhey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	checkhy	1	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	MEDIUM_HIGH
checkhy	1	1	f76r	EXACT_REGISTERED_SURFACE	checkhy	0	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	HIGH
checthy	1	1	f76r	EXACT_REGISTERED_SURFACE	checthy	0	CTH+Y	BEREIT · POSTEN	HIGH
chedaiin	1	1	f72r	EXACT_REGISTERED_SURFACE	chedaiin	0	CHD+AIIN	UMSETZEN · MASS	HIGH
chedain	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	chedain	0	CHD+AIN	UMSETZEN · PORTION	HIGH
chedal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	pchedal	1	P+CHD+AL	EINSETZEN · UMSETZEN · ZIEL	MEDIUM_HIGH
chedor	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheeor	1	CH+EE+OR	NEHMEN · LÄNGER · ANSATZ	MEDIUM_HIGH
chedy	26	26	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	chedy	0	CHD+Y	UMSETZEN · POSTEN	HIGH
chedyl	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chedy	1	CHD+Y	UMSETZEN · POSTEN	MEDIUM_HIGH
cheedy	3	3	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	cheedy	0	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · POSTEN	HIGH
cheeg	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheey	1	SH+EE+Y	HALTEN · LÄNGER · POSTEN	MEDIUM_HIGH
cheeody	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheedy	1	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · POSTEN	MEDIUM_HIGH
cheeor	1	1	f72r	EXACT_REGISTERED_SURFACE	cheeor	0	CH+EE+OR	NEHMEN · LÄNGER · ANSATZ	HIGH
cheey	5	5	f72r|f89r	EXACT_REGISTERED_SURFACE	cheey	0	SH+EE+Y	HALTEN · LÄNGER · POSTEN	HIGH
chekackhy	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	checkhy	2	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	WORKING
chekaiin	2	2	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheekaiin	1	CHK+EE+K+AIIN	BEHANDELN · LÄNGER · GEBEN · MASS	MEDIUM_HIGH
chekain	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chkain	1	CHK+AIN	BEHANDELN · PORTION	MEDIUM_HIGH
chekair	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chekar	1	CHK+AR	BEHANDELN · QUELLE	MEDIUM_HIGH
chekar	1	1	f72r	EXACT_REGISTERED_SURFACE	chekar	0	CHK+AR	BEHANDELN · QUELLE	HIGH
chekeol	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chekol	1	CHK+OL	BEHANDELN · FORTSETZEN	MEDIUM_HIGH
chekoy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chekody	1	CHK+O+D_ADDR+Y	BEHANDELN · AUSFÜHREN · TEIL · POSTEN	MEDIUM_HIGH
cheky	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	cheky	0	CHK+E+Y	BEHANDELN · KURZ · POSTEN	HIGH
cheo	6	6	f72r|f76r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheor	1	CHEO+R	AUSZUG · MERKEN	MEDIUM_HIGH
cheocphey	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	chcphey	2	CH+CPH+E+Y	NEHMEN · UMLEITEN · KURZ · POSTEN	WORKING
cheocphy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheockhy	1	CHEO+CKH+Y	AUSZUG · DURCHLASS · POSTEN	MEDIUM_HIGH
cheodain	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chedain	1	CHD+AIN	UMSETZEN · PORTION	MEDIUM_HIGH
cheodal	2	2	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheokal	1	CHEO+K+AL	AUSZUG · GEBEN · ZIEL	MEDIUM_HIGH
cheody	7	6	f89r	EXACT_REGISTERED_SURFACE	cheody	0	CHEO+Y	AUSZUG · POSTEN	HIGH
cheok	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheol	1	CHEO+L	AUSZUG · LEITEN	MEDIUM_HIGH
cheokeor	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	chokor	2	OK+OR	SETZEN · ANSATZ	WORKING
cheokor	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokor	1	OK+OR	SETZEN · ANSATZ	MEDIUM_HIGH
cheoky	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	cheoky	0	CHEO+K+Y	AUSZUG · GEBEN · POSTEN	HIGH
cheol	10	10	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	cheol	0	CHEO+L	AUSZUG · LEITEN	HIGH
cheolchey	1	1	f76r	VISIBLE_NEW_COMPOSITION	chokchey	2	CH+E+OL+CH+E+Y	NEHMEN · KURZ · FORTSETZEN · NEHMEN · KURZ · POSTEN	WORKING_COMPOSITION
cheoldy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheody	1	CHEO+Y	AUSZUG · POSTEN	MEDIUM_HIGH
cheolor	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	cholor	1	OL+OR	FORTSETZEN · ANSATZ	MEDIUM_HIGH
cheom	1	1	f89r	EXACT_REGISTERED_SURFACE	cheom	0	CHEO+AM_ADDR	AUSZUG · INNEN	HIGH
cheor	7	7	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	cheor	0	CHEO+R	AUSZUG · MERKEN	HIGH
cheos	1	1	f89r	EXACT_REGISTERED_SURFACE	cheos	0	CHEO+S	AUSZUG · AUSWÄHLEN	HIGH
chep	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chey	1	Y	POSTEN	MEDIUM_HIGH
chepy	2	2	f76r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chey	1	Y	POSTEN	MEDIUM_HIGH
ches	5	3	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	ches	0	CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	HIGH
chetey	1	1	f72r	EXACT_REGISTERED_SURFACE	chetey	0	CH+E+T+E+Y	NEHMEN · KURZ · STELLEN · KURZ · POSTEN	HIGH
chey	19	19	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	chey	0	Y	POSTEN	HIGH
cheyl	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chey	1	Y	POSTEN	MEDIUM_HIGH
cheys	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
chkaiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chaiin	1	CH+AIIN	NEHMEN · MASS	MEDIUM_HIGH
chkorol	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	chkor	2	CHK+OR	BEHANDELN · ANSATZ	WORKING
chlol	2	2	f18r|f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chol	1	OL	FORTSETZEN	MEDIUM_HIGH
cho	1	1	f89r	EXACT_REGISTERED_SURFACE	cho	0	HO	TEILSTOFF	HIGH
chockhy	1	1	f89r	EXACT_REGISTERED_SURFACE	chockhy	0	HO+CKH+Y	TEILSTOFF · DURCHLASS · POSTEN	HIGH
chocthar	1	1	f72r	VISIBLE_NEW_COMPOSITION	chochor	2	CH+O+CTH+AR	NEHMEN · AUSFÜHREN · BEREIT · QUELLE	WORKING_COMPOSITION
chodaiin	3	3	f76r|f89r	EXACT_REGISTERED_SURFACE	chodaiin	0	CH+O+D_ADDR+AIIN	NEHMEN · AUSFÜHREN · TEIL · MASS	HIGH
chody	1	1	f89r	EXACT_REGISTERED_SURFACE	chody	0	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	HIGH
chokaiin	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	shokaiin	1	SH+OK+AIIN	HALTEN · SETZEN · MASS	MEDIUM_HIGH
chokal	1	1	f72r	EXACT_REGISTERED_SURFACE	chokal	0	OK+AL	SETZEN · ZIEL	HIGH
chokaly	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokal	1	OK+AL	SETZEN · ZIEL	MEDIUM_HIGH
chokchy	1	1	f18r	EXACT_REGISTERED_SURFACE	chokchy	0	OK+CH+Y	SETZEN · NEHMEN · POSTEN	HIGH
chokees	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
chokeol	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokol	1	OK+OL	SETZEN · FORTSETZEN	MEDIUM_HIGH
chokshor	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	chokor	2	OK+OR	SETZEN · ANSATZ	WORKING
chol	17	16	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	chol	0	OL	FORTSETZEN	HIGH
choldy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	choly	1	OL+Y	FORTSETZEN · POSTEN	MEDIUM_HIGH
cholkeedy	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	olkeedy	2	SOLK+EE+DY	AUFFANGEN · LÄNGER · SCHLUSS	WORKING
choly	2	2	f72r|f76r	EXACT_REGISTERED_SURFACE	choly	0	OL+Y	FORTSETZEN · POSTEN	HIGH
chom	2	2	f18r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cho	1	HO	TEILSTOFF	MEDIUM_HIGH
chor	7	7	f18r|f89r	EXACT_REGISTERED_SURFACE	chor	0	CH+OR	NEHMEN · ANSATZ	HIGH
chorain	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	orain	2	OR+AIN	ANSATZ · PORTION	WORKING
chorshedy	1	1	f76r	VISIBLE_NEW_COMPOSITION	chopchedy	2	CH+OR+SHED+DY	NEHMEN · ANSATZ · ABSETZEN · SCHLUSS	WORKING_COMPOSITION
chos	2	2	f89r	EXACT_REGISTERED_SURFACE	chos	0	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	HIGH
chosar	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
chotaiin	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	otaiin	2	OT+AIIN	DANACH · MASS	WORKING
chotal	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	otal	2	OT+AL	DANACH · ZIEL	WORKING
chotam	1	1	f72r	EXACT_REGISTERED_SURFACE	chotam	0	CH+OT+AM_ADDR	NEHMEN · DANACH · INNEN	HIGH
choteey	1	1	f72r	EXACT_REGISTERED_SURFACE	choteey	0	CH+OT+EE+Y	NEHMEN · DANACH · LÄNGER · POSTEN	HIGH
choty	1	1	f72r	EXACT_REGISTERED_SURFACE	choty	0	CH+OT+Y	NEHMEN · DANACH · POSTEN	HIGH
chpsheedy	1	1	f76r	VISIBLE_NEW_COMPOSITION	chcthedy	3	CH+P+SH+EE+DY	NEHMEN · EINSETZEN · HALTEN · LÄNGER · SCHLUSS	WORKING_COMPOSITION
chs	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chos	1	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	MEDIUM_HIGH
chtaii	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	chaiin	2	CH+AIIN	NEHMEN · MASS	WORKING
chteos	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chtos	1	CH+T+O+S	NEHMEN · STELLEN · AUSFÜHREN · AUSWÄHLEN	MEDIUM_HIGH
chy	5	5	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	chy	0	Y	POSTEN	HIGH
chykald	1	1	f18r	TWO_EDIT_ROOTED_VARIANT	chokal	2	OK+AL	SETZEN · ZIEL	WORKING
chykchy	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokchy	1	OK+CH+Y	SETZEN · NEHMEN · POSTEN	MEDIUM_HIGH
ckhal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chal	1	CH+AL	NEHMEN · ZIEL	MEDIUM_HIGH
ckho	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ckhy	1	CKH+Y	DURCHLASS · POSTEN	MEDIUM_HIGH
ckhol	3	3	f18r|f72r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chol	1	OL	FORTSETZEN	MEDIUM_HIGH
cpheeedol	1	1	f89r	VISIBLE_NEW_COMPOSITION	chedol	3	CPH+EEE+D_ADDR+OL	UMLEITEN · VOLL · TEIL · FORTSETZEN	WORKING_COMPOSITION
cthaiin	1	1	f18r	EXACT_REGISTERED_SURFACE	cthaiin	0	CTH+AIIN	BEREIT · MASS	HIGH
cthal	1	1	f18r	EXACT_REGISTERED_SURFACE	cthal	0	CTH+AL	BEREIT · ZIEL	HIGH
cthar	2	2	f18r|f76r	EXACT_REGISTERED_SURFACE	cthar	0	CTH+AR	BEREIT · QUELLE	HIGH
ctheody	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheody	1	CHEO+Y	AUSZUG · POSTEN	MEDIUM_HIGH
cthey	2	2	f72r|f89r	EXACT_REGISTERED_SURFACE	cthey	0	CTH+E+Y	BEREIT · KURZ · POSTEN	HIGH
cthol	2	2	f18r	EXACT_REGISTERED_SURFACE	cthol	0	CTH+OL	BEREIT · FORTSETZEN	HIGH
cthor	1	1	f18r	EXACT_REGISTERED_SURFACE	cthor	0	CTH+OR	BEREIT · ANSATZ	HIGH
cthy	2	2	f18r	EXACT_REGISTERED_SURFACE	cthy	0	CTH+Y	BEREIT · POSTEN	HIGH
d	2	1	f72r|f76r	EXACT_REGISTERED_SURFACE	d	0	D_ADDR	TEIL	HIGH
daiiin	1	1	f89r	EXACT_REGISTERED_SURFACE	daiiin	0	DA+IIN	ZWEIT · STUFE	HIGH
daiin	33	32	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	daiin	0	AIIN	MASS	HIGH
daiinody	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	daiiny	2	D_ADDR+AIIN+Y	TEIL · MASS · POSTEN	WORKING
daim	2	2	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dain	1	AIN	PORTION	MEDIUM_HIGH
dain	12	12	f18r|f76r|f89r	EXACT_REGISTERED_SURFACE	dain	0	AIN	PORTION	HIGH
dainaldy	1	1	f89r	VISIBLE_NEW_COMPOSITION	daiidy	3	D_ADDR+AIN+AL+DY	TEIL · PORTION · ZIEL · SCHLUSS	WORKING_COMPOSITION
dair	5	5	f18r|f89r	EXACT_REGISTERED_SURFACE	dair	0	D_ADDR+AIR	TEIL · LAUF	HIGH
dal	19	19	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	dal	0	AL	ZIEL	HIGH
dalaiin	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	alaiin	1	AL+AIIN	ZIEL · MASS	MEDIUM_HIGH
dalchdy	1	1	f72r	EXACT_REGISTERED_SURFACE	dalchdy	0	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	HIGH
dalchom	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	dalchdy	2	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	WORKING
daldaiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	saldaiin	1	S+AL+D_ADDR+AIIN	AUSWÄHLEN · ZIEL · TEIL · MASS	MEDIUM_HIGH
daldal	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dalal	1	AL+AL	ZIEL · ZIEL	MEDIUM_HIGH
dals	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dal	1	AL	ZIEL	MEDIUM_HIGH
dalshedy	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	dalchedy	1	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	MEDIUM_HIGH
daly	2	2	f76r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dal	1	AL	ZIEL	MEDIUM_HIGH
dam	3	3	f89r	EXACT_REGISTERED_SURFACE	dam	0	DA+AM_ADDR	ZWEIT · INNEN	HIGH
dan	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
dar	17	17	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	dar	0	D_ADDR+AR	TEIL · QUELLE	HIGH
darchey	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	archeey	2	AR+CH+EE+Y	QUELLE · NEHMEN · LÄNGER · POSTEN	WORKING
darod	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	daror	1	D_ADDR+AR+OR	TEIL · QUELLE · ANSATZ	MEDIUM_HIGH
darolg	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	arol	2	AR+OL	QUELLE · FORTSETZEN	WORKING
dary	1	1	f18r	EXACT_REGISTERED_SURFACE	dary	0	DA+R+Y	ZWEIT · MERKEN · POSTEN	HIGH
dcheedy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheedy	1	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · POSTEN	MEDIUM_HIGH
deey	1	1	f89r	EXACT_REGISTERED_SURFACE	deey	0	D_ADDR+EE+Y	TEIL · LÄNGER · POSTEN	HIGH
doigom	1	1	f89r	VISIBLE_NEW_COMPOSITION	dairam	3	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	TEIL · AUSFÜHREN · UNTERSTUFE · PRÜFEN · AUSFÜHREN · MITTE	WORKING_COMPOSITION
dol	4	4	f76r|f89r	EXACT_REGISTERED_SURFACE	dol	0	D_ADDR+OL	TEIL · FORTSETZEN	HIGH
dolchsyckheol	1	1	f89r	VISIBLE_NEW_COMPOSITION	lcheckhedy	6	D_ADDR+OL+CH+S+Y+CKH+E+OL	TEIL · FORTSETZEN · NEHMEN · AUSWÄHLEN · POSTEN · DURCHLASS · KURZ · FORTSETZEN	WORKING_COMPOSITION
doldaiin	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	oldaiin	1	OL+D_ADDR+AIIN	FORTSETZEN · TEIL · MASS	MEDIUM_HIGH
doldy	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	oldy	1	OL+DY	FORTSETZEN · SCHLUSS	MEDIUM_HIGH
