unit_no	scope	unit_kind	surface_or_component	default_value_de	context_rule_de	support_groups_or_events	source
34	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	HO	Gabe	Komponiere HO mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT
35	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHEO	Auszug	Komponiere CHEO mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT
36	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	D_ADDR	Teiladresse	Lies d im Astroregister als Teiladresse.	36	PASS466_467_ASTRO_COMPONENT
37	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	S_ADDR	Sternbezug	Lies s im Astroregister als Sternbezug.	45	PASS466_467_ASTRO_COMPONENT
38	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	A_ADDR	Nebenadresse	Lies a im Astroregister als Nebenadresse.	16	PASS466_467_ASTRO_COMPONENT
39	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	F_ADDR	Aussenbezug	Lies f im Astroregister als Aussenbezug.	6	PASS466_467_ASTRO_COMPONENT
40	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	AM_ADDR	Gegenfeld	Lies am im Astroregister als Gegenfeld.	8	PASS466_467_ASTRO_COMPONENT
41	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	CPH_CLASS	Sternfigur	Lies cph im Astroregister als Sternfigur.	4	PASS466_467_ASTRO_COMPONENT
42	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	CFH_CLASS	Sternhaufen	Lies cfh im Astroregister als Sternhaufen.	2	PASS466_467_ASTRO_COMPONENT
43	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	G_ADDR	Strahlmarke	Lies g im Astroregister als Strahlmarke.	5	PASS466_467_ASTRO_COMPONENT
44	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	I_COUNT	Zaehlstrich	Lies i im Astroregister als Zaehlstrich.	8	PASS466_467_ASTRO_COMPONENT
45	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	AN_SECTION	Abschnitt	Lies an im Astroregister als Abschnitt.	3	PASS466_467_ASTRO_COMPONENT
46	PROSE	MEMORIZED_WHOLE_CARD	os	Fach	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY
47	PROSE	MEMORIZED_WHOLE_CARD	cfhy	auswringen	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY
48	PROSE	MEMORIZED_WHOLE_CARD	cheey|shey	Ergebnis	Als eine gelernte Ganzkarte kopieren.	4	PASS463_PROSE_DICTIONARY
49	PROSE	MEMORIZED_WHOLE_CARD	talam	verwahren	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY
50	PROSE	MEMORIZED_WHOLE_CARD	ches	teilen	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY
51	PROSE	MEMORIZED_WHOLE_CARD	daiiin	zweite Stufe	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY
52	ASTRO_ONLY	MEMORIZED_WHOLE_NAME	otaza	Himmelsname OTAZA	Als lokalen Namen auf f69v kopieren; nicht zerlegen.	1	PASS467_LOCAL_NOMENCLATOR
