writer_order	event_id	statement	old_local_item	component_parse	new_syntax_item	concrete_reading_de	local_value_removed
94	E094	H5-S005	X:H5-S005	HO	COMPONENT_CHAIN:HO	Zutat	YES
95	E095	H5-S005	X:H5-S005	OK+Y	COMPONENT_CHAIN:OK+Y	Zugabe ansetzen	YES
96	E096	H5-S005	X:H5-S005	K+HO+AR	COMPONENT_CHAIN:K+HO+AR	Zutat aus dem Vorrat zuführen	YES
97	E097	H5-S005	X:H5-S005	OT+O+AIN	COMPONENT_CHAIN:OT+O+AIN	danach eine Stoffportion	YES
98	E098	H5-S006	X:H5-S006	OT+Y	COMPONENT_CHAIN:OT+Y	nächster Posten	YES
99	E099	H5-S006	X:H5-S006	K+E+OL	COMPONENT_CHAIN:K+E+OL	kurz weiter zuführen	YES
100	E100	H5-S006	X:H5-S006	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
123	E123	B1-S004	R03	CHD+Y	COMPONENT_CHAIN:CHD+Y	laufender Stationsansatz umsetzen	YES
124	E124	B1-S004	R03	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
125	E125	B1-S004	R03	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
127	E127	B1-S006	X:B1-S006	OK+AIN	COMPONENT_CHAIN:OK+AIN	eine Stoffportion zugeben	YES
128	E128	B1-S006	X:B1-S006	CKH+Y	COMPONENT_CHAIN:CKH+Y	durchführen	YES
129	E129	B1-S006	X:B1-S006	L	COMPONENT_CHAIN:L	weiterführen	YES
130	E130	B1-S006	X:B1-S006	R+AL	COMPONENT_CHAIN:R+AL	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen	YES
132	E132	B1-S008	X:B1-S008	Y	COMPONENT_CHAIN:Y	laufender Stationsansatz	YES
133	E133	B1-S008	X:B1-S008	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
134	E134	B1-S008	X:B1-S008	CHK+E+Y	COMPONENT_CHAIN:CHK+E+Y	kurz wärmen	YES
135	E135	B1-S008	X:B1-S008	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
136	E136	B1-S008	X:B1-S008	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
139	E139	B1-S011	X:B1-S011	CKH+Y	COMPONENT_CHAIN:CKH+Y	durchführen	YES
140	E140	B1-S011	X:B1-S011	OK+Y	COMPONENT_CHAIN:OK+Y	verwende den laufenden Stationsansatz	YES
145	E145	B1-S014	X:B1-S014	CHD+Y	COMPONENT_CHAIN:CHD+Y	laufender Stationsansatz umsetzen	YES
146	E146	B1-S014	X:B1-S014	SOLK+Y	COMPONENT_CHAIN:SOLK+Y	laufender Stationsansatz auffangen	YES
147	E147	B1-S014	X:B1-S014	L+CHD+AL	COMPONENT_CHAIN:L+CHD+AL	zum Auslass führen	YES
148	E148	B1-S014	X:B1-S014	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
149	E149	B1-S014	X:B1-S014	OT+AR	COMPONENT_CHAIN:OT+AR	danach von aufgefangener Bestand des laufender Stationsansatz	YES
150	E150	B1-S015	X:B1-S015	T+E+Y	COMPONENT_CHAIN:T+E+Y	aufgefangener Bestand des laufender Stationsansatz kurz füllen	YES
151	E151	B1-S015	X:B1-S015	OK+CHD+DY	COMPONENT_CHAIN:OK+CHD+DY	Ansatz umsetzen; Schluss	YES
152	E152	B1-S016	X:B1-S016	OK+AL	COMPONENT_CHAIN:OK+AL	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen	YES
153	E153	B1-S016	X:B1-S016	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
154	E154	B1-S016	X:B1-S016	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
155	E155	B1-S016	X:B1-S016	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
156	E156	B1-S017	X:B1-S017	AL	COMPONENT_CHAIN:AL	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	YES
157	E157	B1-S017	X:B1-S017	E+OL	COMPONENT_CHAIN:E+OL	kurz fortsetzen	YES
158	E158	B1-S017	X:B1-S017	CHD+DY	COMPONENT_CHAIN:CHD+DY	umsetzen; Schluss	YES
159	E159	B1-S018	X:B1-S018	L+Y	COMPONENT_CHAIN:L+Y	laufender Stationsansatz führen	YES
160	E160	B1-S018	X:B1-S018	SH+E+OL	COMPONENT_CHAIN:SH+E+OL	kurz halten	YES
161	E161	B1-S018	X:B1-S018	O+IIN	COMPONENT_CHAIN:O+IIN	Sollstufe	YES
162	E162	B1-S018	X:B1-S018	SOLK+EE+DY	COMPONENT_CHAIN:SOLK+EE+DY	länger auffangen; Schluss	YES
166	E166	B1-S021	X:B1-S021	AL	COMPONENT_CHAIN:AL	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	YES
167	E167	B2-S001	X:B2-S001	CHD+DY	COMPONENT_CHAIN:CHD+DY	umsetzen; Schluss	YES
172	E172	B2-S004	X:B2-S004	OK+AL	COMPONENT_CHAIN:OK+AL	an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen	YES
173	E173	B2-S004	X:B2-S004	L+CKH+Y	COMPONENT_CHAIN:L+CKH+Y	Teilportion von obere Beckenflüssigkeit zum Durchlass führen	YES
174	E174	B2-S004	X:B2-S004	L+CHD	COMPONENT_CHAIN:L+CHD	hinausführen	YES
175	E175	B2-S004	X:B2-S004	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
176	E176	B2-S004	X:B2-S004	L+CKHE+DY	COMPONENT_CHAIN:L+CKHE+DY	hinaus seihen; Schluss	YES
177	E177	B2-S005	X:B2-S005	OK+AL+Y	COMPONENT_CHAIN:OK+AL+Y	Teilportion von obere Beckenflüssigkeit an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen	YES
178	E178	B2-S005	X:B2-S005	SOLK+AIIN	COMPONENT_CHAIN:SOLK+AIIN	Auffang-Sollmaß	YES
179	E179	B2-S005	X:B2-S005	CKH+Y	COMPONENT_CHAIN:CKH+Y	durchführen	YES
180	E180	B2-S005	X:B2-S005	OK+AIIN	COMPONENT_CHAIN:OK+AIIN	Sollmaß setzen	YES
181	E181	B2-S005	X:B2-S005	OK+AIIN	COMPONENT_CHAIN:OK+AIIN	Sollmaß setzen	YES
182	E182	B2-S005	X:B2-S005	O+CTH+E+OL	COMPONENT_CHAIN:O+CTH+E+OL	kurz bereit fortsetzen	YES
183	E183	B2-S005	X:B2-S005	CHK+EE+Y	COMPONENT_CHAIN:CHK+EE+Y	Teilportion von obere Beckenflüssigkeit länger wärmen	YES
184	E184	B2-S005	X:B2-S005	L+DY	COMPONENT_CHAIN:L+DY	abführen; Schluss	YES
190	E190	B2-S008	R03	OT+AIIN	COMPONENT_CHAIN:OT+AIIN	nächstes Sollmaß	YES
191	E191	B2-S008	R03	OK+AR	COMPONENT_CHAIN:OK+AR	von Flüssigkeit am Zwischenknoten einsetzen	YES
192	E192	B2-S008	R03	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
194	E194	B2-S010	X:B2-S010	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
195	E195	B2-S010	X:B2-S010	OK+Y	COMPONENT_CHAIN:OK+Y	verwende Flüssigkeit am Zwischenknoten	YES
196	E196	B2-S010	X:B2-S010	LS	COMPONENT_CHAIN:LS	abführen	YES
197	E197	B2-S010	X:B2-S010	WHOLE[cheey|shey]	PROC031	EMPFANGSBESTAND	YES
202	E202	B2-S012	X:B2-S012	L+CH+Y	COMPONENT_CHAIN:L+CH+Y	zweite Teilportion des Postens der Einzelstation abziehen	YES
203	E203	B2-S012	X:B2-S012	WHOLE[cheey|shey]	PROC031	EMPFANGSBESTAND	YES
204	E204	B2-S012	X:B2-S012	CTH+E+Y	COMPONENT_CHAIN:CTH+E+Y	Empfangsbestand kurz bereithalten	YES
205	E205	B2-S012	X:B2-S012	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
206	E206	B2-S012	X:B2-S012	L+EE+Y	COMPONENT_CHAIN:L+EE+Y	Empfangsbestand länger abziehen	YES
207	E207	B2-S012	X:B2-S012	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
208	E208	B2-S012	X:B2-S012	Y	COMPONENT_CHAIN:Y	Fraktion des Empfangsbestands	YES
209	E209	B2-S012	X:B2-S012	OK+EEE+DY	COMPONENT_CHAIN:OK+EEE+DY	vollständig ansetzen; Schluss	YES
211	E211	B2-S014	X:B2-S014	L+AR	COMPONENT_CHAIN:L+AR	von Fraktion des Empfangsbestands abführen	YES
214	E214	B2-S016	X:B2-S016	AL	COMPONENT_CHAIN:AL	Zielstelle „untere Beckenrand- und Endstationen“	YES
215	E215	B2-S016	X:B2-S016	L+CHD+AR	COMPONENT_CHAIN:L+CHD+AR	von Flüssigkeit am Beckenrand hinausführen	YES
216	E216	B2-S016	X:B2-S016	WHOLE[ches]	PROC124	teilen	YES
217	E217	B2-S016	X:B2-S016	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
218	E218	B2-S016	X:B2-S016	OT+EE+Y	COMPONENT_CHAIN:OT+EE+Y	nächsten Posten länger halten	YES
219	E219	B2-S016	X:B2-S016	OK+AIIN	COMPONENT_CHAIN:OK+AIIN	Sollmaß setzen	YES
220	E220	B2-S016	X:B2-S016	OK+E+Y	COMPONENT_CHAIN:OK+E+Y	kurz ansetzen	YES
221	E221	B2-S016	X:B2-S016	P+CHD+DY	COMPONENT_CHAIN:P+CHD+DY	hineinführen; Schluss	YES
222	E222	B2-S017	X:B2-S017	R+SH+E+AL	COMPONENT_CHAIN:R+SH+E+AL	bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen	YES
223	E223	B2-S017	X:B2-S017	AL+DY	COMPONENT_CHAIN:AL+DY	bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen	YES
229	E229	B3-S001	X:B3-S001	SOLK+EE+DY	COMPONENT_CHAIN:SOLK+EE+DY	länger auffangen; Schluss	YES
230	E230	B3-S002	X:B3-S002	OT+AL	COMPONENT_CHAIN:OT+AL	nächste Zielstelle bei „obere offene Fächerstation am Rand“	YES
231	E231	B3-S002	X:B3-S002	CHK+EE+DY	COMPONENT_CHAIN:CHK+EE+DY	länger wärmen; Schluss	YES
232	E232	B3-S003	X:B3-S003	Y	COMPONENT_CHAIN:Y	aufgefangener Bestand des Gut der Fächerstation	YES
233	E233	B3-S003	X:B3-S003	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
234	E234	B3-S003	X:B3-S003	Y	COMPONENT_CHAIN:Y	aufgefangener Bestand des Gut der Fächerstation	YES
235	E235	B3-S003	X:B3-S003	L+CHD+DY	COMPONENT_CHAIN:L+CHD+DY	hinausführen; Schluss	YES
240	E240	B3-S006	X:B3-S006	CHD+Y	COMPONENT_CHAIN:CHD+Y	Gefäßflüssigkeit umsetzen	YES
241	E241	B3-S006	X:B3-S006	OK+AL	COMPONENT_CHAIN:OK+AL	an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen	YES
242	E242	B3-S006	X:B3-S006	OL+CHD+DY	COMPONENT_CHAIN:OL+CHD+DY	weiterführen; Schluss	YES
243	E243	B3-S007	X:B3-S007	OK+AIIN	COMPONENT_CHAIN:OK+AIIN	Sollmaß setzen	YES
244	E244	B3-S007	X:B3-S007	CHD+Y	COMPONENT_CHAIN:CHD+Y	Gefäßflüssigkeit umsetzen	YES
245	E245	B3-S007	X:B3-S007	OK+EE+DY	COMPONENT_CHAIN:OK+EE+DY	länger ansetzen; Schluss	YES
247	E247	B3-S009	R01	OK+Y	COMPONENT_CHAIN:OK+Y	verwende Gefäßflüssigkeit	YES
248	E248	B3-S010	X:B3-S010	P+CHD+AL	COMPONENT_CHAIN:P+CHD+AL	bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen	YES
249	E249	B3-S010	X:B3-S010	OT+E+DY	COMPONENT_CHAIN:OT+E+DY	kurzer Folgeschritt; Schluss	YES
250	E250	B3-S011	X:B3-S011	SH+E+CTH+CHD+Y	COMPONENT_CHAIN:SH+E+CTH+CHD+Y	Gut im Korbgefäß kurz bereit umsetzen	YES
251	E251	B3-S011	X:B3-S011	OK+Y	COMPONENT_CHAIN:OK+Y	verwende Gut im Korbgefäß	YES
252	E252	B3-S011	X:B3-S011	CHD+Y	COMPONENT_CHAIN:CHD+Y	Gut im Korbgefäß umsetzen	YES
253	E253	B3-S011	X:B3-S011	AR+Y	COMPONENT_CHAIN:AR+Y	Gut im Korbgefäß aus der Quelle nehmen	YES
260	E260	B3-S014	X:B3-S014	OK+AIR	COMPONENT_CHAIN:OK+AIR	Flüssigkeitslauf eröffnen	YES
261	E261	B3-S014	X:B3-S014	SH+EE+DY	COMPONENT_CHAIN:SH+EE+DY	länger absetzen; Schluss	YES
268	E268	B3-S020	X:B3-S020	AL	COMPONENT_CHAIN:AL	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“	YES
269	E269	B3-S020	X:B3-S020	L+CHD+DY	COMPONENT_CHAIN:L+CHD+DY	hinausführen; Schluss	YES
298	E298	B3-S030	R01	OK+Y	COMPONENT_CHAIN:OK+Y	verwende aufgefangener Bestand des Flüssigkeit des Hauptpaares	YES
299	E299	B3-S030	R01	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
300	E300	B3-S030	R01	CHD+AIR	COMPONENT_CHAIN:CHD+AIR	Flüssigkeitslauf weiterführen	YES
301	E301	B3-S030	R01	OT+CHD+DY	COMPONENT_CHAIN:OT+CHD+DY	danach umsetzen; Schluss	YES
309	E309	B3-S034	X:B3-S034	O+IIN	COMPONENT_CHAIN:O+IIN	Sollstufe	YES
310	E310	B3-S034	X:B3-S034	CTH+Y	COMPONENT_CHAIN:CTH+Y	bereit	YES
311	E311	B3-S034	X:B3-S034	T+Y	COMPONENT_CHAIN:T+Y	Teilportion aus der Arbeitsflüssigkeit füllen	YES
312	E312	B3-S034	X:B3-S034	OT+AIIN	COMPONENT_CHAIN:OT+AIIN	nächstes Sollmaß	YES
313	E313	B3-S034	X:B3-S034	OL+AL+Y	COMPONENT_CHAIN:OL+AL+Y	Teilportion aus der Arbeitsflüssigkeit bei der Zielstelle „durch einen Bogen verbundenes Hauptpaar“ fortsetzen	YES
314	E314	B3-S034	X:B3-S034	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
316	E316	B4-S002	X:B4-S002	OL+Y	COMPONENT_CHAIN:OL+Y	Flüssigkeit des Hauptpaares weiterführen	YES
317	E317	B4-S002	X:B4-S002	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
318	E318	B4-S002	X:B4-S002	OK+E+DY	COMPONENT_CHAIN:OK+E+DY	kurz ansetzen; Schluss	YES
319	E319	B4-S003	X:B4-S003	CHD+Y	COMPONENT_CHAIN:CHD+Y	Flüssigkeit des Hauptpaares umsetzen	YES
320	E320	B4-S003	X:B4-S003	OT+AL	COMPONENT_CHAIN:OT+AL	nächste Zielstelle bei „durch einen Bogen verbundenes Hauptpaar“	YES
321	E321	B4-S003	X:B4-S003	OT+Y	COMPONENT_CHAIN:OT+Y	nächster Posten	YES
322	E322	B4-S003	X:B4-S003	OK+EE+Y	COMPONENT_CHAIN:OK+EE+Y	länger ansetzen	YES
323	E323	B4-S003	X:B4-S003	OK+Y	COMPONENT_CHAIN:OK+Y	verwende nächster Arbeitsposten	YES
324	E324	B4-S003	X:B4-S003	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
325	E325	B4-S003	X:B4-S003	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
326	E326	B4-S004	X:B4-S004	OK+Y+LDDY	COMPONENT_CHAIN:OK+Y+LDDY	nächster Arbeitsposten befestigen; Schluss	YES
337	E337	B4-S010	R02	OL+DY	COMPONENT_CHAIN:OL+DY	fortsetzen; Schluss	YES
338	E338	B4-S011	X:B4-S011	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
339	E339	B4-S011	X:B4-S011	CHK+E+Y	COMPONENT_CHAIN:CHK+E+Y	kurz wärmen	YES
340	E340	B4-S011	X:B4-S011	OK+EE+OL	COMPONENT_CHAIN:OK+EE+OL	länger fortsetzen	YES
341	E341	B4-S011	X:B4-S011	OK+AIN	COMPONENT_CHAIN:OK+AIN	eine Stoffportion zugeben	YES
342	E342	B4-S011	X:B4-S011	CHD+Y	COMPONENT_CHAIN:CHD+Y	Teilportion von Gut der Randstation umsetzen	YES
343	E343	B4-S011	X:B4-S011	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
344	E344	B4-S011	X:B4-S011	L+K+E+DY	COMPONENT_CHAIN:L+K+E+DY	kurz abführen; Schluss	YES
348	E348	B4-S014	X:B4-S014	OR	COMPONENT_CHAIN:OR	Ansatz	YES
349	E349	B4-S014	X:B4-S014	Y	COMPONENT_CHAIN:Y	laufender Stationsansatz	YES
350	E350	B4-S014	X:B4-S014	O+CKH+E+Y	COMPONENT_CHAIN:O+CKH+E+Y	laufender Stationsansatz kurz durchführen	YES
351	E351	B4-S014	X:B4-S014	AIR+Y+DY	COMPONENT_CHAIN:AIR+Y+DY	Flüssigkeitslauf schließen	YES
358	E358	B4-S016	R03	OL+K+AIN	COMPONENT_CHAIN:OL+K+AIN	weitere Stoffportion	YES
359	E359	B4-S016	R03	AL	COMPONENT_CHAIN:AL	Zielstelle „rechte S-förmige Mehrarmstation“	YES
360	E360	B4-S016	R03	K+AR	COMPONENT_CHAIN:K+AR	aus dem Vorrat zuführen	YES
361	E361	B4-S016	R03	SHED+DY	COMPONENT_CHAIN:SHED+DY	absetzen; Schluss	YES
364	E364	B5-S003	X:B5-S003	SHED+AL	COMPONENT_CHAIN:SHED+AL	bei der Zielstelle „linke offene Randstation des Nachtrags“ absetzen	YES
365	E365	B5-S003	X:B5-S003	AL	COMPONENT_CHAIN:AL	Zielstelle „linke offene Randstation des Nachtrags“	YES
366	E366	B5-S003	X:B5-S003	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
367	E367	B5-S003	X:B5-S003	L+OL	COMPONENT_CHAIN:L+OL	weiterführen	YES
368	E368	B5-S003	X:B5-S003	CHD+AL	COMPONENT_CHAIN:CHD+AL	bei der Zielstelle „linke offene Randstation des Nachtrags“ umsetzen	YES
369	E369	B5-S003	X:B5-S003	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
370	E370	B5-S003	X:B5-S003	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
371	E371	B5-S003	X:B5-S003	WHOLE[daiiin]	PROC169	zweite Stufe	YES
372	E372	B5-S003	X:B5-S003	CHD+Y	COMPONENT_CHAIN:CHD+Y	laufender Stationsansatz umsetzen	YES
373	E373	B6-S001	X:B6-S001	SOLK+EE+Y	COMPONENT_CHAIN:SOLK+EE+Y	länger auffangen	YES
374	E374	B6-S001	X:B6-S001	E+K+E+Y	COMPONENT_CHAIN:E+K+E+Y	aufgefangener Bestand der rechten Nachtragsflüssigkeit kurz zuführen	YES
375	E375	B6-S001	X:B6-S001	R+AL+Y	COMPONENT_CHAIN:R+AL+Y	aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen	YES
376	E376	B6-S001	X:B6-S001	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
377	E377	B6-S001	X:B6-S001	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
378	E378	B6-S001	X:B6-S001	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
379	E379	B6-S001	X:B6-S001	AIN	COMPONENT_CHAIN:AIN	Stoffportion	YES
380	E380	B6-S001	X:B6-S001	Y	COMPONENT_CHAIN:Y	Teilportion des aufgefangenen Bestands der rechten Nachtragsflüssigkeit	YES
381	E381	B6-S001	X:B6-S001	L+AL+OR	COMPONENT_CHAIN:L+AL+OR	Ansatz zur Zielstelle „rechte S-förmige Mehrarmstation des Nachtrags“ führen	YES
