source_experiment	span_id	locus	surface_span	old_translation_de	corrected_translation_de	role_basis	semantic_status
GDT636	AR_POWDER	f86v6.17	par | or | aiin	Pulverfraktion I; weitere Portion III.	Eintrag (H1): Teil- oder Fraktionsstufe I; separater Teil- oder Portionsträger, Ordinalstufe III.	H1_PARAGRAPH_OR_RECORD_OPENER+AR_PART_SERIES_I;OR_PART_OR_PORTION_CARRIER;AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	AR_SEED	f33v.9	sar | or | aiin	Samenfraktion I; weitere Portion III.	Posten (H2): Teil- oder Fraktionsstufe I; separater Teil- oder Portionsträger, Ordinalstufe III.	H2_LINE_ITEM_OR_SUBENTRY_MARKER+AR_PART_SERIES_I;OR_PART_OR_PORTION_CARRIER;AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	AR_MOIST	f81v.1	par | shey	Pulverfraktion I, anfeuchten/einweichen bis Form I.	Eintrag (H1): Teil- oder Fraktionsstufe I; feuchte oder angeweichte Form I.	H1_PARAGRAPH_OR_RECORD_OPENER+AR_PART_SERIES_I;SHEY_MOIST_STATE	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	AR_FINISHED	f81r.24	par | ody	Pulverfraktion I, fertig aufbereitet.	Eintrag (H1): Teil- oder Fraktionsstufe I; fertig aufbereitete Grundform.	H1_PARAGRAPH_OR_RECORD_OPENER+AR_PART_SERIES_I;ODY_PREPARED_RESULT	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	OIII_SEED	f4r.12	soiin | chaiin | chaiin	Samenzubereitung III; zweimal als trocken, Grad III, eingetragen.	Posten (H2): Zubereitungsform III; zweimal gebundener Trocken-/Ordinalslot III [WORKING_RENDERER_RIVAL: zweimal trocken, Grad III].	H2_LINE_ITEM_OR_SUBENTRY_MARKER+OIIN_PREPARATION_CLASS;CHAIIN_BOUND_DRY_OR_ORDINAL_VALUE_III_X2	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	DRY_DOSE_P	f49r.12	podaiin | cheo | kcho | daiin | chcthy	Pulverzubereitung, Dosis III: Trockenansatz; heiß-trockener Ansatz, Dosis III, mit trockenem Blatt-/Krautgut.	Eintrag (H1): Zubereitung, Dosis- oder Wertslot III; trockener Ansatz oder Zubereitung; gebundener Qualitäts-/Ansatzslot [WORKING_RENDERER_RIVAL: heiß-trockener Ansatz]; gebundener Dosis-/Wertslot III [WORKING_RENDERER_RIVAL: Dosis III]; gebundener Trocken-/Materialslot [WORKING_RENDERER_RIVAL: trockenes Blatt- oder Krautgut].	H1_PARAGRAPH_OR_RECORD_OPENER+ODAIIN_PREPARATION_DOSE;CHEO_DRY_PREPARATION;KCHO_BOUND_QUALITY_OR_PREPARATION;DAIIN_BOUND_DOSE_OR_VALUE;CHCTHY_BOUND_DRY_MATERIAL	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	DRY_DOSE_S	f14r.13	sodaiin | chy | kchy | kchy	Samenzubereitung, Dosis III; trocken in Grundform, zweimal heiß-trocken markiert.	Posten (H2): Zubereitung, Dosis- oder Wertslot III; trockene Grundform; zweimal gebundener Qualitätskontrast plus trockene Grundform [WORKING_RENDERER_RIVAL: zweimal heiß-trocken markiert].	H2_LINE_ITEM_OR_SUBENTRY_MARKER+ODAIIN_PREPARATION_DOSE;CHY_DRY_STATE;KCHY_BOUND_QUALITY_PLUS_DRY_STATE_X2	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	ROOT_PREP	f106v.38	rody | raiin	Aufbereitete Wurzel, Charge III.	H3-Spätverweis: fertig aufbereitete Grundform; H3-Spätverweis: Ordinalstufe III.	H3_LATE_REFERENCE_OR_ITEM_CLOSE+ODY_PREPARED_RESULT;H3_LATE_REFERENCE_OR_ITEM_CLOSE+AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	DRY_P_ROOT_PORTION	f106r.13	pcheo | ror | aiin	Trockener Pulveransatz mit Wurzelportion III.	Eintrag (H1): trockener Ansatz oder Zubereitung; H3-Spätverweis: Teil- oder Portionsträger; Ordinalstufe III.	H1_PARAGRAPH_OR_RECORD_OPENER+CHEO_DRY_PREPARATION;H3_LATE_REFERENCE_OR_ITEM_CLOSE+OR_PART_OR_PORTION_CARRIER;AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT636	OAIIN_CONTEXT	f114v.33	kaiin | sheey | oaiin | sheol	Heiß, Grad III; feucht in Form II; Zubereitungscharge III aus feuchtem Material.	Gebundener Qualitäts-/Ordinalslot III [WORKING_RENDERER_RIVAL: heiß, Grad III]; gebundene Feucht-/Formstufe II [WORKING_RENDERER_RIVAL: feucht in Form II]; Zubereitung: Index III; gebundener Feucht-/Materialträger [WORKING_RENDERER_RIVAL: feuchtes Material].	KAIIN_BOUND_QUALITY_OR_ORDINAL_VALUE_III;SHEEY_BOUND_MOIST_FORM_II;OAIIN_PREPARATION_VALUE;SHEOL_BOUND_MOIST_MATERIAL_CARRIER	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	ROOT_OIII_DOSE	f77v.37	cheey | roiin | daiin | shey	Wurzelzubereitung III, Dosis III: von Trockenform II in Feuchtform I.	Trockene Form II; H3-Spätverweis: Zubereitungsform III; gebundener Dosis-/Wertslot III [WORKING_RENDERER_RIVAL: Dosis III]; feuchte oder angeweichte Form I.	CHEEY_DRY_STATE;H3_LATE_REFERENCE_OR_ITEM_CLOSE+OIIN_PREPARATION_CLASS;DAIIN_BOUND_DOSE_OR_VALUE;SHEY_MOIST_STATE	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	DRIED_MATERIAL	f83r.40	solchedy | olchedy | chedaiin	Getrockneter Samenstoff; getrockneter Zubereitungsstoff; Trockenansatz, Dosis III.	Posten (H2): Materialträger, getrocknetes Ergebnis I; Materialträger, getrocknetes Ergebnis I; gebundener Trockenresultat-/Wertslot III [WORKING_RENDERER_RIVAL: Trockenansatz, Dosis III].	H2_LINE_ITEM_OR_SUBENTRY_MARKER+OLCHEDY_DRIED_MATERIAL;OLCHEDY_DRIED_MATERIAL;CHEDAIIN_BOUND_DRY_RESULT_OR_VALUE_III	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	WOOD_DRY_LADDER	f114r.21	lcheey | lchedo | lcheo	Drogenholz in Trockenform II; getrocknete Holzform; trockene Holzzubereitung.	Internes Feld (H4): trockene Form II; internes Feld (H4): gebundene Trocken-/Resultatform [WORKING_RENDERER_RIVAL: getrocknete Form]; internes Feld (H4): trockener Ansatz oder Zubereitung.	H4_INTERNAL_BOUND_FIELD_OPERATOR+CHEEY_DRY_STATE;H4_INTERNAL_BOUND_FIELD_OPERATOR+CHEDO_BOUND_DRY_RESULT;H4_INTERNAL_BOUND_FIELD_OPERATOR+CHEO_DRY_PREPARATION	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT636	SEED_INGREDIENT	f77r.7	soral	Samen-Rohstoffportion.	Posten (H2): Rohstoff- oder Zutatenportion.	H2_LINE_ITEM_OR_SUBENTRY_MARKER+ORAL_PORTIONED_MATERIAL	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
