body	components	inherited_default_de	revised_concrete_default_de	semantic_family	role_confidence	literal_lexeme_confidence	evidence_channels	primary_evidence	live_rivals	revision_decision	scope_rule
chdy	ch+d+y	getrocknete Kurz-/Kompaktform	getrocknetes Ergebnis, Grundform	DRY_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch plus d-y result contrast; 31 headed occurrences	unmarked dry result	REMOVE_UNSUPPORTED_COMPACTNESS	Only in registered exact wholes
oiin	o+iin	Zubereitungsform III	Zubereitungsform III	PREPARATION_CLASS	MEDIUM_HIGH	ZERO	TARGET_LADDER|HISTORICAL_ARCHITECTURE	on/oin/oiin/oiiin ladder and inherited o preparation frame	Extrakt|Dekokt|learned whole	RETAIN_ROLE	Only in registered exact wholes
shey	sh+e+y	Feucht-/Einweichform I	feuchte oder angeweichte Form I	MOIST_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	sh/e/y state lattice and 25 headed occurrences	attributive Feuchtbindung I	SIMPLIFY	Only in registered exact wholes
am	a+m	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	Eintragsabschluss I	ENTRY_CLOSE	HIGH_POSITIONAL	ZERO	TARGET_POSITION|TARGET_LADDER	21/24 headed occurrences are line-final and the bare family is also strongly final	Maß-/Einheitsform I|mischen|Restmenge	PROMOTE_CLOSE_OVER_MEASURE	Entry-close default only in final position; otherwise unit/measure rival remains
cheey	ch+ee+y	Trockenform II	trockene Form II	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch/ee/y state lattice and direct contrast with chey	attributive Trockenbindung II	SIMPLIFY	Only in registered exact wholes
chy	ch+y	Trocken-Grundform	trockene Grundform	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	Base member of ch state family	ungraded dry state	SIMPLIFY	Only in registered exact wholes
olchedy	ol+ch+e+d+y	getrockneter Zubereitungsstoff	Materialträger, getrocknetes Ergebnis I	DRIED_MATERIAL	HIGH	ZERO	TARGET_COMPOSITION|CARRIER_STATE	Visible OL carrier plus chedy result form	getrockneter Ansatz|dry extract	REMOVE_HEAD_DERIVED_SUBSTANCE	Only in registered exact wholes
chol	ch+ol	trockener Stoff/Trockengut	Trockenmaterial	DRY_MATERIAL	HIGH	ZERO	TARGET_COMPOSITION|VALUE_FRAMES	Productive ch+OL family and replicated OL+value expressions	dry quality without nominal carrier	SIMPLIFY	Only in registered exact wholes
odaiin	o+d+a+III	Zubereitungsdosis III	Zubereitung: Dosis oder Wert III	PREPARATION_DOSE	HIGH	ZERO	TARGET_COMPOSITION|VALUE_LADDER|HISTORICAL_ARCHITECTURE	o preparation frame plus complete d+a-value family	Grad III|prepared state III	RETAIN_DIMENSION_RIVAL	Only in registered exact wholes; no historical unit named
oraiin	o+r+a+III	Portion III	Teil oder Portion: Wert III	PORTION_VALUE	HIGH	ZERO	TARGET_COMPOSITION|VALUE_LADDER	OR carrier plus aIII value	stage III|nominal carrier III	RETAIN_DIMENSION_RIVAL	Only in registered exact wholes
ody	o+d+y	aufbereitete/fertige Grundform	fertig aufbereitete Grundform	PREPARED_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	o preparation plus d-y result; no k/t temperature head	resultative grammatical form	RETAIN_ROLE	Only in registered exact wholes
cheo	ch+e+o	trockene Zubereitung/Trockenansatz	trockener Ansatz oder Zubereitung	DRY_PREPARATION	HIGH	ZERO	TARGET_COMPOSITION|HISTORICAL_ARCHITECTURE	ch dry state plus inherited o preparation frame	dry o-frame without process semantics	RETAIN_ROLE	Only in registered exact wholes
oaiin	o+a+III	Zubereitungscharge III	Zubereitung: Index III	PREPARATION_VALUE	HIGH	ZERO	TARGET_COMPOSITION|VALUE_LADDER	o preparation plus aIII host-selected ordinal	Zubereitungsmenge III|Charge III	NARROW_TO_INDEX	Only in registered exact wholes
oral	or+al	Rohstoff-/Zutatenportion	Rohstoff- oder Zutatenportion	PORTIONED_MATERIAL	MEDIUM_HIGH	ZERO	TARGET_COMPOSITION|COEXISTENCE	Composition of OR part carrier and AL material series	portionierter Stoff without numeral force	RETAIN_ROLE	Only in registered exact wholes
