admitted_slot_ordinal	array_index	array_id	array_class	physical_folio	source_selector	unit	locus	complete_label_surface	label_token_count	surface_family	slot_index	slot_count	source_slot_fraction	visible_clock_hour	axis_folded_clock_hour	kluge_a_member	grove_member	unit_description	local_comment	coordinate_semantics	component_export_credit
11	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.54	y saldal	2	OTHER_INITIAL	4	12	0.250000	11.500000	5.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 11:30, red.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
12	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.55	ytodal	1	OTHER_INITIAL	5	12	0.333333	0.500000	0.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 00:30, yellow, no label above.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
13	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.56	tol daiin	2	OTHER_INITIAL	6	12	0.416667	1.500000	1.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 01:30, red. The @t gallows has a longish serif on the right leg. Assumed accident.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
14	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.57	otar dy	2	OTHER_OT_PREFIX	7	12	0.500000	2.500000	2.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 02:30, yellow.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
15	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.58	cho dal g	3	OTHER_INITIAL	8	12	0.583333	3.500000	3.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 03:30, yellow.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
16	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.59	ytchodly	1	OTHER_INITIAL	9	12	0.666667	4.500000	4.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 04:30, red.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
17	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.60	octhys	1	OTHER_O_PREFIX	10	12	0.750000	5.500000	5.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 05:30, red, no label above.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
18	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.61	ytokar	1	OTHER_INITIAL	11	12	0.833333	6.500000	0.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 06:30, yellow, no label above.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
19	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.62	otolor	1	OTHER_OT_PREFIX	12	12	0.916667	7.500000	1.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 07:30, red.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
20	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.64	s air	2	OTHER_INITIAL	1	7	0.000000	9.000000	3.000000	NA	NA	Circle of 8 labels around central star/flower.	"Transcribed clockwise from 08:30 after the ""dotted tail"" emanating from the central ""star"". At 09:00."	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
21	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.65	soear	1	OTHER_INITIAL	2	7	0.142857	10.500000	4.500000	NA	NA	Circle of 8 labels around central star/flower.	At 10:30.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
22	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.66	cpheey	1	OTHER_INITIAL	3	7	0.285714	0.500000	0.500000	NA	NA	Circle of 8 labels around central star/flower.	At 00:30.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
23	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.67	okodar	1	OTHER_OK_PREFIX	4	7	0.428571	2.500000	2.500000	NA	NA	Circle of 8 labels around central star/flower.	At 02:30. The final glyph is ambiguous, could be @r or @s.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
24	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.68	oepchod	1	OTHER_O_PREFIX	5	7	0.571429	3.500000	3.500000	NA	NA	Circle of 8 labels around central star/flower.	At 03:30. The @e is glued at bottom to the left leg of the @p. Assumed accident.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
25	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.69	s ay	2	OTHER_INITIAL	6	7	0.714286	5.500000	5.500000	NA	NA	Circle of 8 labels around central star/flower.	At 05:30.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
26	4	SCARR004|f67r2|M3	STAR_OR_CENTRAL_RING	f67	f67r2	M3	f67r2.70	osar	1	OTHER_O_PREFIX	7	7	0.857143	7.000000	1.000000	NA	NA	Circle of 8 labels around central star/flower.	At 07:00. The next two labels have aligned baselines, so assumed to be single label.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
27	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.12	chocfhy	1	OTHER_INITIAL	1	29	0.000000	0.000000	0.000000	NA	NA	Labels on 29 stars.	Label on star at 00:00 - South of sun. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
28	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.17	cphocthy	1	OTHER_INITIAL	2	29	0.034483	1.500000	1.500000	NA	NA	Labels on 29 stars.	Label on star at 01:30 - halfway to border. Nine points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
29	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.36	dolchedy	1	OTHER_INITIAL	3	29	0.068966	5.000000	5.000000	NA	NA	Labels on 29 stars.	Label on star at 05:00 - East of moon. Six points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
30	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.21	ockhy	1	OTHER_O_PREFIX	4	29	0.103448	9.000000	3.000000	NA	NA	Labels on 29 stars.	Label on star at 09:00 - nearest to center. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
31	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.31	ocphy	1	OTHER_O_PREFIX	5	29	0.137931	8.000000	2.000000	NA	NA	Labels on 29 stars.	Label on star at 08:00 - next to border. Seven points, dark core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
32	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.13	octhey	1	OTHER_O_PREFIX	6	29	0.172414	1.000000	1.000000	NA	NA	Labels on 29 stars.	Label on star at 01:00 - Southeast of sun. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
33	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.10	otcheody	1	OTHER_OT_PREFIX	7	29	0.206897	10.500000	4.500000	NA	NA	Labels on 29 stars.	Label on star at 10:30 - near border. Six points,no core. The @e after @'ch' is a tiny dot. Assumed accident.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
34	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.9	odchecthy	1	OTHER_O_PREFIX	8	29	0.241379	0.500000	0.500000	NA	NA	Labels on 29 stars.	Label on star at 00:30 - East of sun. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
35	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.22	ofcheor	1	OTHER_O_PREFIX	9	29	0.275862	NA	NA	NA	NA	Labels on 29 stars.	Label on star at center of diagram. Seven points, no core (but unpainted near center).	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
36	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.27	oiinar	1	OTHER_O_PREFIX	10	29	0.310345	8.000000	2.000000	NA	NA	Labels on 29 stars.	Label on star at 08:00 - second from border. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
37	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.16	okear	1	OTHER_OK_PREFIX	11	29	0.344828	10.500000	4.500000	NA	NA	Labels on 29 stars.	Label on star at 10:30 - near center. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
38	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.32	okeeodal	1	OTHER_OK_PREFIX	12	29	0.379310	7.250000	1.250000	NA	NA	Labels on 29 stars.	Label on star at 07:15 - near border. Seven points, no core (or maybe incomplete one).	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
39	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.11	okoaly	1	OTHER_OK_PREFIX	13	29	0.413793	11.000000	5.000000	NA	NA	Labels on 29 stars.	Label on star at 11:00 - second from border. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
40	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.28	okoldy	1	OTHER_OK_PREFIX	14	29	0.448276	7.250000	1.250000	NA	NA	Labels on 29 stars.	Label on star at 07:15 - nearest to center. Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
41	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.33	okshor	1	OTHER_OK_PREFIX	15	29	0.482759	7.000000	1.000000	NA	NA	Labels on 29 stars.	Label on star at 07:00 - Northwest of moon. Eight points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
42	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.20	olor	1	OTHER_O_PREFIX	16	29	0.517241	9.500000	3.500000	NA	NA	Labels on 29 stars.	Label on star at 09:30 - middle of three. Seven points, dark core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
43	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.34	osdaiin	1	OTHER_O_PREFIX	17	29	0.551724	6.500000	0.500000	NA	NA	Labels on 29 stars.	Label on star at 06:30 - Northeast of moon. Six points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
44	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.23	otchdy	1	OTHER_OT_PREFIX	18	29	0.586207	2.000000	2.000000	NA	NA	Labels on 29 stars.	Label on star at 02:00 - midway to border Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
45	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.35	otochedy	1	OTHER_OT_PREFIX	19	29	0.620690	4.500000	4.500000	NA	NA	Labels on 29 stars.	Label on star at 04:30 - near border. Seven points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
46	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.8	okodaly	1	OTHER_OK_PREFIX	20	29	0.655172	11.000000	5.000000	NA	NA	Labels on 29 stars.	Label on star at 11:00 - near border, West of sun. Eight points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
47	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.25	otol	1	OTHER_OT_PREFIX	21	29	0.689655	3.000000	3.000000	NA	NA	Labels on 29 stars.	Label on star at 03:00 - next to border. Eight points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
48	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.26	otor	1	OTHER_OT_PREFIX	22	29	0.724138	8.500000	2.500000	NA	NA	Labels on 29 stars.	Label on star at 08:30 - next to border. Six points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
49	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.14	otshey	1	OTHER_OT_PREFIX	23	29	0.758621	9.750000	3.750000	NA	NA	Labels on 29 stars.	Label on star at 09:45 - next to border. Eight points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
50	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.15	otydy	1	OTHER_OT_PREFIX	24	29	0.793103	10.250000	4.250000	NA	NA	Labels on 29 stars.	Label on star at 10:15 - mid-radius. Six points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
51	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.24	otykchs	1	OTHER_OT_PREFIX	25	29	0.827586	2.500000	2.500000	NA	NA	Labels on 29 stars.	Label on star at 02:30 - near border. Six points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
52	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.19	otys	1	OTHER_OT_PREFIX	26	29	0.862069	9.000000	3.000000	NA	NA	Labels on 29 stars.	Label on star at 09:00 - next to border. There is a period dot after the @s. Dirt? Seven points, no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
53	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.30	oeeody	1	OTHER_O_PREFIX	27	29	0.896552	3.500000	3.500000	NA	NA	Labels on 29 stars.	Label on star at 03:30 - mid-radius. Bridging 4-loop gallows. Seven points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
54	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.29	ykchdy	1	OTHER_INITIAL	28	29	0.931034	4.500000	4.500000	NA	NA	Labels on 29 stars.	Label on star at 04:30 - near center. Six points,no core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
55	8	SCARR008|f68r1|S1	STAR_OR_CENTRAL_RING	f68	f68r1	S1	f68r1.18	ytchody	1	OTHER_INITIAL	29	29	0.965517	2.000000	2.000000	NA	NA	Labels on 29 stars.	Label on star at 02:00 - near border. Eight points, blank core.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
56	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.7	ykeey	1	OTHER_INITIAL	1	28	0.000000	11.000000	5.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 11:00, long. Grove's Y.1.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
57	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.8	ytory	1	OTHER_INITIAL	2	28	0.035714	11.500000	5.500000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 11:30, short. Grove's X.2.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
58	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.9	oeesy	1	OTHER_O_PREFIX	3	28	0.071429	0.000000	0.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 00:00, long. Grove's Y.2.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
59	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.10	ytody	1	OTHER_INITIAL	4	28	0.107143	0.250000	0.250000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 00:15, short. Grove's X.3.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
60	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.11	okody	1	OTHER_OK_PREFIX	5	28	0.142857	0.500000	0.500000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 00:30, long. Grove's Y.3.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
61	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.12	otody	1	OTHER_OT_PREFIX	6	28	0.178571	1.000000	1.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 01:00, short. Grove's X.4.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
62	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.13	okeal	1	OTHER_OK_PREFIX	7	28	0.214286	1.500000	1.500000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 01:30, long. Grove's Y.4.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
63	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.14	okeod	1	OTHER_OK_PREFIX	8	28	0.250000	2.000000	2.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 02:00, short. Grove's X.5.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
64	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.15	oteeys	1	OTHER_OT_PREFIX	9	28	0.285714	2.250000	2.250000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 02:15, long. Grove's Y.5.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
65	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.16	oteol	1	OTHER_OT_PREFIX	10	28	0.321429	2.750000	2.750000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 02:45, short. Grove's X.6.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
66	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.17	ykeydy	1	OTHER_INITIAL	11	28	0.357143	3.000000	3.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 03:00, long. Grove's Y.6.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
67	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.18	okeod	1	OTHER_OK_PREFIX	12	28	0.392857	3.250000	3.250000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 03:15, short. Grove's X.7.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
68	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.19	saral	1	OTHER_INITIAL	13	28	0.428571	3.500000	3.500000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 03:30, long. Grove's Y.7.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
69	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.20	saiir	1	OTHER_INITIAL	14	28	0.464286	4.000000	4.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 04:00, short. Grove's X.8.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
70	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.21	okolar	1	OTHER_OK_PREFIX	15	28	0.500000	4.500000	4.500000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 04:30, long. Grove's Y.8.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
71	15	SCARR015|f69v|X1	RADIAL_LOG_RING	f69	f69v	X1	f69v.22	ykeody	1	OTHER_INITIAL	16	28	0.535714	5.000000	5.000000	NA	NA	"Radial labels extending outwards from ""logs"" around star."	Log at 05:00, short. Grove's X.9.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
