admitted_slot_ordinal	array_id	physical_folio	source_selector	locus	complete_label_surface	label_token_count	sequence_default_de	sequence_working_display	default_source	suppressed_unconditional_token_default_count	suppressed_unconditional_token_defaults	tokenwise_pharmaceutical_composition_allowed	renderer_precedence	semantic_confidence	component_export_credit
16	SCARR003|f67r2|M2	f67	f67r2	f67r2.59	ytchodly	1	individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)	⟦ytchodly:individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
17	SCARR003|f67r2|M2	f67	f67r2	f67r2.60	octhys	1	individuelle Kreisbezeichnung bei sichtbarer Lage 5.500000 Uhr (Bedeutung offen)	⟦octhys:individuelle Kreisbezeichnung bei sichtbarer Lage 5.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
18	SCARR003|f67r2|M2	f67	f67r2	f67r2.61	ytokar	1	individuelle Kreisbezeichnung bei sichtbarer Lage 6.500000 Uhr (Bedeutung offen)	⟦ytokar:individuelle Kreisbezeichnung bei sichtbarer Lage 6.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
19	SCARR003|f67r2|M2	f67	f67r2	f67r2.62	otolor	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.500000 Uhr (Bedeutung offen)	⟦otolor:individuelle Kreisbezeichnung bei sichtbarer Lage 7.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
20	SCARR004|f67r2|M3	f67	f67r2	f67r2.64	s air	2	individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)	⟦s air:individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	2	s=Samenposten|air=zweite Drogenfraktion	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
21	SCARR004|f67r2|M3	f67	f67r2	f67r2.65	soear	1	individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)	⟦soear:individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
22	SCARR004|f67r2|M3	f67	f67r2	f67r2.66	cpheey	1	individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)	⟦cpheey:individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
23	SCARR004|f67r2|M3	f67	f67r2	f67r2.67	okodar	1	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	⟦okodar:lokaler Kreiseintrag über mehrere Ringe; Transfer offen⟧	GDT794_REPEATED_COMPLETE_LABEL_DEFAULT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
24	SCARR004|f67r2|M3	f67	f67r2	f67r2.68	oepchod	1	individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)	⟦oepchod:individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
25	SCARR004|f67r2|M3	f67	f67r2	f67r2.69	s ay	2	individuelle Kreisbezeichnung bei sichtbarer Lage 5.500000 Uhr (Bedeutung offen)	⟦s ay:individuelle Kreisbezeichnung bei sichtbarer Lage 5.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	s=Samenposten	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
26	SCARR004|f67r2|M3	f67	f67r2	f67r2.70	osar	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.000000 Uhr (Bedeutung offen)	⟦osar:individuelle Kreisbezeichnung bei sichtbarer Lage 7.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
27	SCARR008|f68r1|S1	f68	f68r1	f68r1.12	chocfhy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 0.000000 Uhr (Bedeutung offen)	⟦chocfhy:individuelle Kreisbezeichnung bei sichtbarer Lage 0.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
28	SCARR008|f68r1|S1	f68	f68r1	f68r1.17	cphocthy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)	⟦cphocthy:individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
29	SCARR008|f68r1|S1	f68	f68r1	f68r1.36	dolchedy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 5.000000 Uhr (Bedeutung offen)	⟦dolchedy:individuelle Kreisbezeichnung bei sichtbarer Lage 5.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	dolchedy=Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
30	SCARR008|f68r1|S1	f68	f68r1	f68r1.21	ockhy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)	⟦ockhy:individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	ockhy=Ansatz eines Arzneikompositums am Gradanfang	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
31	SCARR008|f68r1|S1	f68	f68r1	f68r1.31	ocphy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 8.000000 Uhr (Bedeutung offen)	⟦ocphy:individuelle Kreisbezeichnung bei sichtbarer Lage 8.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
32	SCARR008|f68r1|S1	f68	f68r1	f68r1.13	octhey	1	individuelle Kreisbezeichnung bei sichtbarer Lage 1.000000 Uhr (Bedeutung offen)	⟦octhey:individuelle Kreisbezeichnung bei sichtbarer Lage 1.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
33	SCARR008|f68r1|S1	f68	f68r1	f68r1.10	otcheody	1	individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)	⟦otcheody:individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otcheody=kalt-trockenen Ansatz bis zur Mittelstufe bringen und fertigstellen	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
34	SCARR008|f68r1|S1	f68	f68r1	f68r1.9	odchecthy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)	⟦odchecthy:individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
35	SCARR008|f68r1|S1	f68	f68r1	f68r1.22	ofcheor	1	individuelle Kreisbezeichnung (Bedeutung offen)	⟦ofcheor:individuelle Kreisbezeichnung (Bedeutung offen)⟧	RADIAL_LABEL_SEQUENCE_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
36	SCARR008|f68r1|S1	f68	f68r1	f68r1.27	oiinar	1	individuelle Kreisbezeichnung bei sichtbarer Lage 8.000000 Uhr (Bedeutung offen)	⟦oiinar:individuelle Kreisbezeichnung bei sichtbarer Lage 8.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
37	SCARR008|f68r1|S1	f68	f68r1	f68r1.16	okear	1	individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)	⟦okear:individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
38	SCARR008|f68r1|S1	f68	f68r1	f68r1.32	okeeodal	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.250000 Uhr (Bedeutung offen)	⟦okeeodal:individuelle Kreisbezeichnung bei sichtbarer Lage 7.250000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
39	SCARR008|f68r1|S1	f68	f68r1	f68r1.11	okoaly	1	individuelle Kreisbezeichnung bei sichtbarer Lage 11.000000 Uhr (Bedeutung offen)	⟦okoaly:individuelle Kreisbezeichnung bei sichtbarer Lage 11.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
40	SCARR008|f68r1|S1	f68	f68r1	f68r1.28	okoldy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.250000 Uhr (Bedeutung offen)	⟦okoldy:individuelle Kreisbezeichnung bei sichtbarer Lage 7.250000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	okoldy=erhitzten Ansatzstoff fertigstellen	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
41	SCARR008|f68r1|S1	f68	f68r1	f68r1.33	okshor	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.000000 Uhr (Bedeutung offen)	⟦okshor:individuelle Kreisbezeichnung bei sichtbarer Lage 7.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	okshor=heißer Blütenansatz	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
42	SCARR008|f68r1|S1	f68	f68r1	f68r1.20	olor	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)	⟦olor:individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	olor=Zutat	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
43	SCARR008|f68r1|S1	f68	f68r1	f68r1.34	osdaiin	1	individuelle Kreisbezeichnung bei sichtbarer Lage 6.500000 Uhr (Bedeutung offen)	⟦osdaiin:individuelle Kreisbezeichnung bei sichtbarer Lage 6.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
44	SCARR008|f68r1|S1	f68	f68r1	f68r1.23	otchdy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 2.000000 Uhr (Bedeutung offen)	⟦otchdy:individuelle Kreisbezeichnung bei sichtbarer Lage 2.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otchdy=kalt-trocken; Anfangsstufe erreicht	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
45	SCARR008|f68r1|S1	f68	f68r1	f68r1.35	otochedy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)	⟦otochedy:individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
46	SCARR008|f68r1|S1	f68	f68r1	f68r1.8	okodaly	1	individuelle Kreisbezeichnung bei sichtbarer Lage 11.000000 Uhr (Bedeutung offen)	⟦okodaly:individuelle Kreisbezeichnung bei sichtbarer Lage 11.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
47	SCARR008|f68r1|S1	f68	f68r1	f68r1.25	otol	1	individuelle Kreisbezeichnung bei sichtbarer Lage 3.000000 Uhr (Bedeutung offen)	⟦otol:individuelle Kreisbezeichnung bei sichtbarer Lage 3.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otol=kaltes Zubereitungsgut	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
48	SCARR008|f68r1|S1	f68	f68r1	f68r1.26	otor	1	individuelle Kreisbezeichnung bei sichtbarer Lage 8.500000 Uhr (Bedeutung offen)	⟦otor:individuelle Kreisbezeichnung bei sichtbarer Lage 8.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otor=kalte Drogenportion im Ansatz	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
49	SCARR008|f68r1|S1	f68	f68r1	f68r1.14	otshey	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.750000 Uhr (Bedeutung offen)	⟦otshey:individuelle Kreisbezeichnung bei sichtbarer Lage 9.750000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otshey=kalt-feucht; Mittelstufe	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
50	SCARR008|f68r1|S1	f68	f68r1	f68r1.15	otydy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 10.250000 Uhr (Bedeutung offen)	⟦otydy:individuelle Kreisbezeichnung bei sichtbarer Lage 10.250000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otydy=kalter Ansatz in Grundform, fertig	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
51	SCARR008|f68r1|S1	f68	f68r1	f68r1.24	otykchs	1	individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)	⟦otykchs:individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
52	SCARR008|f68r1|S1	f68	f68r1	f68r1.19	otys	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)	⟦otys:individuelle Kreisbezeichnung bei sichtbarer Lage 9.000000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
53	SCARR008|f68r1|S1	f68	f68r1	f68r1.30	oeeody	1	individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)	⟦oeeody:individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	oeeody=Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
