surface	component_recipe	portable_core_de	events	physical_pages	registers	layers	cross_layer	cross_register	event_ids
dchor	D_ADDR+CH+OR	TEIL · NEHMEN · SATZ	3	f13r|f68r1|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0174|P912-E1965|P912-E2042
dchy	D_ADDR+Y	TEIL · DIES	3	f10r|f13r|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0053|P912-E0203|P912-E2100
doiir	D_ADDR+O+IIN+R	TEIL · AUSFÜHREN · STUFE · MARKIEREN	2	f10r|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0038|P912-E2019
dy	Y	DIES	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0028|P912-E0029|P912-E0049|P912-E0076|P912-E0123|P912-E0151|P912-E0155|P912-E0206|P912-E0372|P912-E0432|P912-E0469|P912-E0524|P912-E0532|P912-E0546|P912-E0561|P912-E0657|P912-E0678|P912-E0693|P912-E0772|P912-E0801|P912-E0828|P912-E0893|P912-E0897|P912-E1124|P912-E1225|P912-E1228|P912-E1791|P912-E1845|P912-E1869|P912-E1884|P912-E2029|P912-E2065|P912-E2069|P912-E2114|P912-E2135|P912-E2185|P912-E2260
ey	E+Y	KURZ · DIES	3	f67r2|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0610|P912-E1389|P912-E1755
kchey	K+CH+E+Y	GEBEN · NEHMEN · KURZ · DIES	2	f56r|f67r2	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0408|P912-E1764
kchy	K+Y	GEBEN · DIES	4	f11r|f13r|f67r2	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0122|P912-E0181|P912-E0227|P912-E1770
o	O	AUSFÜHREN	8	f10r|f56r|f69v|f70v|f75r|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0020|P912-E0335|P912-E0712|P912-E1464|P912-E2014|P912-E2040|P912-E2249|P912-E2348
ockhy	O+CKH+Y	AUSFÜHREN · DURCHLASS · DIES	3	f67r2|f68r1|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1853|P912-E1983|P912-E2055
ody	O+DY	AUSFÜHREN · SCHLIESSEN	6	f10r|f55v|f69v|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0039|P912-E0258|P912-E0263|P912-E2077|P912-E2242|P912-E2277
ofar	O+LOCAL_CHAR_F+AR	AUSFÜHREN · NEBENWEG · QUELLE	2	f67r2	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1808|P912-E1832
okain	OK+AIN	SETZEN · EINHEIT	6	f67r2|f81v|f82r|f83r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0891|P912-E0918|P912-E1261|P912-E1263|P912-E1677|P912-E1818
okal	OK+AL	SETZEN · ZIEL	9	f55v|f67r2|f75r|f81v|f82r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0296|P912-E0321|P912-E0748|P912-E0872|P912-E0982|P912-E1156|P912-E1200|P912-E1394|P912-E1804
okaldy	OK+AL+DY	SETZEN · ZIEL · SCHLIESSEN	2	f75r|f82r	BATH_STATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E0674|P912-E1395
okar	OK+AR	SETZEN · QUELLE	13	f55v|f56r|f67r2|f69v|f75r|f81v	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0251|P912-E0286|P912-E0292|P912-E0365|P912-E0534|P912-E0715|P912-E0751|P912-E0768|P912-E0908|P912-E1757|P912-E1771|P912-E2031|P912-E2032
okchdy	OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	2	f68r1|f75r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0576|P912-E2000
okchy	OK+Y	SETZEN · DIES	3	f13r|f56r|f67r2	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0198|P912-E0410|P912-E1761
okedy	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	7	f69v|f75r|f81v|f83r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0819|P912-E0832|P912-E0884|P912-E0987|P912-E1098|P912-E1514|P912-E2025
okeedy	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	7	f55v|f75r|f81v|f83r	BATH_STATION|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0236|P912-E0508|P912-E0849|P912-E0904|P912-E0949|P912-E1652|P912-E1658
okeeody	OK+EE+O+D_ADDR+Y	SETZEN · LÄNGER · AUSFÜHREN · TEIL · DIES	2	f67r2|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1933|P912-E2017
okeeol	OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	2	f70v|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1676|P912-E2321
okeey	OK+EE+Y	SETZEN · LÄNGER · DIES	8	f68r1|f69v|f75r|f81v	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0441|P912-E0941|P912-E0956|P912-E1076|P912-E1961|P912-E2018|P912-E2111|P912-E2134
okeo	OK+E+O	SETZEN · KURZ · AUSFÜHREN	2	f67r2|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1814|P912-E2113
okeody	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · DIES	2	f55v|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0238|P912-E2140
okey	OK+E+Y	SETZEN · KURZ · DIES	6	f67r2|f69v|f70v|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0487|P912-E1331|P912-E1914|P912-E2136|P912-E2198|P912-E2258
okol	OK+OL	SETZEN · FORTSETZEN	4	f67r2|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E1836|P912-E1923|P912-E2418|P912-E2434
okoldy	OK+OL+DY	SETZEN · FORTSETZEN · SCHLIESSEN	3	f68r1|f75r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0822|P912-E1990|P912-E2470
oky	OK+Y	SETZEN · DIES	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0016|P912-E0309|P912-E0957|P912-E0960|P912-E1094|P912-E1355|P912-E1999|P912-E2276|P912-E2386
ol	OL	FORTSETZEN	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0248|P912-E0305|P912-E0315|P912-E0480|P912-E0543|P912-E0627|P912-E0652|P912-E0662|P912-E0665|P912-E0696|P912-E0753|P912-E0864|P912-E0874|P912-E0878|P912-E0894|P912-E0911|P912-E0921|P912-E0966|P912-E0993|P912-E1003|P912-E1012|P912-E1021|P912-E1023|P912-E1030|P912-E1089|P912-E1095|P912-E1235|P912-E1369|P912-E1387|P912-E1706|P912-E1736|P912-E1740|P912-E1742|P912-E2072|P912-E2451|P912-E2458
olaiin	OL+AIIN	FORTSETZEN · SOLLWERT	3	f70v|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0825|P912-E1402|P912-E2203
olar	OL+AR	FORTSETZEN · QUELLE	2	f67r2|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1925|P912-E2264
olor	OL+OR	FORTSETZEN · SATZ	4	f68r1|f75r|f81v	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0847|P912-E0920|P912-E0943|P912-E1982
ols	OL+S	FORTSETZEN · AUSWÄHLEN	2	f67r2|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1488|P912-E1753
oly	OL+Y	FORTSETZEN · DIES	6	f67r2|f70v|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0530|P912-E0540|P912-E0604|P912-E1348|P912-E1913|P912-E2179
otaiin	OT+AIIN	DANACH · SOLLWERT	5	f70v|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1605|P912-E1620|P912-E2175|P912-E2344|P912-E2352
otain	OT+AIN	DANACH · EINHEIT	4	f75r|f81v|f82r	BATH_STATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E0601|P912-E0902|P912-E1111|P912-E1250
otal	OT+AL	DANACH · ZIEL	6	f70v|f83r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E1510|P912-E1628|P912-E2195|P912-E2226|P912-E2288|P912-E2339
otar	OT+AR	DANACH · QUELLE	15	f10r|f55v|f67r2|f70v|f75r|f81v	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0088|P912-E0288|P912-E0311|P912-E0566|P912-E0676|P912-E0752|P912-E0769|P912-E0815|P912-E0823|P912-E1055|P912-E1883|P912-E2274|P912-E2296|P912-E2327|P912-E2329
otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLIESSEN	2	f68r1|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1720|P912-E1985
