statement_id	page	record	owner_de	events	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_reading_de	fluent_workshop_reading_de	restored_after_107_statement_omission
H4-S002	f55v	H4	die breitblaettrige rispige Pflanze	3	daiin chedy talam	AIIN | CHD+Y | TALAM	NONE	EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; BEISEITESTELLEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	NO
H4-S003	f55v	H4	die breitblaettrige rispige Pflanze	4	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	NONE	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER; ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN; WEITER · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	NO
H4-S004	f55v	H4	die breitblaettrige rispige Pflanze	6	daiin qokal oltchy or chey orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	CPH11	EIN KLEINER SCHOEPFBECHER; ANSETZEN · ZIELSTELLE; WEITER · BEARBEITEN · POSTEN; CPH11[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN]; ANSATZ · EIN ABGEGRENZTER TEIL	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.	NO
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	9	chochor cho chodaly daiin cho kchol otchor qoky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	NONE	ZUTAT · ENTNEHMEN · ANSATZ; ZUTAT; ZUTAT · ZIELSTELLE · POSTEN; EIN KLEINER SCHOEPFBECHER; ZUTAT; ZUGEBEN · WEITER; DANACH · ENTNEHMEN · ANSATZ; ANSETZEN · POSTEN; ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	NO
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	4	schol choy qoky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	NONE	DAVON; ZUTAT · POSTEN; ANSETZEN · POSTEN; ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	NO
H5-S003	f56r	H5	die mehrkoepfige stachelige Pflanze	4	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	NONE	HALTEN; ZUTAT; ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · ANSETZEN · POSTEN	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	YES
H5-S004	f56r	H5	die mehrkoepfige stachelige Pflanze	3	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	NONE	ANSETZEN · POSTEN; ANSETZEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG; ZUGEBEN · ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	YES
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	4	cho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	NONE	ZUTAT; ANSETZEN · POSTEN; ZUGEBEN · ZUTAT · QUELLE; DANACH · ARBEITSGANG · EIN ABGEGRENZTER TEIL	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	YES
H5-S006	f56r	H5	die mehrkoepfige stachelige Pflanze	3	otchey keol daiin	OT+Y | K+E+OL | AIIN	NONE	DANACH · POSTEN; ZUGEBEN · EIN KURZER ARBEITSGANG · WEITER; EIN KLEINER SCHOEPFBECHER	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	YES
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	NO
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	19	qokaiin kair qokal char ol kain olkain dal ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	CPH09,CPH10	ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · EIN ABGEGRENZTER TEIL; CPH09[EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN]; WEITER; ABKUEHLEN UND WEITERARBEITEN; LEITEN; CPH10[DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN]; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; ANSETZEN · DREI KURZE ARBEITSGAENGE · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; DURCHLASS · POSTEN; UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NO
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	2	ol sshkchdy	OL | SH+K+CHD+DY	NONE	WEITER; HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	NO
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	3	chedy ol shedy	CHD+Y | OL | SHED+DY	CPH03	CPH03[DEN POSTEN UMSETZEN UND WEITERFUEHREN]; STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	NO
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	1	qolchedy	OL+CHD+DY	NONE	WEITER · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	NO
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	4	qokain chckhy dl ral	OK+AIN | CKH+Y | L | R+AL	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL; DURCHLASS · POSTEN; LEITEN; KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	NO
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	1	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	NO
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	CPH08	POSTEN; WEITER; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; CPH08[WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN]	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	NO
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	NO
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	1	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	NO
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	2	chckhy qoky	CKH+Y | OK+Y	NONE	DURCHLASS · POSTEN; ANSETZEN · POSTEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	NO
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	3	lsho okey lshedy	LSH+O | OK+E+Y | LSH+E+DY	NONE	SPUELEN · ARBEITSGANG; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN; SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.	NO
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	1	lshedy	LSH+E+DY	NONE	SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.	NO
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	5	chedy qolky lchedal ol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	NONE	UMSETZEN · POSTEN; SAMMELN · POSTEN; LEITEN · UMSETZEN · ZIELSTELLE; WEITER; DANACH · QUELLE	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	NO
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	2	ytey okchedy	T+E+Y | OK+CHD+DY	NONE	BEARBEITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.	NO
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	4	qokal qokeey ol shedy	OK+AL | OK+EE+Y | OL | SHED+DY	CPH08	ANSETZEN · ZIELSTELLE; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; CPH08[WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN]	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	NO
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	3	dal teol dchdy	AL | E+OL | CHD+DY	NONE	ZIELSTELLE; EIN KURZER ARBEITSGANG · WEITER; UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	NO
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	NONE	LEITEN · POSTEN; HALTEN · EIN KURZER ARBEITSGANG · WEITER; ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.	NO
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	1	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	NO
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	2	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	NONE	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	NO
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	1	dal	AL	NONE	ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	NO
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	1	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	NO
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	1	qolchedy	OL+CHD+DY	NONE	WEITER · UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	NO
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	3	qokain chey qokeedy	OK+AIN | Y | OK+EE+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL; POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	NO
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	NONE	ANSETZEN · ZIELSTELLE; LEITEN · DURCHLASS · POSTEN; LEITEN · UMSETZEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	NO
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	NONE	ANSETZEN · ZIELSTELLE · POSTEN; SAMMELN · EIN KLEINER SCHOEPFBECHER; DURCHLASS · POSTEN; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN; LEITEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	NO
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	NONE	DANACH · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · ZIELSTELLE; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · POSTEN; ANSETZEN · POSTEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	NO
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	dshedy	SH+E+DY	NONE	HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	NO
B2-S008	f82r	B2	die linke Mittelstation mit Zwischenknoten	3	otaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	NONE	DANACH · EIN KLEINER SCHOEPFBECHER; ANSETZEN · QUELLE; STEHENLASSEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	NO
B2-S009	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	solshedy	OL+SH+E+DY	NONE	WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	NO
B2-S010	f82r	B2	die linke Mittelstation mit Zwischenknoten	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	CPH13	CPH13[DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN]; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	NO
B2-S011	f82r	B2	die rechte unklare Mittelstation	4	qokain char qokain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL; QUELLE; ANSETZEN · EIN ABGEGRENZTER TEIL; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	NO
B2-S012	f82r	B2	die rechte unklare Mittelstation und das untere gruene Figurenbecken	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	CPH01	LEITEN · ENTNEHMEN · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; DEN POSTEN LAENGER LEITEN; CPH01[DEN POSTEN NACH SOLLMASS FUEHREN]; DEN GANZEN POSTEN ANSETZEN UND SCHLIESSEN	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	NO
B2-S013	f82r	B2	das untere gruene Figurenbecken	1	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	NO
B2-S014	f82r	B2	das untere gruene Figurenbecken	1	lar	L+AR	NONE	LEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	NO
B2-S015	f82r	B2	die Randstationen des unteren Beckens	2	tshey qokeedy	SH+E+Y | OK+EE+DY	NONE	HALTEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	NO
B2-S016	f82r	B2	die Randstationen des unteren Beckens	8	dal lchedar ches daiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	NONE	ZIELSTELLE; LEITEN · UMSETZEN · QUELLE; ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE; EIN KLEINER SCHOEPFBECHER; DANACH · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN; EINBRINGEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.	NO
B2-S017	f82r	B2	die Randstationen des unteren Beckens	2	rsheal daldy	R+SH+E+AL | AL+DY	NONE	KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE; ZIELSTELLE · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	NO
B2-S018	f82r	B2	die Randstationen des unteren Beckens	1	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	NO
B2-S019	f82r	B2	die Randstationen des unteren Beckens	1	rshedy	R+SHED+DY	NONE	KUEHLEN · STEHENLASSEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	NO
B2-S020	f82r	B2	die Randstationen des unteren Beckens	1	qoteedy	OT+EE+DY	NONE	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	NO
B2-S021	f82r	B2	die Randstationen des unteren Beckens	1	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	NO
