surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class
qokeey	OK+EE+Y	START + LANG + DIES	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	20	f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
or	OR	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	19	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
qokaiin	OK+AIIN	START + SOLLWERT	Arbeitsgang ansetzen; Sollmaß	Bildplatz aktivieren; verzeichneter Sollwert	18	f55v|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
dain	AIN	EINHEIT	Portion	Einheit oder Index	16	f10r|f11r|f67r2|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
qokal	OK+AL	START + ZIEL	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; Zielplatz	16	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	16	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
cheey	SH+EE+Y	HALT + LANG + DIES	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; dieser Bildplatz	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
chy	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
otar	OT+AR	NAECHST + QUELLE	danach oder nächster Posten; Entnahmestelle	nächster Bildplatz; Quell- oder Bezugsstelle	15	f10r|f55v|f67r2|f70v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
cheol	CHEO+L	AUSZUG + VERBINDUNG	Auszug; entlang des Arbeitswegs führen	lokaler Eintrag; Bildverbindung	13	f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
okar	OK+AR	START + QUELLE	Arbeitsgang ansetzen; Entnahmestelle	Bildplatz aktivieren; Quell- oder Bezugsstelle	13	f55v|f56r|f67r2|f69v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
oldy	OL+DY	WEITER + ENDE	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	dieselbe Reihe fortführen; Bildeintrag schließen	12	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
sol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	12	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
sar	S+AR	WAHL + QUELLE	Arbeitsvariante auswählen; Entnahmestelle	Bildklasse auswählen; Quell- oder Bezugsstelle	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
al	AL	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	10	f55v|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
am	AM_ADDR	INNEN	Innenstelle	Innenplatz	10	f10r|f55v|f67r2|f70v|f75r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
chckhy	CKH+Y	DURCHLASS + DIES	durch einen Durchlass führen; dieser Arbeitsgegenstand	Verbindung oder Durchlass; dieser Bildplatz	10	f13r|f55v|f75r|f81v|f82r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
qoty	OT+Y	NAECHST + DIES	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	10	f10r|f11r|f13r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
r	R	MARKE	Zustand kennzeichnen	Zustandsmarke	10	f56r|f67r2|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
chor	CH+OR	AUSWAHL + EINTRAG	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Klasse oder Figur kennzeichnen; Eintragsklasse	9	f10r|f13r|f56r|f88r	HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
okal	OK+AL	START + ZIEL	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; Zielplatz	9	f55v|f67r2|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
oky	OK+Y	START + DIES	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
qokey	OK+E+Y	START + KURZ + DIES	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand	Bildplatz aktivieren; erster Grad; dieser Bildplatz	9	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
saiin	S+AIIN	WAHL + SOLLWERT	Arbeitsvariante auswählen; Sollmaß	Bildklasse auswählen; verzeichneter Sollwert	9	f67r2|f70v|f75r|f81v|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
sain	S+AIN	WAHL + EINHEIT	Arbeitsvariante auswählen; Portion	Bildklasse auswählen; Einheit oder Index	9	f67r2|f75r|f82r|f83r	BIOLOGICAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
chdy	CHD+Y	WECHSEL + DIES	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	8	f56r|f69v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
o	O	GANG	Arbeitsgang ausführen	Reihe aufrufen	8	f10r|f56r|f69v|f70v|f75r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
okaiin	OK+AIIN	START + SOLLWERT	Arbeitsgang ansetzen; Sollmaß	Bildplatz aktivieren; verzeichneter Sollwert	8	f55v|f56r|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
okeey	OK+EE+Y	START + LANG + DIES	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	8	f68r1|f69v|f75r|f81v	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
otedy	OT+E+DY	NAECHST + KURZ + ENDE	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen	nächster Bildplatz; erster Grad; Bildeintrag schließen	8	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qokar	OK+AR	START + QUELLE	Arbeitsgang ansetzen; Entnahmestelle	Bildplatz aktivieren; Quell- oder Bezugsstelle	8	f75r|f81v|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qoteedy	OT+EE+DY	NAECHST + LANG + ENDE	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	8	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
shy	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	8	f10r|f13r|f56r|f75r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
cthy	CTH+Y	BEREIT + DIES	bis bereit führen; dieser Arbeitsgegenstand	Bereitschaftsklasse; dieser Bildplatz	7	f10r|f11r|f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
d	D_ADDR	UNTER	bezeichneter Teil	Unterplatz	7	f11r|f13r|f56r|f69v|f82r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
okedy	OK+E+DY	START + KURZ + ENDE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	7	f69v|f75r|f81v|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
okeedy	OK+EE+DY	START + LANG + ENDE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	7	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
oteey	OT+EE+Y	NAECHST + LANG + DIES	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	nächster Bildplatz; zweiter Grad; dieser Bildplatz	7	f69v|f70v|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
otor	OT+OR	NAECHST + EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	nächster Bildplatz; Eintragsklasse	7	f10r|f68r1|f70v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
sal	S+AL	WAHL + ZIEL	Arbeitsvariante auswählen; Ziel- oder Anschlussstelle	Bildklasse auswählen; Zielplatz	7	f67r2|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
sheedy	SH+EE+DY	HALT + LANG + ENDE	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsschritt schließen	Bezug festhalten; zweiter Grad; Bildeintrag schließen	7	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
shol	SH+OL	HALT + WEITER	Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	Bezug festhalten; dieselbe Reihe fortführen	7	f13r|f56r|f70v|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
cheky	CHK+E+Y	BEHANDLUNG + KURZ + DIES	Arbeitsgegenstand behandeln; kurz oder direkt; dieser Arbeitsgegenstand	Behandlungsklasse; erster Grad; dieser Bildplatz	6	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
cheor	CHEO+R	AUSZUG + MARKE	Auszug; Zustand kennzeichnen	lokaler Eintrag; Zustandsmarke	6	f68r1|f69v|f82r|f88r	BIOLOGICAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
cho	HO	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	6	f55v|f56r|f67r2|f69v|f70v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
dair	D_ADDR+AIR	UNTER + LAUFWEG	bezeichneter Teil; Flüssigkeits- oder Stationslauf	Unterplatz; Ringlauf	6	f10r|f11r|f69v|f70v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
dshedy	SH+E+DY	HALT + KURZ + ENDE	Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	Bezug festhalten; erster Grad; Bildeintrag schließen	6	f75r|f81v|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
l	L	VERBINDUNG	entlang des Arbeitswegs führen	Bildverbindung	6	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
lshedy	LSH+E+DY	SPUELEN + KURZ + ENDE	spülen; kurz oder direkt; Arbeitsschritt schließen	Spülklasse; erster Grad; Bildeintrag schließen	6	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
ody	O+DY	GANG + ENDE	Arbeitsgang ausführen; Arbeitsschritt schließen	Reihe aufrufen; Bildeintrag schließen	6	f10r|f55v|f69v|f70v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
okain	OK+AIN	START + EINHEIT	Arbeitsgang ansetzen; Portion	Bildplatz aktivieren; Einheit oder Index	6	f67r2|f81v|f82r|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
okey	OK+E+Y	START + KURZ + DIES	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand	Bildplatz aktivieren; erster Grad; dieser Bildplatz	6	f67r2|f69v|f70v|f75r|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
oly	OL+Y	WEITER + DIES	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	dieselbe Reihe fortführen; dieser Bildplatz	6	f67r2|f70v|f75r|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
otal	OT+AL	NAECHST + ZIEL	danach oder nächster Posten; Ziel- oder Anschlussstelle	nächster Bildplatz; Zielplatz	6	f70v|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
oty	OT+Y	NAECHST + DIES	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	6	f56r|f69v|f70v|f75r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
qokol	OK+OL	START + WEITER	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	Bildplatz aktivieren; dieselbe Reihe fortführen	6	f83r|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY
sheey	SH+EE+Y	HALT + LANG + DIES	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; dieser Bildplatz	6	f69v|f81v|f82r|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
ain	AIN	EINHEIT	Portion	Einheit oder Index	5	f55v|f67r2|f75r	BIOLOGICAL|HERBAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
air	AIR	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	5	f67r2|f69v|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
chcthy	CH+CTH+Y	AUSWAHL + BEREIT + DIES	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; dieser Bildplatz	5	f10r|f70v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
cheody	CHEO+Y	AUSZUG + DIES	Auszug; dieser Arbeitsgegenstand	lokaler Eintrag; dieser Bildplatz	5	f55v|f69v|f70v|f88r	HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
dor	D_ADDR+OR	UNTER + EINTRAG	bezeichneter Teil; Ansatz oder Zubereitung	Unterplatz; Eintragsklasse	5	f11r|f13r|f75r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
keedy	K+EE+DY	ZUORDNUNG + LANG + ENDE	Material zugeben; länger oder gehalten; Arbeitsschritt schließen	Wert zuordnen; zweiter Grad; Bildeintrag schließen	5	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
ldy	L+DY	VERBINDUNG + ENDE	entlang des Arbeitswegs führen; Arbeitsschritt schließen	Bildverbindung; Bildeintrag schließen	5	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
lo	L+O	VERBINDUNG + GANG	entlang des Arbeitswegs führen; Arbeitsgang ausführen	Bildverbindung; Reihe aufrufen	5	f75r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
olchedy	OL+CHD+DY	WEITER + WECHSEL + ENDE	im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; Arbeitsschritt schließen	dieselbe Reihe fortführen; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	5	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
olkeedy	SOLK+EE+DY	SAMMELN + LANG + ENDE	auffangen; länger oder gehalten; Arbeitsschritt schließen	Sammelstelle; zweiter Grad; Bildeintrag schließen	5	f75r|f81v|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
otaiin	OT+AIIN	NAECHST + SOLLWERT	danach oder nächster Posten; Sollmaß	nächster Bildplatz; verzeichneter Sollwert	5	f70v|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
pchedy	P+CHD+DY	EINSATZ + WECHSEL + ENDE	Material einsetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Platz besetzen; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	5	f75r|f81v|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qokchdy	OK+CHD+DY	START + WECHSEL + ENDE	Arbeitsgang ansetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Bildplatz aktivieren; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	5	f75r|f81v|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qotal	OT+AL	NAECHST + ZIEL	danach oder nächster Posten; Ziel- oder Anschlussstelle	nächster Bildplatz; Zielplatz	5	f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qotchy	OT+Y	NAECHST + DIES	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	5	f10r|f11r|f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
qotedy	OT+E+DY	NAECHST + KURZ + ENDE	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen	nächster Bildplatz; erster Grad; Bildeintrag schließen	5	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
sor	S+OR	WAHL + EINTRAG	Arbeitsvariante auswählen; Ansatz oder Zubereitung	Bildklasse auswählen; Eintragsklasse	5	f10r|f67r2|f75r|f83r	BIOLOGICAL|HERBAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
ykar	Y+K+AR	DIES + ZUORDNUNG + QUELLE	dieser Arbeitsgegenstand; Material zugeben; Entnahmestelle	dieser Bildplatz; Wert zuordnen; Quell- oder Bezugsstelle	5	f55v|f67r2|f69v|f88r	HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
ykeey	Y+K+EE+Y	DIES + ZUORDNUNG + LANG + DIES	dieser Arbeitsgegenstand; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand	dieser Bildplatz; Wert zuordnen; zweiter Grad; dieser Bildplatz	5	f69v|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
chaiin	CH+AIIN	AUSWAHL + SOLLWERT	bezeichneten Anteil entnehmen; Sollmaß	Klasse oder Figur kennzeichnen; verzeichneter Sollwert	4	f10r|f11r|f55v	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
char	AR	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	4	f10r|f69v|f75r|f82r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
cheeky	CHK+EE+Y	BEHANDLUNG + LANG + DIES	Arbeitsgegenstand behandeln; länger oder gehalten; dieser Arbeitsgegenstand	Behandlungsklasse; zweiter Grad; dieser Bildplatz	4	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
