statement_id	record_unit_id	page	shared_surface_skeleton	old_literal_reading_de	revised_literal_reading_de	current_fluent_statement_de
B1-S008	B1	f81v	chey cheol cheol	diesen Posten weiterführen weiterführen	dieser Posten weiter weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
B1-S011	B1	f81v	choky	den Posten ansetzen	diesen Posten einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
B1-S014	B1	f81v	chdy cheol	den Posten umsetzen weiterführen	diesen Posten übertragen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
B1-S016	B1	f81v	okal cheol	am Ziel ansetzen weiterführen	dorthin einsetzen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
B1-S017	B1	f81v	al	zum Ziel	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
B1-S021	B1	f81v	al	zum Ziel	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
B2-S003	B2	f82r	chey	diesen Posten	dieser Posten	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
B2-S004	B2	f82r	okal	am Ziel ansetzen	dorthin einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
B2-S005	B2	f82r	okaiin okaiin	das Sollmaß einstellen das Sollmaß einstellen	auf Sollmaß stellen auf Sollmaß stellen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
B2-S006	B2	f82r	okal choky	am Ziel ansetzen den Posten ansetzen	dorthin einsetzen diesen Posten einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
B2-S010	B2	f82r	choky cheey	den Posten ansetzen bis zum Ergebnis	diesen Posten einsetzen Klarlauf	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
B2-S011	B2	f82r	char	aus der Quelle	davon	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
B2-S012	B2	f82r	cheey aiin chey	bis zum Ergebnis nach Sollmaß diesen Posten	Klarlauf Sollmaß dieser Posten	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
B2-S016	B2	f82r	al aiin okaiin	zum Ziel nach Sollmaß das Sollmaß einstellen	dorthin Sollmaß auf Sollmaß stellen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
B3-S003	B3	f83r	chey aiin chey	diesen Posten nach Sollmaß diesen Posten	dieser Posten Sollmaß dieser Posten	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
B3-S004	B3	f83r	okaiin char	das Sollmaß einstellen aus der Quelle	auf Sollmaß stellen davon	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
B3-S006	B3	f83r	okal	am Ziel ansetzen	dorthin einsetzen	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
B3-S007	B3	f83r	okaiin chdy	das Sollmaß einstellen den Posten umsetzen	auf Sollmaß stellen diesen Posten übertragen	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
B3-S009	B3	f83r	choky	den Posten ansetzen	diesen Posten einsetzen	Für die Charge des runden Randgefäßes: Setze den Posten an.
B3-S011	B3	f83r	choky chdy	den Posten ansetzen den Posten umsetzen	diesen Posten einsetzen diesen Posten übertragen	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
B3-S012	B3	f83r	chor	den Ansatz	Arbeitsansatz	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
B3-S013	B3	f83r	okaiin	das Sollmaß einstellen	auf Sollmaß stellen	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
B3-S020	B3	f83r	al	zum Ziel	dorthin	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
B3-S021	B3	f83r	okaiin checthy al chey aiin chey al checthy	das Sollmaß einstellen den Posten bereit halten zum Ziel diesen Posten nach Sollmaß diesen Posten zum Ziel den Posten bereit halten	auf Sollmaß stellen diesen Posten bereitstellen dorthin dieser Posten Sollmaß dieser Posten dorthin diesen Posten bereitstellen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
B3-S026	B3	f83r	chdy checthy	den Posten umsetzen den Posten bereit halten	diesen Posten übertragen diesen Posten bereitstellen	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
B3-S029	B3	f83r	cheol	weiterführen	weiter	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
B3-S030	B3	f83r	choky aiin	den Posten ansetzen nach Sollmaß	diesen Posten einsetzen Sollmaß	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
B3-S032	B3	f83r	chdy	den Posten umsetzen	diesen Posten übertragen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
B3-S034	B3	f83r	checthy chety	den Posten bereit halten einen Teil abteilen	diesen Posten bereitstellen einen Teil abtrennen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
B4-S003	B4	f83r	chdy otchey choky cheol	den Posten umsetzen danach den nächsten Posten den Posten ansetzen weiterführen	diesen Posten übertragen der nächste Posten diesen Posten einsetzen weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
B4-S005	B4	f83r	chdy	den Posten umsetzen	diesen Posten übertragen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
B4-S008	B4	f83r	aiin cheeky	nach Sollmaß den Posten länger wärmen	Sollmaß länger bearbeiten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
B4-S010	B4	f83r	oldy	weiterführen und schließen	fortsetzen; abschließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
B4-S011	B4	f83r	aiin chdy cheol	nach Sollmaß den Posten umsetzen weiterführen	Sollmaß diesen Posten übertragen weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
B4-S014	B4	f83r	chor chey	den Ansatz diesen Posten	Arbeitsansatz dieser Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
B4-S015	B4	f83r	cheey	bis zum Ergebnis	Klarlauf	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
B4-S016	B4	f83r	al	zum Ziel	dorthin	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
B5-S003	B5	f83r	al cheol aiin cheol chdy	zum Ziel weiterführen nach Sollmaß weiterführen den Posten umsetzen	dorthin weiter Sollmaß weiter diesen Posten übertragen	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
B6-S001	B6	f83r	cheol aiin cheol chey	weiterführen nach Sollmaß weiterführen diesen Posten	weiter Sollmaß weiter dieser Posten	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
