event_serial	statement_id	record_unit_id	page	visible_surface	master_form	previous_visible_surface	next_visible_surface	revised_portable_default_de	continuous_statement_context_de
22	H2-S001	H2	f10r	taiin	aiin	chy	shy	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
23	H2-S001	H2	f10r	shy	chey	taiin	STATEMENT_END	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
25	H2-S002	H2	f10r	chor	chor	qotchor	otol	Arbeitsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
27	H2-S002	H2	f10r	chol	cheol	otol	cholor	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
28	H2-S002	H2	f10r	cholor	cholor	chol	chol	damit weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
29	H2-S002	H2	f10r	chol	cheol	cholor	daiin	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
30	H2-S002	H2	f10r	daiin	aiin	chol	dar	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
31	H2-S002	H2	f10r	dar	char	daiin	STATEMENT_END	davon	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
33	H2-S003	H2	f10r	shor	chor	oykchor	chor	Arbeitsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
34	H2-S003	H2	f10r	chor	chor	shor	chy	Arbeitsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
35	H2-S003	H2	f10r	chy	chey	chor	kaiiin	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
37	H2-S003	H2	f10r	dy	chey	kaiiin	chodaiin	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
44	H3-S001	H3	f11r	shey	cheey	cphy	tchody	Klarlauf	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
48	H3-S003	H3	f11r	chy	chey	dchol	kchy	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
50	H3-S003	H3	f11r	dy	chey	kchy	daiin	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
51	H3-S003	H3	f11r	daiin	aiin	dy	STATEMENT_END	Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
54	H3-S004	H3	f11r	cthy	checthy	okchol	dy	diesen Posten bereitstellen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
55	H3-S004	H3	f11r	dy	chey	cthy	STATEMENT_END	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
56	H4-S001	H4	f55v	qokaiin	okaiin	STATEMENT_START	chaiin	auf Sollmaß stellen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
57	H4-S001	H4	f55v	chaiin	aiin	qokaiin	ykain	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
61	H4-S002	H4	f55v	daiin	aiin	STATEMENT_START	chedy	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
62	H4-S002	H4	f55v	chedy	chdy	daiin	talam	diesen Posten übertragen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
66	H4-S003	H4	f55v	cheeky	cheeky	cheoar	oldy	länger bearbeiten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
67	H4-S003	H4	f55v	oldy	oldy	cheeky	STATEMENT_END	fortsetzen; abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
68	H4-S004	H4	f55v	aiin	aiin	STATEMENT_START	okal	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
69	H4-S004	H4	f55v	okal	okal	aiin	oltchy	dorthin einsetzen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
71	H4-S004	H4	f55v	or	chor	oltchy	y	Arbeitsansatz	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
72	H4-S004	H4	f55v	y	chey	or	orain	dieser Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
77	H5-S001	H5	f56r	daiin	aiin	chodaly	sho	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
81	H5-S001	H5	f56r	choky	choky	otchor	dal	diesen Posten einsetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
82	H5-S001	H5	f56r	dal	al	choky	STATEMENT_END	dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
85	H5-S002	H5	f56r	choky	choky	choy	cheeckhody	diesen Posten einsetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
98	H5-S006	H5	f56r	otchey	otchey	STATEMENT_START	keol	der nächste Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
100	H5-S006	H5	f56r	daiin	aiin	keol	STATEMENT_END	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
102	B1-S002	B1	f81v	okaiin	okaiin	STATEMENT_START	kair	auf Sollmaß stellen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
104	B1-S002	B1	f81v	okal	okal	kair	sar	dorthin einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
105	B1-S002	B1	f81v	sar	char	okal	ol	davon	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
106	B1-S002	B1	f81v	ol	cheol	sar	kain	weiter	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
109	B1-S002	B1	f81v	al	al	olkain	ol	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
110	B1-S002	B1	f81v	ol	cheol	al	rol	weiter	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
113	B1-S002	B1	f81v	olor	cholor	dl	ol	damit weiter	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
114	B1-S002	B1	f81v	ol	cheol	olor	sheckhal	weiter	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
116	B1-S002	B1	f81v	daiin	aiin	sheckhal	qokeedal	Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
118	B1-S002	B1	f81v	daiin	aiin	qokeedal	chckhy	Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
121	B1-S003	B1	f81v	qol	cheol	STATEMENT_START	sshkchdy	weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
123	B1-S004	B1	f81v	chedy	chdy	STATEMENT_START	ol	diesen Posten übertragen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
124	B1-S004	B1	f81v	ol	cheol	chedy	shedy	weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
132	B1-S008	B1	f81v	chey	chey	STATEMENT_START	ol	dieser Posten	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
133	B1-S008	B1	f81v	ol	cheol	chey	cheky	weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
135	B1-S008	B1	f81v	ol	cheol	cheky	shedy	weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
140	B1-S011	B1	f81v	qoky	choky	chckhy	STATEMENT_END	diesen Posten einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
145	B1-S014	B1	f81v	chedy	chdy	STATEMENT_START	qolky	diesen Posten übertragen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
148	B1-S014	B1	f81v	qol	cheol	lchedal	otar	weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
152	B1-S016	B1	f81v	qokal	okal	STATEMENT_START	okeey	dorthin einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
154	B1-S016	B1	f81v	qol	cheol	okeey	cheedy	weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
156	B1-S017	B1	f81v	sal	al	STATEMENT_START	teol	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
166	B1-S021	B1	f81v	chal	al	STATEMENT_START	STATEMENT_END	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
170	B2-S003	B2	f82r	dy	chey	qokain	qokeedy	dieser Posten	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
172	B2-S004	B2	f82r	qokal	okal	STATEMENT_START	lcheckhy	dorthin einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
180	B2-S005	B2	f82r	qokaiin	okaiin	chckhy	qokaiin	auf Sollmaß stellen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
181	B2-S005	B2	f82r	qokaiin	okaiin	qokaiin	octheol	auf Sollmaß stellen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
186	B2-S006	B2	f82r	qokal	okal	oteey	sheckhy	dorthin einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
188	B2-S006	B2	f82r	qoky	choky	sheckhy	STATEMENT_END	diesen Posten einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
195	B2-S010	B2	f82r	qoky	choky	qokeey	ls	diesen Posten einsetzen	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
197	B2-S010	B2	f82r	cheey	cheey	ls	STATEMENT_END	Klarlauf	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
199	B2-S011	B2	f82r	char	char	okain	okain	davon	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
203	B2-S012	B2	f82r	cheey	cheey	lchy	qcthey	Klarlauf	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
207	B2-S012	B2	f82r	daiin	aiin	lcheey	chey	Sollmaß	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
208	B2-S012	B2	f82r	chey	chey	daiin	qokeeedy	dieser Posten	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
214	B2-S016	B2	f82r	cheal	al	STATEMENT_START	lchedar	dorthin	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
217	B2-S016	B2	f82r	aiin	aiin	ches	oteey	Sollmaß	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
219	B2-S016	B2	f82r	qokaiin	okaiin	oteey	okey	auf Sollmaß stellen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
232	B3-S003	B3	f83r	chey	chey	STATEMENT_START	daiin	dieser Posten	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
233	B3-S003	B3	f83r	daiin	aiin	chey	chey	Sollmaß	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
234	B3-S003	B3	f83r	chey	chey	daiin	lchedy	dieser Posten	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
236	B3-S004	B3	f83r	qokaiin	okaiin	STATEMENT_START	qotal	auf Sollmaß stellen	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
238	B3-S004	B3	f83r	dar	char	qotal	STATEMENT_END	davon	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
241	B3-S006	B3	f83r	qokal	okal	chedchy	olchedy	dorthin einsetzen	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
243	B3-S007	B3	f83r	qokaiin	okaiin	STATEMENT_START	chedy	auf Sollmaß stellen	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
244	B3-S007	B3	f83r	chedy	chdy	qokaiin	qokeedy	diesen Posten übertragen	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
247	B3-S009	B3	f83r	qoky	choky	STATEMENT_START	STATEMENT_END	diesen Posten einsetzen	Für die Charge des runden Randgefäßes: Setze den Posten an.
251	B3-S011	B3	f83r	qoky	choky	shecthedchy	chedy	diesen Posten einsetzen	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
252	B3-S011	B3	f83r	chedy	chdy	qoky	chary	diesen Posten übertragen	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
254	B3-S012	B3	f83r	sor	chor	STATEMENT_START	shedy	Arbeitsansatz	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
256	B3-S013	B3	f83r	qokaiin	okaiin	STATEMENT_START	chkain	auf Sollmaß stellen	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
268	B3-S020	B3	f83r	dal	al	STATEMENT_START	lchedy	dorthin	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
270	B3-S021	B3	f83r	qokaiin	okaiin	STATEMENT_START	shcthy	auf Sollmaß stellen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
271	B3-S021	B3	f83r	shcthy	checthy	qokaiin	dal	diesen Posten bereitstellen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
272	B3-S021	B3	f83r	dal	al	shcthy	sy	dorthin	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
273	B3-S021	B3	f83r	sy	chey	dal	saiin	dieser Posten	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
274	B3-S021	B3	f83r	saiin	aiin	sy	shedal	Sollmaß	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
277	B3-S021	B3	f83r	chey	chey	shecthy	tal	dieser Posten	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
278	B3-S021	B3	f83r	tal	al	chey	shcthy	dorthin	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
279	B3-S021	B3	f83r	shcthy	checthy	tal	dalchdy	diesen Posten bereitstellen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
287	B3-S026	B3	f83r	chedy	chdy	chldaiin	qokain	diesen Posten übertragen	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
289	B3-S026	B3	f83r	checthy	checthy	qokain	chealror	diesen Posten bereitstellen	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
295	B3-S029	B3	f83r	sol	cheol	STATEMENT_START	cheeety	weiter	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
298	B3-S030	B3	f83r	qoky	choky	STATEMENT_START	saiin	diesen Posten einsetzen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
299	B3-S030	B3	f83r	saiin	aiin	qoky	schedair	Sollmaß	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
