model_id	historical_model	property_id	property	our_working_system	creative_fit_0_to_3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	3
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	2
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	3
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	3
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	3
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	1
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	2
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	3
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	2
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	2
M3_BDHD_ALCHEMICAL_CODE_ALPHABET	Buch der heiligen Dreifaltigkeit ca.1416-1430	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	3
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	3
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	1
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	2
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	3
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	2
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	1
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	2
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	2
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	1
M4_PSEUDO_LULLIAN_COMBINATION	lullische und pseudo-lullische Kombinatorik	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	3
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	3
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	1
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	1
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	1
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	3
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	3
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	0
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	2
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	3
M5_BLACK_MENSURAL_NOTATION	schwarze Mensuralnotation spaetes14-fruehes15 Jahrhundert	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	1
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	2
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	2
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	3
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	2
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	2
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	2
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	3
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	3
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	1
M6_ALFONSINE_TABLE_LOOKUP	Alfonsinische Tafeln 1401-1407	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	2
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	1
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	2
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	2
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	0
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	1
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	2
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	3
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	2
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	3
M7_PICTURED_TECHNICAL_MODELBOOK	illustriertes Werkstatt- und Ingenieurexemplar ca.1430	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	3
