group_serial	opaque_local_id	page	locus	namespace_id	local_image_owner	local_content_class	surface_display	family_id	segmentation	compact_default_de	closed_workshop_reading_de	copy_rule_de
305	A3:G050	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	cheo	N05_CHE_READOUT	CHEO	Ablesewert	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
312	A3:G057	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	cheody	N05_CHE_READOUT	CHEO+DY	Ablesewert fest	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert fest.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
314	A3:G059	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	yetey	N03_TO_TE_PLACE_PHASE	Y+E+TE+Y	ausgewählter Phasenwert	A3_MIDDLE_WHEEL_RING_TEXT: ausgewählter Phasenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
318	A3:G063	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	ykey	N04_K_HOUSE_CLASS	Y+KE+Y	aktuelle Klasse	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Klasse.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
319	A3:G064	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	ch	N06_CH_CTH_CONDITION	CH	Zustand	A3_MIDDLE_WHEEL_RING_TEXT: Zustand.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
332	A3:G077	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	ychey	N05_CHE_READOUT	Y+CHEY	aktueller Ablesewert	A3_MIDDLE_WHEEL_RING_TEXT: aktueller Ablesewert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
351	A3:G096	f69v	f69v.3	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	RIGHT_LIGHT_PLANET_COMPLEXION_RUBRIC	a	N01_VALUE_SIGNS	A	Hauptwert	A3_RIGHT_WHEEL_RING_TEXT: Hauptwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
352	A3:G097	f69v	f69v.3	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	RIGHT_LIGHT_PLANET_COMPLEXION_RUBRIC	dchy	N06_CH_CTH_CONDITION	D+CH+Y	fester Zustand	A3_RIGHT_WHEEL_RING_TEXT: fester Zustand.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
371	A3:G116	f69v	f69v.10	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_07	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	ytody	N03_TO_TE_PLACE_PHASE	Y+TO+DY	Platz fest eingetragen	A3_LEFT_RADIAL_SLOT_07: Platz fest eingetragen.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
378	A3:G123	f69v	f69v.17	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_14	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	ykeydy	N04_K_HOUSE_CLASS	Y+KE+Y+DY	aktuelle Klasse fest	A3_LEFT_RADIAL_SLOT_14: aktuelle Klasse fest.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
381	A3:G126	f69v	f69v.20	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_17	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	saiir	N07_IIR_INDEX	S+A+IIR	sekundärer Hauptindex	A3_LEFT_RADIAL_SLOT_17: sekundärer Hauptindex.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
383	A3:G128	f69v	f69v.22	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_19	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	ykeody	N04_K_HOUSE_CLASS	Y+KE+ODY	Klassenplatz fest eingetragen	A3_LEFT_RADIAL_SLOT_19: Klassenplatz fest eingetragen.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
389	A3:G134	f69v	f69v.26	F69_LEFT_WHEEL_NS	A3_LEFT_RADIAL_SLOT_23	LEFT_WHEEL_LOCAL_28_PLACE_INVENTORY_ENTRY	d	N01_VALUE_SIGNS	D	Festwert	A3_LEFT_RADIAL_SLOT_23: Festwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
