page	diagram_id	locus	namespace_id	local_image_owner	local_content_class	group_count	surface_sequence	bridge_class_sequence	component_sequence	exact_surface_groups	composed_component_groups	single_component_groups	local_nomenclator_groups	complete_workshop_reading_de	owner_default_de	orientation_status	nomenclator_family_sequence	compact_default_sequence_de	family_resolved_groups	closed_locus_reading_de
f67r2	A1	f67r2.11	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_11	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	chky chykchs chy	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE	B18_ADJUST || B19_PROCESS || EXACT:dieser Posten	1	0	2	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: notiere Grad oder Diagrammzustand justieren | Diagrammplatz berechnen oder bearbeiten | dieser lokale Diagrammposten.	dieser lokale Sektorplatz 11 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Grad oder Diagrammzustand justieren | Diagrammplatz berechnen oder bearbeiten | dieser lokale Diagrammposten	0	A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren | Diagrammplatz berechnen oder bearbeiten | dieser lokale Diagrammposten.
f67r2	A1	f67r2.12	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_12	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	2	ykees ykchos	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE	B13_GRADE || B19_PROCESS	0	0	2	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: notiere lange oder volle Diagrammstufe | Diagrammplatz berechnen oder bearbeiten.	dieser lokale Sektorplatz 12 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	lange oder volle Diagrammstufe | Diagrammplatz berechnen oder bearbeiten	0	A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe | Diagrammplatz berechnen oder bearbeiten.
f67r2	A1	f67r2.13	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	4	opodchol s ain aldy	SINGLE_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE || LOCAL_NAME_OR_VALUE || B03_AIN_PART || B09_AL_TARGET	0	0	3	1	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: notiere im selben Ring, Band oder Satz fortsetzen | gezaehlter Teil oder Unterabschnitt | Zielsektor, Zielstern oder Zielfeld; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	gegenwärtiges Ringband des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || N01_VALUE_SIGNS || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	im selben Ring, Band oder Satz fortsetzen | Nebenwert | gezaehlter Teil oder Unterabschnitt | Zielsektor, Zielstern oder Zielfeld	1	A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen | Nebenwert | gezaehlter Teil oder Unterabschnitt | Zielsektor, Zielstern oder Zielfeld.
f67r2	A1	f67r2.14	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_RING_BAND_02	RIGHT_WHEEL_LOCAL_RING_RUBRIC	3	soeey doiin oldy	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE	B13_GRADE || B04_IIN_STAGE || EXACT:fortsetzen; Schluss	1	0	2	0	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: notiere lange oder volle Diagrammstufe | Grad- oder Bedingungsstufe | fortsetzen und den Eintrag schliessen.	gegenwärtiges Ringband des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	lange oder volle Diagrammstufe | Grad- oder Bedingungsstufe | fortsetzen und den Eintrag schliessen	0	A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe | Grad- oder Bedingungsstufe | fortsetzen und den Eintrag schliessen.
f67r2	A1	f67r2.15	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_15	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	1	dolchsody	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	0	0	1	0	Sternplatz A1_LEFT_LOCAL_FIELD_15: notiere im selben Ring, Band oder Satz fortsetzen.	gegenwärtiges lokales Radial-/Ringfeld 15 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE	im selben Ring, Band oder Satz fortsetzen	0	A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen.
f67r2	A1	f67r2.16	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_16	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	4	odaeiin okoes oekain y	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE	B04_IIN_STAGE || B05_OK_SET || B03_AIN_PART || EXACT:dieser Posten	1	0	3	0	Sternplatz A1_LEFT_LOCAL_FIELD_16: notiere Grad- oder Bedingungsstufe | Diagrammposten setzen oder aktivieren | gezaehlter Teil oder Unterabschnitt | dieser lokale Diagrammposten.	gegenwärtiges lokales Radial-/Ringfeld 16 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Grad- oder Bedingungsstufe | Diagrammposten setzen oder aktivieren | gezaehlter Teil oder Unterabschnitt | dieser lokale Diagrammposten	0	A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe | Diagrammposten setzen oder aktivieren | gezaehlter Teil oder Unterabschnitt | dieser lokale Diagrammposten.
f67r2	A1	f67r2.17	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_17	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	3	otchey soraiir dy	EXACT_PROSE_SURFACE_BRIDGE SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE	EXACT:Folgeposten || B08_OR_WORKSET || EXACT:dieser Posten	2	0	1	0	Sternplatz A1_LEFT_LOCAL_FIELD_17: notiere naechster Diagrammposten | Bedingungs-, Tabellen- oder Wahlansatz | dieser lokale Diagrammposten.	gegenwärtiges lokales Radial-/Ringfeld 17 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	naechster Diagrammposten | Bedingungs-, Tabellen- oder Wahlansatz | dieser lokale Diagrammposten	0	A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten | Bedingungs-, Tabellen- oder Wahlansatz | dieser lokale Diagrammposten.
f67r2	A1	f67r2.18	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_18	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	3	qopchy daiin dal	LOCAL_ASTRO_NOMENCLATOR EXACT_PROSE_SURFACE_BRIDGE EXACT_PROSE_SURFACE_BRIDGE	LOCAL_NAME_OR_VALUE || EXACT:Sollmaß || EXACT:dorthin	2	0	0	1	Sternplatz A1_LEFT_LOCAL_FIELD_18: notiere Sollwert oder Grad des bezeichneten Himmelsplatzes | zum bezeichneten Zielplatz; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	gegenwärtiges lokales Radial-/Ringfeld 18 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	N08_P_RELATION_SELECTION || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	neuer Paarbezug | Sollwert oder Grad des bezeichneten Himmelsplatzes | zum bezeichneten Zielplatz	1	A1_LEFT_LOCAL_FIELD_18: neuer Paarbezug | Sollwert oder Grad des bezeichneten Himmelsplatzes | zum bezeichneten Zielplatz.
f67r2	A1	f67r2.19	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	4	ydchos ain ar amy	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR	B11_HO_INPUT || B03_AIN_PART || B10_AR_SOURCE || LOCAL_NAME_OR_VALUE	0	0	3	1	Sternplatz A1_LEFT_LOCAL_FIELD_19: notiere Himmelsobjekt oder Eingangsbedingung | gezaehlter Teil oder Unterabschnitt | Ausgangssektor, Ursprung oder Bezugswert; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	gegenwärtiges lokales Radial-/Ringfeld 19 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || N02_AM_ASPECT	Himmelsobjekt oder Eingangsbedingung | gezaehlter Teil oder Unterabschnitt | Ausgangssektor, Ursprung oder Bezugswert | aktueller Aspektwert	1	A1_LEFT_LOCAL_FIELD_19: Himmelsobjekt oder Eingangsbedingung | gezaehlter Teil oder Unterabschnitt | Ausgangssektor, Ursprung oder Bezugswert | aktueller Aspektwert.
f67r2	A1	f67r2.20	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_20	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	2	chocfhy saral	SINGLE_COMPONENT_BRIDGE COMPOSED_COMPONENT_BRIDGE	B11_HO_INPUT || B10_AR_SOURCE|B09_AL_TARGET	0	1	1	0	Sternplatz A1_LEFT_LOCAL_FIELD_20: notiere Himmelsobjekt oder Eingangsbedingung | Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld.	gegenwärtiges lokales Radial-/Ringfeld 20 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Himmelsobjekt oder Eingangsbedingung | Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld	0	A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung | Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld.
f67r2	A1	f67r2.21	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_21	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	3	sain am ar	SINGLE_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR SINGLE_COMPONENT_BRIDGE	B03_AIN_PART || LOCAL_NAME_OR_VALUE || B10_AR_SOURCE	0	0	2	1	Sternplatz A1_LEFT_LOCAL_FIELD_21: notiere gezaehlter Teil oder Unterabschnitt | Ausgangssektor, Ursprung oder Bezugswert; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	gegenwärtiges lokales Radial-/Ringfeld 21 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || N02_AM_ASPECT || COMMON_22_COMPONENT_BRIDGE	gezaehlter Teil oder Unterabschnitt | Aspektwert | Ausgangssektor, Ursprung oder Bezugswert	1	A1_LEFT_LOCAL_FIELD_21: gezaehlter Teil oder Unterabschnitt | Aspektwert | Ausgangssektor, Ursprung oder Bezugswert.
f67r2	A1	f67r2.22	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_22	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	1	okal	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dort ansetzen	1	0	0	0	Sternplatz A1_LEFT_LOCAL_FIELD_22: notiere am Zielplatz setzen.	gegenwärtiges lokales Radial-/Ringfeld 22 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE	am Zielplatz setzen	0	A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.
f67r2	A1	f67r2.23	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_23	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	2	oparchy salsain	SINGLE_COMPONENT_BRIDGE COMPOSED_COMPONENT_BRIDGE	B10_AR_SOURCE || B09_AL_TARGET|B03_AIN_PART	0	1	1	0	Sternplatz A1_LEFT_LOCAL_FIELD_23: notiere Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt.	gegenwärtiges lokales Radial-/Ringfeld 23 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt	0	A1_LEFT_LOCAL_FIELD_23: Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt.
f67r2	A1	f67r2.24	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_24	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	3	sodar ofar ar	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE || B10_AR_SOURCE || B10_AR_SOURCE	0	0	3	0	Sternplatz A1_LEFT_LOCAL_FIELD_24: notiere Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert.	gegenwärtiges lokales Radial-/Ringfeld 24 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert	0	A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert | Ausgangssektor, Ursprung oder Bezugswert.
f67r2	A1	f67r2.25	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_25	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	1	ydam	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	0	0	0	1	Sternplatz A1_LEFT_LOCAL_FIELD_25: kopiere die 1 lokalen Namen-/Wertsegmente als einen Eintrag.	gegenwärtiges lokales Radial-/Ringfeld 25 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	N02_AM_ASPECT	festgelegter Aspektwert	1	A1_LEFT_LOCAL_FIELD_25: festgelegter Aspektwert.
f67r2	A1	f67r2.26	A1_LEFT_WHEEL_ONLY	A1_LEFT_LOCAL_FIELD_26	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	3	yteoor yto ykor	SINGLE_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR SINGLE_COMPONENT_BRIDGE	B08_OR_WORKSET || LOCAL_NAME_OR_VALUE || B08_OR_WORKSET	0	0	2	1	Sternplatz A1_LEFT_LOCAL_FIELD_26: notiere Bedingungs-, Tabellen- oder Wahlansatz | Bedingungs-, Tabellen- oder Wahlansatz; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	gegenwärtiges lokales Radial-/Ringfeld 26 des linken f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || N03_TO_TE_PLACE_PHASE || COMMON_22_COMPONENT_BRIDGE	Bedingungs-, Tabellen- oder Wahlansatz | aktueller Platz | Bedingungs-, Tabellen- oder Wahlansatz	1	A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz | aktueller Platz | Bedingungs-, Tabellen- oder Wahlansatz.
