card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source
PROC018	af816c04e65874a0f2fa	qoctholy	1	E019	HERBAL	H2	O+CTH+OL+Y	dies bereit weiterführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC019	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B6|H2|H3|H4	Y	dies	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC020	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	HERBAL	H2|H5	OT+CH+OR	danach Ansatz abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC021	497cbd9c7401810ff56b	otol	1	E026	HERBAL	H2	OT+OL	danach fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC022	dec401773c1f0347793d	cholor|olor	2	E028|E113	BIOLOGICAL|HERBAL	B1|H2	OL+OR	weiterer Ansatz	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC023	27d97af8c96eb056c2e6	oykchor	1	E032	HERBAL	H2	O+Y+K+OR	dies dem Ansatz zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC024	409de02322e7b2ca0c62	kaiiin	1	E036	HERBAL	H2	K+IIN	bis zur Sollstufe zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC025	834825c61d048a6b5628	chodaiin	1	E038	HERBAL	H2	CH+O+AIIN	auf Maß abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC026	953ad19b79517fc8a211	tshol	1	E039	HERBAL	H3	T+SH+OL	weiter gefuellt halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC027	428a5e3662aa57b4b256	schoal	1	E040	HERBAL	H3	SH+O+AL	an der Stelle halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC028	bdad9f9ea8b80f141496	cfhy	1	E041	HERBAL	H3	CFHY	auswringen	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC029	a8af08e69edab8e54f15	shfydaiin	1	E042	HERBAL	H3	SH+Y+AIIN	dies bis zum Maß halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC030	deb377381ceaf55ea310	cphy	1	E043	HERBAL	H3	P+Y	dies hineinführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC031	b5df9126607030b95175	cheey|shey	4	E044|E197|E203|E353	BIOLOGICAL|HERBAL	B2|B4|H3	WHOLE[cheey|shey]	Klarauszug	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC032	2e2027b1951d79911e24	tchody	1	E045	HERBAL	H3	T+CH+O+DY	fuellen und abziehen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC033	577c03a928d674d420d7	shoyty	1	E046	HERBAL	H3	SH+O+Y+T+Y	dies halten und fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC034	d665560c8ff80799a82c	dchol|schol	2	E047|E083	HERBAL	H3|H5	OL	fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC035	b2812c8283c3a62438bd	kchy	1	E049	HERBAL	H3	K+Y	dies zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC036	a48efd6c4491a046ba78	qotchy	1	E052	HERBAL	H3	OT+Y	nächster Posten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC037	322281bd391aa621f568	okchol	1	E053	HERBAL	H3	OK+OL	weiter ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC038	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AIIN	bemessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC039	403c1592f918c8f23b88	ykain	1	E058	HERBAL	H4	Y+K+AIN	eine Portion davon zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC040	d929a14ec45749b2e805	ykan	1	E059	HERBAL	H4	Y+K+AIN	eine Portion davon zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC041	97cc9ac109148723c472	ody	1	E060	HERBAL	H4	O+DY	Arbeitsgang abschließen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC042	6f7ff8287eddf4da9fdb	chdy|chedy	11	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	BIOLOGICAL|HERBAL	B1|B3|B4|B5|H4	CHD+Y	dies umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC043	e026af581c99322fbd46	talam	1	E063	HERBAL	H4	TALAM	verwahren	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC044	f7dc90b2c31fd341f0a4	ykaiin	1	E064	HERBAL	H4	Y+K+AIIN	dies auf Maß zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC045	807591efc3d3f7ddbfab	cheoar	1	E065	HERBAL	H4	CHEO+AR	Auszug aus der Quelle	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC046	2c1a5fd92b9e3c762242	cheeky	2	E066|E333	BIOLOGICAL|HERBAL	B4|H4	CHK+EE+Y	dies länger wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC047	1b1ffdd869fb1429ad03	oldy	2	E067|E337	BIOLOGICAL|HERBAL	B4|H4	OL+DY	fortsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC048	308e8ea2d5d190c498e8	okal|qokal	6	E069|E104|E152|E172|E186|E241	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AL	an die Stelle setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC049	204b04837409088c48f9	oltchy	1	E070	HERBAL	H4	OL+T+Y	dies weiter fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC050	6afeb5c9ab9f6cbdea0d	orain	1	E073	HERBAL	H4	OR+AIN	Ansatzportion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC051	b9d7b6d68209a9019e7a	chochor	1	E074	HERBAL	H5	HO+CH+OR	Zutat aus dem Ansatz abziehen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC052	2cc054357a929df85f64	cho|sho	4	E075|E078|E088|E094	HERBAL	H5	HO	Zutat	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC053	0ec6a45e2950e8e7061d	chodaly	1	E076	HERBAL	H5	HO+AL+Y	diese Zutat an die Stelle	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC054	893c570f3fa3fce99711	kchol	1	E079	HERBAL	H5	K+OL	weiter zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC055	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|H5	AL	Stelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC056	c10aec6d4dd877ec8bd8	choy	1	E084	HERBAL	H5	HO+Y	diese Zutat	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC057	95987d6f198d6d247511	cheeckhody	1	E086	HERBAL	H5	CH+EE+CKH+O+DY	länger durch den Durchlass; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC058	ad3581d3144f69a5912d	sh	1	E087	HERBAL	H5	SH	halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC059	b74e9e65637b7c8538dd	kchey	1	E089	HERBAL	H5	K+E+Y	dies kurz zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC060	1322bc176443fc2a8a86	qokokchy	1	E090	HERBAL	H5	OK+OK+Y	dies erneut ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC061	087a47b5423438cd6b6a	chokcheo	1	E092	HERBAL	H5	OK+CHEO	Auszug ansetzen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC062	75a523fcf039b006f97b	kchal	1	E093	HERBAL	H5	K+AL	an die Stelle zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC063	c71c72da4e09e0833392	kchoar	1	E096	HERBAL	H5	K+HO+AR	Zutat aus dem Vorrat zuführen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION
PROC064	61a075bc54793c1c781f	sotodan	1	E097	HERBAL	H5	OT+O+AIN	danach eine Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC065	faf321940aed922846a9	otchey	2	E098|E321	BIOLOGICAL|HERBAL	B4|H5	OT+Y	nächster Posten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC066	9bb7122b386ebbc6138f	keol	1	E099	HERBAL	H5	K+E+OL	kurz weiter zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC067	7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	BIOLOGICAL	B1|B3|B4	OK+E+DY	kurz ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC068	22fb87a5a83e5c3fb510	kair	1	E103	BIOLOGICAL	B1	K+AIR	Wasser zufuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC069	9da1b6ac2c929daea697	chkain|kain	3	E107|E257|E354	BIOLOGICAL	B1|B3|B4	K+AIN	eine Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC070	94df4847b7b16c98394a	olkain|qolkain	2	E108|E358	BIOLOGICAL	B1|B4	OL+K+AIN	weitere Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC071	1496a731803a9f48d2e1	rol	1	E111	BIOLOGICAL	B1	R+OL	weiter abkuehlen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC072	0f18de177ed7c878bf95	dl	2	E112|E129	BIOLOGICAL	B1	L	weiterfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC073	4eab1841ed655c20a348	sheckhal	1	E115	BIOLOGICAL	B1	SH+E+CKH+AL	kurz an der Durchlassstelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC074	93f69c38fdedee1598e9	qokeedal	1	E117	BIOLOGICAL	B1	OK+EE+AL	länger an der Stelle halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC075	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	BIOLOGICAL	B1|B2	CKH+Y	durchführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC076	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	E120|E167|E239|E283	BIOLOGICAL	B1|B2|B3	CHD+DY	umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC077	54e32e9c1414b20640e9	sshkchdy	1	E122	BIOLOGICAL	B1	SH+K+CHD+DY	gebuendelt umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC078	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	BIOLOGICAL	B1|B2|B3|B4	SHED+DY	absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC079	28ffbc88b97772a75f1e	olchedy|qolchedy	3	E126|E168|E242	BIOLOGICAL	B1|B2|B3	OL+CHD+DY	weiterführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC080	1645e612504fcef59ced	okain|qokain	7	E127|E169|E198|E200|E288|E341|E352	BIOLOGICAL	B1|B2|B3|B4	OK+AIN	eine Portion zugeben	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC081	4da0f0f7b5fc7ac20067	ral	1	E130	BIOLOGICAL	B1	R+AL	an der Stelle abkuehlen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC082	87411f84689b4f93a303	qokchdy	3	E131|E284|E363	BIOLOGICAL	B1|B3|B5	OK+CHD+DY	Ansatz umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC083	d904bf7b044dd3922781	cheky	3	E134|E164|E339	BIOLOGICAL	B1|B4	CHK+E+Y	kurz wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC084	be0974b366c981dc1eef	lsho	1	E141	BIOLOGICAL	B1	LSH+O	Waschgang	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC085	08bd5ca0c2ad137a056d	okey|qokey	2	E142|E220	BIOLOGICAL	B1|B2	OK+E+Y	kurz ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC086	2e7e89e0bd12b999c280	lshedy	2	E143|E144	BIOLOGICAL	B1	LSH+E+DY	Waschgang; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC087	c205570c49d4d93c23d3	qolky	1	E146	BIOLOGICAL	B1	SOLK+Y	dies auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC088	433713294b25b0a12f66	lchedal	1	E147	BIOLOGICAL	B1	L+CHD+AL	zum Auslass führen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC089	b6b654722e55729cc947	otar	1	E149	BIOLOGICAL	B1	OT+AR	danach von dort	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC090	a7af89ab31ce5e247395	ytey	1	E150	BIOLOGICAL	B1	T+E+Y	dies kurz fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC091	07913ef9b1fb773cd325	okchedy|qokchedy	2	E151|E264	BIOLOGICAL	B1|B3	OK+CHD+DY	Ansatz umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC092	0275fbf14e07935b0a45	okeey|qokeey	7	E153|E175|E194|E205|E293|E317|E322	BIOLOGICAL	B1|B2|B3|B4	OK+EE+Y	länger ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC093	a06244ef1f2b37ca44c1	teol	1	E157	BIOLOGICAL	B1	E+OL	kurz fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC094	d225b7a7b95da7aee437	dchdy	1	E158	BIOLOGICAL	B1	CHD+DY	umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC095	b38d70daefd663d74625	ly	1	E159	BIOLOGICAL	B1	L+Y	dies fuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC096	74c76d589d44120f647b	dsheol	1	E160	BIOLOGICAL	B1	SH+E+OL	kurz halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC097	2c82523794dcb7d2b343	oiiin|soiiin	2	E161|E309	BIOLOGICAL	B1|B3	O+IIN	Sollstand	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC098	3b70942557b3a40e8030	olkeedy|solkeedy	3	E162|E229|E291	BIOLOGICAL	B1|B3	SOLK+EE+DY	länger auffangen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC099	d68bc8de3bcee09db23c	shckhedy	3	E165|E330|E331	BIOLOGICAL	B1|B4	SH+CKHE+DY	seihen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC100	7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	BIOLOGICAL	B2|B3|B4	OK+EE+DY	länger ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC101	f329f2051370174e9a38	lcheckhy	1	E173	BIOLOGICAL	B2	L+CKH+Y	dies zum Durchlass führen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC102	ba8142680851f24c9ff2	lched	1	E174	BIOLOGICAL	B2	L+CHD	hinausführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC103	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	E176	BIOLOGICAL	B2	L+CKHE+DY	hinaus seihen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC104	4a7a6326ac95a8809302	qokaly	1	E177	BIOLOGICAL	B2	OK+AL+Y	dies an die Stelle setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC105	2d2e37ccb2dacc53ee5a	solkaiin	1	E178	BIOLOGICAL	B2	SOLK+AIIN	Auffangmass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC106	a8f891de626fc00028e9	octheol	1	E182	BIOLOGICAL	B2	O+CTH+E+OL	kurz bereit fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC107	f0db6d30cd34f4cb2a4d	chkeey	1	E183	BIOLOGICAL	B2	CHK+EE+Y	dies länger wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC108	04a3877f0fc81b7597c9	ldy	2	E184|E308	BIOLOGICAL	B2|B3	L+DY	abführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC109	5d5e0b288cf36864ed9d	oteey	2	E185|E218	BIOLOGICAL	B2	OT+EE+Y	nächsten Posten länger halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC110	c1913ec4ff84148da6d3	sheckhy	1	E187	BIOLOGICAL	B2	SH+E+CKH+Y	dies kurz im Durchlass halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC111	cbb42a4fe68068325d6b	dshedy	1	E189	BIOLOGICAL	B2	SH+E+DY	kurz halten; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC112	54d0e228ca346110af05	otaiin|sotaiin	3	E190|E306|E312	BIOLOGICAL	B2|B3	OT+AIIN	nächstes Maß	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC113	3ae9a121ba0045b913e8	qokar	1	E191	BIOLOGICAL	B2	OK+AR	von dort einsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC114	daa1347f456415fe8737	solshedy	1	E193	BIOLOGICAL	B2	OL+SH+E+DY	mit dem Vorigen kurz absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC115	5eff216ba51fbfb21f22	ls	1	E196	BIOLOGICAL	B2	LS	abfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC116	0ab57b7166de99db3a55	lchy	1	E202	BIOLOGICAL	B2	L+CH+Y	dies abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC117	6b89d6dd70635bc60fe0	qcthey|shcthey	2	E204|E258	BIOLOGICAL	B2|B3	CTH+E+Y	dies kurz bereithalten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC118	5fca8fc3dee57e1d8c1f	lcheey	1	E206	BIOLOGICAL	B2	L+EE+Y	dies länger abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC119	d25110e0d8488927278f	qokeeedy	1	E209	BIOLOGICAL	B2	OK+EEE+DY	vollständig ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC120	de7321bface5628e35d6	lchedy	8	E210|E235|E246|E262|E269|E282|E345|E357	BIOLOGICAL	B2|B3|B4	L+CHD+DY	hinausführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC121	29e0eb222ef2fb99523a	lar	1	E211	BIOLOGICAL	B2	L+AR	von dort abführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC122	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	BIOLOGICAL	B2	SH+E+Y	dies kurz halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC123	0f15effeca7ab10bb026	lchedar	1	E215	BIOLOGICAL	B2	L+CHD+AR	von dort hinausführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC124	db729b598e89e11452e0	ches	1	E216	BIOLOGICAL	B2	WHOLE[ches]	teilen	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC125	65df3cd9e59060042d47	pchedy	1	E221	BIOLOGICAL	B2	P+CHD+DY	hineinführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC126	98bdc4244c84cbef3321	rsheal	1	E222	BIOLOGICAL	B2	R+SH+E+AL	an der Stelle kurz abkuehlen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC127	78b3b3140714da19090d	daldy	1	E223	BIOLOGICAL	B2	AL+DY	an der Stelle schliessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC128	7f68f60279efe6b28cd7	rshedy	1	E225	BIOLOGICAL	B2	R+SHED+DY	abkuehlen und absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC129	ff178343c18e287ce3b7	qoteedy	2	E226|E292	BIOLOGICAL	B2|B3	OT+EE+DY	nächsten Schritt länger halten; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
