group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display	namespace_id	local_image_owner	local_content_class	bridge_class	matched_component_ids	matched_component_values_de	matched_character_fraction	residual_local_segments	astro_working_reading_de	orientation_rule	crosspage_rule
11	A1	f67r2	f67r2.4	2	A1:G011	sykos	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/5	sykos	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest sykos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
12	A1	f67r2	f67r2.5	1	A1:G012	ykeody	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/6	ykeody	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ykeody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
13	A1	f67r2	f67r2.5	2	A1:G013	okchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Posten ansetzen	diesen Diagrammposten setzen	5/5	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
14	A1	f67r2	f67r2.6	1	A1:G014	dchetay	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_06	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/7	dchetay	Sektorplatz A1_RIGHT_SECTOR_SLOT_06: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest dchetay.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
15	A1	f67r2	f67r2.7	1	A1:G015	ykchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B19_PROCESS	Diagrammplatz berechnen oder bearbeiten	3/5	y/y	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
16	A1	f67r2	f67r2.7	2	A1:G016	kchey	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	EXACT_PROSE_SURFACE_BRIDGE	EXACT:diesen Posten kurz bearbeiten	diesen Diagrammplatz kurz bearbeiten	5/5	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
17	A1	f67r2	f67r2.7	3	A1:G017	ykchys	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B19_PROCESS	Diagrammplatz berechnen oder bearbeiten	3/6	y/ys	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
18	A1	f67r2	f67r2.8	1	A1:G018	chkchdar	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_08	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COMPOSED_COMPONENT_BRIDGE	B18_ADJUST|B16_TRANSFER|B10_AR_SOURCE	Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert	8/8	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
19	A1	f67r2	f67r2.9	1	A1:G019	ykar	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/4	yk	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
20	A1	f67r2	f67r2.9	2	A1:G020	ykaly	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B09_AL_TARGET	Zielsektor, Zielstern oder Zielfeld	2/5	yk/y	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
21	A1	f67r2	f67r2.10	1	A1:G021	lkshy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B15_HOLD	Position oder Bedingung halten	2/5	lk/y	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
22	A1	f67r2	f67r2.10	2	A1:G022	kchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	EXACT_PROSE_SURFACE_BRIDGE	EXACT:diesen Posten bearbeiten	diesen Diagrammplatz bearbeiten	4/4	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
23	A1	f67r2	f67r2.10	3	A1:G023	okar	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COMPOSED_COMPONENT_BRIDGE	B05_OK_SET|B10_AR_SOURCE	Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	4/4	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
24	A1	f67r2	f67r2.11	1	A1:G024	chky	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B18_ADJUST	Grad oder Diagrammzustand justieren	3/4	y	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
25	A1	f67r2	f67r2.11	2	A1:G025	chykchs	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B19_PROCESS	Diagrammplatz berechnen oder bearbeiten	3/7	chy/s	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
26	A1	f67r2	f67r2.11	3	A1:G026	chy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	3/3	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
27	A1	f67r2	f67r2.12	1	A1:G027	ykees	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B13_GRADE	lange oder volle Diagrammstufe	2/5	yk/s	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
28	A1	f67r2	f67r2.12	2	A1:G028	ykchos	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B19_PROCESS	Diagrammplatz berechnen oder bearbeiten	3/6	y/os	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/os.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
29	A1	f67r2	f67r2.13	1	A1:G029	opodchol	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/8	opodch	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
30	A1	f67r2	f67r2.13	2	A1:G030	s	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/1	s	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
31	A1	f67r2	f67r2.13	3	A1:G031	ain	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	SINGLE_COMPONENT_BRIDGE	B03_AIN_PART	gezaehlter Teil oder Unterabschnitt	3/3	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
32	A1	f67r2	f67r2.13	4	A1:G032	aldy	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	SINGLE_COMPONENT_BRIDGE	B09_AL_TARGET	Zielsektor, Zielstern oder Zielfeld	2/4	dy	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
33	A1	f67r2	f67r2.14	1	A1:G033	soeey	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	RIGHT_WHEEL_LOCAL_RING_RUBRIC	SINGLE_COMPONENT_BRIDGE	B13_GRADE	lange oder volle Diagrammstufe	2/5	so/y	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
34	A1	f67r2	f67r2.14	2	A1:G034	doiin	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	RIGHT_WHEEL_LOCAL_RING_RUBRIC	SINGLE_COMPONENT_BRIDGE	B04_IIN_STAGE	Grad- oder Bedingungsstufe	3/5	do	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
35	A1	f67r2	f67r2.14	3	A1:G035	oldy	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	RIGHT_WHEEL_LOCAL_RING_RUBRIC	EXACT_PROSE_SURFACE_BRIDGE	EXACT:fortsetzen; Schluss	fortsetzen und den Eintrag schliessen	4/4	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
36	A1	f67r2	f67r2.15	1	A1:G036	dolchsody	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_15	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/9	d/chsody	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
37	A1	f67r2	f67r2.16	1	A1:G037	odaeiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B04_IIN_STAGE	Grad- oder Bedingungsstufe	3/7	odae	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
38	A1	f67r2	f67r2.16	2	A1:G038	okoes	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B05_OK_SET	Diagrammposten setzen oder aktivieren	2/5	oes	Sternplatz A1_LEFT_LOCAL_FIELD_16: Diagrammposten setzen oder aktivieren; lokaler Namensrest oes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
39	A1	f67r2	f67r2.16	3	A1:G039	oekain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B03_AIN_PART	gezaehlter Teil oder Unterabschnitt	3/6	oek	Sternplatz A1_LEFT_LOCAL_FIELD_16: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest oek.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
40	A1	f67r2	f67r2.16	4	A1:G040	y	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	1/1	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
41	A1	f67r2	f67r2.17	1	A1:G041	otchey	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Folgeposten	naechster Diagrammposten	6/6	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
42	A1	f67r2	f67r2.17	2	A1:G042	soraiir	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B08_OR_WORKSET	Bedingungs-, Tabellen- oder Wahlansatz	2/7	s/aiir	Sternplatz A1_LEFT_LOCAL_FIELD_17: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest s/aiir.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
43	A1	f67r2	f67r2.17	3	A1:G043	dy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
44	A1	f67r2	f67r2.18	1	A1:G044	qopchy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/6	qopchy	Sternplatz A1_LEFT_LOCAL_FIELD_18: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest qopchy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
45	A1	f67r2	f67r2.18	2	A1:G045	daiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	5/5	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
46	A1	f67r2	f67r2.18	3	A1:G046	dal	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dorthin	zum bezeichneten Zielplatz	3/3	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
47	A1	f67r2	f67r2.19	1	A1:G047	ydchos	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/6	ydc/s	Sternplatz A1_LEFT_LOCAL_FIELD_19: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ydc/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
