packet_position	event_id	locus	statement_id	owner_de	surface	full_recipe	atomic_reading_de	pocket_core_recipe	specialist_recipe	specialist_roles	selected_by_desk	composite_junction_card	desk_action_de	final_inscription_by	whole_card_rule_de
22	E250	f83r.8	B3-S011	untere Randfigur im korbartigen Gefäß	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	E+Y	SH+CTH+CHD	S03_TRANSFER|S04_STATE_CONTROL	S04_STATE_CONTROL	YES	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
23	E251	f83r.8	B3-S011	untere Randfigur im korbartigen Gefäß	qoky	OK+Y	ANSETZEN · DIES	OK+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
24	E252	f83r.8	B3-S011	untere Randfigur im korbartigen Gefäß	chedy	CHD+Y	UMSETZEN · DIES	Y	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
25	E253	f83r.8	B3-S011	untere Randfigur im korbartigen Gefäß	chary	AR+Y	QUELLE · DIES	AR+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
26	E254	f83r.11	B3-S012	untere Randfigur im korbartigen Gefäß	sor	OR	ANSATZ	OR	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
27	E255	f83r.11	B3-S012	untere Randfigur im korbartigen Gefäß	shedy	SHED+DY	ABSETZEN · SCHLUSS	DY	SHED	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
28	E256	f83r.11	B3-S013	untere Randfigur im korbartigen Gefäß	qokaiin	OK+AIIN	ANSETZEN · MASS	OK+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
29	E257	f83r.11	B3-S013	untere Randfigur im korbartigen Gefäß	chkain	K+AIN	ZUDOSIEREN · PORTION	K	AIN	S02_PREPARATION_WET	S02_PREPARATION_WET	NO	Ganze Vorbereitungs-/Nasskarte aus dem lokalen Fach waehlen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
30	E258	f83r.11	B3-S013	untere Randfigur im korbartigen Gefäß	shcthey	CTH+E+Y	BEREIT · KURZ · DIES	E+Y	CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
31	E259	f83r.11	B3-S013	untere Randfigur im korbartigen Gefäß	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
32	E260	f83r.11	B3-S014	untere Randfigur im korbartigen Gefäß	okair	OK+AIR	ANSETZEN · LAUF	OK	AIR	S02_PREPARATION_WET	S02_PREPARATION_WET	NO	Ganze Vorbereitungs-/Nasskarte aus dem lokalen Fach waehlen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
33	E261	f83r.11	B3-S014	untere Randfigur im korbartigen Gefäß	sheedy	SH+EE+DY	HALTEN · LANG · SCHLUSS	EE+DY	SH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
34	E262	f83r.11	B3-S015	untere Randfigur im korbartigen Gefäß	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	L+CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
35	E263	f83r.11	B3-S016	untere Randfigur im korbartigen Gefäß	lo	L+O	WEITERLEITEN · GANG	O	L	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
36	E264	f83r.14	B3-S016	unverbundener Zwischenbereich	qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OK+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
37	E265	f83r.14	B3-S017	unverbundener Zwischenbereich	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	OK+EE+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
38	E266	f83r.14	B3-S018	unverbundener Zwischenbereich	shedy	SHED+DY	ABSETZEN · SCHLUSS	DY	SHED	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
39	E267	f83r.14	B3-S019	unverbundener Zwischenbereich	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	OK+E+DY	SH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
40	E268	f83r.14	B3-S020	unverbundener Zwischenbereich	dal	AL	ZIEL	AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
41	E269	f83r.14	B3-S020	unverbundener Zwischenbereich	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	L+CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
42	E270	f83r.14	B3-S021	unverbundener Zwischenbereich	qokaiin	OK+AIIN	ANSETZEN · MASS	OK+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
43	E271	f83r.14	B3-S021	unverbundener Zwischenbereich	shcthy	CTH+Y	BEREIT · DIES	Y	CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
44	E272	f83r.14	B3-S021	unverbundener Zwischenbereich	dal	AL	ZIEL	AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
45	E273	f83r.14	B3-S021	unverbundener Zwischenbereich	sy	Y	DIES	Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
46	E274	f83r.15	B3-S021	unverbundener Zwischenbereich	saiin	AIIN	MASS	AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
47	E275	f83r.15	B3-S021	unverbundener Zwischenbereich	shedal	SHED+AL	ABSETZEN · ZIEL	AL	SHED	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
48	E276	f83r.15	B3-S021	unverbundener Zwischenbereich	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	E+Y	SH+CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
49	E277	f83r.15	B3-S021	unverbundener Zwischenbereich	chey	Y	DIES	Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
50	E278	f83r.15	B3-S021	unverbundener Zwischenbereich	tal	AL	ZIEL	AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
51	E279	f83r.15	B3-S021	unverbundener Zwischenbereich	shcthy	CTH+Y	BEREIT · DIES	Y	CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
52	E280	f83r.15	B3-S021	unverbundener Zwischenbereich	dalchdy	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	AL+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
53	E281	f83r.15	B3-S022	unverbundener Zwischenbereich	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	OT+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
54	E282	f83r.15	B3-S023	unverbundener Zwischenbereich	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	L+CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
55	E283	f83r.16	B3-S024	unverbundener Zwischenbereich	tchedy	CHD+DY	UMSETZEN · SCHLUSS	DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
56	E284	f83r.16	B3-S025	unverbundener Zwischenbereich	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OK+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
57	E285	f83r.16	B3-S026	unverbundener Zwischenbereich	cheedar	EE+AR	LANG · QUELLE	EE+AR	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
58	E286	f83r.16	B3-S026	unverbundener Zwischenbereich	chldaiin	L+AIIN	WEITERLEITEN · MASS	AIIN	L	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
59	E287	f83r.16	B3-S026	unverbundener Zwischenbereich	chedy	CHD+Y	UMSETZEN · DIES	Y	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
60	E288	f83r.16	B3-S026	unverbundener Zwischenbereich	qokain	OK+AIN	ANSETZEN · PORTION	OK	AIN	S02_PREPARATION_WET	S02_PREPARATION_WET	NO	Ganze Vorbereitungs-/Nasskarte aus dem lokalen Fach waehlen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
61	E289	f83r.16	B3-S026	unverbundener Zwischenbereich	checthy	CTH+Y	BEREIT · DIES	Y	CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
62	E290	f83r.16	B3-S026	unverbundener Zwischenbereich	chealror	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	AL+OR	R	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
63	E291	f83r.20	B3-S026	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	solkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	EE+DY	SOLK	S02_PREPARATION_WET	S02_PREPARATION_WET	NO	Ganze Vorbereitungs-/Nasskarte aus dem lokalen Fach waehlen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
64	E292	f83r.20	B3-S027	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	OT+EE+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
65	E293	f83r.20	B3-S028	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	OK+EE+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
66	E294	f83r.20	B3-S028	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
67	E295	f83r.20	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	sol	OL	FORTSETZEN	OL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
68	E296	f83r.20	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	cheeety	EEE+T+Y	VOLL · EINTRAGEN · DIES	Y	EEE+T	S03_TRANSFER|S04_STATE_CONTROL	S04_STATE_CONTROL	YES	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
