unified_serial	page	unit_or_locus	source_group_identity	visible_identity	owner	construction	current_short_reading	selected_recipe_model	selected_article_reading_de
11	f10r	H1-S002	E011	qokchy	H1	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
12	f10r	H1-S002	E012	qotchol	H1	C02	Danach oder in demselben Gang: danach weiterfuehren.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
13	f10r	H1-S002	E013	chol	H1	C02	Danach oder in demselben Gang: fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
14	f10r	H1-S002	E014	cthy	H1	C07	Führe es mit diesem laufenden Posten aus: bereit.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
15	f10r	H2-S001	E015	ycheor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
16	f10r	H2-S001	E016	cthy	H2	C07	Führe es mit diesem laufenden Posten aus: bereit.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
17	f10r	H2-S001	E017	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
18	f10r	H2-S001	E018	cthaiin	H2	C06	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
19	f10r	H2-S001	E019	qoctholy	H2	C02	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
20	f10r	H2-S001	E020	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
21	f10r	H2-S001	E021	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
22	f10r	H2-S001	E022	taiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
23	f10r	H2-S001	E023	shy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
24	f10r	H2-S002	E024	qotchor	H2	C02	Danach oder in demselben Gang: Folgeansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
25	f10r	H2-S002	E025	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
26	f10r	H2-S002	E026	otol	H2	C02	Danach oder in demselben Gang: danach fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
27	f10r	H2-S002	E027	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
28	f10r	H2-S002	E028	cholor	H2	C02	Danach oder in demselben Gang: Fortsetzungsansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
29	f10r	H2-S002	E029	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
30	f10r	H2-S002	E030	daiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
31	f10r	H2-S002	E031	dar	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
32	f10r	H2-S003	E032	oykchor	H2	C05	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
33	f10r	H2-S003	E033	shor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
34	f10r	H2-S003	E034	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
35	f10r	H2-S003	E035	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
36	f10r	H2-S003	E036	kaiiin	H2	C10	Setze Maß, Portion oder Stufe: Weichstufe.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
37	f10r	H2-S003	E037	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
38	f10r	H2-S003	E038	chodaiin	H2	C01	Setze die gelernte Fachkarte: Zutatenmaß.	M1_MEDICAL_MATERIA_RECIPE	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
39	f11r	H3-S001	E039	tshol	H3	C01	Setze die gelernte Fachkarte: Zutat entnehmen.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
40	f11r	H3-S001	E040	schoal	H3	C01	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
41	f11r	H3-S001	E041	cfhy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
42	f11r	H3-S001	E042	shfydaiin	H3	C06	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
43	f11r	H3-S001	E043	cphy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
44	f11r	H3-S001	E044	shey	H3	C01	Setze die gelernte Fachkarte: klarer Auszug.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
45	f11r	H3-S001	E045	tchody	H3	C01	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
46	f11r	H3-S002	E046	shoyty	H3	C01	Setze die gelernte Fachkarte: Zutatenteil.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
47	f11r	H3-S003	E047	dchol	H3	C02	Danach oder in demselben Gang: vorigen Posten fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
48	f11r	H3-S003	E048	chy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
49	f11r	H3-S003	E049	kchy	H3	C07	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
50	f11r	H3-S003	E050	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
51	f11r	H3-S003	E051	daiin	H3	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
52	f11r	H3-S004	E052	qotchy	H3	C02	Danach oder in demselben Gang: anschließender Arbeitsposten.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
53	f11r	H3-S004	E053	okchol	H3	C02	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
54	f11r	H3-S004	E054	cthy	H3	C07	Führe es mit diesem laufenden Posten aus: bereit.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
55	f11r	H3-S004	E055	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
56	f55v	H4-S001	E056	qokaiin	H4	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
57	f55v	H4-S001	E057	chaiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
58	f55v	H4-S001	E058	ykain	H4	C10	Setze Maß, Portion oder Stufe: Postenportion.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
59	f55v	H4-S001	E059	ykan	H4	C10	Setze Maß, Portion oder Stufe: dieser Anteil.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
60	f55v	H4-S001	E060	ody	H4	C01	Setze die gelernte Fachkarte: kühlen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
61	f55v	H4-S002	E061	daiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
62	f55v	H4-S002	E062	chedy	H4	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
63	f55v	H4-S002	E063	talam	H4	C01	Setze die gelernte Fachkarte: am Ziel verwahren.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
64	f55v	H4-S003	E064	ykaiin	H4	C10	Setze Maß, Portion oder Stufe: Postenmaß.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
65	f55v	H4-S003	E065	cheoar	H4	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug entnehmen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
66	f55v	H4-S003	E066	cheeky	H4	C03	Führe aus und beachte Dauer oder Endpunkt: länger erwärmen und offen halten.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
67	f55v	H4-S003	E067	oldy	H4	C02	Danach oder in demselben Gang: Fortsetzung abschließen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
68	f55v	H4-S004	E068	aiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
69	f55v	H4-S004	E069	okal	H4	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
70	f55v	H4-S004	E070	oltchy	H4	C02	Danach oder in demselben Gang: bereiten Posten weiterführen.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
71	f55v	H4-S004	E071	or	H4	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
72	f55v	H4-S004	E072	y	H4	C12	Nimm diesen Posten wieder auf: dieser Posten.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
73	f55v	H4-S004	E073	orain	H4	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatzportion.	M1_MEDICAL_MATERIA_RECIPE	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
74	f56r	H5-S001	E074	chochor	H5	C01	Setze die gelernte Fachkarte: Zutatenansatz.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
75	f56r	H5-S001	E075	cho	H5	C01	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
76	f56r	H5-S001	E076	chodaly	H5	C01	Setze die gelernte Fachkarte: diese Zutat zur Stelle bringen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
77	f56r	H5-S001	E077	daiin	H5	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
78	f56r	H5-S001	E078	sho	H5	C01	Setze die gelernte Fachkarte: Zutat.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
79	f56r	H5-S001	E079	kchol	H5	C02	Danach oder in demselben Gang: weiter bearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
80	f56r	H5-S001	E080	otchor	H5	C02	Danach oder in demselben Gang: Folgeansatz.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
81	f56r	H5-S001	E081	choky	H5	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
82	f56r	H5-S001	E082	dal	H5	C11	Setze die bezeichnete Zielstelle: dorthin.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
83	f56r	H5-S002	E083	schol	H5	C02	Danach oder in demselben Gang: vorigen Posten fortsetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
84	f56r	H5-S002	E084	choy	H5	C01	Setze die gelernte Fachkarte: diese Zutat.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
85	f56r	H5-S002	E085	choky	H5	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
86	f56r	H5-S002	E086	cheeckhody	H5	C01	Setze die gelernte Fachkarte: länger auftragen; Schluss.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
87	f56r	H5-S003	E087	sh	H5	C08	Führe die Handlung aus; schließe nur bei Endkarte: halten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
88	f56r	H5-S003	E088	cho	H5	C01	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
