visible_surface	occurrences	previous_atom_sequence	enriched_atom_sequence	bound_modifier	residual_renderer_or_local	enriched_common_reading_de	owners	previous_composition_status	modifier_status	local_astro_reading_de
okchoal	1	KCH+AL	KCH+AL	NONE	UNRESOLVED_LOCAL	Bearbeiten + Ziel	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Himmelsobjekt oder Eingangsbedingung + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest c.
okeal	1	OK+AL	OK+E+AL	E	NONE	Ziel kurz aktivieren	A3_LEFT_RADIAL_SLOT_10	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Radstelle A3_LEFT_RADIAL_SLOT_10: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest e.
okear	1	OK+AR	OK+E+AR	E	NONE	Quelle kurz aktivieren	A2_STAR_STATION_08	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A2_STAR_STATION_08: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.
okeeodal	1	OK+AL	OK+EE+AL	EE	OD	Ziel länger aktivieren; lokaler OD-Status	A2_STAR_STATION_24	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.
okeodal	1	OK+AL	OK+E+AL	E	OD	Ziel kurz aktivieren; lokaler OD-Status	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.
okoaly	1	OK+AL	OK+AL+Y	Y	O	dieses Ziel aktivieren	A2_STAR_STATION_03	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.
okodaly	1	OK+AL	OK+AL+Y	Y	OD	dieses Ziel aktivieren; lokaler OD-Status	A2_CENTRE_KEY_UNRESOLVED	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.
okodar	2	OK+AR	OK+AR	NONE	OD	Quelle aktivieren; lokaler OD-Status	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.
okol	2	OK+OL	OK+OL	NONE	NONE	Fortsetzung aktivieren	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.
okolar	1	OK+OL+AR	OK+OL+AR	NONE	UNRESOLVED_LOCAL	Aktivieren + Fortsetzen + Quelle	A3_LEFT_RADIAL_SLOT_18	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Radstelle A3_LEFT_RADIAL_SLOT_18: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.
okoldy	1	OK+OL	OK+OL+DY_BOUND	DY_BOUND	NONE	Fortsetzung aktivieren und festhalten	A2_STAR_STATION_20	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.
okshor	1	OK+HO	OK+HO	NONE	UNRESOLVED_LOCAL	Aktivieren + Eingangsposten	A2_STAR_STATION_25	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.
olar	1	OL+AR	OL+AR	NONE	UNRESOLVED_LOCAL	VON DER QUELLE WEITER	A1_RIGHT_OUTER_RING_TEXT	FORWARD_SINGLE_CELL	UNCHANGED_COMPONENT_HINT	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.
oraly	1	OR+AL	OR+AL	NONE	UNRESOLVED_LOCAL	Ansatz/Satz + Ziel	A1_LEFT_LOCAL_FIELD_46	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.
otaldal	1	OT+AL+AL	OT+AL+AL	NONE	UNRESOLVED_LOCAL	Folge + Ziel + Ziel	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.
otcheody	1	OT+CHEO	OT+CHEO	NONE	UNRESOLVED_LOCAL	Folge + Auszug/Ausgabe	A2_STAR_STATION_02	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.
oteeal	1	OT+AL	OT+AL	NONE	UNRESOLVED_LOCAL	Folge + Ziel	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.
oteoarar	1	OT+AR+AR	OT+AR+AR	NONE	UNRESOLVED_LOCAL	Folge + Quelle + Quelle	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.
oteol	1	OT+OL	OT+E+OL	E	NONE	als nächstes kurz fortsetzen	A3_LEFT_RADIAL_SLOT_13	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.
otoar	1	OT+AR	OT+AR	NONE	O	nächste Quelle	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.
otochedy	1	OT+CHD	OT+CHD	NONE	UNRESOLVED_LOCAL	Folge + Umsetzen	A2_STAR_STATION_27	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.
otokeeey	1	OT+OK	OT+OK	NONE	UNRESOLVED_LOCAL	Folge + Aktivieren	A3_LEFT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.
otoldos	1	OT+OL	OT+OL	NONE	DOS	als nächstes fortsetzen; lokaler DOS-Status	A1_LEFT_LOCAL_FIELD_38	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.
otolor	1	OT+OL+OR	OT+OL+OR	NONE	UNRESOLVED_LOCAL	Folge + Fortsetzen + Ansatz/Satz	A1_LEFT_OUTER_STAR_STATION_11	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.
otoly	1	OT+OL	OT+OL+Y	Y	NONE	diese Fortsetzung als nächste nehmen	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
otor	2	OT+OR	OT+OR	NONE	NONE	nächster Satz	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
otykchs	1	OT+KCH	OT+KCH	NONE	UNRESOLVED_LOCAL	Folge + Bearbeiten	A2_STAR_STATION_16	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_STAR_STATION_16: Teilsektor oder Untereintrag + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/s.
qokoaiin	1	OK+AIIN	OK+AIIN	NONE	UNRESOLVED_LOCAL	Aktivieren + Sollwert/Maß	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.
qotair	1	OT+AIR	OT+AIR	NONE	UNRESOLVED_LOCAL	NÄCHSTER LAUF/NÄCHSTE BAHN	A3_RIGHT_WHEEL_RING_TEXT	FORWARD_SINGLE_CELL	UNCHANGED_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.
qoteor	1	OT+OR	OT+E+OR	E	Q	nächsten Satz kurz nehmen	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.
qotoear	1	OT+AR	OT+E+AR	E	QO	nächste Quelle kurz nehmen	A1_LEFT_OUTER_STAR_STATION_01	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.
salsain	1	AL+AIN	AL+AIN	NONE	UNRESOLVED_LOCAL	Ziel + Portion	A1_LEFT_LOCAL_FIELD_23	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.
saral	2	AR+AL	AR+AL	NONE	S	von Quelle zum Ziel	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.
shokchy	1	HO+KCH	HO+KCH	NONE	UNRESOLVED_LOCAL	Eingangsposten + Bearbeiten	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.
ytalchos	1	AL+HO	AL+HO	NONE	UNRESOLVED_LOCAL	Ziel + Eingangsposten	A1_LEFT_OUTER_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest yt/c/s.
ytokar	1	OK+AR	OK+AR	NONE	YT	Quelle aktivieren; lokaler YT-Rahmen	A1_LEFT_OUTER_STAR_STATION_10	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_OUTER_STAR_STATION_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yt.
