review_id	event_id	statement_id	review_class	immediate_object_fork	current_clause_de	issue_de	fluent_default_de	object_rival_clause_de	default_action
W13	G407-E2988	G407-S449	STYLE_SCOPE_ONLY	NO	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Terminologische Alternative wie E1523.	Halte dieselbe Einheit im Bad auf Grad I; Nebenkanal: Becken-/Körpereinheit.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W14	G407-E3020	G407-S458	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals	Drei Orte klingen wie simultane Standorte.	Halte den Stationsansatz entlang des Wegs zwischen Haupt-, Neben- und Arbeitsstelle im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W15	G407-E3177	G407-S495	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	Reine Modifikatorreihenfolge.	Halte den Stationsansatz in Anwendungsform als neuen Bad-/Stationsansatz an der Arbeitsstelle im Bad auf Grad II.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W16	G407-E3512	G407-S572	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	Stärkster Scopefehler: zwei Stufen klingen gleichzeitig.	Halte den Stationsansatz an der Arbeitsstelle über Kontakt/Leitung im Bad: zunächst Grad II, anschließend als neuen Bad-/Stationsansatz Grad III.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W17	G407-E2863	G407-S426	OBJECT_RIVAL	NO	Halte den Stationsansatz im Bad auf Grad I	Rechte Fortführung ist plausibel, Körper bleibt vorhandener Rivale.	Halte den Stationsansatz im Bad auf Grad I; lass ab und wende denselben Ansatz an.	Halte den Körper im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
W18	G407-E2952	G407-S446	OBJECT_RIVAL	YES	Halte den Stationsansatz im Bad auf Grad I	Echte Station/Portion-Gabel; Folgekontext stützt Station, erzwingt sie aber nicht.	Halte den Stationsansatz im Bad auf Grad I; führe denselben anschließend weiter.	Halte dieselbe Anwendungsportion im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
W19	G407-E3224	G407-S502	OBJECT_RIVAL	YES	Halte den Körper im Bad auf Grad I	Echte Körper/Station-Gabel am Übergang nach der Ansatzbehandlung.	Nach der Ansatzbehandlung: Halte den Körper im Bad auf Grad I.	Halte denselben Stationsansatz im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
W20	G407-E3523	G407-S576	BINDING_MECHANISM_RIVAL	NO	Halte den Stationsansatz im Bad auf Grad I	Stationsobjekt plausibel, aber eher diskontinuierliche Diskursanaphora als reine rechte Ergänzung.	Halte den Stationsansatz im Bad auf Grad I; lass ab, reguliere die Stationsbedingung und behandle denselben Ansatz.	Halte den Körper im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_BINDING_AND_OBJECT_RIVAL
W21	G407-E3533	G407-S579	OBJECT_RIVAL	NO	Halte den Stationsansatz im Bad auf Grad I	Stilkompression; Körperrivale bleibt sichtbar.	Halte den Stationsansatz im Bad auf Grad I; führe denselben auf Grad I an die Arbeitsstelle.	Halte den Körper im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
W22	G407-E3563	G407-S583	OBJECT_RIVAL	NO	Halte den Stationsansatz im Bad auf Grad I	Stationsfortführung klingt natürlich; Körperrivale bleibt sichtbar.	Halte den Stationsansatz im Bad auf Grad I; lass ab und führe denselben an Arbeits-/Zielstelle zu.	Halte den Körper im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
W23	G407-E3664	G407-S616	OBJECT_RIVAL	NO	Halte den Stationsansatz im Bad auf Grad I	Station ist die natürlichste Folge; anaphorische Explizierung fehlt.	Halte den Stationsansatz im Bad auf Grad I; lass ab, temperiere denselben und halte ihn erneut auf Grad I.	Halte den Körper im Bad auf Grad I.	KEEP_CURRENT_DEFAULT__RETAIN_OBJECT_RIVAL
