global_running_ordinal	global_running_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	portable_core_inventory	reading_layer	surface_status	admission_color	owner_class	owner_local_reading_de	back_projected_core_reading_de	roundtrip_exact	local_expansion_rule
17	G407-E0017	f1r	f1r	SOURCE_SECTION_T	f1r.2	17	G404-S001	F1R_TEXT_BLOCK_A	shar	SH+AR	HALTEN · AUSGANG	SH|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	FESTHALTEN · AUSGANGSZEILE	HALTEN · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
18	G407-E0018	f1r	f1r	SOURCE_SECTION_T	f1r.2	18	G404-S001	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	HIER · WÄHLEN · GRAD I	S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	HIER · AUSWÄHLEN · GRAD I	HIER · WÄHLEN · GRAD I	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
19	G407-E0019	f1r	f1r	SOURCE_SECTION_T	f1r.2	19	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	CH|T|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · AUSGANGSZEILE	NEHMEN · EINSTELLEN · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
20	G407-E0020	f1r	f1r	SOURCE_SECTION_T	f1r.2	20	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	CH|T|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · AUSGANGSZEILE	NEHMEN · EINSTELLEN · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
21	G407-E0021	f1r	f1r	SOURCE_SECTION_T	f1r.2	21	G404-S001	F1R_TEXT_BLOCK_A	dan	AIN	ANTEIL	AIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	TEILWERT	ANTEIL	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
22	G407-E0022	f1r	f1r	SOURCE_SECTION_T	f1r.3	22	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	WÄHLEN · POSTEN · STUFE · MARKIEREN	S|Y|R	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_MICROFORM_OLD_FACTORS	AMBER	TEXTBLOCK	AUSWÄHLEN · LAUFENDER EINTRAG · STUFE · KENNZEICHNEN	WÄHLEN · POSTEN · STUFE · MARKIEREN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
23	G407-E0023	f1r	f1r	SOURCE_SECTION_T	f1r.3	23	G404-S001	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	HALTEN · GRAD I · GEBEN · POSTEN	SH|K|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	FESTHALTEN · GRAD I · ZUORDNEN · LAUFENDER EINTRAG	HALTEN · GRAD I · GEBEN · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
24	G407-E0024	f1r	f1r	SOURCE_SECTION_T	f1r.3	24	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	OR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	EINTRAGSEINHEIT	EINHEIT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
25	G407-E0025	f1r	f1r	SOURCE_SECTION_T	f1r.3	25	G404-S001	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	POSTEN · GEBEN · WERT	Y|K|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	LAUFENDER EINTRAG · ZUORDNEN · KENNWERT	POSTEN · GEBEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
26	G407-E0026	f1r	f1r	SOURCE_SECTION_T	f1r.3	26	G404-S001	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	HALTEN · AUSFÜHRUNG · HIER	SH	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	FESTHALTEN · AUSFÜHRUNG · HIER	HALTEN · AUSFÜHRUNG · HIER	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
27	G407-E0027	f1r	f1r	SOURCE_SECTION_T	f1r.3	27	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	CH|T|AR|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · AUSFÜHRUNG · AUSGANGSZEILE · LAUFENDER EINTRAG	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
28	G407-E0028	f1r	f1r	SOURCE_SECTION_T	f1r.3	28	G404-S001	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	CH|T|S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · GRAD I · AUSWÄHLEN	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
29	G407-E0029	f1r	f1r	SOURCE_SECTION_T	f1r.3	29	G404-S001	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	HIER · AUSGANG · WERT	AR|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	HIER · AUSGANGSZEILE · KENNWERT	HIER · AUSGANG · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
30	G407-E0030	f1r	f1r	SOURCE_SECTION_T	f1r.3	30	G404-S001	F1R_TEXT_BLOCK_A	sy	Y	POSTEN	Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	LAUFENDER EINTRAG	POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
31	G407-E0031	f1r	f1r	SOURCE_SECTION_T	f1r.4	31	G404-S001	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	WÄHLEN · AUSFÜHRUNG · STUFE	S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	AUSWÄHLEN · AUSFÜHRUNG · STUFE	WÄHLEN · AUSFÜHRUNG · STUFE	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
32	G407-E0032	f1r	f1r	SOURCE_SECTION_T	f1r.4	32	G404-S001	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	DANACH · GRAD II · POSTEN	OT|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	NÄCHSTER EINTRAG · GRAD II · LAUFENDER EINTRAG	DANACH · GRAD II · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
33	G407-E0033	f1r	f1r	SOURCE_SECTION_T	f1r.4	33	G404-S001	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	DANACH · GRAD I · AUSFÜHRUNG · HIER	OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	NÄCHSTER EINTRAG · GRAD I · AUSFÜHRUNG · HIER	DANACH · GRAD I · AUSFÜHRUNG · HIER	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
34	G407-E0034	f1r	f1r	SOURCE_SECTION_T	f1r.4	34	G404-S001	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	MARKIEREN · FORTSETZEN · DANACH · POSTEN	R|OL|OT|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_MICROFORM_OLD_FACTORS	AMBER	TEXTBLOCK	KENNZEICHNEN · WEITERFÜHREN · NÄCHSTER EINTRAG · LAUFENDER EINTRAG	MARKIEREN · FORTSETZEN · DANACH · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
35	G407-E0035	f1r	f1r	SOURCE_SECTION_T	f1r.4	35	G404-S001	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG	CH|T|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · VARIANTE · AUSGANGSZEILE	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
36	G407-E0036	f1r	f1r	SOURCE_SECTION_T	f1r.4	36	G404-S001	F1R_TEXT_BLOCK_A	daiin	AIIN	WERT	AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	KENNWERT	WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
37	G407-E0037	f1r	f1r	SOURCE_SECTION_T	f1r.4	37	G404-S001	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	SETZEN · WERT	OK|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	EINTRAGEN · KENNWERT	SETZEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
38	G407-E0038	f1r	f1r	SOURCE_SECTION_T	f1r.4	38	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	OR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	EINTRAGSEINHEIT	EINHEIT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
39	G407-E0039	f1r	f1r	SOURCE_SECTION_T	f1r.4	39	G404-S001	F1R_TEXT_BLOCK_A	okan	OK+AN	SETZEN · KLASSE	OK	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	EINTRAGEN · KLASSE	SETZEN · KLASSE	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
40	G407-E0040	f1r	f1r	SOURCE_SECTION_T	f1r.5	40	G404-S001	F1R_TEXT_BLOCK_A	sair	S+AIR	WÄHLEN · BAHN	S|AIR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	AUSWÄHLEN · LESEBAHN	WÄHLEN · BAHN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
41	G407-E0041	f1r	f1r	SOURCE_SECTION_T	f1r.5	41	G404-S001	F1R_TEXT_BLOCK_A	y	Y	POSTEN	Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	LAUFENDER EINTRAG	POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
42	G407-E0042	f1r	f1r	SOURCE_SECTION_T	f1r.5	42	G404-S001	F1R_TEXT_BLOCK_A	chear	CH+E+AR	NEHMEN · GRAD I · AUSGANG	CH|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ENTNEHMEN · GRAD I · AUSGANGSZEILE	NEHMEN · GRAD I · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
43	G407-E0043	f1r	f1r	SOURCE_SECTION_T	f1r.5	43	G404-S001	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	CH|T|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · KENNWERT	NEHMEN · EINSTELLEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
44	G407-E0044	f1r	f1r	SOURCE_SECTION_T	f1r.5	44	G404-S001	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	NEHMEN · EINSETZEN · AUSGANG	CH|P|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · IN EINTRAG EINSETZEN · AUSGANGSZEILE	NEHMEN · EINSETZEN · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
45	G407-E0045	f1r	f1r	SOURCE_SECTION_T	f1r.5	45	G404-S001	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	NEHMEN · HIER · WERT	CH|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · HIER · KENNWERT	NEHMEN · HIER · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
46	G407-E0046	f1r	f1r	SOURCE_SECTION_T	f1r.6	46	G404-S001	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN	Y|AR|SH|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_MICROFORM_OLD_FACTORS	AMBER	TEXTBLOCK	LAUFENDER EINTRAG · HIER · AUSGANGSZEILE · HIER · VARIANTE · FESTHALTEN · LAUFENDER EINTRAG	POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
47	G407-E0047	f1r	f1r	SOURCE_SECTION_T	f1r.7	47	G404-S002	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	AUSFÜHRUNG · HIER · AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	AUSFÜHRUNG · HIER · AUSGANGSZEILE	AUSFÜHRUNG · HIER · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
48	G407-E0048	f1r	f1r	SOURCE_SECTION_T	f1r.7	48	G404-S002	F1R_TEXT_BLOCK_B	shol	SH+OL	HALTEN · FORTSETZEN	SH|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	FESTHALTEN · WEITERFÜHREN	HALTEN · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
49	G407-E0049	f1r	f1r	SOURCE_SECTION_T	f1r.7	49	G404-S002	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN	CH|P|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · IN EINTRAG EINSETZEN · AUSFÜHRUNG · LAUFENDER EINTRAG	NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
