global_token_order	section	local_token_order	local_field	global_field_id	micro_packet	grammar_slot	master_card_id	surface	value_de	finality_rule
34	B	2	1	N09	1	G1	MC142	dchol	vom vorigen	NOT_OBSERVED_AS_CLOSE
35	B	3	1	N09	1	G2	MC170	ykaiin	Sollportion	NOT_OBSERVED_AS_CLOSE
36	B	4	1	N09	1	G2	MC152	ches	Teilen	NOT_OBSERVED_AS_CLOSE
37	B	5	2	N10	1	G2	MC047	ykain	erste Portion	NOT_OBSERVED_AS_CLOSE
38	B	6	2	N10	1	G6	MC100	ody	Abkühlen	ALWAYS_FIELD_FINAL
39	B	7	3	N11	1	G3	MC160	talam	Verwahrort	NOT_OBSERVED_AS_CLOSE
40	B	8	3	N11	1	G6	MC019	oldy	fertig	ALWAYS_FIELD_FINAL
41	B	9	4	N12	1	G2	MC148	ykan	zweite Portion	NOT_OBSERVED_AS_CLOSE
42	B	10	4	N12	1	G3	MC147	cheky	kurz wärmen	NOT_OBSERVED_AS_CLOSE
43	B	11	4	N12	1	G5	MC040	okal	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
44	B	12	4	N12	1	G4	MC083	qokedy	kurz einwirken; Schluss	ALWAYS_FIELD_FINAL
45	B	13	5	N13	1	G2	MC107	qotchy	Folgeposten	NOT_OBSERVED_AS_CLOSE
46	B	14	5	N13	1	G5	MC093	otal	danach dorthin	NOT_OBSERVED_AS_CLOSE
47	B	15	5	N13	1	G4	MC026	qoky	einsetzen	NOT_OBSERVED_AS_CLOSE
48	B	16	5	N13	1	G6	MC084	rshedy	Waschschluss	ALWAYS_FIELD_FINAL
49	D	1	1	N14	1	G1	MC080	chor	Ansatz	NOT_OBSERVED_AS_CLOSE
50	D	2	1	N14	1	G1	MC055	char	davon	NOT_OBSERVED_AS_CLOSE
51	D	3	1	N14	1	G2	MC120	okaiin	bemessen	NOT_OBSERVED_AS_CLOSE
52	D	4	1	N14	1	G1	MC012	dl	Zusatz	NOT_OBSERVED_AS_CLOSE
53	D	5	1	N14	1	G2	MC034	cho	weitere Zutat	NOT_OBSERVED_AS_CLOSE
54	D	6	1	N14	1	G3	MC073	qcthey	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
55	D	7	1	N14	1	G4	MC153	cheol	weiter	NOT_OBSERVED_AS_CLOSE
56	D	8	2	N15	1	G2	MC123	chey	dies	NOT_OBSERVED_AS_CLOSE
57	D	9	2	N15	1	G3	MC032	cheeky	länger bearbeiten	NOT_OBSERVED_AS_CLOSE
58	D	10	2	N15	1	G5	MC113	shedal	am Ziel absetzen	NOT_OBSERVED_AS_CLOSE
59	D	11	2	N15	1	G6	MC128	cheedy	kurz absetzen; Schluss	ALWAYS_FIELD_FINAL
60	D	12	3	N16	1	G1	MC013	otchor	Folgeansatz	NOT_OBSERVED_AS_CLOSE
61	D	13	3	N16	1	G2	MC017	okain	Anteil zugeben	NOT_OBSERVED_AS_CLOSE
62	D	14	3	N16	1	G3	MC033	oiiin	Arbeitsstufe	NOT_OBSERVED_AS_CLOSE
63	D	15	3	N16	1	G5	MC001	chdal	Zieltransfer	NOT_OBSERVED_AS_CLOSE
64	D	16	3	N16	1	G4	MC025	dchedy	überführen; Schluss	ALWAYS_FIELD_FINAL
65	D	17	4	N17	1	G2	MC123	chey	dies	NOT_OBSERVED_AS_CLOSE
66	D	18	4	N17	1	G4	MC002	okeey	lange einwirken	NOT_OBSERVED_AS_CLOSE
67	D	19	4	N17	1	G5	MC001	chdal	Zieltransfer	NOT_OBSERVED_AS_CLOSE
68	D	20	4	N17	1	G4	MC155	lchedy	abführen; Schluss	ALWAYS_FIELD_FINAL
69	D	21	5	N18	1	G1	MC013	otchor	Folgeansatz	NOT_OBSERVED_AS_CLOSE
70	D	22	5	N18	1	G2	MC034	cho	weitere Zutat	NOT_OBSERVED_AS_CLOSE
71	D	23	5	N18	1	G3	MC073	qcthey	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
72	D	24	5	N18	1	G5	MC020	solkeey	Langsammlung	NOT_OBSERVED_AS_CLOSE
73	D	25	5	N18	1	G6	MC004	ldy	abziehen; Schluss	ALWAYS_FIELD_FINAL
