stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
11	G407-E0011	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	T0_EXACT_OBSERVED	WÄHLEN · EINHEIT · POSTEN	Wähle die Eintragseinheit und den laufenden Eintrag.	Kernfolge: WÄHLEN · EINHEIT · POSTEN. Wähle die Eintragseinheit und den laufenden Eintrag.	YES
12	G407-E0012	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	T0_EXACT_OBSERVED	NEHMEN · GEBEN · AUSGANG	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Kernfolge: NEHMEN · GEBEN · AUSGANG. Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES
13	G407-E0013	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang ordne die Eintragseinheit zu.	Kernfolge: EINHEIT. Im laufenden Gang ordne die Eintragseinheit zu.	YES
14	G407-E0014	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang ordne den laufenden Eintrag zu.	Kernfolge: POSTEN. Im laufenden Gang ordne den laufenden Eintrag zu.	YES
15	G407-E0015	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	T0_EXACT_OBSERVED	GEBEN · BAHN	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Kernfolge: GEBEN · BAHN. Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	YES
16	G407-E0016	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · WERT	Entnimm den Kennwert und lege den Kennwert fest.	Kernfolge: NEHMEN · EINSTELLEN · WERT. Entnimm den Kennwert und lege den Kennwert fest.	YES
17	G407-E0017	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	T0_EXACT_OBSERVED	HALTEN · AUSGANG	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Kernfolge: HALTEN · AUSGANG. Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES
18	G407-E0018	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	T0_EXACT_OBSERVED	HIER · WÄHLEN · GRAD I	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Kernfolge: HIER · WÄHLEN · GRAD I. Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	YES
19	G407-E0019	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · AUSGANG	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Kernfolge: NEHMEN · EINSTELLEN · AUSGANG. Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES
20	G407-E0020	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · AUSGANG	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Kernfolge: NEHMEN · EINSTELLEN · AUSGANG. Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	YES
21	G407-E0021	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang lege den Teilwert fest.	Kernfolge: ANTEIL. Im laufenden Gang lege den Teilwert fest.	YES
22	G407-E0022	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	T0_EXACT_OBSERVED	WÄHLEN · POSTEN · STUFE · MARKIEREN	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Kernfolge: WÄHLEN · POSTEN · STUFE · MARKIEREN. Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	YES
23	G407-E0023	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	T0_EXACT_OBSERVED	HALTEN · GRAD I · GEBEN · POSTEN	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Kernfolge: HALTEN · GRAD I · GEBEN · POSTEN. Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	YES
24	G407-E0024	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang ordne die Eintragseinheit zu.	Kernfolge: EINHEIT. Im laufenden Gang ordne die Eintragseinheit zu.	YES
25	G407-E0025	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	T0_EXACT_OBSERVED	POSTEN · GEBEN · WERT	Ordne den laufenden Eintrag und den Kennwert zu.	Kernfolge: POSTEN · GEBEN · WERT. Ordne den laufenden Eintrag und den Kennwert zu.	YES
26	G407-E0026	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · HIER	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Kernfolge: HALTEN · AUSFÜHRUNG · HIER. Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	YES
27	G407-E0027	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Kernfolge: NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN. Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	YES
28	G407-E0028	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Kernfolge: NEHMEN · EINSTELLEN · GRAD I · WÄHLEN. Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES
29	G407-E0029	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	T0_EXACT_OBSERVED	HIER · AUSGANG · WERT	Von der Ausgangszeile: im laufenden Gang wähle den Kennwert; an der bezeichneten Stelle.	Kernfolge: HIER · AUSGANG · WERT. Von der Ausgangszeile: im laufenden Gang wähle den Kennwert; an der bezeichneten Stelle.	YES
30	G407-E0030	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang wähle den laufenden Eintrag.	Kernfolge: POSTEN. Im laufenden Gang wähle den laufenden Eintrag.	YES
31	G407-E0031	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	T0_EXACT_OBSERVED	WÄHLEN · AUSFÜHRUNG · STUFE	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Kernfolge: WÄHLEN · AUSFÜHRUNG · STUFE. Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	YES
32	G407-E0032	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	YES
33	G407-E0033	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	T0_EXACT_OBSERVED	DANACH · GRAD I · AUSFÜHRUNG · HIER	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Kernfolge: DANACH · GRAD I · AUSFÜHRUNG · HIER. Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES
34	G407-E0034	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	T0_EXACT_OBSERVED	MARKIEREN · FORTSETZEN · DANACH · POSTEN	Weiter und danach kennzeichne den laufenden Eintrag.	Kernfolge: MARKIEREN · FORTSETZEN · DANACH · POSTEN. Weiter und danach kennzeichne den laufenden Eintrag.	YES
35	G407-E0035	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Kernfolge: NEHMEN · EINSTELLEN · VARIANTE · AUSGANG. Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	YES
36	G407-E0036	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang lege den Kennwert fest.	Kernfolge: WERT. Im laufenden Gang lege den Kennwert fest.	YES
37	G407-E0037	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	T0_EXACT_OBSERVED	SETZEN · WERT	Trage den Kennwert ein.	Kernfolge: SETZEN · WERT. Trage den Kennwert ein.	YES
38	G407-E0038	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang trage die Eintragseinheit ein.	Kernfolge: EINHEIT. Im laufenden Gang trage die Eintragseinheit ein.	YES
39	G407-E0039	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okan	OK+AN	T0_EXACT_OBSERVED	SETZEN · KLASSE	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Kernfolge: SETZEN · KLASSE. Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	YES
40	G407-E0040	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	S+AIR	T0_EXACT_OBSERVED	WÄHLEN · BAHN	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Kernfolge: WÄHLEN · BAHN. Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	YES
41	G407-E0041	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang wähle den laufenden Eintrag.	Kernfolge: POSTEN. Im laufenden Gang wähle den laufenden Eintrag.	YES
42	G407-E0042	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chear	CH+E+AR	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSGANG	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Kernfolge: NEHMEN · GRAD I · AUSGANG. Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	YES
43	G407-E0043	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · WERT	Entnimm den Kennwert und lege den Kennwert fest.	Kernfolge: NEHMEN · EINSTELLEN · WERT. Entnimm den Kennwert und lege den Kennwert fest.	YES
44	G407-E0044	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · AUSGANG	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Kernfolge: NEHMEN · EINSETZEN · AUSGANG. Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	YES
45	G407-E0045	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	T0_EXACT_OBSERVED	NEHMEN · HIER · WERT	Entnimm den Kennwert; an der bezeichneten Stelle.	Kernfolge: NEHMEN · HIER · WERT. Entnimm den Kennwert; an der bezeichneten Stelle.	YES
46	G407-E0046	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	T0_EXACT_OBSERVED	POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Kernfolge: POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN. Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	YES
47	G407-E0047	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · AUSGANG	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Kernfolge: AUSFÜHRUNG · HIER · AUSGANG. Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	YES
48	G407-E0048	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	T0_EXACT_OBSERVED	HALTEN · FORTSETZEN	Weiter halte fest.	Kernfolge: HALTEN · FORTSETZEN. Weiter halte fest.	YES
49	G407-E0049	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Kernfolge: NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN. Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	YES
50	G407-E0050	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	T0_EXACT_OBSERVED	AUSFÜHRUNG · POSTEN · HIER · AUSGANG	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Kernfolge: AUSFÜHRUNG · POSTEN · HIER · AUSGANG. Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	YES
51	G407-E0051	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	SH	T0_EXACT_OBSERVED	HALTEN	Halte den laufenden Eintrag [wie zuvor] fest.	Kernfolge: HALTEN. Halte den laufenden Eintrag [wie zuvor] fest.	YES
52	G407-E0052	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	S	T0_EXACT_OBSERVED	WÄHLEN	Wähle den laufenden Eintrag [wie zuvor].	Kernfolge: WÄHLEN. Wähle den laufenden Eintrag [wie zuvor].	YES
53	G407-E0053	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	T0_EXACT_OBSERVED	NEHMEN · HIER · AUSFÜHRUNG · WERT	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · HIER · AUSFÜHRUNG · WERT. Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	YES
54	G407-E0054	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shodary	SH+O+D_ADDR+AR+Y	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · HIER · AUSGANG · POSTEN	Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Kernfolge: HALTEN · AUSFÜHRUNG · HIER · AUSGANG · POSTEN. Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	YES
55	G407-E0055	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	yshey	Y+SH+E+Y	T0_EXACT_OBSERVED	POSTEN · HALTEN · GRAD I · POSTEN	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad I.	Kernfolge: POSTEN · HALTEN · GRAD I · POSTEN. Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad I.	YES
56	G407-E0056	G404-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · SCHLUSS	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	Kernfolge: HALTEN · AUSFÜHRUNG · SCHLUSS. Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	YES
57	G407-E0057	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	okchoy	OK+CH+O+Y	T0_EXACT_OBSERVED	SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.	Kernfolge: SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN. Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.	YES
58	G407-E0058	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	otchol	OT+CH+OL	T0_EXACT_OBSERVED	DANACH · NEHMEN · FORTSETZEN	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	Kernfolge: DANACH · NEHMEN · FORTSETZEN. Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	YES
59	G407-E0059	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chocthy	CH+O+CH+T+Y	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	Kernfolge: NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN. Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	YES
60	G407-E0060	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	os	OS	T0_EXACT_OBSERVED	VORBEZUG	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; wie zuvor.	Kernfolge: VORBEZUG. Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; wie zuvor.	YES
61	G407-E0061	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chy	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang lege den laufenden Eintrag fest.	Kernfolge: POSTEN. Im laufenden Gang lege den laufenden Eintrag fest.	YES
62	G407-E0062	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang lege den Teilwert fest.	Kernfolge: ANTEIL. Im laufenden Gang lege den Teilwert fest.	YES
63	G407-E0063	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chor	CH+OR	T0_EXACT_OBSERVED	NEHMEN · EINHEIT	Entnimm die Eintragseinheit.	Kernfolge: NEHMEN · EINHEIT. Entnimm die Eintragseinheit.	YES
64	G407-E0064	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	kos	K+O+S	T0_EXACT_OBSERVED	GEBEN · AUSFÜHRUNG · WÄHLEN	Ordne die Eintragseinheit [wie zuvor] zu und wähle die Eintragseinheit [wie zuvor]; als Ausführung.	Kernfolge: GEBEN · AUSFÜHRUNG · WÄHLEN. Ordne die Eintragseinheit [wie zuvor] zu und wähle die Eintragseinheit [wie zuvor]; als Ausführung.	YES
65	G407-E0065	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang wähle den Kennwert.	Kernfolge: WERT. Im laufenden Gang wähle den Kennwert.	YES
66	G407-E0066	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shos	SH+O+S	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · WÄHLEN	Halte den Kennwert [wie zuvor] fest und wähle den Kennwert [wie zuvor]; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG · WÄHLEN. Halte den Kennwert [wie zuvor] fest und wähle den Kennwert [wie zuvor]; als Ausführung.	YES
67	G407-E0067	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhol	CH+LOCAL_CHAR_F+OL	T0_EXACT_OBSERVED	NEHMEN · HIER · FORTSETZEN	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	Kernfolge: NEHMEN · HIER · FORTSETZEN. Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	YES
68	G407-E0068	G404-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · SCHLUSS	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	Kernfolge: HALTEN · AUSFÜHRUNG · SCHLUSS. Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	YES
69	G407-E0069	G404-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang halte den Teilwert fest.	Kernfolge: ANTEIL. Im laufenden Gang halte den Teilwert fest.	YES
