event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	surface	final_recipe	gdt553_target_member	gdt553_resolution_generation	gdt553_former_queue_card	gdt553_recipe_match	gdt553_context_reading_match	slot_transition_template	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	ordered_control_chain	portable_semantic_macro	abstract_event_template	contextual_clause_de	portable_consistency_key	guard
11	G515-E0011	G515-S002	9	f4r	HERBAL	shol	SH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	SH	NONE	SH	NONE	OR	OR	CONTINUE	A:SH;X:^OR;C:CONTINUE	SET_A1__KEEP_X1|A>CONT	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL|IA:NONE|IX:OR	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
12	G515-E0012	G515-S002	10	f4r	HERBAL	shol	SH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	SH	NONE	SH	NONE	OR	OR	CONTINUE	A:SH;X:^OR;C:CONTINUE	SET_A1__KEEP_X1|A>CONT	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL|IA:NONE|IX:OR	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
13	G515-E0013	G515-S002	11	f4r	HERBAL	cthol	CH+T+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A2__KEEP_X1	CH|T	NONE	CH|T	NONE	OR	OR	CONTINUE	A:CH+T;X:^OR;C:CONTINUE	SET_A2__KEEP_X1|A>A>CONT	Nimm die Arbeitseinheit [wie zuvor] und stelle die Arbeitseinheit [wie zuvor] ein; führe fort.	CH+T+OL|IA:NONE|IX:OR	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
14	G515-E0014	G515-S002	12	f4r	HERBAL	shtchy	SH+T+CH+Y	YES	BASE_GDT548	NO	YES	YES	SET_A3__SET_X1	SH|T|CH	NONE	SH|T|CH	Y	NONE	Y	NONE	A:SH+T+CH;X:Y;C:-	SET_A3__SET_X1|A>A>A>X	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	SH+T+CH+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
15	G515-E0015	G515-S002	13	f4r	HERBAL	chaiin	CH+AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	CH	NONE	CH	AIIN	NONE	AIIN	NONE	A:CH;X:AIIN;C:-	SET_A1__SET_X1|A>X	Nimm den Arbeitswert.	CH+AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
16	G515-E0016	G515-S002	14	f4r	HERBAL	s	S	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	S	NONE	S	NONE	AIIN	AIIN	NONE	A:S;X:^AIIN;C:-	SET_A1__KEEP_X1|A	Wähle den Arbeitswert [wie zuvor].	S|IA:NONE|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
17	G515-E0017	G515-S002	15	f4r	HERBAL	choraiin	CH+OR+AIIN	YES	BASE_GDT548	NO	YES	YES	SET_A1__SET_X2	CH	NONE	CH	OR|AIIN	NONE	OR|AIIN	NONE	A:CH;X:OR+AIIN;C:-	SET_A1__SET_X2|A>X>X	Nimm die Arbeitseinheit und den Arbeitswert.	CH+OR+AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
18	G515-E0018	G515-S002	16	f4r	HERBAL	chom	HO+M_LOCAL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__KEEP_X1	NONE	CH	CH	NONE	AIIN	AIIN	CLASS>LOCAL:M	A:^CH;X:^AIIN;C:CLASS>LOCAL:M	KEEP_A1__KEEP_X1|CLASS>LOCAL	Im laufenden Satz nimm den Arbeitswert [wie zuvor]; in der bezeichneten Klasse und an der bezeichneten Stelle.	HO+M_LOCAL|IA:CH|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
19	G515-E0019	G515-S002	17	f4r	HERBAL	otchol	OT+CH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	CH	NONE	CH	NONE	AIIN	AIIN	THEN>CONTINUE	A:CH;X:^AIIN;C:THEN>CONTINUE	SET_A1__KEEP_X1|THEN>A>CONT	Danach: nimm den Arbeitswert [wie zuvor]; führe fort.	OT+CH+OL|IA:NONE|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
20	G515-E0020	G515-S002	18	f4r	HERBAL	chol	OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__KEEP_X1	NONE	CH	CH	NONE	AIIN	AIIN	CONTINUE	A:^CH;X:^AIIN;C:CONTINUE	KEEP_A1__KEEP_X1|CONT	Im laufenden Satz nimm den Arbeitswert [wie zuvor]; führe fort.	OL|IA:CH|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
21	G515-E0021	G515-S002	19	f4r	HERBAL	chy	Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	CH	CH	Y	NONE	Y	NONE	A:^CH;X:Y;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz nimm den Pflanzenposten.	Y|IA:CH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
22	G515-E0022	G515-S002	20	f4r	HERBAL	chaiin	CH+AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	CH	NONE	CH	AIIN	NONE	AIIN	NONE	A:CH;X:AIIN;C:-	SET_A1__SET_X1|A>X	Nimm den Arbeitswert.	CH+AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
23	G515-E0023	G515-S002	21	f4r	HERBAL	qotaiin	OT+AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	CH	CH	AIIN	NONE	AIIN	THEN	A:^CH;X:AIIN;C:THEN	KEEP_A1__SET_X1|THEN>X	Danach: im laufenden Satz nimm den Arbeitswert.	OT+AIIN|IA:CH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
24	G515-E0024	G515-S002	22	f4r	HERBAL	daiin	AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	CH	CH	AIIN	NONE	AIIN	NONE	A:^CH;X:AIIN;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz nimm den Arbeitswert.	AIIN|IA:CH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
25	G515-E0025	G515-S002	23	f4r	HERBAL	shain	SH+AIN	YES	BASE_GDT548	NO	YES	YES	SET_A1__SET_X1	SH	NONE	SH	AIN	NONE	AIN	NONE	A:SH;X:AIN;C:-	SET_A1__SET_X1|A>X	Halte den Materialanteil.	SH+AIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
26	G515-E0026	G515-S002	24	f4r	HERBAL	qotchol	OT+CH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	CH	NONE	CH	NONE	AIN	AIN	THEN>CONTINUE	A:CH;X:^AIN;C:THEN>CONTINUE	SET_A1__KEEP_X1|THEN>A>CONT	Danach: nimm den Materialanteil [wie zuvor]; führe fort.	OT+CH+OL|IA:NONE|IX:AIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
27	G515-E0027	G515-S002	25	f4r	HERBAL	chy	Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	CH	CH	Y	NONE	Y	NONE	A:^CH;X:Y;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz nimm den Pflanzenposten.	Y|IA:CH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
28	G515-E0028	G515-S002	26	f4r	HERBAL	yty	Y+T+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X2	T	NONE	T	Y|Y	NONE	Y|Y	NONE	A:T;X:Y+Y;C:-	SET_A1__SET_X2|X>A>X	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein.	Y+T+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
29	G515-E0029	G515-S002	27	f4r	HERBAL	daiin	AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	T	T	AIIN	NONE	AIIN	NONE	A:^T;X:AIIN;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz stelle den Arbeitswert ein.	AIIN|IA:T|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
30	G515-E0030	G515-S002	28	f4r	HERBAL	okaiin	OK+AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	OK	NONE	OK	AIIN	NONE	AIIN	NONE	A:OK;X:AIIN;C:-	SET_A1__SET_X1|A>X	Setze den Arbeitswert im Arbeitsgang an.	OK+AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
31	G515-E0031	G515-S002	29	f4r	HERBAL	cthy	CH+T+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A2__SET_X1	CH|T	NONE	CH|T	Y	NONE	Y	NONE	A:CH+T;X:Y;C:-	SET_A2__SET_X1|A>A>X	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	CH+T+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
32	G515-E0032	G515-S003	1	f4r	HERBAL	pydaiin	P+Y+D_ADDR+AIIN	YES	BASE_GDT548	NO	YES	YES	SET_A1__SET_X2	P	NONE	P	Y|AIIN	NONE	Y|AIIN	ADDR:D	A:P;X:Y+AIIN;C:ADDR:D	SET_A1__SET_X2|A>X>ADDR>X	Setze den Pflanzenposten und den Arbeitswert ein; an der bezeichneten Stelle.	P+Y+D_ADDR+AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
33	G515-E0033	G515-S003	2	f4r	HERBAL	qotchy	OT+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	P	P	Y	NONE	Y	THEN	A:^P;X:Y;C:THEN	KEEP_A1__SET_X1|THEN>X	Danach: im laufenden Satz setze den Pflanzenposten ein.	OT+Y|IA:P|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
34	G515-E0034	G515-S003	3	f4r	HERBAL	dy	Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	P	P	Y	NONE	Y	NONE	A:^P;X:Y;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz setze den Pflanzenposten ein.	Y|IA:P|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
35	G515-E0035	G515-S003	4	f4r	HERBAL	tydy	T+Y+DY	YES	BASE_GDT548	NO	YES	YES	SET_A1__SET_X1	T	NONE	T	Y	NONE	Y	CLOSE	A:T;X:Y;C:CLOSE	SET_A1__SET_X1|A>X>CLOSE	Stelle den Pflanzenposten ein; schließe den Schritt.	T+Y+DY|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
36	G515-E0036	G515-S004	1	f4r	HERBAL	chor	CH+OR	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	CH	NONE	CH	OR	NONE	OR	NONE	A:CH;X:OR;C:-	SET_A1__SET_X1|A>X	Nimm die Arbeitseinheit.	CH+OR|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
37	G515-E0037	G515-S004	2	f4r	HERBAL	shytchy	SH+Y+T+CH+Y	YES	BASE_GDT548	NO	YES	YES	SET_A3__SET_X2	SH|T|CH	NONE	SH|T|CH	Y|Y	NONE	Y|Y	NONE	A:SH+T+CH;X:Y+Y;C:-	SET_A3__SET_X2|A>X>A>A>X	Halte den Pflanzenposten [außen] und den Pflanzenposten [innen], stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	SH+Y+T+CH+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
38	G515-E0038	G515-S004	3	f4r	HERBAL	dytcheey	D_ADDR+Y+T+CH+EE+Y	YES	BASE_GDT548	NO	YES	YES	SET_A2__SET_X2	T|CH	NONE	T|CH	Y|Y	NONE	Y|Y	ADDR:D>GRADE:II	A:T+CH;X:Y+Y;C:ADDR:D>GRADE:II	SET_A2__SET_X2|ADDR>X>A>A>G2>X	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen]; auf Grad II; an der bezeichneten Stelle.	D_ADDR+Y+T+CH+EE+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
39	G515-E0039	G515-S004	4	f4r	HERBAL	qotaiin	OT+AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	CH	CH	AIIN	NONE	AIIN	THEN	A:^CH;X:AIIN;C:THEN	KEEP_A1__SET_X1|THEN>X	Danach: im laufenden Satz nimm den Arbeitswert.	OT+AIIN|IA:CH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
40	G515-E0040	G515-S004	5	f4r	HERBAL	cthol	CH+T+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A2__KEEP_X1	CH|T	NONE	CH|T	NONE	AIIN	AIIN	CONTINUE	A:CH+T;X:^AIIN;C:CONTINUE	SET_A2__KEEP_X1|A>A>CONT	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; führe fort.	CH+T+OL|IA:NONE|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
41	G515-E0041	G515-S004	6	f4r	HERBAL	daiin	AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	T	T	AIIN	NONE	AIIN	NONE	A:^T;X:AIIN;C:-	KEEP_A1__SET_X1|X	Im laufenden Satz stelle den Arbeitswert ein.	AIIN|IA:T|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
42	G515-E0042	G515-S004	7	f4r	HERBAL	cthom	CH+T+O+M_LOCAL	YES	BASE_GDT548	NO	YES	YES	SET_A2__KEEP_X1	CH|T	NONE	CH|T	NONE	AIIN	AIIN	EXEC>LOCAL:M	A:CH+T;X:^AIIN;C:EXEC>LOCAL:M	SET_A2__KEEP_X1|A>A>EXEC>LOCAL	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; zur Ausführung; an der bezeichneten Stelle.	CH+T+O+M_LOCAL|IA:NONE|IX:AIIN	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
43	G515-E0043	G515-S004	8	f4r	HERBAL	shor	SH+OR	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	SH	NONE	SH	OR	NONE	OR	NONE	A:SH;X:OR;C:-	SET_A1__SET_X1|A>X	Halte die Arbeitseinheit.	SH+OR|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
44	G515-E0044	G515-S004	9	f4r	HERBAL	shol	SH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	SH	NONE	SH	NONE	OR	OR	CONTINUE	A:SH;X:^OR;C:CONTINUE	SET_A1__KEEP_X1|A>CONT	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL|IA:NONE|IX:OR	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
45	G515-E0045	G515-S004	10	f4r	HERBAL	shol	SH+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__KEEP_X1	SH	NONE	SH	NONE	OR	OR	CONTINUE	A:SH;X:^OR;C:CONTINUE	SET_A1__KEEP_X1|A>CONT	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL|IA:NONE|IX:OR	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
46	G515-E0046	G515-S004	11	f4r	HERBAL	cthy	CH+T+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A2__SET_X1	CH|T	NONE	CH|T	Y	NONE	Y	NONE	A:CH+T;X:Y;C:-	SET_A2__SET_X1|A>A>X	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	CH+T+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
47	G515-E0047	G515-S004	12	f4r	HERBAL	cpholdy	CH+P+OL+DY	YES	BASE_GDT548	NO	YES	YES	SET_A2__KEEP_X1	CH|P	NONE	CH|P	NONE	Y	Y	CONTINUE>CLOSE	A:CH+P;X:^Y;C:CONTINUE>CLOSE	SET_A2__KEEP_X1|A>A>CONT>CLOSE	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; führe fort; schließe den Schritt.	CH+P+OL+DY|IA:NONE|IX:Y	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
48	G515-E0048	G515-S005	1	f4r	HERBAL	daiin	AIIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	EMPTY_A__SET_X1	NONE	NONE	NONE	AIIN	NONE	AIIN	NONE	A:-;X:AIIN;C:-	EMPTY_A__SET_X1|X	Bezug: den Arbeitswert.	AIIN|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
49	G515-E0049	G515-S005	2	f4r	HERBAL	ckhochy	CH+K+O+CH+Y	YES	BASE_GDT548	NO	YES	YES	SET_A3__SET_X1	CH|K|CH	NONE	CH|K|CH	Y	NONE	Y	EXEC	A:CH+K+CH;X:Y;C:EXEC	SET_A3__SET_X1|A>A>EXEC>A>X	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	CH+K+O+CH+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
50	G515-E0050	G515-S005	3	f4r	HERBAL	tchy	T+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	T	NONE	T	Y	NONE	Y	NONE	A:T;X:Y;C:-	SET_A1__SET_X1|A>X	Stelle den Pflanzenposten ein.	T+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
