template_ordinal	abstract_event_template	event_count	statement_count	physical_page_count	register_count	surface_count	portable_macro_variant_count	target_event_count	portable_macro_variants	example_event_ids	transfer_scope
24	KEEP_A1__KEEP_X1|THEN>REL	3	3	2	2	2	3	0	A:^S;X:^AIIN;C:THEN>REL:AR || A:^SH;X:^AIIN;C:THEN>REL:AR || A:^T;X:^Y;C:THEN>REL:AL	G515-E0175|G515-E0416|G515-E0550	CROSS_REGISTER
25	KEEP_A1__SET_X1|ADDR>X	3	3	1	1	1	2	0	A:^CH;X:OR;C:ADDR:D || A:^SH;X:OR;C:ADDR:D	G515-E0433|G515-E0471|G515-E0521	SAME_PAGE_RECURRENT
26	KEEP_A1__SET_X1|THEN>G1>X	3	3	3	2	3	3	0	A:^K;X:Y;C:THEN>GRADE:I || A:^OK;X:OR;C:THEN>GRADE:I || A:^SH;X:Y;C:THEN>GRADE:I	G515-E0006|G515-E0252|G515-E0538	CROSS_REGISTER
27	SET_A1__EMPTY_X|A	3	3	2	2	2	2	0	A:R;X:-;C:- || A:S;X:-;C:-	G515-E0162|G515-E0193|G515-E0381	CROSS_REGISTER
28	SET_A1__EMPTY_X|A>REL	3	3	1	1	3	3	0	A:OK;X:-;C:REL:AL || A:OK;X:-;C:REL:AR || A:S;X:-;C:REL:AIR	G515-E0315|G515-E0435|G515-E0460	SAME_PAGE_RECURRENT
29	SET_A1__KEEP_X1|A>EXEC>STAGE	3	3	2	1	3	3	1	A:CH;X:^Y;C:EXEC>STAGE || A:OK;X:^Y;C:EXEC>STAGE || A:S;X:^Y;C:EXEC>STAGE	G515-E0060|G515-E0079|G515-E0147	CROSS_PAGE
30	SET_A1__KEEP_X1|A>G2>CLOSE	3	3	2	2	2	2	0	A:OK;X:^AIIN;C:GRADE:II>CLOSE || A:SH;X:^AIIN;C:GRADE:II>CLOSE	G515-E0160|G515-E0247|G515-E0583	CROSS_REGISTER
31	SET_A1__SET_X1|A>EXEC>ADDR>X	3	3	2	2	2	2	0	A:CH;X:AIIN;C:EXEC>ADDR:D || A:CH;X:Y;C:EXEC>ADDR:D	G515-E0083|G515-E0500|G515-E0558	CROSS_REGISTER
32	SET_A1__SET_X1|A>G1>EXEC>X	3	2	2	2	3	2	1	A:CH;X:Y;C:GRADE:I>EXEC || A:SH;X:Y;C:GRADE:I>EXEC	G515-E0111|G515-E0120|G515-E0466	CROSS_REGISTER
33	SET_A1__SET_X1|A>G2>EXEC>ADDR>X	3	2	2	2	2	2	1	A:OK;X:Y;C:GRADE:II>EXEC>ADDR:D || A:SH;X:Y;C:GRADE:II>EXEC>ADDR:D	G515-E0186|G515-E0339|G515-E0344	CROSS_REGISTER
34	SET_A1__SET_X1|A>REL>X	3	3	1	1	2	1	0	A:OK;X:Y;C:REL:AL	G515-E0455|G515-E0473|G515-E0548	SAME_PAGE_RECURRENT
35	SET_A2__KEEP_X1|A>STAGE>A	3	3	1	1	3	3	2	A:CHD+R;X:^Y;C:STAGE || A:OK+R;X:^Y;C:STAGE || A:S+R;X:^Y;C:STAGE	G515-E0392|G515-E0396|G515-E0492	SAME_PAGE_RECURRENT
36	EMPTY_A__EMPTY_X|REL	2	2	1	1	1	1	0	A:-;X:-;C:REL:AL	G515-E0446|G515-E0497	SAME_PAGE_RECURRENT
37	EMPTY_A__EMPTY_X|THEN>G1>CLOSE	2	2	1	1	2	1	0	A:-;X:-;C:THEN>GRADE:I>CLOSE	G515-E0190|G515-E0240	SAME_PAGE_RECURRENT
38	EMPTY_A__SET_X1|REL>X	2	2	1	1	2	2	0	A:-;X:Y;C:REL:AL || A:-;X:Y;C:REL:L	G515-E0491|G515-E0547	SAME_PAGE_RECURRENT
39	KEEP_A1__EMPTY_X|CONT	2	2	2	2	1	2	0	A:^S;X:-;C:CONTINUE || A:^SH;X:-;C:CONTINUE	G515-E0004|G515-E0461	CROSS_REGISTER
40	KEEP_A1__KEEP_X1|ADDR>CONT	2	2	1	1	1	2	0	A:^P;X:^Y;C:ADDR:D>CONTINUE || A:^S;X:^AIIN;C:ADDR:D>CONTINUE	G515-E0359|G515-E0465	SAME_PAGE_RECURRENT
41	KEEP_A1__KEEP_X1|ADDR>EXEC>STAGE	2	2	2	1	2	2	1	A:^P;X:^Y;C:ADDR:D>EXEC>STAGE || A:^SH;X:^Y;C:ADDR:D>EXEC>STAGE	G515-E0007|G515-E0108	CROSS_PAGE
42	KEEP_A1__KEEP_X1|REL>CLOSE	2	2	2	2	1	2	0	A:^CHD;X:^Y;C:REL:L>CLOSE || A:^OK;X:^Y;C:REL:L>CLOSE	G515-E0203|G515-E0561	CROSS_REGISTER
43	KEEP_A1__KEEP_X1|THEN>CONT	2	2	2	2	2	2	0	A:^SH;X:^Y;C:THEN>CONTINUE || A:^T;X:^Y;C:THEN>CONTINUE	G515-E0081|G515-E0514	CROSS_REGISTER
44	KEEP_A1__SET_X1|CONT>X	2	2	2	2	2	2	0	A:^P;X:Y;C:CONTINUE || A:^S;X:Y;C:CONTINUE	G515-E0072|G515-E0480	CROSS_REGISTER
45	SET_A1__EMPTY_X|A>CONT	2	2	2	2	2	2	0	A:SH;X:-;C:CONTINUE || A:T;X:-;C:CONTINUE	G515-E0215|G515-E0498	CROSS_REGISTER
46	SET_A1__EMPTY_X|A>G1>EXEC>ADDR	2	2	2	2	2	2	2	A:CH;X:-;C:GRADE:I>EXEC>ADDR:D || A:SH;X:-;C:GRADE:I>EXEC>ADDR:D	G515-E0207|G515-E0382	CROSS_REGISTER
47	SET_A1__EMPTY_X|A>G2>CLOSE	2	2	2	2	1	1	0	A:OK;X:-;C:GRADE:II>CLOSE	G515-E0220|G515-E0314	CROSS_REGISTER
48	SET_A1__EMPTY_X|THEN>A>CLOSE	2	2	1	1	2	1	0	A:CHD;X:-;C:THEN>CLOSE	G515-E0524|G515-E0577	SAME_PAGE_RECURRENT
49	SET_A1__KEEP_X1|A>G2>CONT	2	2	2	2	2	2	1	A:K;X:^Y;C:GRADE:II>CONTINUE || A:SH;X:^AIIN;C:GRADE:II>CONTINUE	G515-E0182|G515-E0564	CROSS_REGISTER
50	SET_A1__KEEP_X1|A>G2>EXEC	2	2	2	2	2	2	1	A:CH;X:^Y;C:GRADE:II>EXEC || A:SH;X:^Y;C:GRADE:II>EXEC	G515-E0212|G515-E0322	CROSS_REGISTER
51	SET_A1__KEEP_X1|ADDR>A>REL	2	2	1	1	2	2	2	A:K;X:^OR;C:ADDR:A>REL:AR || A:K;X:^Y;C:ADDR:D>REL:AR	G515-E0411|G515-E0587	SAME_PAGE_RECURRENT
52	SET_A1__KEEP_X1|CONT>A>G1>CONT	2	2	2	2	2	1	0	A:K;X:^Y;C:CONTINUE>GRADE:I>CONTINUE	G515-E0223|G515-E0554	CROSS_REGISTER
53	SET_A1__KEEP_X1|REL>A>G1>CLOSE	2	2	1	1	1	2	0	A:SH;X:^AIIN;C:REL:L>GRADE:I>CLOSE || A:SH;X:^Y;C:REL:L>GRADE:I>CLOSE	G515-E0508|G515-E0565	SAME_PAGE_RECURRENT
54	SET_A1__KEEP_X1|STAGE2>STAGE>A	2	2	2	2	1	1	0	A:R;X:^Y;C:STAGE:II>STAGE	G515-E0211|G515-E0408	CROSS_REGISTER
55	SET_A1__SET_X1|A>ADDR>X	2	2	1	1	1	1	0	A:SH;X:Y;C:ADDR:D	G515-E0328|G515-E0374	SAME_PAGE_RECURRENT
56	SET_A1__SET_X1|A>EXEC>X	2	2	1	1	2	2	2	A:OK;X:Y;C:EXEC || A:S;X:AIIN;C:EXEC	G515-E0067|G515-E0123	SAME_PAGE_RECURRENT
57	SET_A1__SET_X1|A>THEN>X	2	2	1	1	2	2	1	A:CH;X:Y;C:THEN || A:R;X:AIIN;C:THEN	G515-E0354|G515-E0371	SAME_PAGE_RECURRENT
58	SET_A1__SET_X1|BEGIN>EXEC>A>X	2	2	2	2	2	2	1	A:P;X:AIIN;C:BEGIN>EXEC || A:P;X:Y;C:BEGIN>EXEC	G515-E0071|G515-E0363	CROSS_REGISTER
59	SET_A1__SET_X1|EXEC>A>X	2	2	2	2	2	1	0	A:P;X:Y;C:EXEC	G515-E0070|G515-E0390	CROSS_REGISTER
60	SET_A1__SET_X1|X>A>G2>EXEC>CLOSE	2	2	1	1	1	1	0	A:K;X:Y;C:GRADE:II>EXEC>CLOSE	G515-E0347|G515-E0504	SAME_PAGE_RECURRENT
61	SET_A1__SET_X2|A>X>X	2	2	2	1	2	2	2	A:CH;X:OR+AIIN;C:- || A:CH;X:OR+Y;C:-	G515-E0017|G515-E0150	CROSS_PAGE
62	SET_A1__SET_X2|X>A>X	2	2	2	1	2	2	0	A:K;X:Y+Y;C:- || A:T;X:Y+Y;C:-	G515-E0028|G515-E0132	CROSS_PAGE
63	SET_A2__KEEP_X1|A>A>CONT	2	2	1	1	1	2	0	A:CH+T;X:^AIIN;C:CONTINUE || A:CH+T;X:^OR;C:CONTINUE	G515-E0013|G515-E0040	SAME_PAGE_RECURRENT
64	SET_A2__KEEP_X1|A>EXEC>A	2	2	1	1	2	2	0	A:S+S;X:^Y;C:EXEC || A:SH+S;X:^Y;C:EXEC	G515-E0075|G515-E0112	SAME_PAGE_RECURRENT
65	SET_A2__KEEP_X1|A>G1>EXEC>A	2	2	2	2	2	2	0	A:CH+R;X:^Y;C:GRADE:I>EXEC || A:CH+S;X:^Y;C:GRADE:I>EXEC	G515-E0113|G515-E0441	CROSS_REGISTER
66	SET_A2__KEEP_X1|A>G2>A	2	2	1	1	2	1	1	A:OK+S;X:^Y;C:GRADE:II	G515-E0321|G515-E0479	SAME_PAGE_RECURRENT
67	SET_A2__SET_X1|A>A>G1>EXEC>ADDR>X	2	2	1	1	2	2	2	A:K+CH;X:Y;C:GRADE:I>EXEC>ADDR:D || A:P+SH;X:Y;C:GRADE:I>EXEC>ADDR:D	G515-E0437|G515-E0451	SAME_PAGE_RECURRENT
68	SET_A2__SET_X1|A>A>G2>X	2	2	1	1	2	1	1	A:CH+K;X:Y;C:GRADE:II	G515-E0325|G515-E0407	SAME_PAGE_RECURRENT
69	SET_A2__SET_X2|X>A>A>X	2	2	2	2	2	2	1	A:CH+T;X:AIIN+Y;C:- || A:K+CHD;X:Y+Y;C:-	G515-E0253|G515-E0557	CROSS_REGISTER
70	SET_A3__KEEP_X1|A>A>A>G1>CLOSE	2	2	1	1	2	2	1	A:CH+CH+K;X:^Y;C:GRADE:I>CLOSE || A:CH+CH+T;X:^Y;C:GRADE:I>CLOSE	G515-E0496|G515-E0516	SAME_PAGE_RECURRENT
71	SET_A3__SET_X1|A>A>A>G1>X	2	2	2	2	2	2	1	A:CH+CH+P;X:OR;C:GRADE:I || A:SH+CH+T;X:Y;C:GRADE:I	G515-E0213|G515-E0333	CROSS_REGISTER
