card_no	surfaces	component_recipe	atomic_expansion_de	short_default_de	composition_mode	events	pages	records	event_ids
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	3	f10r|f56r	H1|H5	E011|E091|E095
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	DANACH · ABNEHMEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f10r	H1	E012
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	FORTSETZEN	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	7	f10r|f11r|f83r	B3|H1|H2|H3	E014|E016|E054|E271|E279|E289|E310
PROC015	ycheor	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	PRODUCTIVE_COMPOSITION	1	f10r	H2	E015
PROC016	chor|or|shor|sor	OR	ANSATZ	ANSATZ	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r	B3|B4|H2|H4	E017|E025|E033|E034|E071|E254|E348
PROC017	cthaiin	CTH+AIIN	BEREIT · SOLLMASS	BEREIT · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f10r	H2	E018
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f10r	H2	E019
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	DANACH · ABNEHMEN · ANSATZ	PRODUCTIVE_COMPOSITION	2	f10r|f56r	H2|H5	E024|E080
PROC021	otol	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f10r	H2	E026
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	PRODUCTIVE_COMPOSITION	2	f10r|f81v	B1|H2	E028|E113
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	PRODUCTIVE_COMPOSITION	1	f10r	H2	E032
PROC024	kaiiin	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	ZUDOSIEREN · ARBEITSSTUFE	PRODUCTIVE_COMPOSITION	1	f10r	H2	E036
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	ABNEHMEN · ARBEITSGANG · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f10r	H2	E038
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	EINTRAGEN · HALTEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E039
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f11r	H3	E040
PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	AUSWRINGEN · ARBEITSPOSTEN	COMPOSITION_WITH_SINGLETON_ATOM	1	f11r	H3	E041
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	HALTEN · ARBEITSPOSTEN · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f11r	H3	E042
PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	EINFUELLEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E043
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	HALTEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	4	f11r|f82r|f83r	B2|B4|H3	E044|E197|E203|E353
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG · SCHLUSS	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f11r	H3	E045
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · ARBEITSPOSTEN · EINTRAGEN · ARBEITSPOSTEN	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E046
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	2	f11r|f56r	H3|H5	E047|E083
PROC035	kchy	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	ZUDOSIEREN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E049
PROC036	qotchy	OT+Y	DANACH · ARBEITSPOSTEN	DANACH · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E052
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f11r	H3	E053
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	ANSETZEN · SOLLMASS	PRODUCTIVE_COMPOSITION	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	E056|E102|E180|E181|E219|E236|E243|E256|E270
PROC039	ykain	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	PRODUCTIVE_COMPOSITION	1	f55v	H4	E058
PROC040	ykan	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	COMPOSITION_WITH_SINGLETON_ATOM	1	f55v	H4	E059
PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	ARBEITSGANG; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f55v	H4	E060
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	UMSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	11	f55v|f81v|f83r	B1|B3|B4|B5|H4	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372
PROC043	talam	TALAM	VERWAHREN	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	f55v	H4	E063
PROC044	ykaiin	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f55v	H4	E064
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	PRODUCTIVE_COMPOSITION	1	f55v	H4	E065
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	WAERMEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f55v|f83r	B4|H4	E066|E333
PROC047	oldy	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f55v|f83r	B4|H4	E067|E337
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	ANSETZEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	E069|E104|E152|E172|E186|E241
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f55v	H4	E070
PROC050	orain	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	PRODUCTIVE_COMPOSITION	1	f55v	H4	E073
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	ZUTAT · ABNEHMEN · ANSATZ	PRODUCTIVE_COMPOSITION	1	f56r	H5	E074
PROC052	cho|sho	HO	ZUTAT	ZUTAT	PRODUCTIVE_COMPOSITION	4	f56r	H5	E075|E078|E088|E094
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E076
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	ZUDOSIEREN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E079
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	ZIELSTELLE	PRODUCTIVE_COMPOSITION	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365
PROC056	choy	HO+Y	ZUTAT · ARBEITSPOSTEN	ZUTAT · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E084
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f56r	H5	E086
PROC058	sh	SH	HALTEN	HALTEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E087
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E089
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E090
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	PRODUCTIVE_COMPOSITION	1	f56r	H5	E092
PROC062	kchal	K+AL	ZUDOSIEREN · ZIELSTELLE	ZUDOSIEREN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f56r	H5	E093
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	ZUDOSIEREN · ZUTAT · VORRAT	PRODUCTIVE_COMPOSITION	1	f56r	H5	E096
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	DANACH · ARBEITSGANG · PORTION	PRODUCTIVE_COMPOSITION	1	f56r	H5	E097
PROC065	otchey	OT+Y	DANACH · ARBEITSPOSTEN	DANACH · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f56r|f83r	B4|H5	E098|E321
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	ZUDOSIEREN · KURZ · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f56r	H5	E099
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	8	f81v|f83r	B1|B3|B4	E101|E137|E138|E259|E294|E297|E318|E335
PROC068	kair	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	ZUDOSIEREN · FLUESSIGKEITSLAUF	PRODUCTIVE_COMPOSITION	1	f81v	B1	E103
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	ZUDOSIEREN · PORTION	PRODUCTIVE_COMPOSITION	3	f81v|f83r	B1|B3|B4	E107|E257|E354
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	FORTSETZEN · ZUDOSIEREN · PORTION	PRODUCTIVE_COMPOSITION	2	f81v|f83r	B1|B4	E108|E358
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	KUEHLEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E111
PROC072	dl	L	WEITERLEITEN	WEITERLEITEN	PRODUCTIVE_COMPOSITION	2	f81v	B1	E112|E129
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f81v	B1	E115
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	ANSETZEN · LANG · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f81v	B1	E117
PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · ARBEITSPOSTEN	DURCHLASSKANAL · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	4	f81v|f82r	B1|B2	E119|E128|E139|E179
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	4	f81v|f82r|f83r	B1|B2|B3	E120|E167|E239|E283
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f81v	B1	E122
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	12	f81v|f82r|f83r	B1|B2|B3|B4	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	3	f81v|f82r|f83r	B1|B2|B3	E126|E168|E242
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	ANSETZEN · PORTION	PRODUCTIVE_COMPOSITION	7	f81v|f82r|f83r	B1|B2|B3|B4	E127|E169|E198|E200|E288|E341|E352
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	KUEHLEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f81v	B1	E130
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	3	f81v|f83r	B1|B3|B5	E131|E284|E363
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · ARBEITSPOSTEN	WAERMEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	3	f81v|f83r	B1|B4	E134|E164|E339
PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	WASCHEN · ARBEITSGANG	PRODUCTIVE_COMPOSITION	1	f81v	B1	E141
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · ARBEITSPOSTEN	ANSETZEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f81v|f82r	B1|B2	E142|E220
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f81v	B1	E143|E144
PROC087	qolky	SOLK+Y	AUFFANGEN · ARBEITSPOSTEN	AUFFANGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E146
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	WEITERLEITEN · UMSETZEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f81v	B1	E147
PROC089	otar	OT+AR	DANACH · VORRAT	DANACH · VORRAT	PRODUCTIVE_COMPOSITION	1	f81v	B1	E149
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · ARBEITSPOSTEN	EINTRAGEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E150
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f81v|f83r	B1|B3	E151|E264
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN	ANSETZEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	7	f81v|f82r|f83r	B1|B2|B3|B4	E153|E175|E194|E205|E293|E317|E322
PROC093	teol	E+OL	KURZ · FORTSETZEN	KURZ · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E157
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f81v	B1	E158
PROC095	ly	L+Y	WEITERLEITEN · ARBEITSPOSTEN	WEITERLEITEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E159
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f81v	B1	E160
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	ARBEITSGANG · ARBEITSSTUFE	PRODUCTIVE_COMPOSITION	2	f81v|f83r	B1|B3	E161|E309
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG; SCHLUSS	PRODUCTIVE_COMPOSITION	3	f81v|f83r	B1|B3	E162|E229|E291
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	3	f81v|f83r	B1|B4	E165|E330|E331
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	PRODUCTIVE_COMPOSITION	10	f82r|f83r	B2|B3|B4	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASS · ARBEITSPOSTEN	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E173
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	WEITERLEITEN · UMSETZEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E174
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E176
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E177
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · SOLLMASS	AUFFANGEN · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E178
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E182
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	WAERMEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E183
PROC108	ldy	L+DY	WEITERLEITEN · SCHLUSS	WEITERLEITEN; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f82r|f83r	B2|B3	E184|E308
PROC109	oteey	OT+EE+Y	DANACH · LANG · ARBEITSPOSTEN	DANACH · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f82r	B2	E185|E218
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · ARBEITSPOSTEN	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E187
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E189
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	DANACH · SOLLMASS	PRODUCTIVE_COMPOSITION	3	f82r|f83r	B2|B3	E190|E306|E312
PROC113	qokar	OK+AR	ANSETZEN · VORRAT	ANSETZEN · VORRAT	PRODUCTIVE_COMPOSITION	1	f82r	B2	E191
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E193
PROC115	ls	OL	FORTSETZEN	FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E196
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E202
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · ARBEITSPOSTEN	BEREIT · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f82r|f83r	B2|B3	E204|E258
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · ARBEITSPOSTEN	WEITERLEITEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E206
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	ANSETZEN · VOLL; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E209
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	8	f82r|f83r	B2|B3|B4	E210|E235|E246|E262|E269|E282|E345|E357
PROC121	lar	L+AR	WEITERLEITEN · VORRAT	WEITERLEITEN · VORRAT	PRODUCTIVE_COMPOSITION	1	f82r	B2	E211
PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	HALTEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f82r	B2	E212
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · VORRAT	WEITERLEITEN · UMSETZEN · VORRAT	PRODUCTIVE_COMPOSITION	1	f82r	B2	E215
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	ABNEHMEN · KURZ · TEILEN	COMPOSITION_WITH_SINGLETON_ATOM	1	f82r	B2	E216
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	EINFUELLEN · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E221
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f82r	B2	E222
PROC127	daldy	AL+DY	ZIELSTELLE · SCHLUSS	ZIELSTELLE; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E223
PROC128	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E225
PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f82r|f83r	B2|B3	E226|E292
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f82r	B2	E228
PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	DANACH · ZIELSTELLE	PRODUCTIVE_COMPOSITION	3	f83r	B3|B4	E230|E237|E320
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	WAERMEN · LANG; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E231
PROC133	chedchy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	UMSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E240
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	EINFUELLEN · UMSETZEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f83r	B3	E248
PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	DANACH · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f83r	B3	E249|E307
