statement_id	page	record	events	surface_sequence	component_sequence	atomic_sequence_de	literal_commands_de	complete_workshop_paraphrase_de	closes
H5-S001	f56r	H5	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	ZUTAT · ABNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIELSTELLE · ARBEITSPOSTEN | SOLLMASS | ZUTAT | ZUDOSIEREN · FORTSETZEN | DANACH · ABNEHMEN · ANSATZ | ANSETZEN · ARBEITSPOSTEN | ZIELSTELLE	ZUTAT · ABNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIELSTELLE · ARBEITSPOSTEN | SOLLMASS | ZUTAT | ZUDOSIEREN · FORTSETZEN | DANACH · ABNEHMEN · ANSATZ | ANSETZEN · ARBEITSPOSTEN | ZIELSTELLE	Zutat abnehmen ansatz; dann Zutat; dann Zutat zielstelle arbeitsposten; dann Sollmass; dann Zutat; dann Zudosieren fortsetzen; dann Danach abnehmen ansatz; dann Ansetzen arbeitsposten; dann Zielstelle.	NO
H5-S002	f56r	H5	4	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	WIEDERAUFNEHMEN | ZUTAT · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | ABNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	WIEDERAUFNEHMEN | ZUTAT · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	Wiederaufnehmen; dann Zutat arbeitsposten; dann Ansetzen arbeitsposten; dann Abnehmen lang durchlasskanal arbeitsgang; schritt schliessen.	YES
H5-S003	f56r	H5	4	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	HALTEN | ZUTAT | ZUDOSIEREN · KURZ · ARBEITSPOSTEN | ANSETZEN · ANSETZEN · ARBEITSPOSTEN	HALTEN | ZUTAT | ZUDOSIEREN · KURZ · ARBEITSPOSTEN | ANSETZEN · ANSETZEN · ARBEITSPOSTEN	Halten; dann Zutat; dann Zudosieren kurz arbeitsposten; dann Ansetzen ansetzen arbeitsposten.	NO
H5-S004	f56r	H5	3	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	ANSETZEN · ARBEITSPOSTEN | ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG | ZUDOSIEREN · ZIELSTELLE	ANSETZEN · ARBEITSPOSTEN | ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG | ZUDOSIEREN · ZIELSTELLE	Ansetzen arbeitsposten; dann Ansetzen abnehmen kurz arbeitsgang; dann Zudosieren zielstelle.	NO
H5-S005	f56r	H5	4	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	ZUTAT | ANSETZEN · ARBEITSPOSTEN | ZUDOSIEREN · ZUTAT · VORRAT | DANACH · ARBEITSGANG · PORTION	ZUTAT | ANSETZEN · ARBEITSPOSTEN | ZUDOSIEREN · ZUTAT · VORRAT | DANACH · ARBEITSGANG · PORTION	Zutat; dann Ansetzen arbeitsposten; dann Zudosieren zutat vorrat; dann Danach arbeitsgang portion.	NO
H5-S006	f56r	H5	3	otchey keol daiin	OT+Y | K+E+OL | AIIN	DANACH · ARBEITSPOSTEN | ZUDOSIEREN · KURZ · FORTSETZEN | SOLLMASS	DANACH · ARBEITSPOSTEN | ZUDOSIEREN · KURZ · FORTSETZEN | SOLLMASS	Danach arbeitsposten; dann Zudosieren kurz fortsetzen; dann Sollmass.	NO
B1-S001	f81v	B1	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ; SCHLUSS	Ansetzen kurz; schritt schliessen.	YES
B1-S002	f81v	B1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	ANSETZEN · SOLLMASS | ZUDOSIEREN · FLUESSIGKEITSLAUF | ANSETZEN · ZIELSTELLE | VORRAT | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASS · ARBEITSPOSTEN | UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS | ZUDOSIEREN · FLUESSIGKEITSLAUF | ANSETZEN · ZIELSTELLE | VORRAT | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASSKANAL · ARBEITSPOSTEN | UMSETZEN; SCHLUSS	Ansetzen sollmass; dann Zudosieren fluessigkeitslauf; dann Ansetzen zielstelle; dann Vorrat; dann Fortsetzen; dann Zudosieren portion; dann Fortsetzen zudosieren portion; dann Zielstelle; dann Fortsetzen; dann Kuehlen fortsetzen; dann Weiterleiten; dann Fortsetzen ansatz; dann Fortsetzen; dann Halten kurz durchlasskanal zielstelle; dann Sollmass; dann Ansetzen lang zielstelle; dann Sollmass; dann Durchlasskanal arbeitsposten; dann Umsetzen; schritt schliessen.	YES
B1-S003	f81v	B1	2	qol sshkchdy	OL | SH+K+CHD+DY	FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	Fortsetzen; dann Halten zudosieren umsetzen; schritt schliessen.	YES
B1-S004	f81v	B1	3	chedy ol shedy	CHD+Y | OL | SHED+DY	UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN · SCHLUSS	UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	Umsetzen arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen.	YES
B1-S005	f81v	B1	1	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN; SCHLUSS	Fortsetzen umsetzen; schritt schliessen.	YES
B1-S006	f81v	B1	4	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	ANSETZEN · PORTION | DURCHLASS · ARBEITSPOSTEN | WEITERLEITEN | KUEHLEN · ZIELSTELLE	ANSETZEN · PORTION | DURCHLASSKANAL · ARBEITSPOSTEN | WEITERLEITEN | KUEHLEN · ZIELSTELLE	Ansetzen portion; dann Durchlasskanal arbeitsposten; dann Weiterleiten; dann Kuehlen zielstelle.	NO
B1-S007	f81v	B1	1	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	Ansetzen umsetzen; schritt schliessen.	YES
B1-S008	f81v	B1	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	ARBEITSPOSTEN | FORTSETZEN | WAERMEN · KURZ · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN · SCHLUSS	ARBEITSPOSTEN | FORTSETZEN | WAERMEN · KURZ · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	Arbeitsposten; dann Fortsetzen; dann Waermen kurz arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen.	YES
B1-S009	f81v	B1	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ; SCHLUSS	Ansetzen kurz; schritt schliessen.	YES
B1-S010	f81v	B1	1	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ; SCHLUSS	Ansetzen kurz; schritt schliessen.	YES
B1-S011	f81v	B1	2	chckhy qoky	CKH+Y | OK+Y	DURCHLASS · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	Durchlasskanal arbeitsposten; dann Ansetzen arbeitsposten.	NO
B1-S012	f81v	B1	3	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	WASCHEN · ARBEITSGANG | ANSETZEN · KURZ · ARBEITSPOSTEN | WASCHEN · KURZ · SCHLUSS	WASCHEN · ARBEITSGANG | ANSETZEN · KURZ · ARBEITSPOSTEN | WASCHEN · KURZ; SCHLUSS	Waschen arbeitsgang; dann Ansetzen kurz arbeitsposten; dann Waschen kurz; schritt schliessen.	YES
B1-S013	f81v	B1	1	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ; SCHLUSS	Waschen kurz; schritt schliessen.	YES
B1-S014	f81v	B1	5	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	UMSETZEN · ARBEITSPOSTEN | AUFFANGEN · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN · ZIELSTELLE | FORTSETZEN | DANACH · VORRAT	UMSETZEN · ARBEITSPOSTEN | AUFFANGEN · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN · ZIELSTELLE | FORTSETZEN | DANACH · VORRAT	Umsetzen arbeitsposten; dann Auffangen arbeitsposten; dann Weiterleiten umsetzen zielstelle; dann Fortsetzen; dann Danach vorrat.	NO
B1-S015	f81v	B1	2	ytey okchedy	T+E+Y | OK+CHD+DY	EINTRAGEN · KURZ · ARBEITSPOSTEN | ANSETZEN · UMSETZEN · SCHLUSS	EINTRAGEN · KURZ · ARBEITSPOSTEN | ANSETZEN · UMSETZEN; SCHLUSS	Eintragen kurz arbeitsposten; dann Ansetzen umsetzen; schritt schliessen.	YES
B1-S016	f81v	B1	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	ANSETZEN · ZIELSTELLE | ANSETZEN · LANG · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN · SCHLUSS	ANSETZEN · ZIELSTELLE | ANSETZEN · LANG · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	Ansetzen zielstelle; dann Ansetzen lang arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen.	YES
B1-S017	f81v	B1	3	sal teol dchdy	AL | E+OL | CHD+DY	ZIELSTELLE | KURZ · FORTSETZEN | UMSETZEN · SCHLUSS	ZIELSTELLE | KURZ · FORTSETZEN | UMSETZEN; SCHLUSS	Zielstelle; dann Kurz fortsetzen; dann Umsetzen; schritt schliessen.	YES
B1-S018	f81v	B1	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	WEITERLEITEN · ARBEITSPOSTEN | HALTEN · KURZ · FORTSETZEN | ARBEITSGANG · ARBEITSSTUFE | AUFFANGEN · LANG · SCHLUSS	WEITERLEITEN · ARBEITSPOSTEN | HALTEN · KURZ · FORTSETZEN | ARBEITSGANG · ARBEITSSTUFE | AUFFANGEN · LANG; SCHLUSS	Weiterleiten arbeitsposten; dann Halten kurz fortsetzen; dann Arbeitsgang arbeitsstufe; dann Auffangen lang; schritt schliessen.	YES
B1-S019	f81v	B1	1	tedy	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN; SCHLUSS	Absetzen; schritt schliessen.	YES
B1-S020	f81v	B1	2	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	WAERMEN · KURZ · ARBEITSPOSTEN | HALTEN · DURCHLASS · KURZ · SCHLUSS	WAERMEN · KURZ · ARBEITSPOSTEN | HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	Waermen kurz arbeitsposten; dann Halten durchlasskanal kurz; schritt schliessen.	YES
B1-S021	f81v	B1	1	chal	AL	ZIELSTELLE	ZIELSTELLE	Zielstelle.	NO
B2-S001	f82r	B2	1	dchedy	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN; SCHLUSS	Umsetzen; schritt schliessen.	YES
B2-S002	f82r	B2	1	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN; SCHLUSS	Fortsetzen umsetzen; schritt schliessen.	YES
B2-S003	f82r	B2	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	ANSETZEN · PORTION | ARBEITSPOSTEN | ANSETZEN · LANG · SCHLUSS	ANSETZEN · PORTION | ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	Ansetzen portion; dann Arbeitsposten; dann Ansetzen lang; schritt schliessen.	YES
B2-S004	f82r	B2	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	ANSETZEN · ZIELSTELLE | WEITERLEITEN · DURCHLASS · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	ANSETZEN · ZIELSTELLE | WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	Ansetzen zielstelle; dann Weiterleiten durchlasskanal arbeitsposten; dann Weiterleiten umsetzen; dann Ansetzen lang arbeitsposten; dann Weiterleiten durchlasskanal kurz; schritt schliessen.	YES
B2-S005	f82r	B2	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN | AUFFANGEN · SOLLMASS | DURCHLASS · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · SOLLMASS | ARBEITSGANG · BEREIT · KURZ · FORTSETZEN | WAERMEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · SCHLUSS	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN | AUFFANGEN · SOLLMASS | DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · SOLLMASS | ARBEITSGANG · BEREIT · KURZ · FORTSETZEN | WAERMEN · LANG · ARBEITSPOSTEN | WEITERLEITEN; SCHLUSS	Ansetzen zielstelle arbeitsposten; dann Auffangen sollmass; dann Durchlasskanal arbeitsposten; dann Ansetzen sollmass; dann Ansetzen sollmass; dann Arbeitsgang bereit kurz fortsetzen; dann Waermen lang arbeitsposten; dann Weiterleiten; schritt schliessen.	YES
B2-S006	f82r	B2	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · ZIELSTELLE | HALTEN · KURZ · DURCHLASS · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · ZIELSTELLE | HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	Danach lang arbeitsposten; dann Ansetzen zielstelle; dann Halten kurz durchlasskanal arbeitsposten; dann Ansetzen arbeitsposten.	NO
B2-S007	f82r	B2	1	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ; SCHLUSS	Halten kurz; schritt schliessen.	YES
B2-S008	f82r	B2	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	DANACH · SOLLMASS | ANSETZEN · VORRAT | ABSETZEN · SCHLUSS	DANACH · SOLLMASS | ANSETZEN · VORRAT | ABSETZEN; SCHLUSS	Danach sollmass; dann Ansetzen vorrat; dann Absetzen; schritt schliessen.	YES
B2-S009	f82r	B2	1	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ; SCHLUSS	Fortsetzen halten kurz; schritt schliessen.	YES
B2-S010	f82r	B2	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | FORTSETZEN | HALTEN · LANG · ARBEITSPOSTEN	ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | FORTSETZEN | HALTEN · LANG · ARBEITSPOSTEN	Ansetzen lang arbeitsposten; dann Ansetzen arbeitsposten; dann Fortsetzen; dann Halten lang arbeitsposten.	NO
B2-S011	f82r	B2	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	ANSETZEN · PORTION | VORRAT | ANSETZEN · PORTION | ANSETZEN · LANG · SCHLUSS	ANSETZEN · PORTION | VORRAT | ANSETZEN · PORTION | ANSETZEN · LANG; SCHLUSS	Ansetzen portion; dann Vorrat; dann Ansetzen portion; dann Ansetzen lang; schritt schliessen.	YES
