sense_check_ordinal	event_id	physical_page	register	surface	recipe	gdt581_structural_clause_de	gdt582_concrete_clause_de	manual_house_sense_disposition	manual_note	guard
14	G407-E1001	f67r2	CELESTIAL	ytalchos	Y+T+AL+CH+O+S	Stelle den Positionsposten ein, nimm ihn auf und wähle ihn; zur Zielposition; als Ausführung.	Stelle ein: Ringposition, zur Zielposition; Lies ab: in Eintragsform; Wähle aus.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
15	G407-E1087	f71v	CELESTIAL	okeodaly	OK+E+O+D_ADDR+AL+Y	Setze den Positionsposten; zur Zielposition; auf Grad I und als Ausführung; an der D-Stelle.	Trage ein: auf Ringstufe I, in Eintragsform, an der unteren Ringstelle, zur Zielposition, Ringposition.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
16	G407-E3154	f81v	BIOLOGICAL	shchey	SH+Y	Halte den Stationsposten.	Halte oder bade: Stationsansatz.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
17	G407-E2340	f76r	BIOLOGICAL	raiin	R+AIIN	Markiere den Stationswert.	Kennzeichne oder prüfe: Stations- oder Badmaß.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
18	G407-E1624	f75r	BIOLOGICAL	pchey	P+Y	Setze den Stationsposten ein.	Bringe ein oder wende an: Stationsansatz.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
19	G407-E1512	f75r	BIOLOGICAL	lchedy	L+CHD+DY	Bearbeite denselben Stationsposten; über die sichtbare Verbindung; schließe den Schritt.	Behandle: über den Stationskontakt oder die Leitung; im Steuerrahmen [CONTROL:G407-E1512@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
20	G407-E3129	f81v	BIOLOGICAL	salchtedytar	S+AL+CH+T+E+D_ADDR+Y+T+AR	Wähle den Stationsposten, entnimm ihn, stelle ihn ein und stelle ihn ein; zur Zielstation und von der Ausgangsstation; auf Grad I; an der D-Stelle.	Wähle oder leite um: zur Zielstation oder ins Zielbecken; Entnimm oder lass ab; Reguliere oder temperiere: auf Grad I, an der Stations-Arbeitsstelle; Reguliere oder temperiere: Stationsansatz, von der Ausgangsstation oder aus dem Ausgangsbecken.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
21	G407-E3963	f88v	PHARMA	archeey	AR+CH+EE+Y	Bezug auf das vorangehende Nehmen [G407-E3962@4:CH]: vom Ausgangsgefäß [G407-A04352:G407-E3963@1:AR#1]. Lokales Nehmen [G407-E3963@2:CH]: auf Grad II [G407-A04353:G407-E3963@3:EE#1]. Lokales Nehmen [G407-E3963@2:CH]: den Drogenposten [G407-A04354:G407-E3963@4:Y#1].	beim Entnehmen oder Ausziehen [ACTION:G407-E3962@4:CH]: aus dem Ausgangsgefäß; Entnimm oder ziehe aus: auf Grad II, Drogencharge.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
22	G407-E3912	f88r	PHARMA	chody	CH+O+D_ADDR+Y	Nimm den Drogenposten; als Ausführung; an der D-Stelle.	Entnimm oder ziehe aus: in Arzneiform, an der Drogen-Arbeitsstelle, Drogencharge.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
23	G407-E3923	f88r	PHARMA	ofal	O+LOCAL_CHAR_F+AL	Im laufenden Gang nimm denselben Drogenposten; zum Zielgefäß; als Ausführung; bei der f-Kennmarke.	beim Entnehmen oder Ausziehen [ACTION:G407-E3922@4:CH]: in Arzneiform, in Feinform, ins Aufnahme- oder Zielgefäß.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
24	G407-E3870	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	Halte den Drogenposten; beim Halten: als Ausführung; über die Gefäßverbindung; auf Grad I; beim Halten: erneut als Ausführung; an der D-Stelle.	Halte oder lass ziehen: in Arzneiform, über den Gefäßkontakt, auf Grad I, in Arzneiform, an der Drogen-Arbeitsstelle, Drogencharge.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
25	G407-E3846	f88r	PHARMA	pcheoly	P+CH+E+O+L+Y	Setze den Drogenposten ein und nimm ihn; über die Gefäßverbindung; auf Grad I und als Ausführung.	Gib hinein; Entnimm oder ziehe aus: auf Grad I, in Arzneiform, über den Gefäßkontakt, Drogencharge.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
