realization_ordinal	realization_id	root	register	function_family	invariant_core_concept	concrete_default_de	realization_source	slot_count	physical_page_count	owner_count	status	guard
11	GDT582-F011	AIR	BIOLOGICAL	RELATION	WORKING_PATH	entlang des Stationswegs oder Kanals	REGISTER_REALIZATION	14	6	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
12	GDT582-F012	AIR	CELESTIAL	RELATION	WORKING_PATH	entlang der Ringbahn	REGISTER_REALIZATION	27	4	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
13	GDT582-F013	AIR	HERBAL	RELATION	WORKING_PATH	entlang des Verarbeitungswegs	REGISTER_REALIZATION	12	6	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
14	GDT582-F014	AIR	PHARMA	RELATION	WORKING_PATH	durch den Transferkanal	REGISTER_REALIZATION	12	2	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
15	GDT582-F015	AIR	SOURCE_SECTION_T	RELATION	WORKING_PATH	entlang des Arbeitswegs	REGISTER_REALIZATION	13	2	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
16	GDT582-F016	AL	BIOLOGICAL	RELATION	TARGET	zur Zielstation oder ins Zielbecken	REGISTER_REALIZATION	185	7	26	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
17	GDT582-F017	AL	CELESTIAL	RELATION	TARGET	zur Zielposition	REGISTER_REALIZATION	201	6	28	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
18	GDT582-F018	AL	HERBAL	RELATION	TARGET	zur Zielstelle oder ins Auffanggefäß	REGISTER_REALIZATION	55	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
19	GDT582-F019	AL	PHARMA	RELATION	TARGET	ins Aufnahme- oder Zielgefäß	REGISTER_REALIZATION	56	3	19	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
20	GDT582-F020	AL	SOURCE_SECTION_T	RELATION	TARGET	zur Zielstelle oder ins Zielgefäß	REGISTER_REALIZATION	45	2	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
21	GDT582-F021	AM_ADDR	BIOLOGICAL	MODIFIER	AUXILIARY_SITE	an der Stations-Nebenstelle	REGISTER_REALIZATION	17	7	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
22	GDT582-F022	AM_ADDR	CELESTIAL	MODIFIER	AUXILIARY_SITE	an der mittleren Ringstelle	REGISTER_REALIZATION	35	6	15	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
23	GDT582-F023	AM_ADDR	HERBAL	MODIFIER	AUXILIARY_SITE	an der Pflanzen-Nebenstelle	REGISTER_REALIZATION	20	7	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
24	GDT582-F024	AM_ADDR	PHARMA	MODIFIER	AUXILIARY_SITE	an der Drogen-Nebenstelle	REGISTER_REALIZATION	29	3	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
25	GDT582-F025	AM_ADDR	SOURCE_SECTION_T	MODIFIER	AUXILIARY_SITE	an der Nebenstelle	REGISTER_REALIZATION	3	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
26	GDT582-F026	AN	BIOLOGICAL	MODIFIER	KIND_OR_CLASS	in der bezeichneten Stationsart	REGISTER_REALIZATION	3	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
27	GDT582-F027	AN	CELESTIAL	MODIFIER	KIND_OR_CLASS	an der Nachbarmarke	REGISTER_REALIZATION	4	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
28	GDT582-F028	AN	HERBAL	MODIFIER	KIND_OR_CLASS	in der bezeichneten Pflanzenart	REGISTER_REALIZATION	4	3	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
29	GDT582-F029	AN	SOURCE_SECTION_T	MODIFIER	KIND_OR_CLASS	in der bezeichneten Art	PORTABLE_CORE_REALIZATION	4	1	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
30	GDT582-F030	AR	BIOLOGICAL	RELATION	SOURCE	von der Ausgangsstation oder aus dem Ausgangsbecken	REGISTER_REALIZATION	156	7	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
31	GDT582-F031	AR	CELESTIAL	RELATION	SOURCE	von der Ausgangsposition	REGISTER_REALIZATION	160	6	28	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
32	GDT582-F032	AR	HERBAL	RELATION	SOURCE	vom Ausgangsmaterial oder -gefäß	REGISTER_REALIZATION	78	10	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
33	GDT582-F033	AR	PHARMA	RELATION	SOURCE	aus dem Ausgangsgefäß	REGISTER_REALIZATION	35	3	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
34	GDT582-F034	AR	SOURCE_SECTION_T	RELATION	SOURCE	von der Quelle oder aus dem Ausgangsgefäß	REGISTER_REALIZATION	49	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
35	GDT582-F035	A_ADDR	BIOLOGICAL	MODIFIER	MAIN_SITE	an der Stations-Hauptstelle	REGISTER_REALIZATION	21	6	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
36	GDT582-F036	A_ADDR	CELESTIAL	MODIFIER	MAIN_SITE	an der oberen Ringstelle	REGISTER_REALIZATION	23	6	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
37	GDT582-F037	A_ADDR	HERBAL	MODIFIER	MAIN_SITE	an der Pflanzen-Hauptstelle	REGISTER_REALIZATION	13	7	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
38	GDT582-F038	A_ADDR	PHARMA	MODIFIER	MAIN_SITE	an der Drogen-Hauptstelle	REGISTER_REALIZATION	10	2	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
39	GDT582-F039	A_ADDR	SOURCE_SECTION_T	MODIFIER	MAIN_SITE	an der Hauptstelle	REGISTER_REALIZATION	13	2	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
40	GDT582-F040	CARRIER_Q	BIOLOGICAL	MODIFIER	NEW_BATCH	als neuer Bad- oder Stationsansatz	REGISTER_REALIZATION	34	6	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
41	GDT582-F041	CARRIER_Q	CELESTIAL	MODIFIER	NEW_BATCH	im Tabellenfeld	REGISTER_REALIZATION	7	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
42	GDT582-F042	CARRIER_Q	HERBAL	MODIFIER	NEW_BATCH	als neuer Pflanzenansatz	REGISTER_REALIZATION	14	8	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
43	GDT582-F043	CARRIER_Q	PHARMA	MODIFIER	NEW_BATCH	als neuer Arzneiansatz	REGISTER_REALIZATION	18	3	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
44	GDT582-F044	CARRIER_Q	SOURCE_SECTION_T	MODIFIER	NEW_BATCH	als Neuansatz	REGISTER_REALIZATION	2	1	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
45	GDT582-F045	CH	BIOLOGICAL	ACTION	TAKE_OR_EXTRACT	Entnimm oder lass ab	REGISTER_REALIZATION	292	7	22	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
46	GDT582-F046	CH	CELESTIAL	ACTION	TAKE_OR_EXTRACT	Lies ab	REGISTER_REALIZATION	145	6	24	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
47	GDT582-F047	CH	HERBAL	ACTION	TAKE_OR_EXTRACT	Entnimm oder ziehe aus	REGISTER_REALIZATION	298	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
48	GDT582-F048	CH	PHARMA	ACTION	TAKE_OR_EXTRACT	Entnimm oder ziehe aus	REGISTER_REALIZATION	167	3	16	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
49	GDT582-F049	CH	SOURCE_SECTION_T	ACTION	TAKE_OR_EXTRACT	Entnimm	REGISTER_REALIZATION	121	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
50	GDT582-F050	CHD	BIOLOGICAL	ACTION	PROCESS_OR_TREAT	Behandle	REGISTER_REALIZATION	261	7	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
51	GDT582-F051	CHD	CELESTIAL	ACTION	PROCESS_OR_TREAT	Berechne	REGISTER_REALIZATION	18	5	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
52	GDT582-F052	CHD	HERBAL	ACTION	PROCESS_OR_TREAT	Bearbeite oder zerreibe	REGISTER_REALIZATION	35	5	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
53	GDT582-F053	CHD	PHARMA	ACTION	PROCESS_OR_TREAT	Bearbeite oder zerreibe	REGISTER_REALIZATION	5	2	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
54	GDT582-F054	CHD	SOURCE_SECTION_T	ACTION	PROCESS_OR_TREAT	Bearbeite	REGISTER_REALIZATION	22	2	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
55	GDT582-F055	DA	BIOLOGICAL	MODIFIER	SECOND_PASS	im zweiten Durchgang	PORTABLE_CORE_REALIZATION	16	5	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
56	GDT582-F056	DA	CELESTIAL	MODIFIER	SECOND_PASS	im zweiten Durchgang	PORTABLE_CORE_REALIZATION	21	4	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
57	GDT582-F057	DA	HERBAL	MODIFIER	SECOND_PASS	im zweiten Durchgang	PORTABLE_CORE_REALIZATION	8	5	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
58	GDT582-F058	DA	PHARMA	MODIFIER	SECOND_PASS	im zweiten Durchgang	PORTABLE_CORE_REALIZATION	13	3	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
59	GDT582-F059	DA	SOURCE_SECTION_T	MODIFIER	SECOND_PASS	im zweiten Durchgang	PORTABLE_CORE_REALIZATION	6	2	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
60	GDT582-F060	D_ADDR	BIOLOGICAL	MODIFIER	WORK_SITE	an der Stations-Arbeitsstelle	REGISTER_REALIZATION	166	7	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
61	GDT582-F061	D_ADDR	CELESTIAL	MODIFIER	WORK_SITE	an der unteren Ringstelle	REGISTER_REALIZATION	84	6	19	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
62	GDT582-F062	D_ADDR	HERBAL	MODIFIER	WORK_SITE	an der Pflanzen-Arbeitsstelle	REGISTER_REALIZATION	146	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
63	GDT582-F063	D_ADDR	PHARMA	MODIFIER	WORK_SITE	an der Drogen-Arbeitsstelle	REGISTER_REALIZATION	77	3	14	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
64	GDT582-F064	D_ADDR	SOURCE_SECTION_T	MODIFIER	WORK_SITE	an der Arbeitsstelle	REGISTER_REALIZATION	102	2	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
65	GDT582-F065	D_LABEL	CELESTIAL	MODIFIER	D_VARIANT	in der d-Klasse	REGISTER_REALIZATION	2	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
66	GDT582-F066	D_LABEL	HERBAL	MODIFIER	D_VARIANT	in der d-Variante	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
67	GDT582-F067	D_LABEL	SOURCE_SECTION_T	MODIFIER	D_VARIANT	in der d-Variante	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
68	GDT582-F068	E	BIOLOGICAL	MODIFIER	LOW_DEGREE	auf Grad I	REGISTER_REALIZATION	567	7	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
69	GDT582-F069	E	CELESTIAL	MODIFIER	LOW_DEGREE	auf Ringstufe I	REGISTER_REALIZATION	229	6	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
70	GDT582-F070	E	HERBAL	MODIFIER	LOW_DEGREE	auf Grad I	PORTABLE_CORE_REALIZATION	135	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
71	GDT582-F071	E	PHARMA	MODIFIER	LOW_DEGREE	auf Grad I	REGISTER_REALIZATION	197	3	13	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
72	GDT582-F072	E	SOURCE_SECTION_T	MODIFIER	LOW_DEGREE	auf Grad I	PORTABLE_CORE_REALIZATION	129	2	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
73	GDT582-F073	EE	BIOLOGICAL	MODIFIER	MIDDLE_DEGREE	auf Grad II	REGISTER_REALIZATION	324	7	22	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
74	GDT582-F074	EE	CELESTIAL	MODIFIER	MIDDLE_DEGREE	auf Ringstufe II	REGISTER_REALIZATION	139	6	23	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
75	GDT582-F075	EE	HERBAL	MODIFIER	MIDDLE_DEGREE	auf Grad II	PORTABLE_CORE_REALIZATION	46	6	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
76	GDT582-F076	EE	PHARMA	MODIFIER	MIDDLE_DEGREE	auf Grad II	REGISTER_REALIZATION	57	3	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
77	GDT582-F077	EE	SOURCE_SECTION_T	MODIFIER	MIDDLE_DEGREE	auf Grad II	PORTABLE_CORE_REALIZATION	38	2	7	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
78	GDT582-F078	EEE	BIOLOGICAL	MODIFIER	HIGH_DEGREE	auf Grad III	REGISTER_REALIZATION	13	5	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
79	GDT582-F079	EEE	CELESTIAL	MODIFIER	HIGH_DEGREE	auf Ringstufe III	REGISTER_REALIZATION	10	5	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
80	GDT582-F080	EEE	HERBAL	MODIFIER	HIGH_DEGREE	auf Grad III	PORTABLE_CORE_REALIZATION	4	3	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
81	GDT582-F081	EEE	PHARMA	MODIFIER	HIGH_DEGREE	auf Grad III	REGISTER_REALIZATION	4	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
82	GDT582-F082	EEE	SOURCE_SECTION_T	MODIFIER	HIGH_DEGREE	auf Grad III	PORTABLE_CORE_REALIZATION	2	1	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
83	GDT582-F083	G_LABEL	BIOLOGICAL	MODIFIER	G_VARIANT	in der g-Variante	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
84	GDT582-F084	G_LABEL	CELESTIAL	MODIFIER	G_VARIANT	in der g-Klasse	REGISTER_REALIZATION	6	3	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
85	GDT582-F085	G_LABEL	PHARMA	MODIFIER	G_VARIANT	in der g-Variante	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
86	GDT582-F086	HO	CELESTIAL	MODIFIER	UPPER_CLASS	an der oberen Marke	REGISTER_REALIZATION	4	3	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
87	GDT582-F087	HO	HERBAL	MODIFIER	UPPER_CLASS	in der Oberklasse	REGISTER_REALIZATION	15	8	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
88	GDT582-F088	HO	PHARMA	MODIFIER	UPPER_CLASS	in der Oberklasse	REGISTER_REALIZATION	6	2	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
89	GDT582-F089	HO	SOURCE_SECTION_T	MODIFIER	UPPER_CLASS	in der Oberklasse	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
90	GDT582-F090	IIN	BIOLOGICAL	MODIFIER	WORKING_STAGE	auf der Anwendungsstufe	REGISTER_REALIZATION	18	6	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
91	GDT582-F091	IIN	CELESTIAL	MODIFIER	WORKING_STAGE	auf der Feinstufe	REGISTER_REALIZATION	19	6	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
92	GDT582-F092	IIN	HERBAL	MODIFIER	WORKING_STAGE	auf der Verarbeitungsstufe	REGISTER_REALIZATION	20	8	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
93	GDT582-F093	IIN	PHARMA	MODIFIER	WORKING_STAGE	auf der Zubereitungsstufe	REGISTER_REALIZATION	9	2	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
94	GDT582-F094	IIN	SOURCE_SECTION_T	MODIFIER	WORKING_STAGE	auf der bezeichneten Stufe	REGISTER_REALIZATION	13	2	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
95	GDT582-F095	K	BIOLOGICAL	ACTION	TRANSFER_OR_ADD	Führe zu	REGISTER_REALIZATION	239	7	22	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
96	GDT582-F096	K	CELESTIAL	ACTION	TRANSFER_OR_ADD	Ordne zu	REGISTER_REALIZATION	88	6	18	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
97	GDT582-F097	K	HERBAL	ACTION	TRANSFER_OR_ADD	Gib zu	REGISTER_REALIZATION	131	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
98	GDT582-F098	K	PHARMA	ACTION	TRANSFER_OR_ADD	Gib zu	REGISTER_REALIZATION	73	3	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
99	GDT582-F099	K	SOURCE_SECTION_T	ACTION	TRANSFER_OR_ADD	Gib zu	REGISTER_REALIZATION	85	2	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
100	GDT582-F100	L	BIOLOGICAL	RELATION	CONTACT_OR_CONNECTION	über den Stationskontakt oder die Leitung	REGISTER_REALIZATION	222	7	20	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
101	GDT582-F101	L	CELESTIAL	RELATION	CONTACT_OR_CONNECTION	über den Ringkontakt	REGISTER_REALIZATION	19	5	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
102	GDT582-F102	L	HERBAL	RELATION	CONTACT_OR_CONNECTION	über den Materialkontakt	REGISTER_REALIZATION	16	8	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
103	GDT582-F103	L	PHARMA	RELATION	CONTACT_OR_CONNECTION	über den Gefäßkontakt	REGISTER_REALIZATION	28	3	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
104	GDT582-F104	L	SOURCE_SECTION_T	RELATION	CONTACT_OR_CONNECTION	über den Arbeitskontakt	REGISTER_REALIZATION	22	2	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
