page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	prior_gdt579_scope_changed_event_count	prior_gdt579_scope_changed_statement_count	resumption_changed_event_count	resumption_changed_statement_count	cumulative_changed_event_count_against_gdt574	cumulative_changed_statement_count_against_gdt574	page_resumption_changed	page_status	guard	grammar_boundary_changed_event_count	grammar_boundary_changed_statement_count	focus_voice_repair_count	local_card_count	local_component_count	local_name_slot_count	page_grammar_boundary_changed	gdt581_page_status	gdt581_guard	complete_default_slot_count	content_default_slot_count	control_default_slot_count	productive_function_slot_count	learned_content_slot_count	alias_default_count	gdt582_page_status	gdt582_guard
19	f81r	BIOLOGICAL	210	48	114	96	2	2	0	0	18	12	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	13	8	13	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	531	401	130	401	0	203	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
20	f81v	BIOLOGICAL	253	54	102	151	1	1	0	0	27	19	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	14	12	17	2	5	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	679	565	114	565	0	203	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
21	f82r	BIOLOGICAL	278	62	101	177	0	0	0	0	25	16	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	16	12	21	13	43	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	822	701	121	701	0	203	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
22	f83r	BIOLOGICAL	341	91	139	202	0	0	0	0	33	21	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	20	16	21	4	18	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	981	820	161	820	0	264	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
23	f88r	PHARMA	134	5	41	93	1	1	0	0	30	5	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	1	1	1	16	55	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	439	386	53	386	0	115	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
24	f88v	PHARMA	131	13	30	101	0	0	0	0	34	8	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	5	4	7	14	25	14	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	476	430	46	416	14	89	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
25	f89r	PHARMA	338	20	74	264	1	1	0	0	53	16	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	11	7	13	38	89	24	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	1010	909	101	885	24	282	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
26	f95v	HERBAL	178	30	56	122	1	1	0	0	32	20	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	8	7	9	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	493	431	62	431	0	125	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
27	f31r	HERBAL	103	19	25	78	3	3	0	0	23	10	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	299	271	28	271	0	58	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
28	f66r	SOURCE_SECTION_T	293	51	95	198	3	3	1	1	81	31	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	7	6	8	51	90	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	1020	906	114	904	2	175	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
29	f20v	HERBAL	86	3	21	65	1	1	0	0	10	3	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	210	187	23	187	0	63	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
30	f4r	HERBAL	64	5	21	43	0	0	0	0	8	4	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	166	142	24	142	0	36	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
