local_card_ordinal	local_card_host_key	source_partition	source_layer	source_event_id	physical_page	register	locus	owner_de	surface	component_recipe	component_count	source_local_role	record_id	record_governor_key	bundle_id	bundle_governor_key	active_local_model	guard	complete_slot_count	content_slot_count	control_slot_count	concrete_slot_trace_de	concrete_working_clause_de	gdt582_guard
11	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1757	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1757	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	okar	OK+AR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	2	0	[1:OK=Trage ein|LOCAL_COMPONENT:P912-E1757@1|LOCAL_ACTION:P912-E1757@1:OK] [2:AR=von der Ausgangsposition|LOCAL_COMPONENT:P912-E1757@2|LOCAL_ACTION:P912-E1757@1:OK]	Trage ein: von der Ausgangsposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
12	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1758	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	shekchy	SH+E+K+CH+Y	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	5	0	[1:SH=Halte fest|LOCAL_COMPONENT:P912-E1758@1|LOCAL_ACTION:P912-E1758@1:SH] [2:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1758@2|LOCAL_ACTION:P912-E1758@1:SH] [3:K=Ordne zu|LOCAL_COMPONENT:P912-E1758@3|LOCAL_ACTION:P912-E1758@3:K] [4:CH=Lies ab|LOCAL_COMPONENT:P912-E1758@4|LOCAL_ACTION:P912-E1758@4:CH] [5:Y=Ringposition|LOCAL_COMPONENT:P912-E1758@5|LOCAL_ACTION:P912-E1758@4:CH]	Halte fest: auf Ringstufe I; Ordne zu; Lies ab: Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
13	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1759	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	sykos	S+Y+K+O+S_ADDR	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	5	0	[1:S=Wähle aus|LOCAL_COMPONENT:P912-E1759@1|LOCAL_ACTION:P912-E1759@1:S] [2:Y=Ringposition|LOCAL_COMPONENT:P912-E1759@2|LOCAL_ACTION:P912-E1759@1:S] [3:K=Ordne zu|LOCAL_COMPONENT:P912-E1759@3|LOCAL_ACTION:P912-E1759@3:K] [4:O=in Eintragsform|LOCAL_COMPONENT:P912-E1759@4|LOCAL_ACTION:P912-E1759@3:K] [5:S_ADDR=an der seitlichen Ringstelle|LOCAL_COMPONENT:P912-E1759@5|LOCAL_ACTION:P912-E1759@3:K]	Wähle aus: Ringposition; Ordne zu: in Eintragsform, an der seitlichen Ringstelle.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
14	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1760	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	ykeody	Y+K+E+O+DY	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	4	1	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1760@1|LOCAL_ACTION:P912-E1760@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1760@2|LOCAL_ACTION:P912-E1760@2:K] [3:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1760@3|LOCAL_ACTION:P912-E1760@2:K] [4:O=in Eintragsform|LOCAL_COMPONENT:P912-E1760@4|LOCAL_ACTION:P912-E1760@2:K] [5:DY=Arbeitsgang abschließen|LOCAL_COMPONENT:P912-E1760@5|LOCAL_CONTROL:P912-E1760@5:DY]	Ordne zu: Ringposition, auf Ringstufe I, in Eintragsform; im Rahmen [LOCAL_CONTROL:P912-E1760@5:DY]: Arbeitsgang abschließen.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
15	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1761	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1761	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	okchy	OK+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	2	0	[1:OK=Trage ein|LOCAL_COMPONENT:P912-E1761@1|LOCAL_ACTION:P912-E1761@1:OK] [2:Y=Ringposition|LOCAL_COMPONENT:P912-E1761@2|LOCAL_ACTION:P912-E1761@1:OK]	Trage ein: Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
16	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1762	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	6	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	6	6	0	[1:D_ADDR=an der unteren Ringstelle|LOCAL_COMPONENT:P912-E1762@1|LOCAL_ACTION:P912-E1762@2:CH] [2:CH=Lies ab|LOCAL_COMPONENT:P912-E1762@2|LOCAL_ACTION:P912-E1762@2:CH] [3:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1762@3|LOCAL_ACTION:P912-E1762@2:CH] [4:T=Stelle ein|LOCAL_COMPONENT:P912-E1762@4|LOCAL_ACTION:P912-E1762@4:T] [5:A_ADDR=an der oberen Ringstelle|LOCAL_COMPONENT:P912-E1762@5|LOCAL_ACTION:P912-E1762@4:T] [6:Y=Ringposition|LOCAL_COMPONENT:P912-E1762@6|LOCAL_ACTION:P912-E1762@4:T]	Lies ab: an der unteren Ringstelle, auf Ringstufe I; Stelle ein: an der oberen Ringstelle, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
17	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1763	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1763	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	ykchy	Y+K+Y	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	3	3	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1763@1|LOCAL_ACTION:P912-E1763@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1763@2|LOCAL_ACTION:P912-E1763@2:K] [3:Y=Ringposition|LOCAL_COMPONENT:P912-E1763@3|LOCAL_ACTION:P912-E1763@2:K]	Ordne zu: Ringposition, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
18	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1764	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1764	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	kchey	K+CH+E+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	4	4	0	[1:K=Ordne zu|LOCAL_COMPONENT:P912-E1764@1|LOCAL_ACTION:P912-E1764@1:K] [2:CH=Lies ab|LOCAL_COMPONENT:P912-E1764@2|LOCAL_ACTION:P912-E1764@2:CH] [3:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1764@3|LOCAL_ACTION:P912-E1764@2:CH] [4:Y=Ringposition|LOCAL_COMPONENT:P912-E1764@4|LOCAL_ACTION:P912-E1764@2:CH]	Ordne zu; Lies ab: auf Ringstufe I, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
19	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1765	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1765	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	ykchys	Y+K+CH+Y+S	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	5	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1765@1|LOCAL_ACTION:P912-E1765@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1765@2|LOCAL_ACTION:P912-E1765@2:K] [3:CH=Lies ab|LOCAL_COMPONENT:P912-E1765@3|LOCAL_ACTION:P912-E1765@3:CH] [4:Y=Ringposition|LOCAL_COMPONENT:P912-E1765@4|LOCAL_ACTION:P912-E1765@3:CH] [5:S=Wähle aus|LOCAL_COMPONENT:P912-E1765@5|LOCAL_ACTION:P912-E1765@5:S]	Ordne zu: Ringposition; Lies ab: Ringposition; Wähle aus.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
20	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1766	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1766	f67r2	CELESTIAL	f67r2.8	zwei lokale Himmelsraeder	chkchdar	CHK+CHD+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	3	2	1	[1:CHK=lokale CHK-Karte|LOCAL_COMPONENT:P912-E1766@1|LOCAL_CONTROL:P912-E1766@1:CHK] [2:CHD=Berechne|LOCAL_COMPONENT:P912-E1766@2|LOCAL_ACTION:P912-E1766@2:CHD] [3:AR=von der Ausgangsposition|LOCAL_COMPONENT:P912-E1766@3|LOCAL_ACTION:P912-E1766@2:CHD]	im Rahmen [LOCAL_CONTROL:P912-E1766@1:CHK]: lokale CHK-Karte; Berechne: von der Ausgangsposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
21	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1767	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1767	f67r2	CELESTIAL	f67r2.9	zwei lokale Himmelsraeder	ykar	Y+K+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	3	3	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1767@1|LOCAL_ACTION:P912-E1767@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1767@2|LOCAL_ACTION:P912-E1767@2:K] [3:AR=von der Ausgangsposition|LOCAL_COMPONENT:P912-E1767@3|LOCAL_ACTION:P912-E1767@2:K]	Ordne zu: Ringposition, von der Ausgangsposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
22	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1768	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1768	f67r2	CELESTIAL	f67r2.9	zwei lokale Himmelsraeder	ykaly	Y+K+AL+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	4	4	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1768@1|LOCAL_ACTION:P912-E1768@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1768@2|LOCAL_ACTION:P912-E1768@2:K] [3:AL=zur Zielposition|LOCAL_COMPONENT:P912-E1768@3|LOCAL_ACTION:P912-E1768@2:K] [4:Y=Ringposition|LOCAL_COMPONENT:P912-E1768@4|LOCAL_ACTION:P912-E1768@2:K]	Ordne zu: Ringposition, zur Zielposition, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
23	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1769	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1769	f67r2	CELESTIAL	f67r2.10	zwei lokale Himmelsraeder	lkshy	L+K+SH+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	4	4	0	[1:L=über den Ringkontakt|LOCAL_COMPONENT:P912-E1769@1|LOCAL_ACTION:P912-E1769@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1769@2|LOCAL_ACTION:P912-E1769@2:K] [3:SH=Halte fest|LOCAL_COMPONENT:P912-E1769@3|LOCAL_ACTION:P912-E1769@3:SH] [4:Y=Ringposition|LOCAL_COMPONENT:P912-E1769@4|LOCAL_ACTION:P912-E1769@3:SH]	Ordne zu: über den Ringkontakt; Halte fest: Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
