core_ordinal	root	function_family	invariant_core_concept	universal_workshop_rival_de	slot_count	running_slot_count	local_slot_count	register_count	registers	boundary_classes	status	guard
11	CHD	ACTION	PROCESS_OR_TREAT	Bearbeite	341	328	13	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
12	DA	MODIFIER	SECOND_PASS	im zweiten Durchgang	64	42	22	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
13	D_ADDR	MODIFIER	WORK_SITE	an der Arbeitsstelle	575	519	56	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
14	D_LABEL	MODIFIER	D_VARIANT	in der d-Variante	4	2	2	3	CELESTIAL|HERBAL|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
15	E	MODIFIER	LOW_DEGREE	auf Grad I	1257	1146	111	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
16	EE	MODIFIER	MIDDLE_DEGREE	auf Grad II	604	539	65	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
17	EEE	MODIFIER	HIGH_DEGREE	auf Grad III	33	30	3	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
18	G_LABEL	MODIFIER	G_VARIANT	in der g-Variante	8	4	4	3	BIOLOGICAL|CELESTIAL|PHARMA	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
19	HO	MODIFIER	UPPER_CLASS	in der Oberklasse	26	22	4	4	CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
20	IIN	MODIFIER	WORKING_STAGE	auf der bezeichneten Stufe	79	69	10	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
21	K	ACTION	TRANSFER_OR_ADD	Gib zu	616	568	48	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
22	L	RELATION	CONTACT_OR_CONNECTION	über die Verbindung	307	295	12	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_RELATION_FUNCTION|RUNNING_RELATION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
23	LOCAL_CHAR_B	MODIFIER	B_VARIANT	in der b-Variante	2	2	0	2	BIOLOGICAL|PHARMA	RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
24	LOCAL_CHAR_F	MODIFIER	FINE_FORM	in Feinform	66	48	18	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
25	LOCAL_CHAR_G	MODIFIER	ALTERNATE_FORM	in der Alternativform	13	12	1	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
26	LOCAL_CHAR_I	MODIFIER	INNER_FORM	in der Innenform	19	18	1	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
27	LOCAL_CHAR_J	MODIFIER	J_VARIANT	in der j-Variante	1	1	0	1	PHARMA	RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
28	LOCAL_CHAR_Z	MODIFIER	Z_VARIANT	in der z-Variante	1	0	1	1	CELESTIAL	LOCAL_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
29	M_LOCAL	MODIFIER	MIDDLE_SITE	an der Mittelstelle	15	14	1	4	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
30	O	MODIFIER	FORM_OR_MODE	in Arbeitsform	973	810	163	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
31	OK	ACTION	SET_OR_OPEN_BATCH	Setze an	961	849	112	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
32	OR	OBJECT	UNIT_OR_BATCH	Einheit oder Ansatz	332	298	34	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_OBJECT_FUNCTION|RUNNING_OBJECT_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
33	OS	MODIFIER	PRIOR_REFERENCE	mit Vorbezug	8	8	0	3	CELESTIAL|HERBAL|SOURCE_SECTION_T	RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
34	P	ACTION	INSERT_OR_APPLY	Lege ein	196	186	10	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
35	R	ACTION	CHECK_OR_MARK	Kennzeichne	152	130	22	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
36	S	ACTION	SELECT_OR_SEPARATE	Wähle aus	402	340	62	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
37	SH	ACTION	HOLD_OR_REST	Halte oder lass stehen	794	745	49	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
38	S_ADDR	MODIFIER	END_SITE	an der Endstelle	38	16	22	4	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
39	S_LABEL	MODIFIER	S_VARIANT	in der s-Variante	3	0	3	1	CELESTIAL	LOCAL_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
40	T	ACTION	ADJUST_OR_TEMPER	Stelle ein oder temperiere	384	342	42	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
41	Y	OBJECT	CURRENT_GOOD_OR_BATCH	Arbeitsgut	2125	1837	288	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_OBJECT_FUNCTION|RUNNING_OBJECT_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
42	Z_ADDR	MODIFIER	Z_SITE	an der z-Stelle	2	0	2	1	CELESTIAL	LOCAL_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
