exercise	page	record	statement_id	owner_de	source_event	before_surfaces	after_surfaces	before_reading_de	after_reading_de	address_change	surface_change	other_events_unchanged
S11	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	E381	solkeey qekey raly ol daiin ol dain chey ldalor	solkeey qekey raly ol daiin ol dain chey ldaror	SAMMELSTELLE · LANG · DIES; KURZ · ZUGEBEN · KURZ · DIES; KUEHLEN · ZIELSTELLE · DIES; WEITER; SOLLMASS; WEITER; PORTION; DIES; LEITEN · ZIELSTELLE · ANSATZ	SAMMELSTELLE · LANG · DIES; KURZ · ZUGEBEN · KURZ · DIES; KUEHLEN · ZIELSTELLE · DIES; WEITER; SOLLMASS; WEITER; PORTION; DIES; LEITEN · QUELLE · ANSATZ	AL→AR	ldalor→ldaror	YES
S12	f82r	B2	B2-S014	unteres grünes Mehrfigurenbecken	E211	lar	lal	LEITEN · QUELLE	LEITEN · ZIELSTELLE	AR→AL	lar→lal	YES
S13	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	E177	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	qokary solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ANSETZEN · ZIELSTELLE · DIES; SAMMELSTELLE · SOLLMASS; DURCHLASS · DIES; ANSETZEN · SOLLMASS; ANSETZEN · SOLLMASS; ARBEITSGANG · BEREITEN · KURZ · WEITER; WAERMEN · LANG · DIES; LEITEN · SCHLUSS	ANSETZEN · QUELLE · DIES; SAMMELSTELLE · SOLLMASS; DURCHLASS · DIES; ANSETZEN · SOLLMASS; ANSETZEN · SOLLMASS; ARBEITSGANG · BEREITEN · KURZ · WEITER; WAERMEN · LANG · DIES; LEITEN · SCHLUSS	AL→AR	qokaly→qokary	YES
S14	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	E117	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedar daiin chckhy schedy	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · QUELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	AL→AR	qokeedal→qokeedar	YES
S15	f83r	B3	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	E313	soiiin checthy chety otaiin olsaly shedy	soiiin checthy chety otaiin olsary shedy	ARBEITSGANG · ARBEITSSTUFE; BEREITEN · DIES; ANWENDEN · DIES; DANACH · SOLLMASS; WEITER · ZIELSTELLE · DIES; ABSETZEN · SCHLUSS	ARBEITSGANG · ARBEITSSTUFE; BEREITEN · DIES; ANWENDEN · DIES; DANACH · SOLLMASS; WEITER · QUELLE · DIES; ABSETZEN · SCHLUSS	AL→AR	olsaly→olsary	YES
S16	f83r	B3	B3-S010	untere Randfigur im korbartigen Gefäß	E248	pchedal otedy	pchedar otedy	FUELLEN · UMSETZEN · ZIELSTELLE; DANACH · KURZ · SCHLUSS	FUELLEN · UMSETZEN · QUELLE; DANACH · KURZ · SCHLUSS	AL→AR	pchedal→pchedar	YES
S17	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	E130	qokain shckhy dl ral	qokain shckhy dl rar	ANSETZEN · PORTION; DURCHLASS · DIES; LEITEN; KUEHLEN · ZIELSTELLE	ANSETZEN · PORTION; DURCHLASS · DIES; LEITEN; KUEHLEN · QUELLE	AL→AR	ral→rar	YES
S18	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	E375	solkeey qekey raly ol daiin ol dain chey ldalor	solkeey qekey rary ol daiin ol dain chey ldalor	SAMMELSTELLE · LANG · DIES; KURZ · ZUGEBEN · KURZ · DIES; KUEHLEN · ZIELSTELLE · DIES; WEITER; SOLLMASS; WEITER; PORTION; DIES; LEITEN · ZIELSTELLE · ANSATZ	SAMMELSTELLE · LANG · DIES; KURZ · ZUGEBEN · KURZ · DIES; KUEHLEN · QUELLE · DIES; WEITER; SOLLMASS; WEITER; PORTION; DIES; LEITEN · ZIELSTELLE · ANSATZ	AL→AR	raly→rary	YES
S19	f82r	B2	B2-S017	kleine Randstationen des unteren Beckens	E222	rsheal daldy	rshear daldy	KUEHLEN · HALTEN · KURZ · ZIELSTELLE; ZIELSTELLE · SCHLUSS	KUEHLEN · HALTEN · KURZ · QUELLE; ZIELSTELLE · SCHLUSS	AL→AR	rsheal→rshear	YES
S20	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	E115	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhar daiin qokeedal daiin chckhy schedy	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · ZIELSTELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · PORTION; WEITER · ZUGEBEN · PORTION; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · KURZ · DURCHLASS · QUELLE; SOLLMASS; ANSETZEN · LANG · ZIELSTELLE; SOLLMASS; DURCHLASS · DIES; UMSETZEN · SCHLUSS	AL→AR	sheckhal→sheckhar	YES
S21	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	E040	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoar cfhy shfydaiin cphy shey tchody	ANWENDEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · ZIELSTELLE; AUSWRINGEN · DIES; HALTEN · DIES · SOLLMASS; FUELLEN · DIES; HALTEN · LANG · DIES; ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	ANWENDEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · QUELLE; AUSWRINGEN · DIES; HALTEN · DIES · SOLLMASS; FUELLEN · DIES; HALTEN · LANG · DIES; ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	AL→AR	schoal→schoar	YES
S22	f83r	B3	B3-S021	unverbundener Zwischenbereich	E275	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	qokaiin shcthy dal sy saiin shedar shecthy chey tal shcthy dalchdy	ANSETZEN · SOLLMASS; BEREITEN · DIES; ZIELSTELLE; DIES; SOLLMASS; ABSETZEN · ZIELSTELLE; HALTEN · KURZ · BEREITEN · DIES; DIES; ZIELSTELLE; BEREITEN · DIES; ZIELSTELLE · UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; BEREITEN · DIES; ZIELSTELLE; DIES; SOLLMASS; ABSETZEN · QUELLE; HALTEN · KURZ · BEREITEN · DIES; DIES; ZIELSTELLE; BEREITEN · DIES; ZIELSTELLE · UMSETZEN · SCHLUSS	AL→AR	shedal→shedar	YES
