atom	short_value_de	word_class	ecology	total_occurrences	herbal_occurrences	biological_occurrences	teaching_rule
OT	danach	GRADE_OR_ORDER	PORTABLE_WORKSHOP_CORE	26	8	18	same short value in both prose sections
P	zuführen	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	2	0	2	do not export beyond bath/service work without a new occurrence
PARTITION	teilen	OPERATION_OR_LEARNED_BODY	THIN_CROSS_SECTION_BRIDGE	3	1	2	retain shared value but teach the sparse side by exemplar
SH	halten	OPERATION_OR_LEARNED_BODY	PORTABLE_WORKSHOP_CORE	6	2	4	same short value in both prose sections
SHED	absetzen	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	19	0	19	do not export beyond bath/service work without a new occurrence
SK	ausgießen	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST__ONE_EVENT	1	0	1	do not export beyond bath/service work without a new occurrence; memorize the exact card
SOLK	sammeln	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	6	0	6	do not export beyond bath/service work without a new occurrence
TY	Teil	ARGUMENT	PORTABLE_WORKSHOP_CORE	7	4	3	same short value in both prose sections
WASH	waschen	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	4	0	4	do not export beyond bath/service work without a new occurrence
Y	Posten	ARGUMENT	PORTABLE_WORKSHOP_CORE	111	38	73	same short value in both prose sections
