unified_serial	compiler_mode	page	unit_id	local_address	visible_identity	registered_identity	short_default_de	continuous_reading_de	owner_or_namespace
11	COMBINATORIAL_PROSE	f10r	H1	H1-S002:E11	qokchy	MC103	ansetzen+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	HERBAL_OR_OTHER_BIO_CURRENT_READING
12	COMBINATORIAL_PROSE	f10r	H1	H1-S002:E12	qotchol	MC163	danach+weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	HERBAL_OR_OTHER_BIO_CURRENT_READING
13	COMBINATORIAL_PROSE	f10r	H1	H1-S002:E13	chol	MC153	weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	HERBAL_OR_OTHER_BIO_CURRENT_READING
14	COMBINATORIAL_PROSE	f10r	H1	H1-S002:E14	cthy	MC161	bereit+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	HERBAL_OR_OTHER_BIO_CURRENT_READING
15	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E15	ycheor	MC075	Posten+Auszug+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
16	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E16	cthy	MC161	bereit+Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
17	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E17	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
18	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E18	cthaiin	MC169	bereit+Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
19	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E19	qoctholy	MC115	bereit+weiter+Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
20	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E20	dy	MC123	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
21	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E21	chy	MC123	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
22	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E22	taiin	MC039	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
23	COMBINATORIAL_PROSE	f10r	H2	H2-S001:E23	shy	MC123	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
24	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E24	qotchor	MC013	danach+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
25	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E25	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
26	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E26	otol	MC053	danach+weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
27	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E27	chol	MC153	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
28	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E28	cholor	MC157	weiter+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
29	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E29	chol	MC153	weiter	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
30	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E30	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
31	COMBINATORIAL_PROSE	f10r	H2	H2-S002:E31	dar	MC055	Quelle	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	HERBAL_OR_OTHER_BIO_CURRENT_READING
32	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E32	oykchor	MC027	Posten+bearbeiten+Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
33	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E33	shor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
34	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E34	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
35	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E35	chy	MC123	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
36	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E36	kaiiin	MC048	Stufe	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
37	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E37	dy	MC123	Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
38	COMBINATORIAL_PROSE	f10r	H2	H2-S003:E38	chodaiin	MC087	Zutat+Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
39	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E39	tshol	MC098	Zutat+abführen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
40	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E40	schoal	MC049	Zutat+Ziel	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
41	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E41	cfhy	MC129	auswringen+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
42	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E42	shfydaiin	MC111	halten+Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
43	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E43	cphy	MC156	nachseihen+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
44	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E44	shey	MC119	Ergebnis	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
45	COMBINATORIAL_PROSE	f11r	H3	H3-S001:E45	tchody	MC037	Zutat+Schluss	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	HERBAL_OR_OTHER_BIO_CURRENT_READING
46	COMBINATORIAL_PROSE	f11r	H3	H3-S002:E46	shoyty	MC062	Zutat+Posten+Teil	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	HERBAL_OR_OTHER_BIO_CURRENT_READING
47	COMBINATORIAL_PROSE	f11r	H3	H3-S003:E47	dchol	MC142	vorher	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	HERBAL_OR_OTHER_BIO_CURRENT_READING
48	COMBINATORIAL_PROSE	f11r	H3	H3-S003:E48	chy	MC123	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	HERBAL_OR_OTHER_BIO_CURRENT_READING
49	COMBINATORIAL_PROSE	f11r	H3	H3-S003:E49	kchy	MC117	bearbeiten+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	HERBAL_OR_OTHER_BIO_CURRENT_READING
50	COMBINATORIAL_PROSE	f11r	H3	H3-S003:E50	dy	MC123	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	HERBAL_OR_OTHER_BIO_CURRENT_READING
51	COMBINATORIAL_PROSE	f11r	H3	H3-S003:E51	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	HERBAL_OR_OTHER_BIO_CURRENT_READING
52	COMBINATORIAL_PROSE	f11r	H3	H3-S004:E52	qotchy	MC107	danach+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING
53	COMBINATORIAL_PROSE	f11r	H3	H3-S004:E53	okchol	MC041	ansetzen+weiter	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING
54	COMBINATORIAL_PROSE	f11r	H3	H3-S004:E54	cthy	MC161	bereit+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING
55	COMBINATORIAL_PROSE	f11r	H3	H3-S004:E55	dy	MC123	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	HERBAL_OR_OTHER_BIO_CURRENT_READING
56	COMBINATORIAL_PROSE	f55v	H4	H4-S001:E56	qokaiin	MC120	ansetzen+Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	HERBAL_OR_OTHER_BIO_CURRENT_READING
57	COMBINATORIAL_PROSE	f55v	H4	H4-S001:E57	chaiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	HERBAL_OR_OTHER_BIO_CURRENT_READING
58	COMBINATORIAL_PROSE	f55v	H4	H4-S001:E58	ykain	MC047	Posten+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	HERBAL_OR_OTHER_BIO_CURRENT_READING
59	COMBINATORIAL_PROSE	f55v	H4	H4-S001:E59	ykan	MC148	Posten+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	HERBAL_OR_OTHER_BIO_CURRENT_READING
60	COMBINATORIAL_PROSE	f55v	H4	H4-S001:E60	ody	MC100	kühlen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	HERBAL_OR_OTHER_BIO_CURRENT_READING
61	COMBINATORIAL_PROSE	f55v	H4	H4-S002:E61	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
62	COMBINATORIAL_PROSE	f55v	H4	H4-S002:E62	chedy	MC074	umsetzen+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
63	COMBINATORIAL_PROSE	f55v	H4	H4-S002:E63	talam	MC160	Ziel+verwahren	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
64	COMBINATORIAL_PROSE	f55v	H4	H4-S003:E64	ykaiin	MC170	Posten+Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	HERBAL_OR_OTHER_BIO_CURRENT_READING
65	COMBINATORIAL_PROSE	f55v	H4	H4-S003:E65	cheoar	MC085	Auszug+Quelle	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	HERBAL_OR_OTHER_BIO_CURRENT_READING
66	COMBINATORIAL_PROSE	f55v	H4	H4-S003:E66	cheeky	MC032	wärmen+länger+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	HERBAL_OR_OTHER_BIO_CURRENT_READING
67	COMBINATORIAL_PROSE	f55v	H4	H4-S003:E67	oldy	MC019	weiter+Schluss	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	HERBAL_OR_OTHER_BIO_CURRENT_READING
68	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E68	aiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
69	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E69	okal	MC040	ansetzen+Ziel	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
70	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E70	oltchy	MC021	weiter+bereit+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
71	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E71	or	MC080	Ansatz	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
72	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E72	y	MC123	Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
73	COMBINATORIAL_PROSE	f55v	H4	H4-S004:E73	orain	MC072	Ansatz+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
74	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E74	chochor	MC125	Zutat+Ansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
75	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E75	cho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
76	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E76	chodaly	MC010	Zutat+Ziel+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
77	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E77	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
78	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E78	sho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
79	COMBINATORIAL_PROSE	f56r	H5	H5-S001:E79	kchol	MC090	bearbeiten+weiter	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	HERBAL_OR_OTHER_BIO_CURRENT_READING
