event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	semantic_atoms	short_default_de	final_teaching_tier	section_deck_status	assigned_renderer	revised_renderer_status	formula_tags_for_statement	order_tags_for_statement	selected_content_layer	current_statement_reading_de
11	H1-S002	H1	f10r	qokchy	MC103	OK+Y	ansetzen+Posten	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	WF08	OC04_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
12	H1-S002	H1	f10r	qotchol	MC163	OT+OL	danach+weiter	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	WF08	OC04_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
13	H1-S002	H1	f10r	chol	MC153	OL	weiter	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	SECONDARY_REPERTOIRE_MATCH	WF08	OC04_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
14	H1-S002	H1	f10r	cthy	MC161	CTH+Y	bereit+Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	PRIMARY_HABIT_MATCH	WF08	OC04_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
15	H2-S001	H2	f10r	ycheor	MC075	Y+CHEO+OR	Posten+Auszug+Ansatz	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
16	H2-S001	H2	f10r	cthy	MC161	CTH+Y	bereit+Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
17	H2-S001	H2	f10r	chor	MC080	OR	Ansatz	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	PRIMARY_HABIT_MATCH	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
18	H2-S001	H2	f10r	cthaiin	MC169	CTH+AIIN	bereit+Sollmaß	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
19	H2-S001	H2	f10r	qoctholy	MC115	CTH+OL+Y	bereit+weiter+Posten	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
20	H2-S001	H2	f10r	dy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	SECONDARY_REPERTOIRE_MATCH	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
21	H2-S001	H2	f10r	chy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
22	H2-S001	H2	f10r	taiin	MC039	AIIN	Sollmaß	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
23	H2-S001	H2	f10r	shy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF01	OC01_FORWARD|OC01_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
24	H2-S002	H2	f10r	qotchor	MC013	OT+OR	danach+Ansatz	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
25	H2-S002	H2	f10r	chor	MC080	OR	Ansatz	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	PRIMARY_HABIT_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
26	H2-S002	H2	f10r	otol	MC053	OT+OL	danach+weiter	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
27	H2-S002	H2	f10r	chol	MC153	OL	weiter	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
28	H2-S002	H2	f10r	cholor	MC157	OL+OR	weiter+Ansatz	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	PRIMARY_HABIT_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
29	H2-S002	H2	f10r	chol	MC153	OL	weiter	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
30	H2-S002	H2	f10r	daiin	MC039	AIIN	Sollmaß	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	SECONDARY_REPERTOIRE_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
31	H2-S002	H2	f10r	dar	MC055	AR	Quelle	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	SECONDARY_REPERTOIRE_MATCH	WF08|WF10	OC04_FORWARD|OC08_FORWARD|OC08_REVERSE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
32	H2-S003	H2	f10r	oykchor	MC027	Y+KCH+OR	Posten+bearbeiten+Ansatz	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
33	H2-S003	H2	f10r	shor	MC080	OR	Ansatz	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
34	H2-S003	H2	f10r	chor	MC080	OR	Ansatz	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	PRIMARY_HABIT_MATCH	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
35	H2-S003	H2	f10r	chy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	COPY_MASTER_EXEMPLAR_OVERRIDE	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
36	H2-S003	H2	f10r	kaiiin	MC048	IIN	Stufe	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
37	H2-S003	H2	f10r	dy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-B	SECONDARY_REPERTOIRE_MATCH	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
38	H2-S003	H2	f10r	chodaiin	MC087	HO+AIIN	Zutat+Sollmaß	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-B	PRIMARY_HABIT_MATCH	WF05	OC02_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
39	H3-S001	H3	f11r	tshol	MC098	HO+L	Zutat+abführen	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
40	H3-S001	H3	f11r	schoal	MC049	HO+AL	Zutat+Ziel	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
41	H3-S001	H3	f11r	cfhy	MC129	CFH+Y	auswringen+Posten	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
42	H3-S001	H3	f11r	shfydaiin	MC111	SH+AIIN	halten+Sollmaß	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
43	H3-S001	H3	f11r	cphy	MC156	CPH+Y	nachseihen+Posten	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
44	H3-S001	H3	f11r	shey	MC119	CHEEY	Ergebnis	PORTABLE_EXACT_BRIDGE_CARD	SHARED_17	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
45	H3-S001	H3	f11r	tchody	MC037	HO+CLOSE	Zutat+Schluss	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
46	H3-S002	H3	f11r	shoyty	MC062	HO+Y+TY	Zutat+Posten+Teil	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
47	H3-S003	H3	f11r	dchol	MC142	DCHOL	vorher	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	WF02	OC01_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
48	H3-S003	H3	f11r	chy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	SECONDARY_REPERTOIRE_MATCH	WF02	OC01_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
49	H3-S003	H3	f11r	kchy	MC117	KCH+Y	bearbeiten+Posten	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	WF02	OC01_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
50	H3-S003	H3	f11r	dy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	WF02	OC01_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
51	H3-S003	H3	f11r	daiin	MC039	AIIN	Sollmaß	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	WF02	OC01_FORWARD	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
52	H3-S004	H3	f11r	qotchy	MC107	OT+Y	danach+Posten	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
53	H3-S004	H3	f11r	okchol	MC041	OK+OL	ansetzen+weiter	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
54	H3-S004	H3	f11r	cthy	MC161	CTH+Y	bereit+Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
55	H3-S004	H3	f11r	dy	MC123	Y	Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
56	H4-S001	H4	f55v	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
