event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	inventory_roots	pass734_reading_de	inventory_role
E291	f83r	B3	B3-S026	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC098	solkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS	SAMMELSTELLE
E300	f83r	B3	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC150	schedair	CHD+AIR	AIR	UMSETZEN · WASSER	WASSER
E309	f83r	B3	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC097	soiiin	O+IIN	O	ARBEITSGANG · ARBEITSSTUFE	ARBEITSGANG
E330	f83r	B4	B4-S006	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PROC099	shckhedy	SH+CKH+E+DY	CKH	HALTEN · DURCHLASS · KURZ · SCHLUSS	DURCHLASS
E331	f83r	B4	B4-S007	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PROC099	shckhedy	SH+CKH+E+DY	CKH	HALTEN · DURCHLASS · KURZ · SCHLUSS	DURCHLASS
E348	f83r	B4	B4-S014	linke Hauptstation mit offenem Fransenlauf	PROC016	or	OR	OR	ANSATZ	ANSATZ
E350	f83r	B4	B4-S014	linke Hauptstation mit offenem Fransenlauf	PROC161	qockhey	O+CKH+E+Y	O+CKH	ARBEITSGANG · DURCHLASS · KURZ · DIES	ARBEITSGANG+DURCHLASS
E351	f83r	B4	B4-S014	linke Hauptstation mit offenem Fransenlauf	PROC162	dairydy	AIR+Y+DY	AIR	WASSER · DIES · SCHLUSS	WASSER
E355	f83r	B4	B4-S015	linke Hauptstation mit offenem Fransenlauf	PROC163	chckhal	CH+CKH+AL	CKH	ENTNEHMEN · DURCHLASS · ZIELSTELLE	DURCHLASS
E356	f83r	B4	B4-S015	rechte Hauptstation mit S-Lauf und Mehrarmknoten	PROC164	solkey	SOLK+E+Y	SOLK	SAMMELSTELLE · KURZ · DIES	SAMMELSTELLE
E373	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	PROC170	solkeey	SOLK+EE+Y	SOLK	SAMMELSTELLE · LANG · DIES	SAMMELSTELLE
E381	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	PROC173	ldalor	L+AL+OR	OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	ANSATZ
