locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	transferred_groups	residual_groups	components	operation_components	instruction_class	controlled_reading_de	orientation	cross_instrument_join
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_18	3	44|45|46	3	0	O+P+Y+AIIN+AL	P	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Arbeitsgang + hinein + dies; Mass; Stelle.	UNSPECIFIED	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_19	4	47|48|49|50	2	2	AIN+AR	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «ydchos»[lokaler Name]; Portion; von dort; «amy»[lokaler Name].	UNSPECIFIED	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_20	2	51|52	1	1	AR+AL	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «chocfhy»[lokaler Name]; von dort + Stelle.	UNSPECIFIED	NONE
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_21	3	53|54|55	1	2	AR	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «sain»[lokaler Name]; «am»[lokaler Name]; von dort.	UNSPECIFIED	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_22	1	56	1	0	OK+AL	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: an die Stelle setzen.	UNSPECIFIED	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_23	2	57|58	1	1	O+P+AR+Y	P	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: Arbeitsgang + hinein + von dort + dies; «salsain»[lokaler Name].	UNSPECIFIED	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_24	3	59|60|61	1	2	AR	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «sodar»[lokaler Name]; «ofar»[lokaler Name]; von dort.	UNSPECIFIED	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_25	1	62	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ydam» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_26	3	63|64|65	3	0	Y+T+E+O+OR+Y+T+O+Y+K+OR	T+T+K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + kurz + Arbeitsgang + Ansatz; dies + fuellen + Arbeitsgang; dies + zufuehren + Ansatz.	UNSPECIFIED	NONE
27	A1	f67r2	f67r2.27	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_27	4	66|67|68|69	3	1	OK+E+O+R+AIIN	OK+R	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: ansetzen + kurz + Arbeitsgang; abkuehlen; Mass; «am»[lokaler Name].	UNSPECIFIED	NONE
28	A1	f67r2	f67r2.28	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_28	2	70|71	1	1	OK+AIN	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: eine Portion zugeben; «am»[lokaler Name].	UNSPECIFIED	NONE
29	A1	f67r2	f67r2.29	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_29	2	72|73	1	1	AIIN	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «ytody»[mehrdeutig]; Mass.	UNSPECIFIED	NONE
30	A1	f67r2	f67r2.30	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_30	2	74|75	2	0	O+OL+OL+OL	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: Arbeitsgang + fortsetzen; fortsetzen + fortsetzen.	UNSPECIFIED	NONE
31	A1	f67r2	f67r2.31	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_31	1	76	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «opcholdy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
32	A1	f67r2	f67r2.32	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_32	4	77|78|79|80	2	2	AIR+AL+AIIN	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «dosar»[lokaler Name]; «odas»[lokaler Name]; Wasser; Stelle + Mass.	UNSPECIFIED	NONE
33	A1	f67r2	f67r2.33	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_33	3	81|82|83	2	1	O+E+AR+O+AL	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «dokan»[lokaler Name]; Arbeitsgang + kurz + von dort; Arbeitsgang + Stelle.	UNSPECIFIED	NONE
34	A1	f67r2	f67r2.34	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_34	2	84|85	0	2	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ofar oeoldan» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
35	A1	f67r2	f67r2.35	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_35	3	86|87|88	2	1	OL+OK+OL	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: fortsetzen; «giin»[lokaler Name]; ansetzen + fortsetzen.	UNSPECIFIED	NONE
36	A1	f67r2	f67r2.36	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_36	3	89|90|91	3	0	Y+T+OR+AIIN+OR	T	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + Ansatz; Mass; Ansatz.	UNSPECIFIED	NONE
37	A1	f67r2	f67r2.37	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_37	1	92	1	0	Y+T+O+AIIN	T	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + Arbeitsgang + Mass.	UNSPECIFIED	NONE
38	A1	f67r2	f67r2.38	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_38	2	93|94	1	1	O+CTH+OL+E	CTH	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «otoldos»[lokaler Name]; Arbeitsgang + bereit + fortsetzen + kurz.	UNSPECIFIED	NONE
39	A1	f67r2	f67r2.39	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_39	3	95|96|97	3	0	OR+CHD+AIIN+Y	CHD	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Ansatz; umsetzen + Mass; dies.	UNSPECIFIED	NONE
40	A1	f67r2	f67r2.40	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_40	3	98|99|100	1	2	O+IIN	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «yteos»[lokaler Name]; Arbeitsgang + Sollstufe; «og»[lokaler Name].	UNSPECIFIED	NONE
41	A1	f67r2	f67r2.41	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_41	2	101|102	1	1	Y+T+O+E+O+P+Y	T+P	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + fuellen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies; «chekody»[mehrdeutig].	UNSPECIFIED	NONE
42	A1	f67r2	f67r2.42	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_42	3	103|104|105	1	2	O+CKH+Y	CKH	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «sosho»[lokaler Name]; «chos»[lokaler Name]; Arbeitsgang + Durchlass + dies.	UNSPECIFIED	NONE
43	A1	f67r2	f67r2.43	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_43	4	106|107|108|109	3	1	AIIN+AIIN+OS	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: Mass; Mass; Gefäß; «qsg»[lokaler Name].	UNSPECIFIED	NONE
44	A1	f67r2	f67r2.44	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_44	3	110|111|112	1	2	AIIN	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «ofydy»[lokaler Name]; «sheody»[mehrdeutig]; Mass.	UNSPECIFIED	NONE
45	A1	f67r2	f67r2.45	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_45	3	113|114|115	0	3	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ycheody es odaiiin» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
46	A1	f67r2	f67r2.46	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_46	2	116|117	1	1	OR+AL+Y	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «yekees»[lokaler Name]; Ansatz + Stelle + dies.	UNSPECIFIED	NONE
47	A1	f67r2	f67r2.47	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_47	1	118	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «yfain» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
48	A1	f67r2	f67r2.48	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_48	3	119|120|121	3	0	T+O+AIIN+AIN+Y	T	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: fuellen + Arbeitsgang + Mass; Portion; dies.	UNSPECIFIED	NONE
49	A1	f67r2	f67r2.49	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_49	3	122|123|124	3	0	OS+HO+E+R+AIIN	R	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Gefäß; Zutat + kurz + abkuehlen; Mass.	UNSPECIFIED	NONE
50	A1	f67r2	f67r2.50	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_50	2	125|126	1	1	AL	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «choeea»[lokaler Name]; Stelle.	UNSPECIFIED	NONE
51	A1	f67r2	f67r2.51	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_51	1	127	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dadaiin» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
52	A1	f67r2	f67r2.52	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_01	1	128	1	0	OT+O+E+AR	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach + Arbeitsgang + kurz + von dort.	UNSPECIFIED	NONE
53	A1	f67r2	f67r2.53	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_02	1	129	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dchdar» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
54	A1	f67r2	f67r2.54	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_03	2	130|131	2	0	Y+AL+AL	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: dies; Stelle + Stelle.	UNSPECIFIED	NONE
55	A1	f67r2	f67r2.55	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_04	1	132	1	0	Y+T+O+AL	T	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + Arbeitsgang + Stelle.	UNSPECIFIED	NONE
56	A1	f67r2	f67r2.56	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_05	2	133|134	2	0	OL+AIIN	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: fortsetzen; Mass.	UNSPECIFIED	NONE
57	A1	f67r2	f67r2.57	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_06	2	135|136	2	0	OT+AR+Y	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach von dort; dies.	UNSPECIFIED	NONE
58	A1	f67r2	f67r2.58	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_07	3	137|138|139	2	1	HO+AL	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: Zutat; Stelle; «g»[lokaler Name].	UNSPECIFIED	NONE
59	A1	f67r2	f67r2.59	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_08	1	140	1	0	Y+T+HO+L+Y	T+L	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + Zutat + fuehren + dies.	UNSPECIFIED	NONE
60	A1	f67r2	f67r2.60	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_09	1	141	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «octhys» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
61	A1	f67r2	f67r2.61	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_10	1	142	1	0	Y+T+OK+AR	T+OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + ansetzen + von dort.	UNSPECIFIED	NONE
62	A1	f67r2	f67r2.62	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_11	1	143	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otolor» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
63	A1	f67r2	f67r2.63	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_12	1	144	1	0	OK+O+AR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + Arbeitsgang + von dort.	UNSPECIFIED	NONE
64	A1	f67r2	f67r2.64	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_01	2	145|146	1	1	AIR	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: «s»[lokaler Name]; Wasser.	UNSPECIFIED	NONE
65	A1	f67r2	f67r2.65	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_02	1	147	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «soear» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
66	A1	f67r2	f67r2.66	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_03	1	148	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «cpheey» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
67	A1	f67r2	f67r2.67	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_04	1	149	1	0	OK+O+AR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + Arbeitsgang + von dort.	UNSPECIFIED	NONE
68	A1	f67r2	f67r2.68	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_05	1	150	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «oepchod» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
69	A1	f67r2	f67r2.69	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_06	2	151|152	0	2	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «s ay» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
70	A1	f67r2	f67r2.70	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_07	1	153	1	0	O+AR	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: Arbeitsgang + von dort.	UNSPECIFIED	NONE
71	A1	f67r2	f67r2.71	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_08	1	154	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «oran» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
72	A1	f67r2	f67r2.72	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_RING_TEXT	12	155|156|157|158|159|160|161|162|163|164|165|166	9	3	AR+AL+AIIN+Y+AIIN+K+O+Y+Y+AIIN+Y+P+AIR+Y+K+O+AIIN+OL+Y+OK+E+Y	K+P+K+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: von dort; Stelle + Mass; dies + Mass; zufuehren + Arbeitsgang + dies; dies + Mass; «qofair»[lokaler Name]; dies + hinein + Wasser; dies + zufuehren + Arbeitsgang + Mass; «ydoly»[lokaler Name]; «ytalchos»[lokaler Name]; fortsetzen + dies; kurz ansetzen.	UNSPECIFIED	NONE
73	A1	f67r2	f67r2.73	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_OUTER_RING_TEXT	11	167|168|169|170|171|172|173|174|175|176|177	9	2	Y+E+Y+K+EE+Y+Y+K+Y+Y+K+Y+OK+E+O+Y+O+AIIN+OK+OL+AR+OL+AR	K+K+K+OK+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «sshey»[lokaler Name]; dies; «shees»[lokaler Name]; kurz + dies + zufuehren + laenger + dies; dies + zufuehren + dies; dies + zufuehren + dies; ansetzen + kurz + Arbeitsgang + dies; Arbeitsgang + Mass; ansetzen + fortsetzen; von dort; fortsetzen + von dort.	UNSPECIFIED	NONE
74	A1	f67r2	f67r2.74	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	178|179|180|181|182|183|184|185|186|187|188|189|190	7	6	Y+SH+E+Y+O+CKH+Y+AIIN+OK+O+AIIN+O+AIN+AR+AIR	SH+CKH+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + halten + kurz + dies; «qokeeody»[mehrdeutig]; «cheos»[lokaler Name]; «oeeos»[lokaler Name]; Arbeitsgang + Durchlass + dies; «chos»[lokaler Name]; Mass; «okeeody»[mehrdeutig]; ansetzen + Arbeitsgang + Mass; Arbeitsgang + Portion; von dort; Wasser; «ay»[lokaler Name].	UNSPECIFIED	NONE
75	A2	f68r1	f68r1.1	A68_LEFT_STAR_PANEL	A2_LEFT_PANEL_HEADER	9	191|192|193|194|195|196|197|198|199	6	3	CH+T+EE+Y+CHEO+R+O+P+CH+EE+OL+OT+OR+HO+CTH+EEE+Y+OK+HO+AL	CH+T+R+P+CH+CTH+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «shokchy»[mehrdeutig]; abziehen + fuellen + laenger + dies; «choteey»[mehrdeutig]; «cphol»[lokaler Name]; Auszug + abkuehlen; Arbeitsgang + hinein + abziehen + laenger + fortsetzen; danach + Ansatz; Zutat + bereit + vollstaendig + dies; ansetzen + Zutat + Stelle.	UNSPECIFIED	NONE
76	A2	f68r1	f68r1.2	A68_MIDDLE_STAR_PANEL	A2_MIDDLE_PANEL_HEADER	9	200|201|202|203|204|205|206|207|208	6	3	OT+CH+L+OK+EEE+DY+CH+EE+T+EE+Y+CH+P+OR+CHEO+K+OR+Y	CH+L+OK+DY+CH+T+CH+P+K	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «tochso»[lokaler Name]; danach + abziehen + fuehren; vollständig ansetzen; Schluss; Klarauszug; abziehen + laenger + fuellen + laenger + dies; «yteody»[mehrdeutig]; abziehen + hinein + Ansatz; Auszug + zufuehren + Ansatz + dies; «chod»[lokaler Name].	UNSPECIFIED	NONE
77	A2	f68r1	f68r1.3	A68_RIGHT_STAR_PANEL	A2_RIGHT_PANEL_HEADER	8	209|210|211|212|213|214|215|216	6	2	Y+K+OR+O+CH+EE+Y+OK+EE+Y+R+OR+E+CKHE+AR	K+CH+OK+R+CKHE	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + zufuehren + Ansatz; Klarauszug; Arbeitsgang + abziehen + laenger + dies; «chokal»[mehrdeutig]; länger ansetzen; abkuehlen + Ansatz; kurz + seihen + von dort; «daram»[lokaler Name].	UNSPECIFIED	NONE
