identity	representative_surface	component_recipe	concrete_default_de	visible_marks	orders	order_count	pages	stage_classes	teaching_action
A3:G046	iokeeor	NONE	BEDINGUNGSTEIL 6 VON C5@f69v.2 KOPIEREN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G047	cheey	WHOLE[cheey|shey]	BEDINGUNGSTEIL 7 VON C5@f69v.2 KOPIEREN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G048	choly	OL+Y	WEITER · DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G049	ykeeal	Y+K+EE+AL	DIESER_EINTRAG · LAENGER · AN · BEDINGUNGSTEIL 9 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G050	cheo	CHEO	BEDINGUNGSTEIL 10 VON C5@f69v.2 KOPIEREN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G051	oaram	O+AR+AM_ADDR	VON · BEDINGUNGSTEIL 11 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G052	ockhy	O+CKH+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 12 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G053	sheey	SH+EE+Y	LAENGER · DIESER_EINTRAG · BEDINGUNGSTEIL 13 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G054	aiin	AIIN	SOLLMASS	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G055	y	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G056	daiial	NONE	BEDINGUNGSTEIL 16 VON C5@f69v.2 KOPIEREN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G057	cheody	CHEO+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 17 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G058	cheal	AL	AN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G059	yetey	Y+E+T+E+Y	DIESER_EINTRAG · KURZ · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 19 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G060	chear	CH+E+AR	KURZ · VON · BEDINGUNGSTEIL 20 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G061	y	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G062	dy	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G063	ykey	Y+K+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 23 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G064	ch	CH	BEDINGUNGSTEIL 24 VON C5@f69v.2 KOPIEREN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G065	y	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G066	dy	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G067	chol	OL	WEITER	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G068	ykar	Y+K+AR	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 28 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G069	ol	OL	WEITER	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G070	y	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G071	ykeeody	Y+K+EE+O+Y	DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · BEDINGUNGSTEIL 31 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G072	chey	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G073	dal	AL	AN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G074	ody	O+DY	LOKAL_SCHLIESSEN · BEDINGUNGSTEIL 34 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G075	airchy	AIR+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 35 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G076	choky	OK+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 36 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G077	ychey	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G078	chey	Y	DIESER_EINTRAG	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G079	doair	D_ADDR+O+AIR	BEDINGUNGSTEIL 1 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G080	otaldal	OT+AL+AL	FOLGEND · AN · AN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G081	dair	D_ADDR+AIR	BEDINGUNGSTEIL 3 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G082	chdy	CHD+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 4 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G083	otoar	OT+O+AR	FOLGEND · VON · BEDINGUNGSTEIL 5 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G084	ar	AR	VON	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G085	chy	Y	DIESER_EINTRAG	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G086	qoteor	OT+E+OR	FOLGEND · KURZ · BEDINGUNGSTEIL 8 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G087	cho	HO	BEDINGUNGSTEIL 9 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G088	qotair	OT+AIR	FOLGEND · BEDINGUNGSTEIL 10 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G089	chda	CHD+A_ADDR	BEDINGUNGSTEIL 11 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G090	oteeal	OT+EE+AL	FOLGEND · LAENGER · AN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G091	cheor	CHEO+R	BEDINGUNGSTEIL 13 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G092	ar	AR	VON	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G093	air	AIR	BEDINGUNGSTEIL 15 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G094	oteody	OT+E+O+Y	FOLGEND · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 16 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G095	ytyd	Y+T+Y+D_LABEL	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 17 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G096	a	A_ADDR	BEDINGUNGSTEIL 18 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G097	dchy	D_ADDR+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 19 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G098	otoly	OT+OL+Y	FOLGEND · WEITER · DIESER_EINTRAG	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G099	okeodal	OK+E+O+AL	KURZ · AN · BEDINGUNGSTEIL 21 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G100	oteoarar	OT+E+O+AR+AR	FOLGEND · KURZ · VON · VON · BEDINGUNGSTEIL 22 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G101	cheteeser	CH+E+T+EE+S_ADDR+E+R	KURZ · LAENGER · KURZ · BEDINGUNGSTEIL 23 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G102	dair	D_ADDR+AIR	BEDINGUNGSTEIL 24 VON C6@f69v.3 KOPIEREN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G103	chey	Y	DIESER_EINTRAG	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G104	okody	OK+O+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 26 VON C6@f69v.3	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G105	dal	AL	AN	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G106	oteey	OT+EE+Y	FOLGEND · LAENGER · DIESER_EINTRAG	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G107	oteey	OT+EE+Y	FOLGEND · LAENGER · DIESER_EINTRAG	1	WH04	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G118	otody	OT+O+DY	DEN FOLGENDEN LOKALEN BEDINGUNGSEINTRAG WAEHLEN UND SCHLIESSEN	1	WH02	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
PROC001	dchey	CH+E+Y	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC005	os	OS	DAZU	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC010	etyd	E+T+Y	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC011	qokchy	OK+Y	ANSETZEN · POSTEN	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	WH01	1	f10r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC022	olor	OL+OR	WEITER · ANSATZ	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC026	tshol	T+SH+OL	BEARBEITEN · HALTEN · WEITER	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC028	cfhy	CFH+Y	AUSPRESSEN · POSTEN	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC030	cphy	P+Y	EINBRINGEN · POSTEN	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC032	tchody	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	1	WH03	1	f11r	PREP	COPY_FROM_LOCAL_MODEL_LEAF
PROC065	otchey	OT+Y	DANACH · POSTEN	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC068	kair	K+AIR	ZUGEBEN · WASSER	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC071	rol	R+OL	KUEHLEN · WEITER	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC072	dl	L	LEITEN	2	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · ZIELSTELLE	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC074	qokeedal	OK+EE+AL	ANSETZEN · DREI KURZE ARBEITSGAENGE · ZIELSTELLE	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC084	lsho	LSH+O	SPUELEN · ARBEITSGANG	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC086	lshedy	LSH+E+DY	SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	2	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC087	qolky	SOLK+Y	SAMMELN · POSTEN	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC088	lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC089	otar	OT+AR	DANACH · QUELLE	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC090	ytey	T+E+Y	BEARBEITEN · EIN KURZER ARBEITSGANG · POSTEN	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC093	teol	E+OL	EIN KURZER ARBEITSGANG · WEITER	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC095	ly	L+Y	LEITEN · POSTEN	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC096	dsheol	SH+E+OL	HALTEN · EIN KURZER ARBEITSGANG · WEITER	1	WH01	1	f81v	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC101	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC102	lched	L+CHD	LEITEN · UMSETZEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC103	lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC105	solkaiin	SOLK+AIIN	SAMMELN · EIN KLEINER SCHOEPFBECHER	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC107	chkeey	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC109	oteey	OT+EE+Y	DANACH · DREI KURZE ARBEITSGAENGE · POSTEN	2	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC111	dshedy	SH+E+DY	HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC113	qokar	OK+AR	ANSETZEN · QUELLE	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC114	solshedy	OL+SH+E+DY	WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC115	ls	OL	WEITER	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC118	lcheey	L+EE+Y	LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC121	lar	L+AR	LEITEN · QUELLE	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC122	tshey	SH+E+Y	HALTEN · EIN KURZER ARBEITSGANG · POSTEN	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC123	lchedar	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC124	ches	CH+E+S	ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC125	pchedy	P+CHD+DY	EINBRINGEN · UMSETZEN · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC127	daldy	AL+DY	ZIELSTELLE · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC128	rshedy	R+SHED+DY	KUEHLEN · STEHENLASSEN · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC130	lochedy	L+O+CHD+DY	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	1	WH02	1	f82r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC132	chkeedy	CHK+EE+DY	WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC133	chedchy	CHD+Y	UMSETZEN · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC134	pchedal	P+CHD+AL	EINBRINGEN · UMSETZEN · ZIELSTELLE	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC135	otedy	OT+E+DY	DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	2	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC137	chary	AR+Y	QUELLE · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC138	okair	OK+AIR	ANSETZEN · WASSER	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC139	sheedy	SH+EE+DY	HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC140	lo	L+O	LEITEN · ARBEITSGANG	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC143	shecthy	SH+E+CTH+Y	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC145	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	2	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC146	cheedar	EE+AR	DREI KURZE ARBEITSGAENGE · QUELLE	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC147	chldaiin	L+AIIN	LEITEN · EIN KLEINER SCHOEPFBECHER	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC149	cheeety	EEE+T+Y	BIS DER GANZE POSTEN ERFASST IST · BEARBEITEN · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC150	schedair	CHD+AIR	UMSETZEN · WASSER	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC151	chedain	CHD+AIN	UMSETZEN · EIN ABGEGRENZTER TEIL	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC152	qotedaiin	OT+E+AIIN	DANACH · EIN KURZER ARBEITSGANG · EIN KLEINER SCHOEPFBECHER	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC153	olsaly	OL+AL+Y	WEITER · ZIELSTELLE · POSTEN	1	WH03	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC154	qolchey	OL+Y	WEITER · POSTEN	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC157	sheey	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC158	okeeol	OK+EE+OL	ANSETZEN · DREI KURZE ARBEITSGAENGE · WEITER	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC159	lkedy	L+K+E+DY	LEITEN · ZUGEBEN · EIN KURZER ARBEITSGANG · SCHLUSS	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC160	qokol	OK+OL	ANSETZEN · WEITER	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · EIN KURZER ARBEITSGANG · POSTEN	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC162	dairydy	AIR+Y+DY	WASSER · POSTEN · SCHLUSS	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC163	chckhal	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC164	solkey	SOLK+E+Y	SAMMELN · EIN KURZER ARBEITSGANG · POSTEN	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC165	skar	K+AR	ZUGEBEN · QUELLE	1	WH04	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	1	WH05	1	f83r	APP	COPY_FROM_LOCAL_MODEL_LEAF
