enriched_recipe	base_family_parse	recipe_modifiers	family_count	canonical_master_card_id	canonical_form	canonical_registered_surfaces	canonical_workshop_value_de	alternate_master_forms	all_workshop_values_de	card_type_count	event_support	canonical_event_hits	writer_rule
L+DY	L+DY	NONE	2	MC004	ldy	ldy	abziehen; Schluss	NONE	abziehen; Schluss	1	2	2	WRITE_CANONICAL
OK+E_GRADE+Y[GRADE=E_SHORT]	OK+E_GRADE+Y	GRADE=E_SHORT	3	MC007	okey	okey|qokey	KURZ_SETZEN	NONE	KURZ_SETZEN	1	2	2	WRITE_CANONICAL
OL+AIN	OL+AIN	NONE	2	MC097	olkain	olkain|qolkain	weiterer Anteil	NONE	weiterer Anteil	1	2	2	WRITE_CANONICAL
OL+DY	OL+DY	NONE	2	MC019	oldy	oldy	fertig	NONE	fertig	1	2	2	WRITE_CANONICAL
OL+E_GRADE[GRADE=E_SHORT]	OL+E_GRADE	GRADE=E_SHORT	2	MC076	dsheol	dsheol	Kurzhalt	teol	Kurzhalt | kurz weiterführen	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OL+OR	OL+OR	NONE	2	MC157	cholor	cholor|olor	derselbe Ansatz	NONE	derselbe Ansatz	1	2	2	WRITE_CANONICAL
OL+OT	OL+OT	NONE	2	MC053	otol	otol	danach im selben Gang weiter	qotchol	danach im selben Gang weiter | zum Folgegang wechseln	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OT+E_GRADE+DY[GRADE=EE_LONG]	OT+E_GRADE+DY	GRADE=EE_LONG	3	MC173	qoteedy	qoteedy	lange Folgestufe; Schluss	NONE	lange Folgestufe; Schluss	1	2	2	WRITE_CANONICAL
OT+E_GRADE+DY[GRADE=E_SHORT]	OT+E_GRADE+DY	GRADE=E_SHORT	3	MC135	otedy	otedy	Kurzfolge; Schluss	NONE	Kurzfolge; Schluss	1	2	2	WRITE_CANONICAL
OT+E_GRADE+Y[GRADE=EE_LONG]	OT+E_GRADE+Y	GRADE=EE_LONG	3	MC063	oteey	oteey	Langfolge	NONE	Langfolge	1	2	2	WRITE_CANONICAL
OT+OR	OT+OR	NONE	2	MC013	otchor	otchor|qotchor	Folgeansatz	NONE	Folgeansatz	1	2	2	WRITE_CANONICAL
TY	TY	NONE	1	MC086	chety	chety|chty	Teil	NONE	Teil	1	2	2	WRITE_CANONICAL
Y+CHO_INPUT	Y+CHO_INPUT	NONE	2	MC010	chodaly	chodaly	Zugabe am aktuellen Ziel	choy	Zugabe am aktuellen Ziel | aktuelle Zutat	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
Y+K_BINDER	Y+K_BINDER	NONE	2	MC117	kchy	kchy	den laufenden Posten bearbeiten	kchey	den laufenden Posten bearbeiten | den laufenden Posten kurz bearbeiten	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
AIIN+CHO_INPUT	AIIN+CHO_INPUT	NONE	2	MC087	chodaiin	chodaiin	Zugabemaß	NONE	Zugabemaß	1	1	1	WRITE_CANONICAL
AIIN+CTH	AIIN+CTH	NONE	2	MC169	cthaiin	cthaiin	die Sollvorbereitung setzen	NONE	die Sollvorbereitung setzen	1	1	1	WRITE_CANONICAL
AIIN+SHFY_DURATION	AIIN+SHFY_DURATION	NONE	2	MC111	shfydaiin	shfydaiin	eine vorgeschriebene Stehzeit einhalten	NONE	eine vorgeschriebene Stehzeit einhalten	1	1	1	WRITE_CANONICAL
AIIN+SOLK	AIIN+SOLK	NONE	2	MC036	solkaiin	solkaiin	Sollsammlung	NONE	Sollsammlung	1	1	1	WRITE_CANONICAL
AIN+CHED_TRANSFER	AIN+CHED_TRANSFER	NONE	2	MC145	chedain	chedain	Anteilstransfer	NONE	Anteilstransfer	1	1	1	WRITE_CANONICAL
AIR	AIR	NONE	1	MC116	schedair	schedair	Weiterlauf	NONE	Weiterlauf	1	1	1	WRITE_CANONICAL
AIR+CH_POUR	AIR+CH_POUR	NONE	2	MC014	chair	chair	laufendes Medium zugießen	NONE	laufendes Medium zugießen	1	1	1	WRITE_CANONICAL
AIR+K_BINDER	AIR+K_BINDER	NONE	2	MC023	kair	kair	Beckenlauf	NONE	Beckenlauf	1	1	1	WRITE_CANONICAL
AL+CHED_TRANSFER	AL+CHED_TRANSFER	NONE	2	MC001	chdal	chdal	Zieltransfer	NONE	Zieltransfer	1	1	1	WRITE_CANONICAL
AL+CKH	AL+CKH	NONE	2	MC022	chckhal	chckhal	Zielpassage	NONE	Zielpassage	1	1	1	WRITE_CANONICAL
AL+DY	AL+DY	NONE	2	MC079	daldy	daldy	Zielschluss	NONE	Zielschluss	1	1	1	WRITE_CANONICAL
AL+DY+CHED_TRANSFER	AL+DY+CHED_TRANSFER	NONE	3	MC031	dalchdy	dalchdy	Zieltransfer; Schluss	NONE	Zieltransfer; Schluss	1	1	1	WRITE_CANONICAL
AL+E_GRADE+CKH[GRADE=E_SHORT]	AL+E_GRADE+CKH	GRADE=E_SHORT	3	MC058	sheckhal	sheckhal	Kurze Zielpassage	NONE	Kurze Zielpassage	1	1	1	WRITE_CANONICAL
AL+E_GRADE[GRADE=E_SHORT]	AL+E_GRADE	GRADE=E_SHORT	2	MC102	rsheal	rsheal	Kurzhalt am Ziel	NONE	Kurzhalt am Ziel	1	1	1	WRITE_CANONICAL
AL+L	AL+L	NONE	2	MC101	ldalor	ldalor	Endziel	NONE	Endziel	1	1	1	WRITE_CANONICAL
AL+L+CHED_TRANSFER	AL+L+CHED_TRANSFER	NONE	3	MC051	lchedal	lchedal	Zielabführung	NONE	Zielabführung	1	1	1	WRITE_CANONICAL
AL+OR	AL+OR	NONE	2	MC146	chealror	chealror	Zielbereitung	NONE	Zielbereitung	1	1	1	WRITE_CANONICAL
AL+P+CHED_TRANSFER	AL+P+CHED_TRANSFER	NONE	3	MC126	pchedal	pchedal	Zielzuführung	NONE	Zielzuführung	1	1	1	WRITE_CANONICAL
AN	AN	NONE	1	MC148	ykan	ykan	zweite Portion	NONE	zweite Portion	1	1	1	WRITE_CANONICAL
AR+CHED_TRANSFER	AR+CHED_TRANSFER	NONE	2	MC042	cheedar	cheedar	Quelltransfer	NONE	Quelltransfer	1	1	1	WRITE_CANONICAL
AR+L	AR+L	NONE	2	MC029	lar	lar	Quellabzug	NONE	Quellabzug	1	1	1	WRITE_CANONICAL
AR+L+CHED_TRANSFER	AR+L+CHED_TRANSFER	NONE	3	MC011	lchedar	lchedar	Quellabführung	NONE	Quellabführung	1	1	1	WRITE_CANONICAL
AR+Y	AR+Y	NONE	2	MC009	chary	chary	Quellposten	NONE	Quellposten	1	1	1	WRITE_CANONICAL
CHEO	CHEO	NONE	1	MC085	cheoar	cheoar	Auszug aus der Quelle	NONE	Auszug aus der Quelle	1	1	1	WRITE_CANONICAL
DY+CHED_TRANSFER	DY+CHED_TRANSFER	NONE	2	MC139	dchdy	dchdy	Transfer; Schluss	NONE	Transfer; Schluss	1	1	1	WRITE_CANONICAL
DY+O_WITHDRAW	DY+O_WITHDRAW	NONE	2	MC100	ody	ody	ZURUECKNEHMEN__SCHLUSS	NONE	ZURUECKNEHMEN__SCHLUSS	1	1	1	WRITE_CANONICAL
E_GRADE+DY+CHK[GRADE=EE_LONG]	E_GRADE+DY+CHK	GRADE=EE_LONG	3	MC110	chkeedy	chkeedy	Langwärmen; Schluss	NONE	Langwärmen; Schluss	1	1	1	WRITE_CANONICAL
E_GRADE+DY+SHED[GRADE=EE_LONG]	E_GRADE+DY+SHED	GRADE=EE_LONG	3	MC003	sheedy	sheedy	Langabsetzen; Schluss	NONE	Langabsetzen; Schluss	1	1	1	WRITE_CANONICAL
E_GRADE+TY	E_GRADE+TY	NONE	2	MC094	cheeety	cheeety	Vollteil	NONE	Vollteil	1	1	1	WRITE_CANONICAL
E_GRADE+Y	E_GRADE+Y	NONE	2	MC095	sheey	sheey	Langhalt	NONE	Langhalt	1	1	1	WRITE_CANONICAL
E_GRADE+Y+CKH[GRADE=E_SHORT]	E_GRADE+Y+CKH	GRADE=E_SHORT	3	MC132	sheckhy	sheckhy	Kurzpassage	NONE	Kurzpassage	1	1	1	WRITE_CANONICAL
E_GRADE+Y+SOLK	E_GRADE+Y+SOLK	NONE	3	MC020	solkeey	solkeey	Langsammlung	NONE	Langsammlung	1	1	1	WRITE_CANONICAL
E_GRADE+Y+SOLK[GRADE=E_SHORT]	E_GRADE+Y+SOLK	GRADE=E_SHORT	3	MC050	solkey	solkey	Kurzsammlung	NONE	Kurzsammlung	1	1	1	WRITE_CANONICAL
IIN+K_BINDER	IIN+K_BINDER	NONE	2	MC048	kaiiin	kaiiin	die Arbeitsstufe setzen	NONE	die Arbeitsstufe setzen	1	1	1	WRITE_CANONICAL
L+CHED_TRANSFER	L+CHED_TRANSFER	NONE	2	MC127	lched	lched	Abführung	NONE	Abführung	1	1	1	WRITE_CANONICAL
L+CKHE[LICENSED_CLOSE=YES]	L+CKHE	LICENSED_CLOSE=YES	2	MC133	lcheckhedy	lcheckhedy	Trennabzug; Schluss	NONE	Trennabzug; Schluss	1	1	1	WRITE_CANONICAL
L+DY+CHED_TRANSFER+O_WITHDRAW	L+DY+CHED_TRANSFER+O_WITHDRAW	NONE	4	MC167	lochedy	lochedy	Abführung; Schluss	NONE	Abführung; Schluss	1	1	1	WRITE_CANONICAL
L+O_WITHDRAW	L+O_WITHDRAW	NONE	2	MC030	lo	lo	Abzug	NONE	Abzug	1	1	1	WRITE_CANONICAL
L+Y	L+Y	NONE	2	MC008	lchy	lchy	Abführgut	NONE	Abführgut	1	1	1	WRITE_CANONICAL
L+Y+CKH	L+Y+CKH	NONE	3	MC168	lcheckhy	lcheckhy	Abführpassage	NONE	Abführpassage	1	1	1	WRITE_CANONICAL
LSH	LSH	NONE	1	MC130	lsho	lsho	Waschgang	NONE	Waschgang	1	1	1	WRITE_CANONICAL
OK	OK	NONE	1	MC041	okchol	okchol	die Fortsetzung einsetzen	NONE	die Fortsetzung einsetzen	1	1	1	WRITE_CANONICAL
OK+AIR	OK+AIR	NONE	2	MC081	okair	okair	Laufeinsatz	NONE	Laufeinsatz	1	1	1	WRITE_CANONICAL
OK+AL+E_GRADE	OK+AL+E_GRADE	NONE	3	MC096	qokeedal	qokeedal	Langer Zieleinsatz	NONE	Langer Zieleinsatz	1	1	1	WRITE_CANONICAL
OK+AL+Y	OK+AL+Y	NONE	3	MC054	qokaly	qokaly	Zieleinsatz	NONE	Zieleinsatz	1	1	1	WRITE_CANONICAL
OK+AR	OK+AR	NONE	2	MC044	qokar	qokar	Quelleinsatz	NONE	Quelleinsatz	1	1	1	WRITE_CANONICAL
OK+CHEO	OK+CHEO	NONE	2	MC006	chokcheo	chokcheo	Auszug einsetzen	NONE	Auszug einsetzen	1	1	1	WRITE_CANONICAL
OK+DY+SHED	OK+DY+SHED	NONE	3	MC151	qokshedy	qokshedy	Einsatzabsetzen; Schluss	NONE	Einsatzabsetzen; Schluss	1	1	1	WRITE_CANONICAL
OK+E_GRADE+DY[GRADE=EEE_FULL]	OK+E_GRADE+DY	GRADE=EEE_FULL	3	MC140	qokeeedy	qokeeedy	Volleinsatz; Schluss	NONE	Volleinsatz; Schluss	1	1	1	WRITE_CANONICAL
OK+E_GRADE+Y+CKH[GRADE=E_SHORT]	OK+E_GRADE+Y+CKH	GRADE=E_SHORT	4	MC165	qockhey	qockhey	Kurzdurchgang	NONE	Kurzdurchgang	1	1	1	WRITE_CANONICAL
OK+OL	OK+OL	NONE	2	MC024	qokol	qokol	Weiter einsetzen	NONE	Weiter einsetzen	1	1	1	WRITE_CANONICAL
OK+OL+E_GRADE[GRADE=EE_LONG]	OK+OL+E_GRADE	GRADE=EE_LONG	3	MC150	okeeol	okeeol	Langfortsetzung	NONE	Langfortsetzung	1	1	1	WRITE_CANONICAL
OK+Y[REPEAT=YES]	OK+Y	REPEAT=YES	2	MC015	qokokchy	qokokchy	denselben Posten erneut einsetzen	NONE	denselben Posten erneut einsetzen	1	1	1	WRITE_CANONICAL
OL+CTH	OL+CTH	NONE	2	MC112	octheol	octheol	Fortsetzung vorbereiten	NONE	Fortsetzung vorbereiten	1	1	1	WRITE_CANONICAL
OL+DY+SHED	OL+DY+SHED	NONE	3	MC149	solshedy	solshedy	Folgeabsetzen; Schluss	NONE	Folgeabsetzen; Schluss	1	1	1	WRITE_CANONICAL
OL+L	OL+L	NONE	2	MC092	lol	lol	Weiterabzug	NONE	Weiterabzug	1	1	1	WRITE_CANONICAL
OL+OT+Y	OL+OT+Y	NONE	3	MC115	qoctholy	qoctholy	danach mit diesem Posten weiter	NONE	danach mit diesem Posten weiter	1	1	1	WRITE_CANONICAL
OL+Y	OL+Y	NONE	2	MC162	qolchey	qolchey	Weiterposten	NONE	Weiterposten	1	1	1	WRITE_CANONICAL
OL+Y+TCH_PREPARATION	OL+Y+TCH_PREPARATION	NONE	3	MC021	oltchy	oltchy	die laufende Bereitung fortsetzen	NONE	die laufende Bereitung fortsetzen	1	1	1	WRITE_CANONICAL
OR+CHEO	OR+CHEO	NONE	2	MC075	ycheor	ycheor	aktueller Auszugsansatz	NONE	aktueller Auszugsansatz	1	1	1	WRITE_CANONICAL
OR+CHO_INPUT	OR+CHO_INPUT	NONE	2	MC125	chochor	chochor	Zugabeansatz	NONE	Zugabeansatz	1	1	1	WRITE_CANONICAL
OR+CTH	OR+CTH	NONE	2	MC158	cthoor	cthoor	den Ansatz bereitstellen	NONE	den Ansatz bereitstellen	1	1	1	WRITE_CANONICAL
OR+OYK_VESSEL	OR+OYK_VESSEL	NONE	2	MC027	oykchor	oykchor	Gefäß für den Ansatz	NONE	Gefäß für den Ansatz	1	1	1	WRITE_CANONICAL
OS_RECEIVER	OS_RECEIVER	NONE	1	MC159	os	os	AUFNAHMEFELD_ODER_UMSCHLUSS	NONE	AUFNAHMEFELD_ODER_UMSCHLUSS	1	1	1	WRITE_CANONICAL
OT+AIIN+E_GRADE[GRADE=E_SHORT]	OT+AIIN+E_GRADE	GRADE=E_SHORT	3	MC018	qotedaiin	qotedaiin	Kurzsoll	NONE	Kurzsoll	1	1	1	WRITE_CANONICAL
OT+AR	OT+AR	NONE	2	MC121	otar	otar	Folgequelle	NONE	Folgequelle	1	1	1	WRITE_CANONICAL
OT+YTY_PART	OT+YTY_PART	NONE	2	MC069	otytchol	otytchol	Folgeteil	NONE	Folgeteil	1	1	1	WRITE_CANONICAL
P+CHED_TRANSFER[LICENSED_CLOSE=YES]	P+CHED_TRANSFER	LICENSED_CLOSE=YES	2	MC070	pchedy	pchedy	Zuführung; Schluss	NONE	Zuführung; Schluss	1	1	1	WRITE_CANONICAL
Y+CHED_TRANSFER+CTH	Y+CHED_TRANSFER+CTH	NONE	3	MC043	shecthedchy	shecthedchy	Vorbereitungstransfer	NONE	Vorbereitungstransfer	1	1	1	WRITE_CANONICAL
Y+DY+AIR	Y+DY+AIR	NONE	3	MC091	dairydy	dairydy	Laufschluss	NONE	Laufschluss	1	1	1	WRITE_CANONICAL
YTY_PART	YTY_PART	NONE	1	MC062	shoyty	shoyty	Zugabeteil	NONE	Zugabeteil	1	1	1	WRITE_CANONICAL
