exercise	source_instruction_de	choose_family_recipe	write_default_card	accepted_surface_spellings	local_allograph_alternatives	observed_event_support	default_writer_hits	teaching_answer_de
20	überführen; Schluss	CHED_TRANSFER[LICENSED_CLOSE=YES]	dchedy	dchedy|schedy|tchedy	NONE	4	4	Wähle CHED_TRANSFER[LICENSED_CLOSE=YES]; schreibe normalerweise dchedy.
21	EINGABE_ODER_BEDINGUNG	CHO_INPUT	cho	cho|sho	NONE	4	4	Wähle CHO_INPUT; schreibe normalerweise cho.
22	an der Zielstelle bearbeiten	K_BINDER	kchal	kchal	kchol|keol|kchoar	4	1	Wähle K_BINDER; schreibe normalerweise kchal.
23	durchleiten	Y+CKH	chckhy	chckhy|shckhy	NONE	4	4	Wähle Y+CKH; schreibe normalerweise chckhy.
24	durchlassen; Schluss	CKHE[LICENSED_CLOSE=YES]	shckhedy	shckhedy	NONE	3	3	Wähle CKHE[LICENSED_CLOSE=YES]; schreibe normalerweise shckhedy.
25	lange sammeln; Schluss	E_GRADE+SOLK[LICENSED_CLOSE=YES]	olkeedy	olkeedy|solkeedy	NONE	3	3	Wähle E_GRADE+SOLK[LICENSED_CLOSE=YES]; schreibe normalerweise olkeedy.
26	länger bearbeiten	E_GRADE+Y+CHK[GRADE=EE_LONG]	cheeky	cheeky	chkeey	3	2	Wähle E_GRADE+Y+CHK[GRADE=EE_LONG]; schreibe normalerweise cheeky.
27	kurz wärmen	E_GRADE+Y+CHK[GRADE=E_SHORT]	cheky	cheky	NONE	3	3	Wähle E_GRADE+Y+CHK[GRADE=E_SHORT]; schreibe normalerweise cheky.
28	kurz vorbereiten	E_GRADE+Y+CTH[GRADE=E_SHORT]	qcthey	qcthey|shcthey	shecthy	3	2	Wähle E_GRADE+Y+CTH[GRADE=E_SHORT]; schreibe normalerweise qcthey.
29	Arbeitsstufe	IIN	oiiin	oiiin|soiiin	daiiin	3	2	Wähle IIN; schreibe normalerweise oiiin.
30	weiterführen; Schluss	OL+DY+CHED_TRANSFER	olchedy	olchedy|qolchedy	NONE	3	3	Wähle OL+DY+CHED_TRANSFER; schreibe normalerweise olchedy.
31	Folgemaß	OT+AIIN	otaiin	otaiin|sotaiin	NONE	3	3	Wähle OT+AIIN; schreibe normalerweise otaiin.
32	danach dorthin	OT+AL	otal	otal|qotal	NONE	3	3	Wähle OT+AL; schreibe normalerweise otal.
33	Folgetransfer; Schluss	OT+DY+CHED_TRANSFER	otchedy	otchedy|qotchedy	otchdy	3	2	Wähle OT+DY+CHED_TRANSFER; schreibe normalerweise otchedy.
34	das nächste	OT+Y	otchey	otchey	qotchy	3	2	Wähle OT+Y; schreibe normalerweise otchey.
35	am Ziel absetzen	AL+SHED	shedal	shedal	NONE	2	2	Wähle AL+SHED; schreibe normalerweise shedal.
36	Endposten	AL+Y	raly	raly	olsaly	2	1	Wähle AL+Y; schreibe normalerweise raly.
37	Waschgang; Schluss	DY+LSH	lshedy	lshedy	NONE	2	2	Wähle DY+LSH; schreibe normalerweise lshedy.
38	vom vorigen Arbeitsgang nehmen	D_PREVIOUS	dchol	dchol|schol	NONE	2	2	Wähle D_PREVIOUS; schreibe normalerweise dchol.
39	Auslass	L	ls	ls	lcheey	2	1	Wähle L; schreibe normalerweise ls.
40	abziehen; Schluss	L+DY	ldy	ldy	NONE	2	2	Wähle L+DY; schreibe normalerweise ldy.
