surface	working_meaning_de	composition	strongest_rival_de	strength	occurrences	scope	status
qokorar	heiße Drogenportion, Fraktion I	QO_FRAME+K_HOT+OR_PORTION+AR_FRACTION_I	heiße Portionszubereitung, Dosis I	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ychoy	Eintrag/Bezug: Trockenansatz am Gradanfang	Y_ENTRY_REF+CHO_DRY_PREP+Y_START	Trockenansatz dieser Droge	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
sheoy	feucht angesetzte Zubereitung am Gradanfang	SHEO_MOIST_PREP+Y_START	Feuchtzubereitung in Grundform	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ytal	Eintrag/Bezug: kalter Rohstoff I am Gradanfang	Y_ENTRY_REF+T_COLD+AL_RAW_I	Y als reine Eintragsgrenze	STRONG_FAMILY_COMPOSITION	12	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
sokaiin	heißer Samenansatz, Grad III	S_SEED+O_PREP+K_HOT+AIIN_III	Saatgutzubereitung, Dosis III	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
shes	feuchtes Drogenmaterial, Mittelstufe	SH_MOIST+E_MIDDLE+S_BOUND	feuchte Arzneispecies	MEDIUM_EXACT_WHOLE	5	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
qekeochor	heiße trocken angesetzte Drogenportion	QE_BOUND+KEO_HEATED_PREP+CHOR_PORTION	Auszug aus Blüten-/Fruchtstand	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
okary	heiße Ansatzfraktion I, abgeschlossen	OKAR_HOT_PREP_FRACTION_I+Y_CLOSE	Grundform statt Abschluss	MEDIUM_EXACT_WHOLE	8	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
shkair	heiße angefeuchtete Drogenfraktion II	SH_MOIST+K_HOT+AIR_FRACTION_II	feuchte Fraktion II	LOW_EXPLORATORY	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
keor	heiße Drogenportion	K_HOT+E_BOUND+OR_PORTION	heißer Drogenteil	MEDIUM_EXACT_WHOLE	6	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
odan	Zubereitungsdosis I	O_PREP+D_DOSE+AN_I	Ansatzmenge I	STRONG_FAMILY_COMPOSITION	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
kodaiin	erhitzte Zubereitung, Dosis III	K_HOT+O_PREP+D_DOSE+AIIN_III	heiße Ansatzcharge III	STRONG_FAMILY_COMPOSITION	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
cho	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	CONTEXT_STRONG	75	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
chotol	Trockenansatz aus kaltem Material	CHO_DRY_PREP+TOL_COLD_MATERIAL	kalt-trockener Zubereitungsstoff	STRONG_FAMILY_COMPOSITION	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
qoteees	kalter Qualitätsendwert, abgeschlossen	QO_FRAME+T_COLD+EEE_END+S_CLOSED	kalte Arzneispecies	LOW_EXPLORATORY	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
alchey	Rohstoff I, trocken in der Gradmitte	AL_RAW_I+CH_DRY+EY_GRADE_MIDDLE	trocken gebundenes Drogenholz	MEDIUM_EXACT_WHOLE	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
sheody	angefeuchteter Ansatz, abgeschlossen	SHEO_MOIST_PREP+DY_CLOSED	fertig aufbereitete Feuchtzubereitung	STRONG_FAMILY_COMPOSITION	34	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
oeeo	zweiter Mazerationsansatz	O_PREP+EE_STAGE_II+O_MEDIUM	Misch-/Bindungsstufe II	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
dshor	abgemessene Blüten-/Fruchtdroge	D_MEASURED+SHOR_FLOWER_FRUIT_PART	Dosis eines reproduktiven Pflanzenteils	STRONG_FAMILY_COMPOSITION	14	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
sain	Saatgut, Typ/Charge II	S_SEED+AIN_II	Samenmenge II	STRONG_FAMILY_COMPOSITION	60	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
sokeedy	heißer Samenansatz am Gradende, fertig	S_SEED+O_PREP+K_HOT+EEDY_END_CLOSED	getrocknete Saatzubereitung	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
am	Maßeinheit I	A_VALUE+M_UNIT_I	Mengenabschluss I	CONTEXT_STRONG	67	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
chckhd	trockenes Arzneikompositum, abgeschlossen	CH_DRY+CKH_COMPOSITE+D_CLOSED	verkürztes CHCKHDY	MEDIUM_EXACT_WHOLE	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
otalor	kalte Ansatzportion aus Rohstoff I	O_PREP+T_COLD+AL_RAW_I+OR_PORTION	kalte Rohstoffklasse I als Zutat	STRONG_FAMILY_COMPOSITION	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
olkain	heißes Drogenmaterial, Grad II	OL_MATERIAL+K_HOT+AIN_II	heißes Ansatzgut, Grad II	STRONG_FAMILY_COMPOSITION	33	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
chty	trocken-kalt am Gradanfang	CH_DRY+T_COLD+Y_GRADE_START	trocken-kalte gebundene Grundform	STRONG_FAMILY_COMPOSITION	12	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
loldy	Drogenholzstoff, fertig aufbereitet	L_WOOD+OL_MATERIAL+DY_FINISHED	Holz-Materialfeld geschlossen	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
olteedy	kaltes Drogenmaterial am Gradende, fertig	OL_MATERIAL+T_COLD+EEDY_END_CLOSED	kalter Ansatz am Gradende	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
cheeky	trocken am Gradende, dann heiß am Gradanfang	CH_DRY+EE_END+K_HOT+Y_START	trocken angesetzte Heißzubereitung	STRONG_FAMILY_COMPOSITION	23	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
lkeedy	Drogenholz, heiß am Gradende, abgeschlossen	L_WOOD+K_HOT+EEDY_END_CLOSED	heißer L-Rahmenwert ohne Holz	MEDIUM_EXACT_WHOLE	37	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
dalchedy	abgemessener Rohstoff I, trocken in der Gradmitte, abgeschlossen	DAL_MEASURED_RAW_I+CH_DRY+EDY_MIDDLE_CLOSED	schlicht getrocknete Rohstoffmenge I	STRONG_FAMILY_COMPOSITION	5	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
saii	Saatgutmenge III	S_SEED+AII_III_READER_FORM	verkürztes SAIIN	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ykeedy	Eintrag/Bezug: heiß am Gradende, abgeschlossen	Y_ENTRY_REF+K_HOT+EEDY_END_CLOSED	Y als reine Grenze	MEDIUM_EXACT_WHOLE	26	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
yteody	Eintrag/Bezug: kalte Zubereitung, abgeschlossen	Y_ENTRY_REF+T_COLD+E_BOUND+O_PREP+DY_FINISHED	Y-Grenze plus TEODY-Karte	STRONG_FAMILY_COMPOSITION	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
tdain	kalter Grad-/Maßwert II	T_COLD+D_GRADE_MEASURE+AIN_II	Dosis II der kalten Fraktion	LOW_EXPLORATORY	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
chakal	Rohstoff I, trocken-heiß am Gradanfang	CH_DRY+A_LINK+K_HOT+AL_RAW_I	CHOKAL-Trockenansatz	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
