decision_id	surface	family	working_default_de	composition	strongest_rival_de	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	rendering_classes	strength	status
G661-D30	oeeo	PREPARATION_MISC	zweiter Mazerationsansatz	O_PREP+EE_STAGE_II+O_MEDIUM	Misch-/Bindungsstufe II	1	1	1	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D31	dshor	FRACTION_PART	abgemessene Blüten-/Fruchtdroge	D_MEASURED+SHOR_FLOWER_FRUIT_PART	Dosis eines reproduktiven Pflanzenteils	14	13	12	12	12	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D32	sain	SEED_FORMS	Saatgut, Typ/Charge II	S_SEED+AIN_II	Samenmenge II	60	60	33	53	53	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D33	sokeedy	SEED_FORMS	heißer Samenansatz am Gradende, fertig	S_SEED+O_PREP+K_HOT+EEDY_END_CLOSED	getrocknete Saatzubereitung	2	2	2	1	1	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D34	am	MEASURE_DOSAGE	Maßeinheit I	A_VALUE+M_UNIT_I	Mengenabschluss I	67	67	39	53	53	AM_BODY|AM_LABEL|AM_TERMINAL	CONTEXT_STRONG	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D35	chckhd	RAW_COMPOSITE	trockenes Arzneikompositum, abgeschlossen	CH_DRY+CKH_COMPOSITE+D_CLOSED	verkürztes CHCKHDY	4	4	4	2	2	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D36	otalor	FRACTION_PART	kalte Ansatzportion aus Rohstoff I	O_PREP+T_COLD+AL_RAW_I+OR_PORTION	kalte Rohstoffklasse I als Zutat	4	4	4	4	4	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D37	olkain	PREPARATION_MISC	heißes Drogenmaterial, Grad II	OL_MATERIAL+K_HOT+AIN_II	heißes Ansatzgut, Grad II	33	32	15	30	30	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D38	chty	QUALITY_START	trocken-kalt am Gradanfang	CH_DRY+T_COLD+Y_GRADE_START	trocken-kalte gebundene Grundform	12	12	12	12	12	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D39	loldy	PREPARATION_MISC	Drogenholzstoff, fertig aufbereitet	L_WOOD+OL_MATERIAL+DY_FINISHED	Holz-Materialfeld geschlossen	2	2	2	2	2	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D40	olteedy	PREPARATION_MISC	kaltes Drogenmaterial am Gradende, fertig	OL_MATERIAL+T_COLD+EEDY_END_CLOSED	kalter Ansatz am Gradende	3	3	3	2	2	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D41	cheeky	QUALITY_START	trocken am Gradende, dann heiß am Gradanfang	CH_DRY+EE_END+K_HOT+Y_START	trocken angesetzte Heißzubereitung	23	23	22	22	22	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D42	lkeedy	WOOD_HEAT_GRADE	Drogenholz, heiß am Gradende, abgeschlossen	L_WOOD+K_HOT+EEDY_END_CLOSED	heißer L-Rahmenwert ohne Holz	37	35	21	23	23	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D43	dalchedy	RAW_COMPOSITE	abgemessener Rohstoff I, trocken in der Gradmitte, abgeschlossen	DAL_MEASURED_RAW_I+CH_DRY+EDY_MIDDLE_CLOSED	schlicht getrocknete Rohstoffmenge I	5	5	4	4	4	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D44	saii	SEED_FORMS	Saatgutmenge III	S_SEED+AII_III_READER_FORM	verkürztes SAIIN	1	1	1	0	0	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D45	ykeedy	WOOD_HEAT_GRADE	Eintrag/Bezug: heiß am Gradende, abgeschlossen	Y_ENTRY_REF+K_HOT+EEDY_END_CLOSED	Y als reine Grenze	26	26	24	19	19	Y_WHOLE_ENTRY|Y_WHOLE_REFERENCE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D46	yteody	QUALITY_START	Eintrag/Bezug: kalte Zubereitung, abgeschlossen	Y_ENTRY_REF+T_COLD+E_BOUND+O_PREP+DY_FINISHED	Y-Grenze plus TEODY-Karte	7	7	5	7	7	Y_WHOLE_ENTRY|Y_WHOLE_REFERENCE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D47	tdain	MEASURE_DOSAGE	kalter Grad-/Maßwert II	T_COLD+D_GRADE_MEASURE+AIN_II	Dosis II der kalten Fraktion	2	2	2	0	0	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D48	chakal	RAW_COMPOSITE	Rohstoff I, trocken-heiß am Gradanfang	CH_DRY+A_LINK+K_HOT+AL_RAW_I	CHOKAL-Trockenansatz	1	1	1	0	0	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
