rank	page	locus	surface	working_default_de	composition	strongest_rival_de	strength	zl3b_line	v37_translation_de	v38_translation_de	status
11	f17v	f17v.8	kchar	heiße Trockenfraktion I	K_HOT+CH_DRY+AR_FRACTION_I	heiße Drogenfraktion I	MEDIUM_EXACT_WHOLE	qokeey kchar ol dy choldaiin sy	heiß am Ende des Grades; [kchar:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken, Grad III; Saatgut in Grundform	heiß am Ende des Grades; heiße Trockenfraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken, Grad III; Saatgut in Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
12	f19r	f19r.4	qokorar	heiße Drogenportion, Fraktion I	QO_FRAME+K_HOT+OR_PORTION+AR_FRACTION_I	heiße Portionszubereitung, Dosis I	MEDIUM_EXACT_WHOLE	qokorar daiin chckhy shy kchor	[qokorar:?]; Grad-/Maßwert III; Arzneikompositum: trocken, Gradanfang; feucht am Anfang des Grades; Drogenportion, heiß-trocken	heiße Drogenportion, Fraktion I; Grad-/Maßwert III; Arzneikompositum: trocken, Gradanfang; feucht am Anfang des Grades; Drogenportion, heiß-trocken	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
13	f19v	f19v.6	ychoy	Eintrag/Bezug: Trockenansatz am Gradanfang	Y_ENTRY_REF+CHO_DRY_PREP+Y_START	Trockenansatz dieser Droge	MEDIUM_EXACT_WHOLE	ychoy kchor cthol chocthy s	[ychoy:?]; Drogenportion, heiß-trocken; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung; Samen-/Saatgutposten.	Eintrag: Trockenansatz am Gradanfang; Drogenportion, heiß-trocken; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
14	f20v	f20v.7	sheoy	feucht angesetzte Zubereitung am Gradanfang	SHEO_MOIST_PREP+Y_START	Feuchtzubereitung in Grundform	MEDIUM_EXACT_WHOLE	shocthy sho cthy daiin sheoy tey s soaiin	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; feuchter Ansatz; CTH-Drogenmaterial; Menge/Portion III; [sheoy:?]; kalt in der Mitte des Grades; Samen-/Saatgutposten; Samen/Saatgutzubereitung, Charge III	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; feuchter Ansatz; CTH-Drogenmaterial; Menge/Portion III; feucht angesetzte Zubereitung am Gradanfang; kalt in der Mitte des Grades; Samen-/Saatgutposten; Samen/Saatgutzubereitung, Charge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
15	f22v	f22v.10	ytal	Eintrag/Bezug: kalter Rohstoff I am Gradanfang	Y_ENTRY_REF+T_COLD+AL_RAW_I	Y als reine Eintragsgrenze	STRONG_FAMILY_COMPOSITION	qokchy daiin s or ytal	heiß und trocken am Anfang des Grades; Grad-/Maßwert III; Samen-/Saatgutposten; Drogenportion; [ytal:?]	heiß und trocken am Anfang des Grades; Grad-/Maßwert III; Samen-/Saatgutposten; Drogenportion; hierzu: kalter Rohstoff I am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
16	f22v	f22v.11	sokaiin	heißer Samenansatz, Grad III	S_SEED+O_PREP+K_HOT+AIIN_III	Saatgutzubereitung, Dosis III	MEDIUM_EXACT_WHOLE	sokaiin oty dy	[sokaiin:?]; kalter Ansatz am Anfang des Grades.	heißer Samenansatz, Grad III; kalter Ansatz am Anfang des Grades.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
17	f27r	f27r.10	shes	feuchtes Drogenmaterial, Mittelstufe	SH_MOIST+E_MIDDLE+S_BOUND	feuchte Arzneispecies	MEDIUM_EXACT_WHOLE	qotchey shes s y chy tchey dy	kalt und trocken in der Mitte des Grades; [shes:?]; Samen-/Saatgutposten; hierzu: trocken am Anfang des Grades; kalt und trocken in der Mitte des Grades.	kalt und trocken in der Mitte des Grades; feuchtes Drogenmaterial, Mittelstufe; Samen-/Saatgutposten; hierzu: trocken am Anfang des Grades; kalt und trocken in der Mitte des Grades.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
18	f29v	f29v.12	qekeochor	heiße trocken angesetzte Drogenportion	QE_BOUND+KEO_HEATED_PREP+CHOR_PORTION	Auszug aus Blüten-/Fruchtstand	LOW_EXPLORATORY	qekeochor otchey s y	[qekeochor:?]; kalt-trockener Ansatz in der Mitte des Grades; Samen-/Saatgutposten.	heiße trocken angesetzte Drogenportion; kalt-trockener Ansatz in der Mitte des Grades; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
19	f33v	f33v.8	okary	heiße Ansatzfraktion I, abgeschlossen	OKAR_HOT_PREP_FRACTION_I+Y_CLOSE	Grundform statt Abschluss	MEDIUM_EXACT_WHOLE	dar ar sheey keedy okchy okar okedy chy daiin dy dy dar aiin okary	abgemessene Fraktion I; Drogenfraktion I; feucht am Ende des Grades; heiß am Ende des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades; heiße Drogenfraktion I im Ansatz; heißer Ansatz in der Mitte des Grades, abgeschlossen; trocken am Anfang des Grades; Grad-/Maßwert III; abgemessene Fraktion I; Menge III; [okary:?]	abgemessene Fraktion I; Drogenfraktion I; feucht am Ende des Grades; heiß am Ende des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades; heiße Drogenfraktion I im Ansatz; heißer Ansatz in der Mitte des Grades, abgeschlossen; trocken am Anfang des Grades; Grad-/Maßwert III; abgemessene Fraktion I; Menge III; heiße Ansatzfraktion I, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
20	f33v	f33v.9	shkair	heiße angefeuchtete Drogenfraktion II	SH_MOIST+K_HOT+AIR_FRACTION_II	feuchte Fraktion II	LOW_EXPLORATORY	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	Samenfraktion I; Drogenportion; Menge III; Pflanzen-/Reproduktionsteil; Drogenportion; [shkair:?]; feucht; nominal feuchtes Gut/Material; Drogenportion; Arzneikompositum: trocken, Gradanfang; Drogenfraktion I; Menge III; heiß im Zubereitungsrahmen, Grad II; abgemessene Rohstoffmenge I.	Samenfraktion I; Drogenportion; Menge III; Pflanzen-/Reproduktionsteil; Drogenportion; heiße angefeuchtete Drogenfraktion II; feucht; nominal feuchtes Gut/Material; Drogenportion; Arzneikompositum: trocken, Gradanfang; Drogenfraktion I; Menge III; heiß im Zubereitungsrahmen, Grad II; abgemessene Rohstoffmenge I.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
21	f38v	f38v.3	keor	heiße Drogenportion	K_HOT+E_BOUND+OR_PORTION	heißer Drogenteil	MEDIUM_EXACT_WHOLE	qokeey keor daiin okey keey daiin dair daiin s	heiß am Ende des Grades; [keor:?]; Menge/Portion III; heißer Ansatz in der Mitte des Grades; heiß am Ende des Grades; Grad-/Maßwert III; abgemessene Fraktion II; Grad-/Maßwert III; Samen-/Saatgutposten.	heiß am Ende des Grades; heiße Drogenportion; Menge/Portion III; heißer Ansatz in der Mitte des Grades; heiß am Ende des Grades; Grad-/Maßwert III; abgemessene Fraktion II; Grad-/Maßwert III; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
22	f42r	f42r.21	odan	Zubereitungsdosis I	O_PREP+D_DOSE+AN_I	Ansatzmenge I	STRONG_FAMILY_COMPOSITION	shol chol chol shol oiin s odan	feucht; nominal feuchtes Gut/Material; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; feucht; nominal feuchtes Gut/Material; Zubereitungsform III; Samen-/Saatgutposten; [odan:?]	feucht; nominal feuchtes Gut/Material; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; feucht; nominal feuchtes Gut/Material; Zubereitungsform III; Samen-/Saatgutposten; Zubereitungsdosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
23	f52v	f52v.8	kodaiin	erhitzte Zubereitung, Dosis III	K_HOT+O_PREP+D_DOSE+AIIN_III	heiße Ansatzcharge III	STRONG_FAMILY_COMPOSITION	kodaiin cthy qokeey s ol	[kodaiin:?]; CTH-Drogenmaterial; heiß am Ende des Grades; Samen-/Saatgutposten; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	erhitzte Zubereitung, Dosis III; CTH-Drogenmaterial; heiß am Ende des Grades; Samen-/Saatgutposten; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
24	f53r	f53r.2	cho	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	CONTEXT_STRONG	dol dain s cho she oty	Materialmaß; Qualitätsgrad II; Samen-/Saatgutposten; [cho:?]; feucht, attributiv gebunden; kalter Ansatz am Anfang des Grades	Materialmaß; Qualitätsgrad II; Samen-/Saatgutposten; Trockenansatz; feucht, attributiv gebunden; kalter Ansatz am Anfang des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
25	f56r	f56r.14	chotol	Trockenansatz aus kaltem Material	CHO_DRY_PREP+TOL_COLD_MATERIAL	kalt-trockener Zubereitungsstoff	STRONG_FAMILY_COMPOSITION	s chol chotol qotchy	Samen-/Saatgutposten:; trocken; nominal trockenes Gut/Material; [chotol:?]; kalt und trocken am Anfang des Grades	Samen-/Saatgutposten: trocken; nominal trockenes Gut/Material; Trockenansatz aus kaltem Material; kalt und trocken am Anfang des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
26	f56r	f56r.17	d	Dosis	D_DOSE_HEAD	Gradangabe oder Abschlusszeichen	CONTEXT_STRONG	chokeey qokcheey schey d aiin dy	heiß-trockener Ansatz am Gradende; heiß und trocken am Ende des Grades; Samen/Saatgut, trocken gebunden, Form I; [d:?]; Menge III.	heiß-trockener Ansatz am Gradende; heiß und trocken am Ende des Grades; Samen/Saatgut, trocken gebunden, Form I; davon/Dosis: Menge III.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
27	f56v	f56v.5	qoteees	kalter Qualitätsendwert, abgeschlossen	QO_FRAME+T_COLD+EEE_END+S_CLOSED	kalte Arzneispecies	LOW_EXPLORATORY	qoteees sho kcheey s aiin	[qoteees:?]; feuchter Ansatz; heiß und trocken am Ende des Grades; Samen-/Saatgutposten; Menge III	kalter Qualitätsendwert, abgeschlossen; feuchter Ansatz; heiß und trocken am Ende des Grades; Samen-/Saatgutposten; Menge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
28	f58r	f58r.41	alchey	Rohstoff I, trocken in der Gradmitte	AL_RAW_I+CH_DRY+EY_GRADE_MIDDLE	trocken gebundenes Drogenholz	MEDIUM_EXACT_WHOLE	dchol chokal saiin dal okal s alchey	Maß trockenen Materials; Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang; Samen/Saatgut, Typ/Charge III; abgemessene Rohstoffmenge I; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Samen-/Saatgutposten; [alchey:?]	Maß trockenen Materials; Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang; Samen/Saatgut, Typ/Charge III; abgemessene Rohstoffmenge I; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Samen-/Saatgutposten; Rohstoff I, trocken in der Gradmitte	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
29	f5r	f5r.4	sheody	angefeuchteter Ansatz, abgeschlossen	SHEO_MOIST_PREP+DY_CLOSED	fertig aufbereitete Feuchtzubereitung	STRONG_FAMILY_COMPOSITION	otain sheody chan s cheor chocthy	kalt im Zubereitungsrahmen, Grad II; [sheody:?]; trocken, Grad I; Samen-/Saatgutposten; trockener Drogenteil; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	kalt im Zubereitungsrahmen, Grad II; angefeuchteter Ansatz, abgeschlossen; trocken, Grad I; Samen-/Saatgutposten; trockener Drogenteil; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
30	f6v	f6v.9	oeeo	zweiter Mazerationsansatz	O_PREP+EE_STAGE_II+O_MEDIUM	Misch-/Bindungsstufe II	LOW_EXPLORATORY	oeeo dal chor cthom s	[oeeo:?]; abgemessene Rohstoffmenge I; Pflanzen-/Reproduktionsteil; eine Handvoll Blatt- oder Krautansatz; Samen-/Saatgutposten.	zweiter Mazerationsansatz; abgemessene Rohstoffmenge I; Pflanzen-/Reproduktionsteil; eine Handvoll Blatt- oder Krautansatz; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
31	f75r	f75r.10	dshor	abgemessene Blüten-/Fruchtdroge	D_MEASURED+SHOR_FLOWER_FRUIT_PART	Dosis eines reproduktiven Pflanzenteils	STRONG_FAMILY_COMPOSITION	dshor qotar chdy shey qokain chckhy dy otey tedy lchedy	[dshor:?]; kalte Drogenfraktion I; trocken am Anfang des Grades, abgeschlossen; feucht in der Mitte des Grades; heiß, Grad II; Arzneikompositum: trocken, Gradanfang; kalter Ansatz in der Mitte des Grades; kalt in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz	abgemessene Blüten-/Fruchtdroge; kalte Drogenfraktion I; trocken am Anfang des Grades, abgeschlossen; feucht in der Mitte des Grades; heiß, Grad II; Arzneikompositum: trocken, Gradanfang; kalter Ansatz in der Mitte des Grades; kalt in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
32	f75r	f75r.25	sain	Saatgut, Typ/Charge II	S_SEED+AIN_II	Samenmenge II	STRONG_FAMILY_COMPOSITION	sain shckhy qokeedy shy dy qokeedy lchedy ram	[sain:?]; Arzneikompositum: feucht, Gradanfang; heiß am Ende des Grades, abgeschlossen; feucht am Anfang des Grades; heiß am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; Wurzel/Wurzeldroge: Maß-/Einheitsform I	Saatgut, Typ/Charge II; Arzneikompositum: feucht, Gradanfang; heiß am Ende des Grades, abgeschlossen; feucht am Anfang des Grades; heiß am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; Wurzel/Wurzeldroge: Maß-/Einheitsform I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
33	f75r	f75r.41	sokeedy	heißer Samenansatz am Gradende, fertig	S_SEED+O_PREP+K_HOT+EEDY_END_CLOSED	getrocknete Saatzubereitung	MEDIUM_EXACT_WHOLE	sokeedy qokeedy oteedy qoky dy keedy sy	[sokeedy:?]; heiß am Ende des Grades, abgeschlossen; kalter Ansatz am Ende des Grades, abgeschlossen; heiß am Anfang des Grades; heiß am Ende des Grades, abgeschlossen; Saatgut in Grundform	heißer Samenansatz am Gradende, fertig; heiß am Ende des Grades, abgeschlossen; kalter Ansatz am Ende des Grades, abgeschlossen; heiß am Anfang des Grades; heiß am Ende des Grades, abgeschlossen; Saatgut in Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
34	f78r	f78r.7	am	Maßeinheit I	A_VALUE+M_UNIT_I	Mengenabschluss I	CONTEXT_STRONG	qokal otedy qokedy qokedy dal qokedy qokedy s am	Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; abgemessene Rohstoffmenge I; heiß in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; Samen-/Saatgutposten; [am:?]	Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; abgemessene Rohstoffmenge I; heiß in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; Samen-/Saatgutposten; Maßeinheit I.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
35	f78r	f78r.9	chckhd	trockenes Arzneikompositum, abgeschlossen	CH_DRY+CKH_COMPOSITE+D_CLOSED	verkürztes CHCKHDY	MEDIUM_EXACT_WHOLE	schedy keedy qokedy chckhd qokain chedy qotedy dy	getrocknete Samen/Saat; heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; [chckhd:?]; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen.	getrocknete Samen/Saat; heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; trockenes Arzneikompositum, abgeschlossen; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
36	f78v	f78v.32	otalor	kalte Ansatzportion aus Rohstoff I	O_PREP+T_COLD+AL_RAW_I+OR_PORTION	kalte Rohstoffklasse I als Zutat	STRONG_FAMILY_COMPOSITION	lol cheor sheol dy qokar otalor	Holzstoff; trockener Drogenteil; feuchtes Material; heiße Drogenfraktion I; [otalor:?]	Holzstoff; trockener Drogenteil; feuchtes Material; heiße Drogenfraktion I; kalte Ansatzportion aus Rohstoff I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
37	f80r	f80r.46	olkain	heißes Drogenmaterial, Grad II	OL_MATERIAL+K_HOT+AIN_II	heißes Ansatzgut, Grad II	STRONG_FAMILY_COMPOSITION	qokain cheey olkain shedy qokain orol s	heiß, Grad II; trocken am Ende des Grades; [olkain:?]; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad II; Drogenstoffportion; Samen-/Saatgutposten.	heiß, Grad II; trocken am Ende des Grades; heißes Drogenmaterial, Grad II; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad II; Drogenstoffportion; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
38	f80v	f80v.15	chty	trocken-kalt am Gradanfang	CH_DRY+T_COLD+Y_GRADE_START	trocken-kalte gebundene Grundform	STRONG_FAMILY_COMPOSITION	qotaiin chty lchedy s aly tol chey qoteedy otal dain ol dal	kalt, Grad III; [chty:?]; getrocknetes Drogenholz; Samen-/Saatgutposten; Rohstoffklasse I, Grundform; kalt; nominal kaltes Gut/Material; trocken in der Mitte des Grades; kalt am Ende des Grades, abgeschlossen; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Grad-/Maßwert II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; abgemessene Rohstoffmenge I	kalt, Grad III; trocken-kalt am Gradanfang; getrocknetes Drogenholz; Samen-/Saatgutposten; Rohstoffklasse I, Grundform; kalt; nominal kaltes Gut/Material; trocken in der Mitte des Grades; kalt am Ende des Grades, abgeschlossen; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Grad-/Maßwert II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; abgemessene Rohstoffmenge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
39	f80v	f80v.16	loldy	Drogenholzstoff, fertig aufbereitet	L_WOOD+OL_MATERIAL+DY_FINISHED	Holz-Materialfeld geschlossen	MEDIUM_EXACT_WHOLE	cheol key qotar dy qotal dy keedy qokain oty loldy tal	trockener Drogenstoff; heiß in der Mitte des Grades; kalte Drogenfraktion I; Rohstoffklasse I, kalt am Gradanfang; heiß am Ende des Grades, abgeschlossen; heiß, Grad II; kalter Ansatz am Anfang des Grades; [loldy:?]; Rohstoffklasse I, kalt am Gradanfang	trockener Drogenstoff; heiß in der Mitte des Grades; kalte Drogenfraktion I; Rohstoffklasse I, kalt am Gradanfang; heiß am Ende des Grades, abgeschlossen; heiß, Grad II; kalter Ansatz am Anfang des Grades; Drogenholzstoff, fertig aufbereitet; Rohstoffklasse I, kalt am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
40	f80v	f80v.8	olteedy	kaltes Drogenmaterial am Gradende, fertig	OL_MATERIAL+T_COLD+EEDY_END_CLOSED	kalter Ansatz am Gradende	MEDIUM_EXACT_WHOLE	olteedy qokaiin shedy qokain sheol qokchdy qokchdy qoty dy	[olteedy:?]; heiß, Grad III; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad II; feuchtes Material; heiß und trocken am Anfang des Grades, abgeschlossen; heiß und trocken am Anfang des Grades, abgeschlossen; kalt am Anfang des Grades.	kaltes Drogenmaterial am Gradende, fertig; heiß, Grad III; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad II; feuchtes Material; heiß und trocken am Anfang des Grades, abgeschlossen; heiß und trocken am Anfang des Grades, abgeschlossen; kalt am Anfang des Grades.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
