surface	cth_root	remainder	occurrences	pages	herbal_occurrences	herbal_share	triple_stable_occurrences	root_default_de	surface_default_de	status
cthe	cth	e	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheeb	cth	eeb	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheees	cth	eees	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthees	cth	ees	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheety	cth	eety	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheoly	cth	eoly	1	1	0	0.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheos	cth	eos	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cther	cth	er	1	1	0	0.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthes	cth	es	1	1	0	0.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthl	cth	l	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthoaiin	cth	oaiin	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthochy	cth	ochy	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthocthol	cth	octhol	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodaiin	cth	odaiin	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodam	cth	odam	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodar	cth	odar	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodd	cth	odd	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodoaly	cth	odoaly	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodol	cth	odol	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthoj	cth	oj	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthold	cth	old	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctholdg	cth	oldg	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctholdy	cth	oldy	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctholo	cth	olo	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthols	cth	ols	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthoor	cth	oor	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthorchy	cth	orchy	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthororaiin	cth	ororaiin	1	1	0	0.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthos	cth	os	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthosg	cth	osg	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthoshol	cth	oshol	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthosy	cth	osy	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cths	cth	s	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
